Var1	act0	act1	act2	act3	act4	act5	act6	act7	act8	act9	act10	act11	act12
Tos3	1	1	1	1	1	1	1	1	1	1	1	1	1
Sak1	1	1	1	1	1	1	1	1	1	1	1	1	1
Elm1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glc7	1	1	1	1	1	1	1	1	1	0	0	0	0
Reg1	1	1	1	1	1	1	1	1	0	0	0	0	0
Sip2	1	1	1	1	1	1	1	1	1	1	1	1	1
Sip1	1	1	1	1	1	1	1	1	1	1	1	1	1
Gal83	1	1	1	1	1	1	1	1	1	1	1	1	1
Snf1	1	1	1	1	1	1	1	0	0	0	0	0	0
Snf4	1	1	1	1	1	1	1	1	1	1	1	1	1
Cat8	1	1	1	1	1	1	1	1	0	0	0	0	0
Sip4	1	1	1	1	1	1	1	1	0	0	0	0	0
Adr1	1	1	1	1	1	1	0	0	0	0	0	0	0
Mig1	0	0	0	0	0	0	0	0	1	1	1	1	1
