Name	pres 0	phos 0	act 0	pres 1	phos 1	act 1	pres 2	phos 2	act 2	pres 3	phos 3	act 3	pres 4	phos 4	act 4	pres 5	phos 5	act 5	pres 6	phos 6	act 6	pres 7	phos 7	act 7	pres 8	phos 8	act 8	pres 9	phos 9	act 9
Gpr1	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
Gpa2	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
Krh	1	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Cdc25	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
Ras	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
Ira	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
AC	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
Pde	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0
Tpk1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Tpk2	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Tpk3	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Bcy1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
PKA	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1
Rim15	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0
Gis1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0
Msn2,4	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0
