enzymes	ranges	minU	maxU	pU
P00127	3.24992829298116e-09	1.50596974922547e-05	1.50629474205477e-05	1.50629103815324e-05
P00128	3.24992829298116e-09	1.50596974922547e-05	1.50629474205477e-05	1.50629103815324e-05
P00163	3.24992829298116e-09	1.50596974922547e-05	1.50629474205477e-05	1.50629103815324e-05
P00330	0.000150367601305061	3.08641975308642e-05	0.000181231798835925	3.08641975308642e-05
P00358	0.000154572024811692	0	0.000154572024811692	0
P00359	0.00015500487127926	3.43665856387461e-05	0.000189371456918006	3.43665856387461e-05
P00360	0.000154990562977203	3.43634133030386e-05	0.000189353976280242	3.43634133030386e-05
P00401	1.03097941522096e-09	4.77740944238795e-06	4.77844042180317e-06	4.77842867186319e-06
P00410	1.03097941522096e-09	4.77740944238795e-06	4.77844042180317e-06	4.77842867186319e-06
P00420	1.03097941522096e-09	4.77740944238795e-06	4.77844042180317e-06	4.77842867186319e-06
P00425	7.15090277420889e-07	3.9091518722398e-06	4.62424214966069e-06	4.62423039972071e-06
P00427	7.15090277420889e-07	3.9091518722398e-06	4.62424214966069e-06	4.62423039972071e-06
P00549	1.6846771214515e-06	0	1.6846771214515e-06	1.68311844793675e-06
P00560	0.000123851379483832	2.75578945463837e-05	0.000151409274030216	2.75578945463837e-05
P00830	3.77827549786896e-09	1.19435307075634e-05	1.19473089830613e-05	1.19435363663019e-05
P00854	3.77825131690621e-09	1.19434542689669e-05	1.19472325202838e-05	1.19434599276692e-05
P00856	3.77825131690621e-09	1.19434542689669e-05	1.19472325202838e-05	1.19434599276692e-05
P00890	1.44827082888189e-06	8.04916299289275e-08	1.52876245881082e-06	1.52846532733289e-06
P00924	0.000118354792637705	2.56423640671765e-05	0.000143997156704882	2.56423640671765e-05
P00925	0.000118107304054249	2.55887439963872e-05	0.000143696048050636	2.55887439963872e-05
P00942	6.40826366068011e-05	2.53804299648329e-08	6.4108017036766e-05	2.54067176951324e-08
P00950	0.000200695501657515	7.70349384239958e-07	0.000201465851041755	7.7074768251619e-07
P04037	7.15090277420889e-07	3.9091518722398e-06	4.62424214966069e-06	4.62423039972071e-06
P04039	1.43018055484178e-06	7.8183037444796e-06	9.24848429932138e-06	9.24846079944142e-06
P04385	0	0	0	0
P04397	7.08601230041333e-05	1.52939217063882e-05	8.61540447105216e-05	1.52939217063882e-05
P04806	1.10087900290837e-06	6.11599446060206e-08	1.16203894751439e-06	1.16203894751439e-06
P04807	2.3807485935035e-06	0	2.3807485935035e-06	0
P05626	3.77825131690621e-09	1.19434542689669e-05	1.19472325202838e-05	1.19434599276692e-05
P06169	2.10529583890985e-07	1.24547172706625e-08	2.22984301161647e-07	2.19110600535963e-07
P07143	3.24992829298116e-09	1.50596974922547e-05	1.50629474205477e-05	1.50629103815324e-05
P07170	0.00022872869969731	0	0.00022872869969731	0
P07251	3.77827549786896e-09	1.19435307075634e-05	1.19473089830613e-05	1.19435363663019e-05
P07255	1.03097941522096e-09	4.77740944238795e-06	4.77844042180317e-06	4.77842867186319e-06
P07256	3.24992829298116e-09	1.50596974922547e-05	1.50629474205477e-05	1.50629103815324e-05
P07257	3.24992829298116e-09	1.50596974922547e-05	1.50629474205477e-05	1.50629103815324e-05
P08067	3.24992829298116e-09	1.50596974922547e-05	1.50629474205477e-05	1.50629103815324e-05
P08417	0.000104246952659767	2.27151494272148e-05	0.000126962102086982	2.27151494272148e-05
P08431	0.00013072761232732	2.82152751510254e-05	0.000158942887478345	2.82152751510254e-05
P08525	3.24992829298116e-09	1.50596974922547e-05	1.50629474205477e-05	1.50629103815324e-05
P09201	5.19055979308814e-09	0	5.19055979308814e-09	0
P09457	3.77825131690621e-09	1.19434542689669e-05	1.19472325202838e-05	1.19434599276692e-05
P09624	3.47824382171717e-08	6.88481159391504e-06	6.91959403213221e-06	6.88518719828489e-06
P0CX10	0.000117075642289722	2.53652275170739e-05	0.000142440869806796	2.53652275170739e-05
P0CX11	0.000117075642289719	2.53652275170739e-05	0.000142440869806793	2.53652275170739e-05
P10174	7.15090277420889e-07	3.9091518722398e-06	4.62424214966069e-06	4.62423039972071e-06
P10963	5.83519383178279e-09	0	5.83519383178279e-09	0
P11154	9.57440213029648e-07	0	9.57440213029648e-07	9.57165334150131e-07
