enzymes	ranges	minU	maxU	pU
P00127	5.15106691368821e-10	2.62003529873223e-06	2.6205504054236e-06	2.62049462154413e-06
P00128	5.15106691368821e-10	2.62003529873223e-06	2.6205504054236e-06	2.62049462154413e-06
P00163	5.15106691368821e-10	2.62003529873223e-06	2.6205504054236e-06	2.62049462154413e-06
P00330	0.000262683416576706	3.08641975308642e-05	0.00029354761410757	3.08641975308642e-05
P00358	0.000270028298864323	0	0.000270028298864323	0
P00359	0.0002707844563608	4.995905658108e-05	0.00032074351294188	4.995905658108e-05
P00360	0.000270759460592847	4.99544449242582e-05	0.000320713905517105	4.99544449242582e-05
P00401	1.63408034753071e-10	8.31157556915775e-07	8.31320964950528e-07	8.3130326855041e-07
P00410	1.63408034753071e-10	8.31157556915775e-07	8.31320964950528e-07	8.3130326855041e-07
P00420	1.63408034753071e-10	8.31157556915775e-07	8.31320964950528e-07	8.3130326855041e-07
P00425	7.48188008413189e-07	4.15664782686687e-08	7.89754486681857e-07	7.8973679028174e-07
P00427	7.48196608836037e-07	4.15664782686687e-08	7.89763087104706e-07	7.8973679028174e-07
P00549	2.47209462486371e-07	0	2.47209462486371e-07	2.46958005069085e-07
P00560	0.00021636112585549	3.99326558557894e-05	0.000256293781711279	3.99326558557894e-05
P00830	6.03596598790844e-10	2.07900563147428e-06	2.07960922807307e-06	2.07900563147428e-06
P00854	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
P00856	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
P00890	2.77825355138331e-07	1.54350719306664e-08	2.93260427068998e-07	2.93196597252916e-07
P00924	0.000206758909688438	3.8061684821773e-05	0.000244820594510211	3.8061684821773e-05
P00925	0.000206326561588833	3.79820950371042e-05	0.000244308656625937	3.79820950371042e-05
P00942	6.41261374746919e-05	3.62999601945238e-09	6.41297674707114e-05	3.63428376372975e-09
P00950	0.000350602687095532	1.09835612023746e-07	0.000350712522707556	1.09900465493967e-07
P04037	7.48196608836037e-07	4.15664782686687e-08	7.89763087104706e-07	7.8973679028174e-07
P04039	1.49639321767207e-06	8.31329565373375e-08	1.57952617420941e-06	1.57947358056348e-06
P04385	0	0	0	0
P04397	0.000123788495980648	2.27795608165672e-05	0.000146568056797216	2.27795608165672e-05
P04806	1.37752870843141e-07	7.65293726906341e-09	1.45405808112205e-07	1.45405808112205e-07
P04807	2.97902814609477e-07	0	2.97902814609477e-07	0
P05626	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
P06169	1.93786460929603e-08	1.14112191391346e-09	2.05197680068738e-08	1.99279336858024e-08
P07143	5.15106691368821e-10	2.62003529873223e-06	2.6205504054236e-06	2.62049462154413e-06
P07170	0.000399106445135353	0	0.000399106445135353	0
P07251	6.03596598790844e-10	2.07900563147428e-06	2.07960922807307e-06	2.07900563147428e-06
P07255	1.63408034753071e-10	8.31157556915775e-07	8.31320964950528e-07	8.3130326855041e-07
P07256	5.15106691368821e-10	2.62003529873223e-06	2.6205504054236e-06	2.62049462154413e-06
P07257	5.15106691368821e-10	2.62003529873223e-06	2.6205504054236e-06	2.62049462154413e-06
P08067	5.15106691368821e-10	2.62003529873223e-06	2.6205504054236e-06	2.62049462154413e-06
P08417	0.000182113337279498	2.68759808582201e-05	0.000208989318137718	2.68759808582201e-05
P08431	0.000228373502995422	4.20252953165368e-05	0.000270398798311958	4.20252953165368e-05
P08525	5.15106691368821e-10	2.62003529873223e-06	2.6205504054236e-06	2.62049462154413e-06
P09201	8.22692638323821e-10	0	8.22692638323821e-10	0
P09457	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
P09624	5.29999061323866e-09	1.17463944165895e-06	1.17993943227219e-06	1.17514374668022e-06
P0CX10	0.000204524308745097	3.76503232173997e-05	0.000242174631962496	3.76503232173997e-05
P0CX11	0.000204524308745097	3.76503232173997e-05	0.000242174631962496	3.76503232173997e-05
P10174	7.48188008413189e-07	4.15664782686687e-08	7.89754486681857e-07	7.8973679028174e-07
P10963	9.24865756261898e-10	0	9.24865756261898e-10	0
P11154	8.84938323095759e-08	0	8.84938323095759e-08	8.81309767681535e-08
P11412	2.00720181623337e-10	1.20583638371927e-08	1.22590840188161e-08	1.20583638371927e-08
P12695	3.84569779152241e-10	8.52323831544024e-08	8.56169529335546e-08	8.52689757608438e-08
P12709	0.000157908982276023	4.29836515498028e-08	0.000157951965927573	4.31461643196963e-08
P14540	0.000244309385463856	9.69645051118204e-07	0.000245279030514974	9.70786807501813e-07
P15019	0.000261355897258869	7.0914648835434e-08	0.000261426811907705	7.11216078625976e-08
P16387	5.29999061323866e-09	1.17463944165895e-06	1.17993943227219e-06	1.17514374668022e-06
P16451	3.98848546825922e-10	8.52181043867295e-08	8.56169529335554e-08	8.52689757608438e-08
P16467	1.93786460929603e-08	1.14112191391346e-09	2.05197680068738e-08	1.14112191391346e-09
P16861	4.46508459815193e-08	2.12674425984882e-09	4.67775902413681e-08	2.25694434238818e-09
P16862	3.56457351625218e-08	5.09295597256394e-08	8.65752948881612e-08	8.65752948881612e-08
P17505	0.00027151896269271	5.01927142309598e-05	0.00032171167692367	5.01927142309598e-05
P17709	1.37752870843141e-07	7.65293726906341e-09	1.45405808112205e-07	7.65293726906341e-09
P19414	0.000113387124574044	3.04076437927403e-07	0.000113691201011971	3.04324179034489e-07
P19516	4.32387552564075e-05	2.40218068255549e-06	4.5640935938963e-05	2.40218068255549e-06
P20967	9.17461161397201e-09	1.53920618651074e-06	1.54838079812471e-06	1.54757006572135e-06
P21306	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
P21801	1.99543158102377e-10	1.96912008249347e-07	1.9711155140745e-07	1.96912008249347e-07
P21826	1.94041770375359e-08	0	1.94041770375359e-08	0
P21954	9.10907867411472e-09	1.54221581321419e-06	1.5513248918883e-06	1.55051995043048e-06
P22289	5.15106691368821e-10	2.62003529873223e-06	2.6205504054236e-06	2.62049462154413e-06
P23254	0.000131150403461153	0	0.000131150403461153	0
P26263	1.93786460930768e-08	1.14112191391346e-09	2.05197680069903e-08	1.14112191391346e-09
P28240	1.657906966223e-08	1.31306750842102e-08	2.97097447464401e-08	1.47800184536952e-08
P30902	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
P30952	1.94041770375361e-08	1.02127247565979e-09	2.04254495131959e-08	1.01612626869155e-08
P32327	8.84938323095759e-08	0	8.84938323095759e-08	0
P32340	1.17342330361618e-07	3.66295036381949e-07	4.83637366743566e-07	4.83554196754922e-07
P32473	5.29999061323866e-09	1.17463944165895e-06	1.17993943227219e-06	1.17514374668022e-06
P32799	7.48196608836037e-07	4.15664782686687e-08	7.89763087104706e-07	7.8973679028174e-07
P33315	0.00012901136916336	2.37436946899971e-05	0.000152755063853357	2.37436946899971e-05
P33401	0.000153373058184853	0	0.000153373058184853	0
P33421	1.99543158102377e-10	1.96912008249347e-07	1.9711155140745e-07	1.96912008249347e-07
P37012	0.000153429946129119	2.82341809006005e-05	0.00018166412702972	2.82341809006005e-05
P37298	2.03011644595043e-10	1.96908539762869e-07	1.97111551407464e-07	1.97070424398733e-07
P37299	5.15106691368821e-10	2.62003529873223e-06	2.6205504054236e-06	2.62049462154413e-06
P38077	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
P38113	0.00025710914938562	0	0.00025710914938562	0
P38720	1.99032339645138e-07	0	1.99032339645138e-07	1.95974063617579e-07
P38824	4.32387552564075e-05	2.40218068255549e-06	4.5640935938963e-05	2.40218068255549e-06
P38858	7.5095378596378e-07	2.48010507479192e-08	7.75754836711699e-07	7.64622711972544e-07
P40047	5.03039964916351e-09	0	5.03039964916351e-09	1.65844803075935e-10
P40106	5.91326920011101e-10	0	5.91326920011101e-10	0
P40215	1.17342330361623e-07	0	1.17342330361623e-07	0
P41277	5.91326920011101e-10	0	5.91326920011101e-10	0
P41911	5.84000745864115e-11	0	5.84000745864115e-11	0
P42222	0.000204588719451009	3.7662180408905e-05	0.000242250899859914	3.7662180408905e-05
P43635	2.77825355138309e-07	1.54350719306807e-08	2.9326042706899e-07	1.54350719306807e-08
P46367	5.03039964916351e-09	0	5.03039964916351e-09	0
P46969	0.00037276479420371	3.72216339390821e-08	0.000372802015837649	3.73514619807662e-08
P47052	2.45893448454254e-07	1.29420249414094e-08	2.58835473395663e-07	1.29420249414094e-08
P47081	4.32387552564075e-05	2.40218068255549e-06	4.5640935938963e-05	2.40218068255549e-06
P47771	7.18850502260775e-09	0	7.18850502260775e-09	0
P52489	2.47209462486399e-07	1.30116808124898e-08	2.60221143298889e-07	1.30116808124898e-08
P52910	2.15423335671484e-08	0	2.15423335671484e-08	2.15423335671484e-08
P53239	4.32387552564075e-05	2.40218068255549e-06	4.5640935938963e-05	2.40218068255549e-06
P53312	1.20676940359458e-09	2.12950645878299e-07	2.14157415281894e-07	2.14045282429157e-07
P53315	7.37611338814488e-07	0	7.37611338814488e-07	0
P53319	1.99032339645128e-07	1.04851918419113e-08	2.09517531487039e-07	1.04851918419113e-08
P53598	1.20676940359458e-09	2.12950645878299e-07	2.14157415281894e-07	2.14045282429157e-07
P54115	1.21294974097108e-08	5.21307177610717e-08	6.42602151707825e-08	6.22508311613239e-08
P61829	6.03596598790844e-10	2.07900563147428e-06	2.07960922807307e-06	2.07900563147428e-06
P81449	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
P81450	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
P81451	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
Q00055	5.84000745864115e-11	0	5.84000745864115e-11	0
Q00711	1.87255782485648e-07	0	1.87255782485648e-07	1.87214655476922e-07
Q01519	7.48196608836037e-07	4.15664782686687e-08	7.89763087104706e-07	7.8973679028174e-07
Q01574	2.21549583201167e-08	4.88938868749042e-10	2.26438971888658e-08	4.88938868749042e-10
Q04458	1.15669659247138e-08	0	1.15669659247138e-08	0
Q04935	4.32387552564075e-05	2.40218068255549e-06	4.5640935938963e-05	2.40218068255549e-06
Q06204	6.05845622565209e-07	0	6.05845622565209e-07	0
Q06405	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
Q07500	1.17342330361629e-07	6.5195318435031e-09	1.23861862205132e-07	6.5195318435031e-09
Q12055	0.000426009320297142	0	0.000426009320297142	2.74952479602122e-08
Q12165	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
Q12189	0.00034254493829223	3.40453981514885e-07	0.000342885392273745	3.412214545738e-07
Q12233	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
Q12349	6.03592735772575e-10	2.07899232583824e-06	2.07959591857401e-06	2.07899232583824e-06
Q3E731	4.32387552564075e-05	2.40218068255549e-06	4.5640935938963e-05	2.40218068255549e-06
