enzymes	ranges	minU	maxU	pU
P00127	9.51789848995519e-10	3.98499395129243e-05	3.98508913027733e-05	3.98501624359563e-05
P00128	9.51789848995519e-10	3.98499395129243e-05	3.98508913027733e-05	3.98501624359563e-05
P00163	9.51789848995519e-10	3.98499395129243e-05	3.98508913027733e-05	3.98501624359563e-05
P00330	1.02295281871044e-08	1.64216632778985e-07	1.7444616096609e-07	1.67353691266765e-07
P00358	2.61110082305008e-06	3.16170606386383e-07	2.92727142943646e-06	3.16170606386383e-07
P00359	5.35850296555285e-05	2.99507329655964e-06	5.65801029520881e-05	5.65727911130339e-05
P00360	5.35800832897545e-05	2.99479682516195e-06	5.65748801149165e-05	2.99479682516195e-06
P00401	3.01937659377412e-10	1.2641653486436e-05	1.26419554240954e-05	1.26417242046292e-05
P00410	3.01937659377412e-10	1.2641653486436e-05	1.26419554240954e-05	1.26417242046292e-05
P00420	3.01937659377412e-10	1.2641653486436e-05	1.26419554240954e-05	1.26417242046292e-05
P00425	3.01943010770636e-10	1.26416534810846e-05	1.26419554240954e-05	1.26417242046292e-05
P00427	3.01943010770636e-10	1.26416534810846e-05	1.26419554240954e-05	1.26417242046292e-05
P00549	4.01722975664995e-07	5.52907937892687e-06	5.93080235459186e-06	5.93069460999431e-06
P00560	5.84227673597597e-09	2.72556211018335e-06	2.73140438691933e-06	2.72556211018335e-06
P00830	6.386503808301e-10	3.16968816629547e-05	3.16975203133355e-05	3.1696970492396e-05
P00854	6.38646293469225e-10	3.16966788029121e-05	3.16973174492055e-05	3.16967676317849e-05
P00856	6.38646293469225e-10	3.16966788029121e-05	3.16973174492055e-05	3.16967676317849e-05
P00890	5.79151766854461e-07	3.41553078391855e-06	3.99468255077301e-06	3.99468255077301e-06
P00924	8.11437453001111e-09	0	8.11437453001111e-09	0
P00925	8.08973679785411e-09	0	8.08973679785411e-09	0
P00942	9.75443989304503e-09	8.6632167507311e-08	9.63866074003561e-08	8.6632167507311e-08
P00950	9.46712374139559e-09	2.54008646786186e-06	2.54955359160326e-06	2.54008646786186e-06
P04037	3.01943010770636e-10	1.26416534810846e-05	1.26419554240954e-05	1.26417242046292e-05
P04039	6.03886021541272e-10	2.52833069621692e-05	2.52839108481907e-05	2.52834484092585e-05
P04385	0	0	0	0
P04397	3.34259052936644e-09	0	3.34259052936644e-09	0
P04806	1.59460186930154e-07	3.52775670631073e-06	3.68721689324089e-06	3.68721689324089e-06
P04807	8.9839672176108e-09	1.08784246779723e-09	1.0071809685408e-08	1.08784246779723e-09
P05626	6.38646293469225e-10	3.16966788029121e-05	3.16973174492055e-05	3.16967676317849e-05
P06169	3.07882462404518e-06	2.31796337173354e-06	5.39678799577872e-06	5.39654945456086e-06
P07143	9.51789848995519e-10	3.98499395129243e-05	3.98508913027733e-05	3.98501624359563e-05
P07170	1.7064124330899e-07	0	1.7064124330899e-07	0
P07251	6.386503808301e-10	3.16968816629547e-05	3.16975203133355e-05	3.1696970492396e-05
P07255	6.09478787319152e-10	1.2641653486436e-05	1.26422629652233e-05	1.26417242046292e-05
P07256	9.51789849022624e-10	3.98499395129243e-05	3.98508913027733e-05	3.98501624359563e-05
P07257	9.51789849022624e-10	3.98499395129243e-05	3.98508913027733e-05	3.98501624359563e-05
P08067	9.51789849022624e-10	3.98499395129243e-05	3.98508913027733e-05	3.98501624359563e-05
P08417	4.93874917258921e-09	5.43877845875763e-07	5.48816595048352e-07	5.43898551419097e-07
