enzymes	ranges	minU	maxU	pU
P00127	5.18255433653e-09	2.40960058008302e-05	2.41011883551668e-05	2.41011497980471e-05
P00128	5.18255433653e-09	2.40960058008302e-05	2.41011883551668e-05	2.41011497980471e-05
P00163	5.18255433653e-09	2.40960058008302e-05	2.41011883551668e-05	2.41011497980471e-05
P00330	0.000114263447617124	2.09999413305682e-05	0.000135263388947692	2.09999413305682e-05
P00358	0.000117458364081444	0	0.000117458364081444	0
P00359	0.000117787281542679	2.31027635508664e-05	0.000140890045093545	2.31027635508664e-05
P00360	0.000117776408748883	2.3100630964216e-05	0.000140877039713099	2.3100630964216e-05
P00401	1.64406914785362e-09	7.6440104919721e-06	7.64565456111995e-06	7.64564232958956e-06
P00410	1.64406914785362e-09	7.6440104919721e-06	7.64565456111995e-06	7.64564232958956e-06
P00420	1.64406914785362e-09	7.6440104919721e-06	7.64565456111995e-06	7.64564232958956e-06
P00425	5.43953155931475e-07	7.00192534385113e-06	7.5458784997826e-06	7.54586626825221e-06
P00427	5.43953155931475e-07	7.00192534385113e-06	7.5458784997826e-06	7.54586626825221e-06
P00549	2.69048815183612e-06	0	2.69048815183612e-06	2.68800218102315e-06
P00560	9.41139280611977e-05	1.86167067833623e-05	0.00011273063484456	1.86167067833623e-05
P00830	6.0250923407245e-09	1.91101616081991e-05	1.91161867005399e-05	1.91101674988702e-05
P00854	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
P00856	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
P00890	2.32011199481966e-06	1.28946362529739e-07	2.4490583573494e-06	2.44858785754603e-06
P00924	8.99371043457524e-05	1.66848578442739e-05	0.000106621962190026	1.66848578442739e-05
P00925	8.97490392403286e-05	1.66499685783554e-05	0.000106399007818684	1.66499685783554e-05
P00942	6.40523509925096e-05	4.05232371106108e-08	6.40928742296202e-05	4.05651464435094e-08
P00950	0.000152507652580364	1.22992748576869e-06	0.000153737580066133	1.23056247581652e-06
P04037	5.43953155931475e-07	7.00192534385113e-06	7.5458784997826e-06	7.54586626825221e-06
P04039	1.08790631186295e-06	1.40038506877023e-05	1.50917569995652e-05	1.50917325365044e-05
P04385	0	0	0	0
P04397	5.38461868298301e-05	9.89613728521691e-06	6.3742324115047e-05	9.89613728521691e-06
P04806	1.75553573398452e-06	9.75297629991402e-08	1.85306549698366e-06	1.85306549698366e-06
P04807	3.7965019030131e-06	0	3.7965019030131e-06	0
P05626	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
P06169	3.34945485977665e-07	1.9815297588702e-08	3.54760783566367e-07	3.48574423700158e-07
P07143	5.18255433653e-09	2.40960058008302e-05	2.41011883551668e-05	2.41011497980471e-05
P07170	0.000174045047462414	0	0.000174045047462414	0
P07251	6.0250923407245e-09	1.91101616081991e-05	1.91161867005399e-05	1.91101674988702e-05
P07255	1.64406914785362e-09	7.6440104919721e-06	7.64565456111995e-06	7.64564232958956e-06
P07256	5.18255433653e-09	2.40960058008302e-05	2.41011883551668e-05	2.41011497980471e-05
P07257	5.18255433653e-09	2.40960058008302e-05	2.41011883551668e-05	2.41011497980471e-05
P08067	5.18255433653e-09	2.40960058008302e-05	2.41011883551668e-05	2.41011497980471e-05
P08417	7.92166404937054e-05	1.49037500317892e-05	9.41203905254946e-05	1.49037500317892e-05
P08431	9.93391365801605e-05	1.82570724366979e-05	0.000117596209016858	1.82570724366979e-05
P08525	5.18255433653e-09	2.40960058008302e-05	2.41011883551668e-05	2.41011497980471e-05
P09201	8.27721590731586e-09	0	8.27721590731586e-09	0
P09457	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
P09624	5.54664164143667e-08	1.10134567578611e-05	1.10689231742755e-05	1.10138477569865e-05
P0CX10	8.89650855896306e-05	1.65045318833055e-05	0.000105469617472936	1.65045318833055e-05
P0CX11	8.89650855896319e-05	1.65045318833055e-05	0.000105469617472937	1.65045318833055e-05
P10174	5.43953155931475e-07	7.00192534385113e-06	7.5458784997826e-06	7.54586626825221e-06
P10963	9.30519272155484e-09	0	9.30519272155484e-09	0
P11154	1.52329098211444e-06	0	1.52329098211444e-06	1.52300483687697e-06
P11412	2.0241718466308e-09	2.11557867507409e-07	2.1358203935404e-07	2.11860928752434e-07
P12695	4.0246689225382e-09	7.99141534797028e-07	8.03166203719566e-07	7.99169905875068e-07
P12709	6.86896197165464e-05	4.61920178111566e-07	6.9151539894658e-05	4.63510132547625e-07
P14540	0.000106281691213083	1.08379333516743e-05	0.000117119624564757	1.08491038007892e-05
P15019	0.000113687697346976	1.24523529081169e-06	0.000114932932637788	1.24703095706498e-06
P16387	5.54664164143667e-08	1.10134567578611e-05	1.10689231742755e-05	1.10138477569865e-05
P16451	4.0246689225381e-09	7.99141534797028e-07	8.03166203719566e-07	7.99169905875068e-07
P16467	3.34945485977665e-07	1.9815297588702e-08	3.54760783566367e-07	1.9815297588702e-08
P16861	4.99714443722247e-07	2.3327006579188e-08	5.23041450301435e-07	2.4600827700613e-08
P16862	3.98932838253171e-07	5.69092553052407e-07	9.68025391305579e-07	9.68025391305579e-07
P17505	0.000118106781063713	2.36035585822256e-05	0.000141710339645939	2.36035585822256e-05
P17709	1.75553573398452e-06	9.75297629991402e-08	1.85306549698366e-06	9.75297629991402e-08
P19414	4.93241548895252e-05	2.53904370800363e-06	5.18631985975288e-05	2.5415602602701e-06
P19516	3.13745884894816e-05	5.76618797428177e-06	3.71407764637633e-05	5.76618797428177e-06
P20967	9.10265749315996e-08	1.25992712386408e-05	1.26902978135724e-05	1.26896484497275e-05
P21306	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
P21801	1.94757666212177e-09	1.627829569628e-06	1.62977714629012e-06	1.62947399251804e-06
P21826	3.39550510026962e-07	0	3.39550510026962e-07	0
P21954	9.03763851105423e-08	1.27543456847041e-05	1.28447220698147e-05	1.2844077344283e-05
P22289	5.18255433653e-09	2.40960058008302e-05	2.41011883551668e-05	2.41011497980471e-05
P23254	5.70485090042677e-05	0	5.70485090042677e-05	0
P26263	3.3494548597757e-07	1.9815297588702e-08	3.54760783566272e-07	1.9815297588702e-08
P28240	1.74867498962301e-07	3.45019010799261e-07	5.19886509761562e-07	3.46319670968308e-07
P30902	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
P30952	3.39550510026962e-07	1.78714654340919e-08	3.57421975461054e-07	2.38094773790712e-07
P32327	1.52329098211444e-06	0	1.52329098211444e-06	0
P32340	1.33373956833236e-06	3.18045041813872e-06	4.51418998647108e-06	4.51346026002519e-06
P32473	5.54664164143667e-08	1.10134567578611e-05	1.10689231742755e-05	1.10138477569865e-05
P32799	5.43953155931475e-07	7.00192534385113e-06	7.5458784997826e-06	7.54586626825221e-06
P33315	5.61180603424431e-05	1.03665360392172e-05	6.64845963816603e-05	1.03665360392172e-05
P33401	6.67150390693412e-05	0	6.67150390693412e-05	0
P33421	1.94757666212177e-09	1.627829569628e-06	1.62977714629012e-06	1.62947399251804e-06
P37012	6.67397844937936e-05	1.22657909245021e-05	7.90055754182957e-05	1.22657909245021e-05
P37298	1.94757666211457e-09	1.62782956962801e-06	1.62977714629012e-06	1.62947399251804e-06
P37299	5.18255433653e-09	2.40960058008302e-05	2.41011883551668e-05	2.41011497980471e-05
P38077	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
P38113	0.000111838722845787	0	0.000111838722845787	0
P38720	3.46730562940795e-06	0	3.46730562940795e-06	3.4373847835645e-06
P38824	3.13745884894816e-05	5.76618797428177e-06	3.71407764637633e-05	5.76618797428177e-06
P38858	1.29817457149604e-05	5.33725735365371e-07	1.35154714503258e-05	1.3406559571454e-05
P40047	4.78818426383495e-08	3.39617797408206e-09	5.12780206124316e-08	3.39617797408206e-09
P40106	6.02874135403312e-09	0	6.02874135403312e-09	0
P40215	1.33373956833236e-06	0	1.33373956833236e-06	0
P41277	6.02874135403312e-09	0	6.02874135403312e-09	0
P41911	5.95404898324789e-10	0	5.95404898324789e-10	0
P42222	8.8993103305469e-05	1.65097296446665e-05	0.000105502832950135	1.65097296446665e-05
P43635	2.32011199481966e-06	1.28946362529739e-07	2.4490583573494e-06	1.28946362529739e-07
P46367	4.78818426383495e-08	3.39617797408206e-09	5.12780206124316e-08	3.39617797408206e-09
P46969	0.000162148305471152	6.54031459632533e-07	0.000162802336930785	6.55157904013453e-07
P47052	2.03308348333547e-06	1.07045474999509e-07	2.14012895833498e-06	1.07045474999509e-07
P47081	3.13745884894816e-05	5.76618797428177e-06	3.71407764637633e-05	5.76618797428177e-06
P47771	6.84237615979251e-08	4.85318148258006e-09	7.32769430805052e-08	4.85318148258006e-09
P52489	2.69048815183609e-06	1.41671174883383e-07	2.83215932671947e-06	1.41671174883383e-07
P52910	3.72022687211443e-07	0	3.72022687211443e-07	3.65858991177891e-07
P53239	3.13745884894816e-05	5.76618797428177e-06	3.71407764637633e-05	5.76618797428177e-06
P53312	1.25899365537448e-08	1.74261226060831e-06	1.75520219716205e-06	1.75511238328494e-06
P53315	1.28536561205035e-05	0	1.28536561205035e-05	0
P53319	3.46730562940794e-06	1.82702217727813e-07	3.65000784713575e-06	1.82702217727813e-07
P53598	1.25899365537448e-08	1.74261226060831e-06	1.75520219716205e-06	1.75511238328494e-06
P54115	1.16445085868398e-07	9.67049553682572e-07	1.08349463955097e-06	1.06606035265542e-06
P61829	6.0250923407245e-09	1.91101616081991e-05	1.91161867005399e-05	1.91101674988702e-05
P81449	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
P81450	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
P81451	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
Q00055	5.95404898324789e-10	0	5.95404898324789e-10	0
Q00711	1.54825856859483e-06	0	1.54825856859483e-06	1.54795541482275e-06
Q01519	5.43953155931475e-07	7.00192534385113e-06	7.5458784997826e-06	7.54586626825221e-06
Q01574	3.72022687211428e-07	1.96882764503143e-08	3.91710963661742e-07	1.96882764503143e-08
Q04458	1.10100127397684e-07	7.80921549815644e-09	1.17909342895841e-07	7.80921549815644e-09
Q04935	3.13745884894816e-05	5.76618797428177e-06	3.71407764637633e-05	5.76618797428177e-06
Q06204	7.72095443950801e-06	0	7.72095443950801e-06	0
Q06405	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
Q07500	1.33373956833237e-06	7.41054024267614e-08	1.40784497075913e-06	7.41054024267614e-08
Q12055	0.0001857770358617	0	0.0001857770358617	4.81166839303913e-07
Q12165	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
Q12189	0.00014900835128966	5.97362698155169e-06	0.000154981978271212	5.98028591057432e-06
Q12233	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
Q12349	6.02505378013234e-09	1.91100393031648e-05	1.9116064356945e-05	1.91100451937982e-05
Q3E731	3.13745884894816e-05	5.76618797428177e-06	3.71407764637633e-05	5.76618797428177e-06
