enzymes	ranges	minU	maxU	pU
P00127	4.28229999307621e-09	1.9832336391313e-05	1.98366186913061e-05	1.98365808197673e-05
P00128	4.28229999307621e-09	1.9832336391313e-05	1.98366186913061e-05	1.98365808197673e-05
P00163	4.28229999307621e-09	1.9832336391313e-05	1.98366186913061e-05	1.98365808197673e-05
P00330	0.000130568202880346	2.63970820131244e-05	0.000156965284893471	2.63970820131244e-05
P00358	0.000134219016065129	0	0.000134219016065129	0
P00359	0.000134594868209494	2.84119543302705e-05	0.000163006822539765	2.84119543302705e-05
P00360	0.000134582443928797	2.84093316589877e-05	0.000162991775587785	2.84093316589877e-05
P00401	1.35848017083792e-09	6.29144052788588e-06	6.29279900805671e-06	6.29278699401415e-06
P00410	1.35848017083792e-09	6.29144052788588e-06	6.29279900805671e-06	6.29278699401415e-06
P00420	1.35848017083792e-09	6.29144052788588e-06	6.29279900805671e-06	6.29278699401415e-06
P00425	6.21226543636895e-07	5.54615321526055e-06	6.16737975889745e-06	6.16736774485488e-06
P00427	6.21226543636895e-07	5.54615321526055e-06	6.16737975889745e-06	6.16736774485488e-06
P00549	2.21927739974477e-06	0	2.21927739974477e-06	2.21722338225621e-06
P00560	0.000107543459515915	2.28312850569698e-05	0.000130374744572884	2.28312850569698e-05
P00830	4.9784818862973e-09	1.57285934473255e-05	1.57335719292118e-05	1.5728599233255e-05
P00854	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
P00856	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
P00890	1.90685580757699e-06	1.05978782597703e-07	2.01283459017469e-06	2.01244484516816e-06
P00924	0.000102770626403952	2.09057297251489e-05	0.000123676356129101	2.09057297251489e-05
P00925	0.000102555725459234	2.08620143054306e-05	0.000123417739764664	2.08620143054306e-05
P00942	6.40665257802373e-05	3.34358432467477e-08	6.40999616234841e-05	3.34704757484311e-08
P00950	0.000174269441298044	1.01485337137619e-06	0.00017528429466942	1.01537810602089e-06
P04037	6.21226543636895e-07	5.54615321526055e-06	6.16737975889745e-06	6.16736774485488e-06
P04039	1.24245308727379e-06	1.10923064305211e-05	1.23347595177949e-05	1.23347354897098e-05
P04385	0	0	0	0
P04397	6.15297367001254e-05	1.24395179690695e-05	7.39692546691949e-05	1.24395179690695e-05
P04806	1.4505840508775e-06	8.05880028265277e-08	1.53117205370403e-06	1.53117205370403e-06
P04807	3.1370168108953e-06	0	3.1370168108953e-06	0
P05626	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
P06169	2.77514595060896e-07	1.64174464858284e-08	2.93932041546724e-07	2.88822972361184e-07
P07143	4.28229999307621e-09	1.9832336391313e-05	1.98366186913061e-05	1.98365808197673e-05
P07170	0.000198738702272566	0	0.000198738702272566	0
P07251	4.9784818862973e-09	1.57285934473255e-05	1.57335719292118e-05	1.5728599233255e-05
P07255	1.35848017083792e-09	6.29144052788588e-06	6.29279900805671e-06	6.29278699401415e-06
P07256	4.28229999307621e-09	1.9832336391313e-05	1.98366186913061e-05	1.98365808197673e-05
P07257	4.28229999307621e-09	1.9832336391313e-05	1.98366186913061e-05	1.98365808197673e-05
P08067	4.28229999307621e-09	1.9832336391313e-05	1.98366186913061e-05	1.98365808197673e-05
P08417	9.05204122856486e-05	1.85840045702416e-05	0.00010910441685589	1.85840045702416e-05
P08431	0.000113514276082572	2.29492754691437e-05	0.000136463551551715	2.29492754691437e-05
P08525	4.28229999307621e-09	1.9832336391313e-05	1.98366186913061e-05	1.98365808197673e-05
P09201	6.83939218408427e-09	0	6.83939218408427e-09	0
P09457	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
P09624	4.58314219602321e-08	9.06705177933559e-06	9.11288320129582e-06	9.06743582613808e-06
P0CX10	0.000101659906004742	2.06797855883982e-05	0.00012233969159314	2.06797855883982e-05
P0CX11	0.000101659906004743	2.06797855883982e-05	0.000122339691593141	2.06797855883982e-05
P10174	6.21226543636895e-07	5.54615321526055e-06	6.16737975889745e-06	6.16736774485488e-06
P10963	7.68880056824563e-09	0	7.68880056824563e-09	0
P11154	1.26206769131315e-06	0	1.26206769131315e-06	1.2617866340004e-06
P11412	1.67255575576869e-09	1.7529040588122e-07	1.76962961636989e-07	1.75540692140309e-07
P12695	3.32554925238053e-09	6.57909486034026e-07	6.61235035286407e-07	6.5793735264829e-07
P12709	7.84907416661944e-05	3.80959515776847e-07	7.88717011819712e-05	3.82273402108918e-07
P14540	0.00012144396181055	8.94253908191415e-06	0.000130386500892465	8.95176997563182e-06
P15019	0.000129909726540111	1.03176402192542e-06	0.000130941490562037	1.03324699144558e-06
P16387	4.58314219602321e-08	9.06705177933559e-06	9.11288320129582e-06	9.06743582613808e-06
P16451	3.32554925236973e-09	6.57909486034038e-07	6.61235035286407e-07	6.5793735264829e-07
P16467	2.77514595060896e-07	1.64174464858284e-08	2.93932041546724e-07	1.64174464858284e-08
P16861	4.12328754713552e-07	1.92426276308936e-08	4.31571382344446e-07	2.02952717337826e-08
P16862	3.29170954487544e-07	4.69564967486851e-07	7.98735921974395e-07	7.98735921974395e-07
P17505	0.000134959958526239	2.88442262823323e-05	0.000163804184808571	2.88442262823323e-05
P17709	1.4505840508775e-06	8.05880028265277e-08	1.53117205370403e-06	8.05880028265277e-08
P19414	5.63616378835472e-05	2.08677890844077e-06	5.8448416791988e-05	2.08885735243067e-06
P19516	3.58515668887274e-05	7.24814105259641e-06	4.30997079413238e-05	7.24814105259641e-06
P20967	7.5214474540841e-08	1.03517544559863e-05	1.04269689305271e-05	1.04263311129668e-05
P21306	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
P21801	1.60926581475819e-09	1.3376644377431e-06	1.33927370355786e-06	1.33902258194626e-06
P21826	2.81341976069462e-07	0	2.81341976069462e-07	0
P21954	7.46772282944747e-08	1.04808707235328e-05	1.05555479518273e-05	1.05549146901064e-05
P22289	4.28229999307621e-09	1.9832336391313e-05	1.98366186913061e-05	1.98365808197673e-05
P23254	6.51890123484621e-05	0	6.51890123484621e-05	0
P26263	2.77514595060899e-07	1.64174464858284e-08	2.93932041546728e-07	1.64174464858284e-08
P28240	1.44491798728259e-07	2.86271503150724e-07	4.30763301878983e-07	2.87549036389125e-07
P30902	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
P30952	2.81341976069462e-07	1.48077939723392e-08	2.96149770041801e-07	1.97689962517523e-07
P32327	1.26206769131317e-06	0	1.26206769131317e-06	0
P32340	1.10070137636665e-06	2.61549779876269e-06	3.71619917512933e-06	3.71559516134331e-06
P32473	4.58314219602321e-08	9.06705177933559e-06	9.11288320129582e-06	9.06743582613808e-06
P32799	6.21226543636895e-07	5.54615321526055e-06	6.16737975889745e-06	6.16736774485488e-06
P33315	6.41257938636338e-05	1.30081647891072e-05	7.7133958652741e-05	1.30081647891072e-05
P33401	7.62349022196875e-05	0	7.62349022196875e-05	0
P33421	1.60926581475819e-09	1.3376644377431e-06	1.33927370355786e-06	1.33902258194626e-06
P37012	7.62631786778874e-05	1.54181901698273e-05	9.16813688477148e-05	1.54181901698273e-05
P37298	1.60926581474379e-09	1.33766443774311e-06	1.33927370355785e-06	1.33902258194626e-06
P37299	4.28229999307621e-09	1.9832336391313e-05	1.98366186913061e-05	1.98365808197673e-05
P38077	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
P38113	0.000127797483437914	0	0.000127797483437914	0
P38720	2.87282803352751e-06	0	2.87282803352751e-06	2.84810242535519e-06
P38824	3.58515668887274e-05	7.24814105259641e-06	4.30997079413238e-05	7.24814105259641e-06
P38858	1.07556783056577e-05	4.42537906728374e-07	1.11982162123861e-05	1.11082149986388e-05
P40047	3.95643540009681e-08	2.80623259701862e-09	4.23705865979868e-08	2.80623259701862e-09
P40106	4.98149703461053e-09	0	4.98149703461053e-09	0
P40215	1.10070137636665e-06	0	1.10070137636665e-06	0
P41277	4.98149703461053e-09	0	4.98149703461053e-09	0
P41911	4.91977937234399e-10	0	4.91977937234399e-10	0
P42222	0.000101691921692013	2.06862982596599e-05	0.000122378219951673	2.06862982596599e-05
P43635	1.906855807577e-06	1.05978782597689e-07	2.01283459017469e-06	1.05978782597689e-07
P46367	3.95643540009681e-08	2.80623259701862e-09	4.23705865979868e-08	2.80623259701862e-09
P46969	0.000185285604886868	5.41910299194636e-07	0.000185827515186063	5.42840584920046e-07
P47052	1.67069158128732e-06	8.79650808490327e-08	1.75865666213635e-06	8.79650808490327e-08
P47081	3.58515668887274e-05	7.24814105259641e-06	4.30997079413238e-05	7.24814105259641e-06
P47771	5.65379646392389e-08	4.01014204189352e-09	6.05481066811324e-08	4.01014204189352e-09
P52489	2.21927739974479e-06	1.16859051226681e-07	2.33613645097147e-06	1.16859051226681e-07
P52910	3.08234252799541e-07	0	3.08234252799541e-07	3.03141243876169e-07
P53239	3.58515668887274e-05	7.24814105259641e-06	4.30997079413238e-05	7.24814105259641e-06
P53312	1.04029560938238e-08	1.43175695578996e-06	1.44215991188379e-06	1.44207169497987e-06
P53315	1.06498389774352e-05	0	1.06498389774352e-05	0
P53319	2.87282803352754e-06	1.51377019202163e-07	3.0242050527297e-06	1.51377019202163e-07
P53598	1.04029560938238e-08	1.43175695578996e-06	1.44215991188379e-06	1.44207169497987e-06
P54115	9.62175711118554e-08	8.01558062034855e-07	8.97775633146711e-07	8.83377347260197e-07
P61829	4.9784818862973e-09	1.57285934473255e-05	1.57335719292118e-05	1.5728599233255e-05
P81449	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
P81450	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
P81451	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
Q00055	4.91977937234399e-10	0	4.91977937234399e-10	0
Q00711	1.27228546068539e-06	0	1.27228546068539e-06	1.27203433907381e-06
Q01519	6.21226543636895e-07	5.54615321526055e-06	6.16737975889745e-06	6.16736774485488e-06
Q01574	3.08234252799583e-07	1.63122064443436e-08	3.24546459243927e-07	1.63122064443436e-08
Q04458	9.09747865977426e-08	6.45268747847452e-09	9.74274740762171e-08	6.45268747847452e-09
Q04935	3.58515668887274e-05	7.24814105259641e-06	4.30997079413238e-05	7.24814105259641e-06
Q06204	6.37975812778349e-06	0	6.37975812778349e-06	0
Q06405	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
Q07500	1.10070137636665e-06	6.11573145638707e-08	1.16185869093052e-06	6.11573145638707e-08
Q12055	0.000212135234857354	0	0.000212135234857354	3.98681095423237e-07
Q12165	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
Q12189	0.000170268897359554	4.9495678831818e-06	0.000175218465242736	4.95506722848569e-06
Q12233	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
Q12349	4.97845002401118e-09	1.57284927843274e-05	1.57334712343514e-05	1.57284985702199e-05
Q3E731	3.58515668887274e-05	7.24814105259641e-06	4.30997079413238e-05	7.24814105259641e-06
