enzymes	ranges	minU	maxU	pU
P00127	5.34615215417217e-09	2.34083706569913e-05	2.34137168091455e-05	2.34096928293843e-05
P00128	5.34615215417217e-09	2.34083706569913e-05	2.34137168091455e-05	2.34096928293843e-05
P00163	5.34615215417217e-09	2.34083706569913e-05	2.34137168091455e-05	2.34096928293843e-05
P00330	6.73204896796595e-08	3.98951297355983e-06	4.05683346323949e-06	4.01023315192193e-06
P00358	1.71547843847823e-05	0	1.71547843847823e-05	0
P00359	0.00019352054753699	0	0.00019352054753699	0.00019347250916891
P00360	0.00019350268390196	0	0.00019350268390196	0
P00401	1.69596751826622e-09	7.4258710087067e-06	7.42756697622496e-06	7.4262904433519e-06
P00410	1.69596751826622e-09	7.4258710087067e-06	7.42756697622496e-06	7.4262904433519e-06
P00420	1.69596751826622e-09	7.4258710087067e-06	7.42756697622496e-06	7.4262904433519e-06
P00425	1.69599636365899e-09	7.42587097986131e-06	7.42756697622496e-06	7.4262904433519e-06
P00427	1.69599636365899e-09	7.42587097986131e-06	7.42756697622496e-06	7.4262904433519e-06
P00549	2.63890696388617e-06	1.73766405193319e-05	2.00155474832181e-05	2.00152298200736e-05
P00560	3.92259319894164e-08	8.86284662531541e-06	8.90207255730482e-06	8.8636891303467e-06
P00830	3.61384471750815e-09	1.86246226377038e-05	1.86282364824213e-05	1.86250831533546e-05
P00854	3.61382158890083e-09	1.86245034401189e-05	1.86281172617078e-05	1.86249639528224e-05
P00856	3.61382158890083e-09	1.86245034401189e-05	1.86281172617078e-05	1.86249639528224e-05
P00890	1.6499484795416e-06	0	1.6499484795416e-06	1.6490981858822e-06
P00924	5.33109806636259e-08	0	5.33109806636259e-08	0
P00925	5.31491121600893e-08	0	5.31491121600893e-08	0
P00942	6.41078426387154e-08	2.75423134755641e-07	3.39530977394357e-07	2.75413053207632e-07
P00950	6.29834879065336e-08	8.25814198577566e-06	8.32112547368219e-06	8.25892700739076e-06
P04037	1.69599636365899e-09	7.42587097986131e-06	7.42756697622496e-06	7.4262904433519e-06
P04039	3.39199272731797e-09	1.48517419597226e-05	1.48551339524499e-05	1.48525808867038e-05
P04385	0	0	0	0
P04397	2.19606302885815e-08	0	2.19606302885815e-08	0
P04806	1.04764438832729e-06	9.00915298486365e-06	1.00567973731909e-05	1.00567973731909e-05
P04807	5.90241553208094e-08	0	5.90241553208094e-08	0
P05626	3.61382158890083e-09	1.86245034401189e-05	1.86281172617078e-05	1.86249639528224e-05
P06169	2.02275165796881e-05	4.15177337235854e-05	6.17452503032735e-05	6.17438234934903e-05
P07143	5.34615215417217e-09	2.34083706569913e-05	2.34137168091455e-05	2.34096928293843e-05
P07170	1.04963681826069e-06	0	1.04963681826069e-06	0
P07251	3.61384471750815e-09	1.86246226377038e-05	1.86282364824213e-05	1.86250831533546e-05
P07255	1.69596751826622e-09	7.4258710087067e-06	7.42756697622496e-06	7.4262904433519e-06
P07256	5.34615215417217e-09	2.34083706569913e-05	2.34137168091455e-05	2.34096928293843e-05
P07257	5.34615215417217e-09	2.34083706569913e-05	2.34137168091455e-05	2.34096928293843e-05
P08067	5.34615215417217e-09	2.34083706569913e-05	2.34137168091455e-05	2.34096928293843e-05
P08417	3.2428444091285e-08	2.10621466376164e-07	2.43049910467449e-07	2.10741414333482e-07
P08431	4.0514476141322e-08	0	4.0514476141322e-08	0
P08525	5.34615215417217e-09	2.34083706569913e-05	2.34137168091455e-05	2.34096928293843e-05
P09201	1.95644179929954e-09	0	1.95644179929954e-09	0
P09457	3.61382158890083e-09	1.86245034401189e-05	1.86281172617078e-05	1.86249639528224e-05
P09624	2.02890685082877e-08	1.02813678408087e-05	1.0301656909317e-05	1.02846826927533e-05
P0CX10	2.07124932038604e-05	0	2.07124932038604e-05	0
P0CX11	2.07124932038604e-05	0	2.07124932038604e-05	0
P10174	1.69599636365899e-09	7.42587097986131e-06	7.42756697622496e-06	7.4262904433519e-06
P10963	2.17356717631227e-09	0	2.17356717631227e-09	0
P11154	3.4737663689561e-06	0	3.4737663689561e-06	3.47220483166369e-06
P11412	8.56962285801424e-10	3.27199904712638e-07	3.2805686699844e-07	3.27199904712638e-07
P12695	1.24507936579756e-09	7.46020823140029e-07	7.47265902505827e-07	7.46261350335882e-07
P12709	2.87006149339624e-08	3.45689303021781e-06	3.48559364515178e-06	3.45757991692577e-06
P14540	5.02978735066506e-08	7.34898881606188e-05	7.35401860341255e-05	7.34968446598542e-05
P15019	4.68246444484347e-08	1.92095647205269e-06	1.96778111650113e-06	1.92141545731898e-06
P16387	2.02890685082877e-08	1.02813678408087e-05	1.0301656909317e-05	1.02846826927533e-05
P16451	1.21037238077998e-09	7.46055530125047e-07	7.47265902505827e-07	7.46261350335882e-07
P16467	4.12093572567055e-06	0	4.12093572567055e-06	0
P16861	7.02300411474775e-08	0	7.02300411474775e-08	0
P16862	5.62553971594096e-08	6.63483154440339e-06	6.6910869415628e-06	6.69089770378215e-06
P17505	4.87930205202357e-08	1.14495427856976e-06	1.19374729908999e-06	1.14567940243263e-06
P17709	1.04764438832729e-06	0	1.04764438832729e-06	0
P19414	2.0944894839234e-08	1.62525823077237e-06	1.64620312561161e-06	1.62608216095711e-06
P19516	1.27958130155351e-08	0	1.27958130155351e-08	0
P20967	3.35488230319183e-08	7.81766020142718e-06	7.8512090244591e-06	7.84522911680343e-06
P21306	3.61382158890083e-09	1.86245034401189e-05	1.86281172617078e-05	1.86249639528224e-05
P21801	1.08625485429475e-09	9.94068831006299e-07	9.95155085860594e-07	9.94607222230525e-07
P21826	3.94083339466737e-08	0	3.94083339466737e-08	0
P21954	3.33091885816889e-08	8.29397012248841e-06	8.3272793110701e-06	8.32134211704054e-06
P22289	5.34615215417217e-09	2.34083706569913e-05	2.34137168091455e-05	2.34096928293843e-05
P23254	1.42654681328213e-06	1.25343241314732e-07	1.55189005459686e-06	1.52862338914654e-06
P26263	2.02260767599755e-05	0	2.02260767599755e-05	0
