enzymes	ranges	minU	maxU	pU
P00127	1.40884273098625e-09	6.1657129714649e-06	6.16712181419588e-06	6.16708006679077e-06
P00128	1.40884273098625e-09	6.1657129714649e-06	6.16712181419588e-06	6.16708006679077e-06
P00163	1.40884273098625e-09	6.1657129714649e-06	6.16712181419588e-06	6.16708006679077e-06
P00330	0.000223809371760545	3.08641975308642e-05	0.000254673569291409	3.08641975308642e-05
P00358	0.000230067298172002	0	0.000230067298172002	0
P00359	0.000230711553285035	4.55023226222229e-05	0.000276213875907258	4.55023226222229e-05
P00360	0.00023069025659568	4.54981223608311e-05	0.000276188378956511	4.54981223608311e-05
P00401	4.46929200889439e-10	1.95595797220227e-06	1.95640490140316e-06	1.95639165781394e-06
P00410	4.46929200889439e-10	1.95595797220227e-06	1.95640490140316e-06	1.95639165781394e-06
P00420	4.46929200889439e-10	1.95595797220227e-06	1.95640490140316e-06	1.95639165781394e-06
P00425	1.06365999733531e-06	7.94923344500045e-07	1.85858334183536e-06	1.85857009824614e-06
P00427	1.06365999733531e-06	7.94923344500045e-07	1.85858334183536e-06	1.85857009824614e-06
P00549	6.64541049897954e-07	0	6.64541049897954e-07	6.63865873042119e-07
P00560	0.000184342233256207	3.63959799212404e-05	0.000220738213177448	3.63959799212404e-05
P00830	1.65019880114779e-09	4.89044674246374e-06	4.89209694126489e-06	4.89045312053961e-06
P00854	1.65018823987514e-09	4.89041544360459e-06	4.89206563184447e-06	4.89042182163963e-06
P00856	1.65018823987514e-09	4.89041544360459e-06	4.89206563184447e-06	4.89042182163963e-06
P00890	6.07278130905248e-07	3.37443249437314e-08	6.4102245584898e-07	6.40889821286551e-07
P00924	0.000176161031732862	3.45091650744652e-05	0.000210670196807327	3.45091650744652e-05
P00925	0.00017579266604836	3.44370038700877e-05	0.000210229669918448	3.44370038700877e-05
P00942	6.41134805766226e-05	9.95844505410505e-09	6.41234390216767e-05	9.96993467525753e-09
P00950	0.000298717747552589	3.02069421162163e-07	0.000299019816973751	3.02243344754237e-07
P04037	1.06365999733531e-06	7.94923344500045e-07	1.85858334183536e-06	1.85857009824614e-06
P04039	2.12731999467062e-06	1.58984668900009e-06	3.71716668367071e-06	3.71714019649227e-06
P04385	0	0	0	0
P04397	0.000105469259832479	2.06380602162917e-05	0.000126107320048771	2.06380602162917e-05
P04806	4.21085865242044e-07	2.33936591801136e-08	4.44479524422158e-07	4.44479524422158e-07
P04807	9.10635572820206e-07	0	9.10635572820206e-07	0
P05626	1.65018823987514e-09	4.89041544360459e-06	4.89206563184447e-06	4.89042182163963e-06
P06169	7.68151260987808e-08	4.53388014725978e-09	8.13490062460406e-08	7.96811536400275e-08
P07143	1.40884273098625e-09	6.1657129714649e-06	6.16712181419588e-06	6.16708006679077e-06
P07170	0.000340124491200533	0	0.000340124491200533	0
P07251	1.65019880114779e-09	4.89044674246374e-06	4.89209694126489e-06	4.89045312053961e-06
P07255	4.46929200889439e-10	1.95595797220227e-06	1.95640490140316e-06	1.95639165781394e-06
P07256	1.40884273098625e-09	6.1657129714649e-06	6.16712181419588e-06	6.16708006679077e-06
P07257	1.40884273098625e-09	6.1657129714649e-06	6.16712181419588e-06	6.16708006679077e-06
P08067	1.40884273098625e-09	6.1657129714649e-06	6.16712181419588e-06	6.16708006679077e-06
P08417	0.000155162713112644	2.69198669941468e-05	0.000182082580106791	2.69198669941468e-05
P08431	0.000194576920379121	3.8074508210858e-05	0.000232651428589979	3.8074508210858e-05
P08525	1.40884273098625e-09	6.1657129714649e-06	6.16712181419588e-06	6.16708006679077e-06
P09201	2.25010577917794e-09	0	2.25010577917794e-09	0
P09457	1.65018823987514e-09	4.89041544360459e-06	4.89206563184447e-06	4.89042182163963e-06
P09624	1.50762635035679e-08	2.80498965239932e-06	2.82006591590289e-06	2.80541300349627e-06
P0CX10	0.000174257125350866	3.41361982555477e-05	0.000208393323606413	3.41361982555477e-05
P0CX11	0.000174257125350861	3.41361982555477e-05	0.000208393323606409	3.41361982555477e-05
P10174	1.06365999733531e-06	7.94923344500045e-07	1.85858334183536e-06	1.85857009824614e-06
P10963	2.52955439992225e-09	0	2.52955439992225e-09	0
P11154	3.49845095833114e-07	0	3.49845095833114e-07	3.49535274423981e-07
P11412	5.90631497873076e-10	4.82529478044473e-08	4.88435793023204e-08	4.82529478044473e-08
P12695	1.09394067822038e-09	2.03531351254291e-07	2.04625291932512e-07	2.03562069806405e-07
P12709	0.000134540616384295	1.14367954892676e-07	0.000134654984339187	1.14803847636804e-07
P14540	0.000208156584213588	2.66275024132855e-06	0.000210819334454917	2.66581266727441e-06
P15019	0.00022267860443164	2.84233796086351e-07	0.000222962838227727	2.84717910606844e-07
P16387	1.50762635035679e-08	2.80498965239932e-06	2.82006591590289e-06	2.80541300349627e-06
P16451	1.093940678222e-09	2.03531351254291e-07	2.04625291932513e-07	2.03562069806405e-07
P16467	7.68151260987808e-08	4.53388014725978e-09	8.13490062460406e-08	4.53388014725978e-09
P16861	1.22739295273572e-07	5.75508521427147e-09	1.28494380487844e-07	6.10430867096316e-09
P16862	9.79854315675775e-08	1.39827701777198e-07	2.37813133344775e-07	2.37813133344775e-07
P17505	0.000231337361350276	4.57645980588004e-05	0.000277101959409077	4.57645980588004e-05
P17709	4.21085865242044e-07	2.33936591801136e-08	4.44479524422158e-07	2.33936591801136e-08
P19414	9.66076439141743e-05	6.64534191525739e-07	9.72721781057e-05	6.65218456820237e-07
P19516	6.14538339732738e-05	5.65323478242207e-06	6.71070687556958e-05	5.65323478242207e-06
P20967	2.49310610235317e-08	3.31381731253693e-06	3.33874837356047e-06	3.33804528018202e-06
P21306	1.65018823987514e-09	4.89041544360459e-06	4.89206563184447e-06	4.89042182163963e-06
P21801	5.32587689791107e-10	4.27083021001558e-07	4.27615608691349e-07	4.27530149212676e-07
P21826	7.76130211139636e-08	0	7.76130211139636e-08	0
P21954	2.47529820145114e-08	3.34616301530453e-06	3.37091599731904e-06	3.37021792603787e-06
P22289	1.40884273098625e-09	6.1657129714649e-06	6.16712181419588e-06	6.16708006679077e-06
P23254	0.000111741691909248	0	0.000111741691909248	0
P26263	7.68151260987535e-08	4.53388014725978e-09	8.13490062460132e-08	4.53388014725978e-09
P28240	4.75369151275622e-08	7.12964885400458e-08	1.18833403667608e-07	7.27047676726981e-08
P30902	1.65018823987514e-09	4.89041544360459e-06	4.89206563184447e-06	4.89042182163963e-06
P30952	7.76130211140371e-08	4.08494390744338e-09	8.16979650214805e-08	4.99845277749799e-08
P32327	3.49845095833114e-07	0	3.49845095833114e-07	0
P32340	3.26628415183045e-07	8.24671646736127e-07	1.15130006191917e-06	1.15109476705665e-06
P32473	1.50762635035679e-08	2.80498965239932e-06	2.82006591590289e-06	2.80541300349627e-06
P32799	1.06368628728834e-06	7.94923344500045e-07	1.85860963178839e-06	1.85857009824614e-06
P33315	0.000109919209437372	2.152090211233e-05	0.000131440111549703	2.152090211233e-05
P33401	0.000130675656060389	0	0.000130675656060389	0
