enzymes	ranges	minU	maxU	pU
P00127	2.43767099896823e-06	1.92152115117749e-05	2.16528825107431e-05	1.92152115117749e-05
P00128	2.43767099896823e-06	1.92152115117749e-05	2.16528825107431e-05	1.92152115117749e-05
P00163	2.43767099896823e-06	1.92152115117749e-05	2.16528825107431e-05	1.92152115117749e-05
P00330	2.61188413430761e-05	2.47616112578199e-06	2.85950024688581e-05	4.56223939492253e-06
P00358	0.000209682774394204	1.26802345144031e-05	0.000222363008908607	1.26802345144031e-05
P00359	0.000210563379021429	1.27157428460316e-05	0.00022327912186746	0.000184593740805581
P00360	0.000210534230214206	1.27145690720204e-05	0.000223248799286227	1.27145690720204e-05
P00401	7.73305868454232e-07	6.0956691169293e-06	6.86897498538353e-06	6.0956691169293e-06
P00410	7.73305868454232e-07	6.0956691169293e-06	6.86897498538353e-06	6.0956691169293e-06
P00420	7.73305868454232e-07	6.0956691169293e-06	6.86897498538353e-06	6.0956691169293e-06
P00425	7.73305868454232e-07	6.08497146929416e-06	6.85827733774839e-06	6.08497146929416e-06
P00427	7.73305868454232e-07	6.08497146929416e-06	6.85827733774839e-06	6.08497146929416e-06
P00549	2.58999471696861e-05	0	2.58999471696861e-05	2.17812880652533e-05
P00560	1.9794759241304e-05	1.04399392545195e-05	3.02346984958235e-05	1.04399392545195e-05
P00830	9.90051202257103e-06	7.34984616611579e-06	1.72503581886868e-05	1.53125871013526e-05
P00854	9.90044865929408e-06	7.34979912710033e-06	1.72502477863944e-05	1.53124891007952e-05
P00856	9.90044865929408e-06	7.34979912710033e-06	1.72502477863944e-05	1.53124891007952e-05
P00890	1.50800663920026e-06	0	1.50800663920026e-06	1.09191779319051e-06
P00924	2.74930643452437e-05	2.57572512903336e-06	3.00687894742771e-05	2.57572512903336e-06
P00925	2.7409586961639e-05	2.56790443680507e-06	2.99774913984441e-05	2.56790443680507e-06
P00942	3.30499217939677e-05	3.36388847752593e-06	3.64138102714936e-05	3.36388847752593e-06
P00950	3.20764393121473e-05	1.1004787719561e-05	4.30812270317083e-05	1.1004787719561e-05
P04037	7.73305868454215e-07	6.08497146929416e-06	6.85827733774837e-06	6.08497146929416e-06
P04039	1.54661173690843e-06	1.21699429385883e-05	1.37165546754967e-05	1.21699429385883e-05
P04385	0	0	0	0
P04397	1.13253407472874e-05	0	1.13253407472874e-05	0
P04806	1.09645365645875e-05	0	1.09645365645875e-05	9.22004852253325e-06
P04807	2.11503474279666e-05	1.15575491563386e-06	2.23061023436004e-05	1.15575491563386e-06
P05626	9.90044865929408e-06	7.34979912710033e-06	1.72502477863944e-05	1.53124891007952e-05
P06169	7.46025088159279e-05	3.52134980482377e-06	7.81238586207517e-05	6.27048352813044e-05
P07143	2.43767099896823e-06	1.92152115117749e-05	2.16528825107431e-05	1.92152115117749e-05
P07170	3.74776290201389e-05	0	3.74776290201389e-05	0
P07251	9.90051202257103e-06	7.34984616611579e-06	1.72503581886868e-05	1.53125871013526e-05
P07255	7.73305868454232e-07	6.0956691169293e-06	6.86897498538353e-06	6.0956691169293e-06
P07256	2.43767099896823e-06	1.92152115117749e-05	2.16528825107431e-05	1.92152115117749e-05
P07257	2.43767099896823e-06	1.92152115117749e-05	2.16528825107431e-05	1.92152115117749e-05
P08067	2.43767099896823e-06	1.92152115117749e-05	2.16528825107431e-05	1.92152115117749e-05
P08417	1.66939514213184e-05	1.0236026740993e-07	1.67963116887284e-05	1.34863603613834e-07
P08431	2.08937649543713e-05	1.95746078928456e-06	2.28512257436559e-05	1.95746078928456e-06
P08525	2.43767099896823e-06	1.92152115117749e-05	2.16528825107431e-05	1.92152115117749e-05
P09201	2.75193797152994e-06	0	2.75193797152994e-06	0
P09457	9.90044865929408e-06	7.34979912710033e-06	1.72502477863944e-05	1.53124891007952e-05
