enzymes	ranges	minU	maxU	pU
P00127	3.07410553934159e-06	3.47840796383667e-06	6.55251350317826e-06	3.59590069785351e-06
P00128	3.07410553934159e-06	3.47840796383667e-06	6.55251350317826e-06	3.59590069785351e-06
P00163	3.07410553934159e-06	3.47840796383667e-06	6.55251350317826e-06	3.59590069785351e-06
P00330	0.000240309090086569	3.08641975308642e-05	0.000271173287617433	3.08641975308642e-05
P00358	0.00024702836457421	0	0.00024702836457421	0
P00359	0.000247720115588829	4.82002485273113e-05	0.00029592036411614	4.82002485273113e-05
P00360	0.000247697248860769	4.81957992238187e-05	0.000295893048084588	4.81957992238187e-05
P00401	9.75202910822135e-07	1.10346034901812e-06	2.07866325984026e-06	1.14073273760313e-06
P00410	9.75202910822135e-07	1.10346034901812e-06	2.07866325984026e-06	1.14073273760313e-06
P00420	9.75202910822135e-07	1.10346034901812e-06	2.07866325984026e-06	1.14073273760313e-06
P00425	1.86648872480109e-06	1.06087267519584e-07	1.97257599232067e-06	1.03464547008355e-06
P00427	1.86648872480109e-06	1.06087267519584e-07	1.97257599232067e-06	1.03464547008355e-06
P00549	1.87850470781959e-06	0	1.87850470781959e-06	1.01374793314748e-06
P00560	0.000197932347469885	3.84645160567163e-05	0.000236396863526601	3.84645160567163e-05
P00830	2.52704797943592e-06	2.9023107155589e-06	5.42935869499482e-06	2.9023107155589e-06
P00854	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
P00856	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
P00890	7.45103464280597e-07	4.16848351653315e-08	7.86788299445929e-07	2.69594239639268e-07
P00924	0.000189148009805983	3.65798757245894e-05	0.000225727885530572	3.65798757245894e-05
P00925	0.000188752487394363	3.65033845118182e-05	0.000225255871906182	3.65033845118182e-05
P00942	6.41226977998868e-05	5.34983342198096e-09	6.41280476333088e-05	1.43703024740202e-08
P00950	0.000320952112238166	2.22176821129213e-07	0.000321174289059295	4.34599622678391e-07
P04037	1.86648872480109e-06	1.06087267519584e-07	1.97257599232067e-06	1.03464547008355e-06
P04039	3.73297744960218e-06	2.12174535039167e-07	3.94515198464135e-06	2.0692909401671e-06
P04385	0	0	0	0
P04397	0.000113244685256361	2.18787441058485e-05	0.00013512342936221	2.18787441058485e-05
P04806	2.19813153250114e-06	1.93621283701258e-08	2.21749366087127e-06	5.32253639573305e-07
P04807	7.95574114403115e-07	0	7.95574114403115e-07	0
P05626	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
P06169	1.56687401224858e-05	1.08927587635732e-07	1.57776677101215e-05	2.17875088091261e-06
P07143	3.07410553934159e-06	3.47840796383667e-06	6.55251350317826e-06	3.59590069785351e-06
P07170	0.000365215125348223	0	0.000365215125348223	0
P07251	2.52704797943592e-06	2.9023107155589e-06	5.42935869499482e-06	2.9023107155589e-06
P07255	9.75202910822135e-07	1.10346034901812e-06	2.07866325984026e-06	1.14073273760313e-06
P07256	3.07410553934159e-06	3.47840796383667e-06	6.55251350317826e-06	3.59590069785351e-06
P07257	3.07410553934159e-06	3.47840796383667e-06	6.55251350317826e-06	3.59590069785351e-06
P08067	3.07410553934159e-06	3.47840796383667e-06	6.55251350317826e-06	3.59590069785351e-06
P08417	0.000166601649029052	2.68724484789022e-05	0.000193474097507954	2.68724484789022e-05
P08431	0.000208921558200788	4.03634068982802e-05	0.000249284965099068	4.03634068982802e-05
P08525	3.07410553934159e-06	3.47840796383667e-06	6.55251350317826e-06	3.59590069785351e-06
P09201	5.3462042241368e-06	2.19120178932987e-07	5.56532440306979e-06	2.19120178932987e-07
P09457	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
P09624	2.98946489242389e-06	1.50506523039933e-07	3.13997141546382e-06	1.28678138664821e-06
P0CX10	0.000187103743264915	3.61845291592362e-05	0.000223288272424151	3.61845291592362e-05
P0CX11	0.000187103743264915	3.61845291592362e-05	0.000223288272424151	3.61845291592362e-05
P10174	1.86648872480109e-06	1.06087267519584e-07	1.97257599232067e-06	1.03464547008355e-06
P10963	1.80305048914034e-05	2.46333491477886e-07	1.82768383828813e-05	2.46333491477886e-07
P11154	1.91096660465827e-05	0	1.91096660465827e-05	4.81761912894276e-07
P11412	1.18443859465167e-07	2.62549912358817e-09	1.21069358588755e-07	2.47460548912627e-08
P12695	2.16916960303881e-07	1.09208231769056e-08	2.27837783480786e-07	9.3369454739114e-08
P12709	0.00014455438133413	8.48963979217936e-08	0.000144639277732052	1.80496867655203e-07
P14540	0.000225407978004562	1.97798580636705e-06	0.000227385963810929	3.88689281653339e-06
P15019	0.000239225531392941	1.4330049055042e-08	0.000239239861441996	1.45441875449146e-07
P16387	2.98946489242389e-06	1.50506523039933e-07	3.13997141546382e-06	1.28678138664821e-06
P16451	2.16916960303883e-07	1.09208231769056e-08	2.27837783480789e-07	9.3369454739114e-08
P16467	1.56687401224858e-05	1.08927587635724e-07	1.57776677101215e-05	1.08927587635724e-07
P16861	5.70575235353008e-07	0	5.70575235353008e-07	0
P16862	9.06705254497756e-07	1.23920895916757e-07	1.03062615041451e-06	3.96629895108042e-07
P17505	0.000248392059598788	4.81968697360793e-05	0.000296588929334867	4.81968697360793e-05
P17709	2.19813153250115e-06	1.93621283701258e-08	2.21749366087128e-06	1.93621283701258e-08
P19414	0.000103729029674945	3.0693463551912e-07	0.000104035964310465	3.0693463551912e-07
P19516	6.440850698643e-05	6.13092076392526e-06	7.05394277503553e-05	6.13092076392526e-06
P20967	2.54729539113343e-06	1.51338129885463e-06	4.06067668998806e-06	1.54415913247433e-06
P21306	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
P21801	3.28188215511199e-07	1.96093740490264e-07	5.24281956001463e-07	1.96093740490264e-07
P21826	1.84494904474627e-07	0	1.84494904474627e-07	0
P21954	2.58089231430783e-06	1.53758486030477e-06	4.1184771746126e-06	1.56814285225576e-06
P22289	3.07410553934159e-06	3.47840796383667e-06	6.55251350317826e-06	3.59590069785351e-06
P23254	0.000119979534798814	0	0.000119979534798814	0
P26263	1.56687401224858e-05	1.08927587635724e-07	1.57776677101215e-05	1.08927587635724e-07
P28240	2.68356224690366e-07	4.81764215529139e-09	2.73173866845657e-07	5.73737929761699e-09
P30902	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
P30952	1.84494904474627e-07	3.31212898176283e-09	1.8780703345639e-07	3.94444826711168e-09
P32327	1.91096660465827e-05	0	1.91096660465827e-05	0
P32340	9.32367134670567e-07	3.93912882054505e-07	1.32628001672507e-06	6.75825199553627e-07
P32473	2.98946489242389e-06	1.50506523039933e-07	3.13997141546382e-06	1.28678138664821e-06
P32799	1.86648872480109e-06	1.06087267519584e-07	1.97257599232067e-06	1.03464547008355e-06
P33315	0.000118022694917311	2.28033195147072e-05	0.000140826014432018	2.28033195147072e-05
P33401	0.00014030935236231	0	0.00014030935236231	0
P33421	3.281882155112e-07	1.96093740490264e-07	5.24281956001464e-07	1.96093740490264e-07
P37012	0.000140361394818213	2.71176614833246e-05	0.000167479056301537	2.71176614833246e-05
P37298	3.28188215511199e-07	1.96093740490264e-07	5.24281956001463e-07	1.96093740490264e-07
P37299	3.07410553934159e-06	3.47840796383667e-06	6.55251350317826e-06	3.59590069785351e-06
P38077	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
P38113	0.000235209616758384	0	0.000235209616758384	0
P38720	6.93579244176354e-07	0	6.93579244176354e-07	3.84690743376111e-07
P38824	6.440850698643e-05	6.13092076392526e-06	7.05394277503553e-05	6.13092076392526e-06
P38858	7.6612690114964e-06	0	7.6612690114964e-06	1.5659303535191e-06
P40047	5.10937215176958e-06	1.41542085693731e-07	5.25091423746331e-06	1.41542085693731e-07
P40106	3.95730731619048e-06	1.49622193964836e-07	4.10692951015532e-06	1.49622193964836e-07
P40215	5.56058548507207e-07	0	5.56058548507207e-07	0
P41277	3.95730731619048e-06	0	3.95730731619048e-06	0
P41911	3.90827872997219e-07	0	3.90827872997219e-07	0
P42222	0.000187162667723609	3.61959247291838e-05	0.000223358592452793	3.61959247291838e-05
P43635	7.45103464280597e-07	4.16848351653321e-08	7.86788299445929e-07	4.16848351653321e-08
P46367	5.10937215176958e-06	1.41542085693731e-07	5.25091423746331e-06	1.41542085693731e-07
P46969	0.000341087109812225	0	0.000341087109812225	7.30756341022396e-08
P47052	6.5348120335503e-07	3.49754969523271e-08	6.88456700307357e-07	3.49754969523271e-08
P47081	6.440850698643e-05	6.13092076392526e-06	7.05394277503553e-05	6.13092076392526e-06
P47771	7.30135773322452e-06	2.02265439130076e-07	7.50362317235459e-06	2.02265439130076e-07
P52489	9.19269568425636e-06	9.88686688326097e-08	9.29156435308897e-06	9.88686688326097e-08
P52910	2.05635734350789e-06	0	2.05635734350789e-06	0
P53239	6.440850698643e-05	6.13092076392526e-06	7.05394277503553e-05	6.13092076392526e-06
P53312	3.52317852033084e-07	2.09316614938111e-07	5.61634466971195e-07	2.13573514341639e-07
P53315	2.56499547291181e-06	0	2.56499547291181e-06	0
P53319	2.03511631612873e-06	3.65041707461239e-08	2.07162048687486e-06	3.65041707461239e-08
P53598	3.52317852033084e-07	2.09316614938111e-07	5.61634466971195e-07	2.13573514341639e-07
P54115	6.5737058544812e-06	0	6.5737058544812e-06	4.70024173224427e-07
P61829	2.52704797943592e-06	2.9023107155589e-06	5.42935869499482e-06	2.9023107155589e-06
P81449	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
P81450	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
P81451	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
Q00055	3.90827872997219e-07	1.47768467667926e-08	4.05604719764012e-07	1.47768467667926e-08
Q00711	4.97646988332323e-07	0	4.97646988332323e-07	1.69458772821124e-07
Q01519	1.86648872480109e-06	1.06087267519584e-07	1.97257599232067e-06	1.03464547008355e-06
Q01574	2.39998375967335e-06	1.08229333868828e-07	2.50821309354218e-06	1.08229333868828e-07
Q04458	1.17485563176697e-05	3.25463699980692e-07	1.20740200176504e-05	3.25463699980692e-07
Q04935	6.440850698643e-05	6.13092076392526e-06	7.05394277503553e-05	6.13092076392526e-06
Q06204	9.66751806069297e-06	0	9.66751806069297e-06	0
Q06405	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
Q07500	9.32367134670567e-07	2.92662393951162e-08	9.61633374065683e-07	2.92662393951162e-08
Q12055	0.00038983346224606	0	0.00038983346224606	1.35071289229962e-07
Q12165	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
Q12189	0.00031385370133754	2.4685722748073e-07	0.000314100558565021	7.33063583692204e-07
Q12233	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
Q12349	2.52703180632885e-06	2.90229214077032e-06	5.42932394709917e-06	2.90229214077032e-06
Q3E731	6.440850698643e-05	6.13092076392526e-06	7.05394277503553e-05	6.13092076392526e-06
