enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.000938	0.001302	0.001661	0.002014	0.002363	0.002707	0.003046	0.00338	0.003709	0.004035	0.004355	0.004671	0.004983	0.005291	0.005612	0.005932	0.006255	0.006577	0.006901	0.007223	0.007543	0.007863	0.008181	0.008497	0.008812	0.009129	0.009449	0.009769	0.010089	0.010407	0.010724	0.01104	0.011356	0.01167	0.011984	0.012296	0.012608	0.01292	0.01323	0.013541	0.013852	0.014162	0.014471	0.014741	0.015009	0.015277	0.015555	0.015805	0.016058	0.016312	0.016568	0.016825	0.017084	0.017345	0.0176	0.017829	0.01805	0.018101	0.017808	0.017346	0.016889	0.016437	0.01599	0.015544	0.015098	0.014655	0.014215	0.013779	0.013347	0.012918	0.012492	0.01207	0.011651	0.011235	0.010824	0.010415	0.01001	0.009608	0.009201	0.008867	0.008638
P00128	Oxidative Phosphorylation	0.000792	0.001099	0.001402	0.0017	0.001994	0.002284	0.00257	0.002853	0.003131	0.003405	0.003676	0.003943	0.004206	0.004466	0.004736	0.005006	0.005279	0.005551	0.005824	0.006096	0.006367	0.006636	0.006904	0.007172	0.007438	0.007705	0.007975	0.008245	0.008515	0.008783	0.009051	0.009318	0.009584	0.00985	0.010114	0.010378	0.010641	0.010904	0.011166	0.011428	0.011691	0.011953	0.012214	0.012441	0.012668	0.012894	0.013128	0.013339	0.013553	0.013767	0.013983	0.014201	0.014419	0.014639	0.014854	0.015048	0.015234	0.015277	0.01503	0.01464	0.014254	0.013873	0.013495	0.013119	0.012742	0.012369	0.011998	0.01163	0.011265	0.010903	0.010543	0.010187	0.009833	0.009483	0.009135	0.00879	0.008449	0.008109	0.007766	0.007483	0.00729
P00163	Oxidative Phosphorylation	0.002373	0.003294	0.004201	0.005095	0.005977	0.006847	0.007705	0.00855	0.009384	0.010206	0.011018	0.011817	0.012607	0.013385	0.014197	0.015006	0.015823	0.016638	0.017457	0.018272	0.019083	0.019891	0.020695	0.021496	0.022293	0.023093	0.023905	0.024714	0.025522	0.026326	0.027129	0.027929	0.028727	0.029523	0.030316	0.031107	0.031896	0.032683	0.033469	0.034255	0.035042	0.035827	0.036608	0.03729	0.03797	0.038647	0.039349	0.039982	0.040622	0.041265	0.041913	0.042564	0.043219	0.043879	0.044523	0.045103	0.045661	0.045791	0.045049	0.04388	0.042725	0.041582	0.04045	0.039323	0.038194	0.037073	0.035961	0.034859	0.033765	0.032679	0.031602	0.030534	0.029474	0.028423	0.027381	0.026348	0.025323	0.024307	0.023276	0.022431	0.021851
P00330	Anaerobic excretion // Anaerobic excretion	0.040717	0.040276	0.039842	0.039415	0.038994	0.038579	0.038171	0.037769	0.037372	0.036982	0.036597	0.036217	0.035844	0.035475	0.035222	0.034979	0.034767	0.034561	0.034371	0.034183	0.033996	0.033811	0.033627	0.033443	0.033261	0.03281	0.031767	0.030727	0.029691	0.028658	0.027628	0.026602	0.025579	0.024559	0.023543	0.02253	0.02152	0.020513	0.019507	0.018501	0.017494	0.016491	0.015489	0.014454	0.013435	0.012431	0.011454	0.010521	0.009583	0.00864	0.007692	0.006739	0.005781	0.004818	0.00385	0.002877	0.001898	0.00111	0.000823	0.000915	0.001007	0.001098	0.001188	0.001309	0.001524	0.001738	0.00195	0.00216	0.002368	0.002574	0.002779	0.002982	0.003183	0.003383	0.00358	0.003776	0.00397	0.004163	0.004356	0.004526	0.004661
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003887	0.004361	0.004831	0.005298	0.005761	0.00622	0.006676	0.007128	0.007577	0.008022	0.008463	0.008901	0.009335	0.009766	0.010193	0.010617	0.011036	0.011453	0.011866	0.012275	0.01268	0.012937	0.012978
P00359	Glycolysis // Glycolysis	0.065818	0.064241	0.062688	0.061155	0.059645	0.058157	0.056689	0.055243	0.053817	0.052412	0.051026	0.049659	0.048312	0.046984	0.045817	0.044669	0.043567	0.042475	0.041408	0.040346	0.03929	0.038239	0.037193	0.036152	0.035115	0.034093	0.033096	0.032101	0.031109	0.030121	0.029135	0.028153	0.027173	0.026197	0.025224	0.024254	0.023284	0.022318	0.021353	0.020387	0.019421	0.018457	0.017541	0.01917	0.020783	0.022385	0.024049	0.025817	0.027534	0.029259	0.030992	0.032733	0.034482	0.036233	0.038289	0.041182	0.044198	0.0487	0.050963	0.057518	0.063999	0.070413	0.076768	0.083088	0.0894	0.095662	0.101873	0.108035	0.114146	0.120206	0.126221	0.132186	0.1381	0.143964	0.149779	0.155542	0.161256	0.166922	0.172627	0.177897	0.182567
P00360	Glycolysis // Glycolysis	0.065818	0.064241	0.062688	0.061155	0.059645	0.058157	0.056689	0.055243	0.053817	0.052412	0.051026	0.049659	0.048312	0.046984	0.045817	0.044669	0.043567	0.042475	0.041408	0.040346	0.03929	0.038239	0.037193	0.036152	0.035115	0.034093	0.033096	0.032101	0.031109	0.030121	0.029135	0.028153	0.027173	0.026197	0.025224	0.024254	0.023284	0.022318	0.021353	0.020387	0.019421	0.018457	0.017495	0.016494	0.01551	0.014541	0.013604	0.012719	0.01183	0.010935	0.010036	0.009132	0.008222	0.007308	0.006389	0.005465	0.004537	0.003885	0.003887	0.004361	0.004831	0.005298	0.005761	0.00622	0.006676	0.007128	0.007577	0.008022	0.008463	0.008901	0.009335	0.009766	0.010193	0.010617	0.011036	0.011453	0.011866	0.012275	0.01268	0.012937	0.012978
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.001014	0.001407	0.001795	0.002177	0.002554	0.002925	0.003292	0.003653	0.004009	0.004361	0.004707	0.005049	0.005386	0.005719	0.006066	0.006412	0.006761	0.007109	0.007459	0.007807	0.008153	0.008499	0.008842	0.009184	0.009525	0.009867	0.010214	0.01056	0.010904	0.011248	0.011591	0.011933	0.012274	0.012614	0.012953	0.013291	0.013628	0.013964	0.0143	0.014636	0.014972	0.015308	0.015641	0.015933	0.016223	0.016513	0.016813	0.017083	0.017356	0.017631	0.017908	0.018186	0.018466	0.018748	0.019023	0.019271	0.019509	0.019565	0.019248	0.018748	0.018255	0.017767	0.017283	0.016801	0.016319	0.01584	0.015365	0.014894	0.014426	0.013963	0.013503	0.013046	0.012593	0.012144	0.011699	0.011257	0.01082	0.010386	0.009945	0.009584	0.009336
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000493	0.000684	0.000872	0.001058	0.001241	0.001421	0.001599	0.001775	0.001948	0.002119	0.002287	0.002453	0.002617	0.002779	0.002947	0.003115	0.003285	0.003454	0.003624	0.003793	0.003961	0.004129	0.004296	0.004462	0.004628	0.004794	0.004962	0.00513	0.005298	0.005465	0.005632	0.005798	0.005963	0.006129	0.006293	0.006457	0.006621	0.006785	0.006948	0.007111	0.007274	0.007437	0.007599	0.007741	0.007882	0.008023	0.008168	0.0083	0.008433	0.008566	0.008701	0.008836	0.008972	0.009109	0.009242	0.009363	0.009479	0.009506	0.009352	0.009109	0.008869	0.008632	0.008397	0.008163	0.007929	0.007696	0.007465	0.007236	0.007009	0.006784	0.00656	0.006338	0.006118	0.0059	0.005684	0.005469	0.005257	0.005046	0.004832	0.004656	0.004536
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000524	0.000727	0.000927	0.001124	0.001319	0.001511	0.0017	0.001886	0.00207	0.002252	0.002431	0.002607	0.002781	0.002953	0.003132	0.003311	0.003491	0.003671	0.003851	0.004031	0.00421	0.004388	0.004566	0.004742	0.004918	0.005095	0.005274	0.005452	0.00563	0.005808	0.005985	0.006162	0.006338	0.006513	0.006688	0.006863	0.007037	0.00721	0.007384	0.007557	0.007731	0.007904	0.008076	0.008227	0.008377	0.008526	0.008681	0.008821	0.008962	0.009104	0.009247	0.00939	0.009535	0.00968	0.009822	0.00995	0.010073	0.010102	0.009938	0.009681	0.009426	0.009174	0.008924	0.008675	0.008426	0.008179	0.007934	0.00769	0.007449	0.00721	0.006972	0.006736	0.006502	0.00627	0.006041	0.005813	0.005587	0.005362	0.005135	0.004948	0.004821
