enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.000913	0.001256	0.001597	0.001934	0.002269	0.0026	0.002929	0.003255	0.003577	0.003897	0.004214	0.004528	0.004839	0.005147	0.005452	0.005757	0.006063	0.006386	0.006711	0.007036	0.00736	0.007683	0.008007	0.00833	0.008654	0.008985	0.009316	0.009648	0.009979	0.010311	0.010643	0.010975	0.011307	0.011639	0.011971	0.012303	0.012635	0.012967	0.013299	0.013631	0.013963	0.014295	0.0146	0.014889	0.015176	0.015461	0.015745	0.016027	0.016307	0.016586	0.016862	0.017137	0.017411	0.017682	0.017942	0.018191	0.018386	0.018473	0.01809	0.017736	0.017296	0.01686	0.016425	0.015994	0.015565	0.015138	0.014714	0.014293	0.013874	0.013458	0.013044	0.012633	0.012224	0.011819	0.011415	0.011014	0.010616	0.01022	0.009827	0.009437	0.009048
P00128	Oxidative Phosphorylation	0.00077	0.00106	0.001348	0.001632	0.001915	0.002194	0.002472	0.002747	0.003019	0.003289	0.003556	0.003821	0.004084	0.004344	0.004601	0.004859	0.005117	0.00539	0.005664	0.005938	0.006212	0.006485	0.006758	0.007031	0.007304	0.007583	0.007863	0.008142	0.008422	0.008702	0.008982	0.009263	0.009543	0.009823	0.010103	0.010384	0.010664	0.010944	0.011225	0.011505	0.011785	0.012065	0.012322	0.012566	0.012808	0.013049	0.013289	0.013527	0.013763	0.013998	0.014232	0.014464	0.014695	0.014924	0.015143	0.015353	0.015518	0.015591	0.015268	0.014969	0.014598	0.014229	0.013863	0.013499	0.013136	0.012776	0.012419	0.012063	0.01171	0.011358	0.011009	0.010662	0.010317	0.009975	0.009634	0.009296	0.00896	0.008626	0.008294	0.007964	0.007637
P00163	Oxidative Phosphorylation	0.002309	0.003178	0.004039	0.004893	0.005739	0.006578	0.00741	0.008233	0.00905	0.009858	0.01066	0.011454	0.012241	0.01302	0.013792	0.014565	0.015337	0.016156	0.016978	0.017798	0.018618	0.019437	0.020256	0.021073	0.021892	0.022729	0.023567	0.024406	0.025245	0.026084	0.026923	0.027763	0.028603	0.029443	0.030283	0.031123	0.031964	0.032804	0.033644	0.034484	0.035324	0.036163	0.036935	0.037665	0.038392	0.039113	0.039831	0.040544	0.041253	0.041957	0.042658	0.043353	0.044045	0.044732	0.045389	0.046019	0.046512	0.046731	0.045764	0.044867	0.043756	0.042651	0.041552	0.04046	0.039375	0.038296	0.037223	0.036157	0.035098	0.034045	0.032998	0.031958	0.030925	0.029898	0.028877	0.027863	0.026856	0.025855	0.02486	0.023872	0.02289
P00330	Anaerobic excretion // Anaerobic excretion	0.040826	0.040489	0.040156	0.039825	0.039498	0.039173	0.03885	0.038531	0.038214	0.037901	0.037591	0.037283	0.036979	0.036677	0.036378	0.0361	0.035839	0.035697	0.035561	0.035425	0.035289	0.035154	0.035018	0.034883	0.034638	0.033572	0.032505	0.031439	0.030372	0.029304	0.028237	0.02717	0.026103	0.025036	0.023969	0.022903	0.021836	0.02077	0.019705	0.01864	0.017576	0.016512	0.01542	0.014319	0.013225	0.012138	0.011058	0.009985	0.008919	0.007859	0.006807	0.005761	0.004723	0.003691	0.002664	0.001645	0.000633	1.6e-05	0.000165	0.00034	0.00056	0.000778	0.000995	0.001211	0.001426	0.001639	0.001851	0.002061	0.00227	0.002478	0.002684	0.002889	0.003093	0.003295	0.003496	0.003695	0.003894	0.004091	0.004286	0.00448	0.004673
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003128	0.003499	0.003825	0.004121	0.004416	0.004708	0.005	0.005289	0.005577	0.005863	0.006147	0.00643	0.006711	0.006991	0.007268	0.007544	0.007819	0.008091	0.008362	0.008632	0.008899	0.009165
P00359	Glycolysis // Glycolysis	0.065959	0.064501	0.063056	0.061624	0.060206	0.058801	0.057406	0.056026	0.054659	0.053305	0.051964	0.050635	0.049319	0.048016	0.046724	0.045468	0.044243	0.043166	0.042098	0.041032	0.039967	0.038904	0.037841	0.03678	0.035725	0.0347	0.033676	0.03265	0.031625	0.030599	0.029573	0.028547	0.027521	0.026495	0.025469	0.024443	0.023418	0.022392	0.021367	0.020343	0.019319	0.018295	0.019063	0.020819	0.022563	0.024293	0.026012	0.027717	0.02941	0.031091	0.032759	0.034415	0.036058	0.03769	0.039286	0.04085	0.042278	0.045616	0.053569	0.056112	0.062768	0.069426	0.076073	0.082681	0.089248	0.095775	0.102263	0.10871	0.115118	0.121485	0.127813	0.134102	0.14035	0.146559	0.152727	0.158856	0.164946	0.170995	0.177005	0.182975	0.188905
P00360	Glycolysis // Glycolysis	0.065959	0.064501	0.063056	0.061624	0.060206	0.058801	0.057406	0.056026	0.054659	0.053305	0.051964	0.050635	0.049319	0.048016	0.046724	0.045468	0.044243	0.043166	0.042098	0.041032	0.039967	0.038904	0.037841	0.03678	0.035725	0.0347	0.033676	0.03265	0.031625	0.030599	0.029573	0.028547	0.027521	0.026495	0.025469	0.024443	0.023418	0.022392	0.021367	0.020343	0.019319	0.018295	0.01724	0.016174	0.015114	0.014061	0.013014	0.011974	0.010941	0.009915	0.008895	0.007882	0.006875	0.005875	0.004878	0.003888	0.002897	0.002419	0.002828	0.003128	0.003499	0.003867	0.004233	0.004597	0.004959	0.005319	0.005677	0.006032	0.006385	0.006736	0.007085	0.007432	0.007776	0.008118	0.008458	0.008796	0.009132	0.009465	0.009797	0.010126	0.010453
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000987	0.001358	0.001726	0.002091	0.002452	0.00281	0.003166	0.003518	0.003867	0.004212	0.004555	0.004894	0.00523	0.005563	0.005893	0.006223	0.006553	0.006903	0.007254	0.007605	0.007955	0.008305	0.008655	0.009004	0.009354	0.009711	0.010069	0.010428	0.010786	0.011145	0.011503	0.011862	0.012221	0.01258	0.012939	0.013298	0.013657	0.014016	0.014375	0.014734	0.015093	0.015451	0.015781	0.016093	0.016403	0.016712	0.017018	0.017323	0.017626	0.017927	0.018226	0.018523	0.018819	0.019113	0.019393	0.019662	0.019873	0.019966	0.019553	0.01917	0.018695	0.018223	0.017754	0.017287	0.016823	0.016362	0.015904	0.015449	0.014996	0.014546	0.014099	0.013655	0.013213	0.012774	0.012338	0.011905	0.011475	0.011047	0.010622	0.0102	0.00978
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000479	0.00066	0.000839	0.001016	0.001191	0.001365	0.001538	0.001709	0.001879	0.002046	0.002213	0.002378	0.002541	0.002703	0.002863	0.003023	0.003184	0.003354	0.003524	0.003695	0.003865	0.004035	0.004205	0.004374	0.004544	0.004718	0.004892	0.005066	0.00524	0.005415	0.005589	0.005763	0.005938	0.006112	0.006286	0.006461	0.006635	0.00681	0.006984	0.007158	0.007333	0.007507	0.007667	0.007819	0.00797	0.008119	0.008268	0.008416	0.008564	0.00871	0.008855	0.009	0.009143	0.009286	0.009422	0.009553	0.009655	0.009701	0.0095	0.009314	0.009083	0.008854	0.008626	0.008399	0.008174	0.00795	0.007727	0.007506	0.007286	0.007067	0.00685	0.006634	0.00642	0.006206	0.005995	0.005784	0.005575	0.005367	0.005161	0.004956	0.004752
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000509	0.000701	0.000891	0.001079	0.001266	0.001451	0.001635	0.001816	0.001996	0.002175	0.002352	0.002527	0.0027	0.002872	0.003043	0.003213	0.003384	0.003564	0.003745	0.003927	0.004107	0.004288	0.004469	0.004649	0.00483	0.005014	0.005199	0.005384	0.005569	0.005754	0.00594	0.006125	0.00631	0.006496	0.006681	0.006866	0.007052	0.007237	0.007422	0.007608	0.007793	0.007978	0.008148	0.008309	0.00847	0.008629	0.008787	0.008945	0.009101	0.009256	0.009411	0.009564	0.009717	0.009869	0.010013	0.010152	0.010261	0.010309	0.010096	0.009898	0.009653	0.009409	0.009167	0.008926	0.008687	0.008449	0.008212	0.007977	0.007743	0.007511	0.00728	0.00705	0.006822	0.006596	0.006371	0.006147	0.005925	0.005704	0.005484	0.005266	0.00505
P00425	Oxidative Phosphorylation	0.000274	0.000377	0.00048	0.000581	0.000681	0.000781	0.00088	0.000977	0.001074	0.00117	0.001265	0.00136	0.001453	0.001546	0.001637	0.001729	0.001821	0.001925	0.00203	0.002135	0.00224	0.002345	0.00245	0.002554	0.002659	0.002766	0.002873	0.00298	0.003087	0.003195	0.003302	0.003409	0.003516	0.003624	0.003731	0.003838	0.003946	0.004053	0.004161	0.004268	0.004375	0.004482	0.004581	0.004675	0.004768	0.004861	0.004953	0.005044	0.005135	0.005226	0.005315	0.005405	0.005493	0.005582	0.005666	0.005747	0.005811	0.00584	0.005719	0.005607	0.005468	0.00533	0.005192	0.005056	0.00492	0.004785	0.004651	0.004518	0.004386	0.004254	0.004124	0.003994	0.003864	0.003736	0.003609	0.003482	0.003356	0.003231	0.003107	0.002983	0.00286
P00427	Oxidative Phosphorylation	0.000276	0.00038	0.000484	0.000586	0.000687	0.000787	0.000887	0.000986	0.001083	0.00118	0.001276	0.001371	0.001465	0.001559	0.001651	0.001743	0.001836	0.001941	0.002047	0.002153	0.002259	0.002365	0.00247	0.002576	0.002681	0.002789	0.002897	0.003005	0.003113	0.003221	0.00333	0.003438	0.003546	0.003654	0.003763	0.003871	0.003979	0.004087	0.004196	0.004304	0.004412	0.00452	0.00462	0.004714	0.004808	0.004902	0.004995	0.005087	0.005179	0.00527	0.00536	0.00545	0.00554	0.005629	0.005714	0.005795	0.00586	0.005889	0.005767	0.005654	0.005514	0.005375	0.005236	0.005099	0.004962	0.004826	0.004691	0.004556	0.004423	0.00429	0.004158	0.004027	0.003897	0.003768	0.003639	0.003511	0.003384	0.003258	0.003133	0.003008	0.002884
P00549	Glycolysis	0.000217	0.000347	0.000475	0.000602	0.000727	0.000851	0.000975	0.001096	0.001216	0.001334	0.001451	0.001566	0.00168	0.001793	0.001905	0.002016	0.002127	0.002243	0.00236	0.002477	0.002593	0.002709	0.002824	0.002939	0.003054	0.003171	0.003288	0.003405	0.003522	0.003638	0.003754	0.00387	0.003986	0.004101	0.004216	0.004331	0.004446	0.004561	0.004675	0.004789	0.004902	0.005016	0.00512	0.005217	0.005315	0.005411	0.005506	0.005601	0.005695	0.005788	0.00588	0.005972	0.006062	0.006152	0.006238	0.00632	0.006383	0.006817	0.008097	0.009481	0.010671	0.011855	0.013031	0.0142	0.015362	0.016517	0.017665	0.018806	0.019939	0.021066	0.022185	0.023298	0.024403	0.025501	0.026592	0.027676	0.028753	0.029823	0.030886	0.031941	0.03299
P00560	Glycolysis // Glycolysis	0.065969	0.064517	0.063078	0.061653	0.06024	0.05884	0.057451	0.056077	0.054716	0.053367	0.052031	0.050707	0.049397	0.048098	0.046812	0.045561	0.04434	0.043269	0.042207	0.041146	0.040086	0.039028	0.037971	0.036915	0.035865	0.034846	0.033827	0.032807	0.031786	0.030766	0.029745	0.028725	0.027704	0.026683	0.025663	0.024642	0.023622	0.022602	0.021582	0.020563	0.019544	0.018525	0.017476	0.016414	0.015358	0.01431	0.013268	0.012232	0.011203	0.010181	0.009166	0.008156	0.007154	0.006158	0.005165	0.004179	0.003191	0.002743	0.003217	0.00356	0.003986	0.00441	0.00483	0.005249	0.005664	0.006078	0.006488	0.006897	0.007302	0.007706	0.008106	0.008504	0.0089	0.009293	0.009684	0.010072	0.010457	0.01084	0.011221	0.011599	0.011974
P00830	Oxidative Phosphorylation	0.002301	0.003166	0.004024	0.004873	0.005715	0.00655	0.007379	0.008198	0.009011	0.009816	0.010614	0.011404	0.012187	0.012963	0.013732	0.014501	0.01527	0.016086	0.016903	0.01772	0.018537	0.019352	0.020167	0.020981	0.021796	0.02263	0.023464	0.024299	0.025134	0.025969	0.026805	0.027641	0.028477	0.029314	0.03015	0.030987	0.031824	0.03266	0.033497	0.034333	0.035169	0.036005	0.036773	0.037501	0.038224	0.038943	0.039657	0.040367	0.041073	0.041774	0.042472	0.043165	0.043853	0.044538	0.045191	0.045819	0.04631	0.046566	0.045689	0.044793	0.043684	0.042581	0.041485	0.040395	0.039312	0.038235	0.037165	0.036101	0.035044	0.033993	0.032949	0.031911	0.03088	0.029855	0.028836	0.027824	0.026819	0.02582	0.024827	0.023841	0.022861
P00854	Oxidative Phosphorylation	0.001222	0.001681	0.002137	0.002588	0.003035	0.003478	0.003918	0.004354	0.004785	0.005213	0.005637	0.006056	0.006472	0.006884	0.007293	0.007701	0.008109	0.008542	0.008977	0.009411	0.009844	0.010277	0.01071	0.011142	0.011575	0.012018	0.012461	0.012904	0.013348	0.013791	0.014235	0.014679	0.015123	0.015567	0.016012	0.016456	0.0169	0.017345	0.017789	0.018233	0.018677	0.019121	0.019529	0.019915	0.020299	0.020681	0.02106	0.021437	0.021812	0.022185	0.022555	0.022923	0.023289	0.023652	0.023999	0.024333	0.024593	0.024729	0.024264	0.023788	0.023199	0.022613	0.022031	0.021452	0.020877	0.020305	0.019737	0.019172	0.018611	0.018053	0.017498	0.016947	0.016399	0.015855	0.015314	0.014777	0.014243	0.013712	0.013185	0.012661	0.012141
P00856	Oxidative Phosphorylation	0.000245	0.000336	0.000428	0.000518	0.000607	0.000696	0.000784	0.000871	0.000957	0.001043	0.001128	0.001212	0.001295	0.001377	0.001459	0.001541	0.001623	0.001709	0.001796	0.001883	0.00197	0.002056	0.002143	0.002229	0.002316	0.002405	0.002493	0.002582	0.002671	0.002759	0.002848	0.002937	0.003026	0.003115	0.003204	0.003293	0.003381	0.00347	0.003559	0.003648	0.003737	0.003826	0.003907	0.003985	0.004062	0.004138	0.004214	0.004289	0.004364	0.004439	0.004513	0.004587	0.00466	0.004732	0.004802	0.004869	0.004921	0.004948	0.004855	0.00476	0.004642	0.004525	0.004408	0.004292	0.004177	0.004063	0.003949	0.003836	0.003724	0.003612	0.003501	0.003391	0.003281	0.003172	0.003064	0.002957	0.00285	0.002744	0.002638	0.002533	0.002429
