enzymes	ranges	minU	maxU	pU
P00127	1.29728337027303e-07	4.33039734116983e-06	4.46012567819714e-06	4.34330430942681e-06
P00128	1.29728337027303e-07	4.33039734116983e-06	4.46012567819714e-06	4.34330430942681e-06
P00163	1.29728337027303e-07	4.33039734116983e-06	4.46012567819714e-06	4.34330430942681e-06
P00330	0.000243354181848277	3.08641975308642e-05	0.000274218379379141	3.08641975308642e-05
P00358	0.000250158600045543	0	0.000250158600045543	0
P00359	0.000250859116626688	4.77764515030839e-05	0.000298635568129772	4.77764515030839e-05
P00360	0.000250835960141445	4.77720413197543e-05	0.000298608001461199	4.77720413197543e-05
P00401	4.11539064830667e-08	1.37373816158235e-06	1.41489206806542e-06	1.3778326576408e-06
P00410	4.11539064830667e-08	1.37373816158235e-06	1.41489206806542e-06	1.3778326576408e-06
P00420	4.11539064830667e-08	1.37373816158235e-06	1.41489206806542e-06	1.3778326576408e-06
P00425	1.19576880168635e-06	1.48291624499275e-07	1.34406042618562e-06	1.30700101576101e-06
P00427	1.19576880168635e-06	1.48291624499275e-07	1.34406042618562e-06	1.30700101576101e-06
P00549	5.1087671609242e-07	0	5.1087671609242e-07	4.76233231821094e-07
P00560	0.000200440459670047	3.81967913584003e-05	0.000238637251028448	3.81967913584003e-05
P00830	1.05945486905876e-07	3.44664377146962e-06	3.55258925837549e-06	3.44664377146962e-06
P00854	1.0594480885476e-07	3.44662171294948e-06	3.55256652180424e-06	3.44662171294948e-06
P00856	1.0594480885476e-07	3.44662171294948e-06	3.55256652180424e-06	3.44662171294948e-06
P00890	4.65874232268763e-07	2.55305175071614e-08	4.91404749775925e-07	4.54335153422011e-07
P00924	0.000191544810718491	3.63179695790663e-05	0.000227862780297557	3.63179695790663e-05
P00925	0.000191144276419736	3.62420260313242e-05	0.000227386302451061	3.62420260313242e-05
P00942	6.41210266885643e-05	6.1853890832644e-09	6.41272120776475e-05	7.08629063578948e-09
P00950	0.000324813566890964	2.04957481903904e-07	0.000325018524372868	2.14561772034222e-07
P04037	1.19576880168635e-06	1.48291624499275e-07	1.34406042618562e-06	1.30700101576101e-06
P04039	2.39153760337269e-06	2.9658324899855e-07	2.68812085237124e-06	2.61400203152201e-06
P04385	0	0	0	0
P04397	0.000114679672413972	2.17280575060355e-05	0.000136407729920007	2.17280575060355e-05
P04806	4.49682062246998e-07	1.56432710840535e-08	4.65325333331051e-07	3.03685619763805e-07
P04807	6.42769291740985e-07	0	6.42769291740985e-07	0
P05626	1.0594480885476e-07	3.44662171294948e-06	3.55256652180424e-06	3.44662171294948e-06
P06169	1.44652381748512e-06	9.3400114434688e-09	1.45586382892859e-06	1.42491037303736e-07
P07143	1.29728337027303e-07	4.33039734116983e-06	4.46012567819714e-06	4.34330430942681e-06
P07170	0.000369779224151184	0	0.000369779224151184	0
P07251	1.05945486905876e-07	3.44664377146962e-06	3.55258925837549e-06	3.44664377146962e-06
P07255	4.11539064830667e-08	1.37373816158235e-06	1.41489206806542e-06	1.3778326576408e-06
P07256	1.29728337027303e-07	4.33039734116983e-06	4.46012567819714e-06	4.34330430942681e-06
P07257	1.29728337027303e-07	4.33039734116983e-06	4.46012567819714e-06	4.34330430942681e-06
P08067	1.29728337027303e-07	4.33039734116983e-06	4.46012567819714e-06	4.34330430942681e-06
P08417	0.000168712752311756	2.68963422868514e-05	0.000195609094598607	2.68963422868514e-05
P08431	0.000211568920876463	4.00854099294897e-05	0.000251654330805953	4.00854099294897e-05
P08525	1.29728337027303e-07	4.33039734116983e-06	4.46012567819714e-06	4.34330430942681e-06
P09201	4.32812386240395e-07	8.76406279401172e-09	4.41576449034406e-07	8.76406279401172e-09
P09457	1.0594480885476e-07	3.44662171294948e-06	3.55256652180424e-06	3.44662171294948e-06
P09624	2.70437036946127e-07	1.8514747178987e-06	2.12191175484483e-06	1.93797538363403e-06
P0CX10	0.000189474640125268	3.59254536328179e-05	0.000225400093758086	3.59254536328179e-05
P0CX11	0.000189474640125269	3.59254536328179e-05	0.000225400093758087	3.59254536328179e-05
P10174	1.19576880168635e-06	1.48291624499275e-07	1.34406042618562e-06	1.30700101576101e-06
P10963	1.45969467682044e-06	9.85250285068716e-09	1.46954717967112e-06	9.85250285068716e-09
P11154	1.7422840908651e-06	0	1.7422840908651e-06	2.37609195831254e-07
P11412	1.54988493054997e-08	2.42378368437219e-08	3.97366861492216e-08	2.97530541559246e-08
P12695	1.96230369376835e-08	1.34343864985294e-07	1.53966901922977e-07	1.40620393444659e-07
P12709	0.00014629577014051	7.64876457229473e-08	0.000146372257786233	8.29584190263784e-08
P14540	0.000226426517232967	1.80073613139143e-06	0.000228227253364358	1.89609995873278e-06
P15019	0.000242157008736553	1.42219999170493e-07	0.000242299228735723	1.75108934174804e-07
P16387	2.70437036946127e-07	1.8514747178987e-06	2.12191175484483e-06	1.93797538363403e-06
P16451	1.96230369376843e-08	1.34343864985294e-07	1.53966901922978e-07	1.40620393444659e-07
P16467	1.44652381748512e-06	9.3400114434688e-09	1.45586382892859e-06	9.3400114434688e-09
P16861	1.06505945809993e-07	0	1.06505945809993e-07	0
P16862	1.03969717935266e-07	9.21102483597558e-08	1.96079966295022e-07	1.74325441872273e-07
P17505	0.000251539575217466	4.8008796328297e-05	0.000299548371545763	4.8008796328297e-05
P17709	4.49682062247001e-07	1.56432710840535e-08	4.65325333331055e-07	1.56432710840535e-08
P19414	0.000105043438603877	4.73168313344675e-07	0.000105516606917222	4.73168313344675e-07
P19516	6.68204703420829e-05	4.09345243870681e-06	7.09139227807897e-05	4.09345243870681e-06
P20967	1.78896481663312e-07	2.37022006221711e-06	2.54911654388042e-06	2.40154862549375e-06
P21306	1.0594480885476e-07	3.44662171294948e-06	3.55256652180424e-06	3.44662171294948e-06
P21801	2.33901242758556e-08	3.04718387322352e-07	3.28108511598208e-07	3.04718387322352e-07
P21826	5.9169835928026e-08	0	5.9169835928026e-08	0
P21954	1.8221559391419e-07	2.38829981043341e-06	2.5705154043476e-06	2.41940459825808e-06
P22289	1.29728337027303e-07	4.33039734116983e-06	4.46012567819714e-06	4.34330430942681e-06
P23254	0.000121499863026338	0	0.000121499863026338	0
P26263	1.44652381748537e-06	9.3400114434688e-09	1.45586382892884e-06	9.3400114434688e-09
P28240	8.60652158953031e-08	3.7573304328263e-09	8.98225463281294e-08	4.67352659588234e-09
P30902	1.0594480885476e-07	3.44662171294948e-06	3.55256652180424e-06	3.44662171294948e-06
P30952	5.91698359280275e-08	2.58316467256792e-09	6.17530006005954e-08	3.21304953466911e-09
P32327	1.7422840908651e-06	0	1.7422840908651e-06	0
P32340	2.5185184506431e-07	5.82366384097022e-07	8.34218229161333e-07	8.08517528031861e-07
P32473	2.70437036946127e-07	1.8514747178987e-06	2.12191175484483e-06	1.93797538363403e-06
P32799	1.19576880168635e-06	1.48291624499275e-07	1.34406042618562e-06	1.30700101576101e-06
P33315	0.0001195182269251	2.26516547329473e-05	0.000142169881658048	2.26516547329473e-05
P33401	0.000142087291152786	0	0.000142087291152786	0
P33421	2.33901242758556e-08	3.04718387322352e-07	3.28108511598208e-07	3.04718387322352e-07
P37012	0.000142139993067945	2.69308926183463e-05	0.000169070885686292	2.69308926183463e-05
P37298	2.33901242758556e-08	3.04718387322352e-07	3.28108511598208e-07	3.04718387322352e-07
P37299	1.29728337027303e-07	4.33039734116983e-06	4.46012567819714e-06	4.34330430942681e-06
