rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	2.8914830834878e-07	5.91762787771621e-07	8.95246718840559e-07	1.19960015213666e-06	1.5048231458703e-06	1.81091571940795e-06	2.11787775915295e-06	2.42549400336634e-06	2.73323252689139e-06	3.04186195315692e-06	3.35138238705124e-06	3.66179376226627e-06	3.97309616112507e-06	4.28528940105144e-06	4.59837366270643e-06	4.91234882751823e-06	5.22721499163215e-06	5.54297204252707e-06	5.85962012811247e-06	6.17715911066519e-06	6.4955890444196e-06	6.81490992793243e-06	7.13512176497844e-06	7.45622458903084e-06	7.77821833952697e-06	8.10110300802913e-06	8.42487866614672e-06	8.74954529106464e-06	9.07510282244228e-06	9.40155132855836e-06	9.728890787708e-06	1.00571211931189e-05	1.03862425617773e-05	1.07162548843576e-05	1.10471581127314e-05	1.1378952334884e-05	1.17116375386583e-05	1.2045213621692e-05	1.23796806836829e-05	1.27139695701439e-05	1.3043571577831e-05	1.33740338551513e-05	0.022914918547396	0.0682156740956299	0.100723523499054	0.123903610018534	0.147160601293202	0.169960350215412	0.189299433108389	0.198108622230515	0.202430190544184	0.206770140083213	0.211133428527248	0.290627992846397	0.42775646143947	0.549371527676042	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.305384886628036	0.435526743361764	0.566586959037734	0.698565533655191	0.831462467214571	0.96527775971561	1.10001141115863	1.23543464484952	1.37098262654722	1.50747171654714	1.64490191484892	1.78327322145289	1.92258563635898	2.06283915956708	2.2040337910773	2.34616953088961	2.48924637900392	2.63326433542047	2.77822340013898	2.9241235731596	3.0709648544824	3.21874724410724	3.36747074203412	3.51713534826303	3.66774106279413	3.81928788562731	3.97177581676263	4.12520485619986	4.2795750039393	4.43488625998077	4.59113862432442	4.74833209697011	4.90646667791785	5.06554236716763	5.22555916471962	5.38651707057363	5.54841608472965	5.71125620718793	5.87503743794822	6.0386242641451	6.19722789033333	6.35674010586077	6.49856314651763	6.60697764213215	6.7171881670294	6.82865400496767	6.94076998903087	7.05371603572646	7.16790831704769	7.28362558584324	7.40028105053581	7.51759336920003	7.63555470163088	7.74577832472404	7.8496961908221	7.95476947315231	8.1353417561762	8.48631420259645	9.00678438163796	9.5962615107732	10.1821528715437	10.7649555011359	11.3441586264165	11.9197593340503	12.4917576096516	13.0601563937797	13.6249542032362	14.1835833483654	14.73988443013	15.293157454869	15.8428305680886	16.3889037643551	16.9319177173693	17.4723401268618	18.0091847555293	18.5477639294047	19.0474320077765	19.4614592655703	19.818715058557	20.1535258636733	20.4713359981202
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.0914114125179921	0.450203212653306	1.13812677376392	1.94215984283206	2.74135497860084	3.5365644987757	4.32691253129562	5.11239408038273	5.89300912136886	6.66876269671509	7.43965226303756	8.20127475469966	8.96021596112071	9.71527565314848	10.4654731592597	11.2108084701365	11.9522087312307	12.6904759524736	13.4239189374408	14.161647245022	14.8340843505931	15.3631784768141	15.7970561461778	16.193739178994	16.5664766916479
glyOUT	Production of glycerol	glycerol[c] => 			0.000573990050844049	0.00117702510461531	0.00178178627164272	0.00238827355189538	0.0029964869453939	0.00360642645212795	0.00421809207210787	0.00483148380531302	0.00544660165176403	0.00606344561146088	0.00668201568438299	0.00730231187055095	0.00792433416996474	0.00854808258260378	0.00917355710848875	0.00980075774760921	0.0104296844999652	0.0110603373655671	0.0116927163444045	0.0123268214364775	0.0129626526417962	0.0136002099603506	0.0142394933921405	0.014880502937166	0.0155232385954372	0.0161677003669441	0.0168138882516968	0.0174618022496749	0.0181114423608986	0.0187628085853582	0.0194159009230632	0.0200707193740039	0.0207272639381803	0.0213855346155922	0.0220455314062499	0.022707254310143	0.0233707033272719	0.0240358784576468	0.0247027797012568	0.0253714070581025	0.0260417605281942	0.026713840111511	0.0273876458080739	0.0280631776178824	0.0287404355409162	0.0294194195771959	0.0301001297267212	0.030782565989472	0.0314667283654688	0.032152616854701	0.0328402314571788	0.0335295721728923	0.0342206390018415	0.0349134319440261	0.0338853345749707	0.0273350659847274	0.0198064733821172	0.0120993751310162	0.0112636410075537	0.0124233059026334	0.013576495984517	0.0147232112532014	0.0158634517086872	0.0169972173509744	0.0181245081800622	0.0192453241959541	0.0203596653986473	0.0214675317881384	0.022568923364434	0.02366384012753	0.0247522820774305	0.0258342492141291	0.0269097415376312	0.0279787590479328	0.0290413017450367	0.0300973696289423	0.0311469626996488	0.0321900809571598	0.0332267244014689	0.034256893032582	0.0327993777771305
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.0511845725128722	0.104752884179351	0.158475119015992	0.212351277022671	0.266381358199472	0.32056536254635	0.374903290063355	0.429357011229671	0.48383238682785	0.538465477163317	0.593256282236048	0.648204802046071	0.703311036593409	0.75857498587799	0.813996649899871	0.869576028659035	0.925313122155472	0.981207930389209	1.03726045336023	1.09347069106852	1.14983864351412	1.20636431069698	1.26304769261713	1.31988878927455	1.37688760066928	1.43404412680128	1.49135836767058	1.54883032327714	1.606459993621	1.66424737870213	1.72219247852056	1.78029529307627	1.83855582236926	1.89697406639953	1.9555500251671	2.01428369867194	2.07317508691406	2.13222418989348	2.19143100761018	2.25060628756354	2.30895189567645	2.36744979868926	2.43063410696402	2.49571759113324	2.5568369745246	2.6150571855181	2.67341225217411	2.73175411154131	2.789150984393	2.84329292029007	2.89609621162379	2.94901596875118	3.0020525375313	3.07884410977012	3.17293557877879	3.25928739743005	3.36454149372586	3.57035700286128	3.91756840315583	4.31598183062778	4.71218174819922	5.10653510130304	5.49866480373002	5.88856870466499	6.27624679348762	6.66170124111148	7.04493095254221	7.42404029095835	7.8018646196601	8.17788719665324	8.55168582234767	8.92326049273188	9.29301036857322	9.66128073647058	10.0273434913986	10.3951205406593	10.7346454359262	11.0121126305734	11.2483758580604	11.4684968046465	11.6765586241238
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.305097891602623	0.431857954887852	0.559535514058709	0.688130569114441	0.817643120055472	0.948073166881527	1.07942070959298	1.21145697149564	1.34361711834852	1.47671751044699	1.61075814779072	1.74573903038	1.88166015821477	2.01852153129496	2.15632314962063	2.29506501319178	2.43474712200831	2.57536947607046	2.71693207537795	2.85943491993093	3.00287800972946	3.14726134477342	3.29258492506281	3.4388487505976	3.58605282137797	3.73419713740379	3.88328169867513	4.03330650519177	4.184271556954	4.33617685396163	4.48902239621482	4.64280818371345	4.7975342164575	4.95320049444697	5.10980701768203	5.26735378616249	5.42584079988835	5.58526805885983	5.74563556307672	5.90580779967357	6.06099597320516	6.21709187301934	6.35549773490631	6.46049418869432	6.56728580870846	6.67533187870698	6.78402723177382	6.89355178441643	7.00432170862806	7.11661575725739	7.22984713872712	7.34373451111189	7.45827003420665	7.56506698490713	7.66641862376811	7.77168676447183	7.86153165535744	7.85448557484631	7.68436978391733	7.46615373561529	7.24919308965448	7.03313256551585	6.81833726212726	6.60480926193115	6.39254857521022	6.18155310006255	5.97182389667356	5.76519634102431	5.55892524465809	5.35351084306621	5.14936195327809	4.94647857917772	4.74447424901442	4.54301465258722	4.34280474901747	4.14004730544813	3.9636732057918	3.8450045023142	3.76478402829347	3.69931644035643	3.64203754385559
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399324742	0.00226990798648338	0.00340486197975787	0.00453981597300882	0.00567476996623689	0.0068097239594993	0.00794467795274686	0.00907963194601463	0.0102145859392601	0.0113495399325133	0.0124844939257451	0.0136194479189958	0.0147544019122551	0.0158893559054839	0.0170243098987574	0.018159263892002	0.0192942178852639	0.0204291718784879	0.0215641258717441	0.0226990798650163	0.0238340338582542	0.0249689878515036	0.0261039418447498	0.0272388958380044	0.0283738498312532	0.0295088038245073	0.0306437578177424	0.0317787118110031	0.0329136658042464	0.0340486197974974	0.0351835737907485	0.0363185277840028	0.0374534817772554	0.0385884357705006	0.0397233897637389	0.0408583437569907	0.0419932977502468	0.0431282517435031	0.0442632057367445	0.0453981597299995	0.0465331137232536	0.0476680677165078	0.0488030217097428	0.0499379757030023	0.0510729296962398	0.0522078836894997	0.0533428376827501	0.0544777916760095	0.0556127456692561	0.0567476996624903	0.0578826536557475	0.059017607648995	0.0601525616422531	0.0612875156355033	0.0624224696287508	0.0635574236219982	0.0646923776152555	0.0658273316084976	0.0669622856017495	0.0680972395950006	0.0692321935882525	0.0703671475815106	0.0715021015747617	0.0726370555680109	0.0737720095612424	0.0749069635545112	0.0760419175477516	0.0771768715410115	0.0783118255342625	0.0794467795274976	0.0805817335207468	0.0817166875139961	0.0828516415072542	0.0839865955004875	0.0851215494937527	0.0862565034870038	0.0873914574802228	0.0885264114735023	0.0896613654667462	0.0907963194600043
