enzymes	ranges	minU	maxU	pU
P00127	4.20092092022999e-09	2.08138978506336e-05	2.08180987715538e-05	2.08138978506336e-05
P00128	4.20092092022999e-09	2.08138978506336e-05	2.08180987715538e-05	2.08138978506336e-05
P00163	4.20092092022999e-09	2.08138978506336e-05	2.08180987715538e-05	2.08138978506336e-05
P00330	9.19057843219527e-08	4.59197489765872e-06	4.68388068198067e-06	4.61502719093884e-06
P00358	2.53447127781905e-05	0	2.53447127781905e-05	0
P00359	0.000214641224873436	0	0.000214641224873436	0.000214544098901122
P00360	0.000214614154364143	0	0.000214614154364143	0
P00401	1.33266417080187e-09	6.6028226779227e-06	6.6041553420935e-06	6.6028226779227e-06
P00410	1.33266417080187e-09	6.6028226779227e-06	6.6041553420935e-06	6.6028226779227e-06
P00420	1.33266417080187e-09	6.6028226779227e-06	6.6041553420935e-06	6.6028226779227e-06
P00425	1.33266417080187e-09	6.6028226779227e-06	6.6041553420935e-06	6.6028226779227e-06
P00427	1.33266417080187e-09	6.6028226779227e-06	6.6041553420935e-06	6.6028226779227e-06
P00549	3.90861203073925e-06	1.83373460190242e-05	2.22459580497635e-05	2.22356174828835e-05
P00560	5.80207722030563e-08	9.83054927342081e-06	9.88857004562387e-06	9.83185475224328e-06
P00830	2.48832063011124e-08	1.65409903741254e-05	1.65658735804265e-05	1.656098213676e-05
P00854	2.48830470485913e-08	1.6540884511787e-05	1.65657675588355e-05	1.65608761464744e-05
P00856	2.48830470485913e-08	1.6540884511787e-05	1.65657675588355e-05	1.65608761464744e-05
P00890	1.26620025171405e-06	0	1.26620025171405e-06	1.2652606321816e-06
P00924	7.8762371040927e-08	0	7.8762371040927e-08	0
P00925	7.85232243027087e-08	0	7.85232243027087e-08	0
P00942	9.46873197259418e-08	3.05402394124898e-07	4.0008971385084e-07	3.05361016829313e-07
P00950	9.29118999705605e-08	9.1600230695121e-06	9.25293496948266e-06	9.16103549571001e-06
P04037	1.33266417080187e-09	6.6028226779227e-06	6.6041553420935e-06	6.6028226779227e-06
P04039	2.66532834160373e-09	1.32056453558454e-05	1.3208310684187e-05	1.32056453558454e-05
P04385	0	0	0	0
P04397	3.24449351628155e-08	0	3.24449351628155e-08	0
P04806	1.552174940205e-06	9.51351381806997e-06	1.1065688758275e-05	1.10613110000338e-05
P04807	8.72030933203306e-08	0	8.72030933203306e-08	0
P05626	2.48830470485913e-08	1.6540884511787e-05	1.65657675588355e-05	1.65608761464744e-05
P06169	2.22881192230464e-05	4.83069264274017e-05	7.05950456504482e-05	7.05563519163165e-05
P07143	4.20092092022999e-09	2.08138978506336e-05	2.08180987715538e-05	2.08138978506336e-05
P07170	1.1220754273075e-06	0	1.1220754273075e-06	0
P07251	2.48832063011124e-08	1.65409903741254e-05	1.65658735804265e-05	1.656098213676e-05
P07255	1.33266417080187e-09	6.6028226779227e-06	6.6041553420935e-06	6.6028226779227e-06
P07256	4.20092092022999e-09	2.08138978506336e-05	2.08180987715538e-05	2.08138978506336e-05
P07257	4.20092092022999e-09	2.08138978506336e-05	2.08180987715538e-05	2.08138978506336e-05
P08067	4.20092092022999e-09	2.08138978506336e-05	2.08180987715538e-05	2.08138978506336e-05
P08417	4.79256176022954e-08	1.57577211961026e-07	2.05502829563322e-07	1.57770967458705e-07
P08431	5.98566404646141e-08	0	5.98566404646141e-08	0
P08525	4.20092092022999e-09	2.08138978506336e-05	2.08180987715538e-05	2.08138978506336e-05
P09201	2.14133870891454e-09	0	2.14133870891454e-09	0
P09457	2.48830470485913e-08	1.6540884511787e-05	1.65657675588355e-05	1.65608761464744e-05
P09624	2.23090414107066e-08	9.16479818491718e-06	9.18710722632789e-06	9.16749104301582e-06
P0CX10	2.29882590639505e-05	0	2.29882590639505e-05	0
P0CX11	2.29882590639505e-05	0	2.29882590639505e-05	0
P10174	1.33266417080187e-09	6.6028226779227e-06	6.6041553420935e-06	6.6028226779227e-06
P10963	2.91344683291003e-09	0	2.91344683291003e-09	0
P11154	3.61268270670318e-06	0	3.61268270670318e-06	3.60935811621686e-06
P11412	1.12465954811704e-09	3.45307126570083e-07	3.464317861182e-07	3.45307126570083e-07
P12695	1.01879337775325e-09	6.65002010596908e-07	6.66020803974662e-07	6.6519740563057e-07
P12709	4.2195001957604e-08	3.83147073850415e-06	3.87366574046176e-06	3.83227509660105e-06
P14540	7.48709519354633e-08	8.14755040231022e-05	8.15503749750377e-05	8.14862832613179e-05
P15019	6.91442892312217e-08	2.02741808869663e-06	2.09656237792785e-06	2.02806111971364e-06
P16387	2.23090414107066e-08	9.16479818491718e-06	9.18710722632789e-06	9.16749104301582e-06
P16451	1.61875440061796e-09	6.65002010596908e-07	6.66620764997526e-07	6.6519740563057e-07
P16467	6.08832673170437e-06	0	6.08832673170437e-06	0
P16861	7.86251987152556e-08	0	7.86251987152556e-08	0
P16862	6.39216930529838e-08	7.35627820462018e-06	7.42019989767317e-06	7.41822847070746e-06
