enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.01971	0.019269	0.01903	0.018882	0.018781	0.018709	0.018655	0.018614	0.018582	0.018556	0.018535	0.018518	0.018504	0.018493	0.018483	0.018475	0.018469	0.018463	0.018459	0.018455	0.018452	0.01845	0.018449	0.018447	0.018447	0.018446	0.018446	0.018446	0.018447	0.018447	0.018448	0.018449	0.018451	0.018452	0.018454	0.018455	0.018457	0.018459	0.018461	0.018463	0.018465	0.018467	0.01847	0.018472	0.018474	0.018477	0.018479	0.018482	0.018484	0.018487	0.01849	0.018492	0.018495	0.018498	0.0185	0.018503	0.018506	0.01848	0.018098	0.017742	0.017304	0.016868	0.016434	0.016003	0.015575	0.015149	0.014726	0.014305	0.013887	0.013471	0.013058	0.012647	0.012239	0.011834	0.011431	0.011031	0.010633	0.010238	0.009845	0.009455	0.009068
P00128	Oxidative Phosphorylation	0.016635	0.016263	0.016061	0.015936	0.015851	0.01579	0.015745	0.01571	0.015683	0.015661	0.015643	0.015629	0.015617	0.015608	0.0156	0.015593	0.015587	0.015583	0.015579	0.015576	0.015574	0.015572	0.015571	0.015569	0.015569	0.015568	0.015568	0.015569	0.015569	0.01557	0.01557	0.015571	0.015572	0.015573	0.015575	0.015576	0.015578	0.015579	0.015581	0.015583	0.015585	0.015586	0.015588	0.01559	0.015592	0.015594	0.015596	0.015599	0.015601	0.015603	0.015605	0.015607	0.01561	0.015612	0.015614	0.015616	0.015619	0.015597	0.015274	0.014975	0.014604	0.014236	0.01387	0.013507	0.013145	0.012786	0.012428	0.012073	0.01172	0.011369	0.011021	0.010674	0.01033	0.009988	0.009648	0.00931	0.008974	0.008641	0.008309	0.00798	0.007653
P00163	Oxidative Phosphorylation	0.049861	0.048746	0.048141	0.047766	0.047511	0.047329	0.047193	0.047089	0.047007	0.046942	0.046889	0.046846	0.046811	0.046782	0.046758	0.046738	0.046721	0.046708	0.046696	0.046687	0.04668	0.046675	0.04667	0.046667	0.046665	0.046664	0.046664	0.046665	0.046666	0.046668	0.04667	0.046673	0.046676	0.046679	0.046683	0.046687	0.046692	0.046697	0.046702	0.046707	0.046712	0.046718	0.046724	0.04673	0.046736	0.046742	0.046748	0.046754	0.046761	0.046767	0.046774	0.046781	0.046787	0.046794	0.046801	0.046808	0.046815	0.046749	0.045783	0.044884	0.043774	0.042671	0.041574	0.040484	0.0394	0.038323	0.037252	0.036187	0.03513	0.034078	0.033033	0.031995	0.030963	0.029937	0.028918	0.027905	0.026899	0.025899	0.024906	0.02392	0.022939
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162	0.000338	0.000557	0.000776	0.000993	0.001208	0.001422	0.001635	0.001847	0.002057	0.002266	0.002473	0.002679	0.002884	0.003088	0.00329	0.003491	0.00369	0.003888	0.004085	0.00428	0.004474	0.004667
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.030304	0.035881	0.0389	0.040779	0.042052	0.042963	0.043642	0.044163	0.044571	0.044897	0.04516	0.045375	0.045551	0.045697	0.045817	0.045917	0.045999	0.046067	0.046123	0.046168	0.046204	0.046232	0.046253	0.046268	0.046278	0.046283	0.046284	0.046282	0.046276	0.046267	0.046256	0.046242	0.046226	0.046208	0.046189	0.046168	0.046145	0.046121	0.046096	0.04607	0.046043	0.046015	0.045987	0.045957	0.045927	0.045896	0.045865	0.045833	0.045801	0.045768	0.045735	0.045702	0.045668	0.045634	0.0456	0.045566	0.045531	0.047953	0.056325	0.062294	0.069683	0.077029	0.08433	0.091588	0.098803	0.105974	0.113102	0.120186	0.127226	0.134223	0.141176	0.148085	0.154951	0.161773	0.168552	0.175286	0.181978	0.188625	0.195229	0.20179	0.208307
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.021304	0.020827	0.020569	0.020409	0.0203	0.020222	0.020164	0.020119	0.020084	0.020057	0.020034	0.020016	0.020001	0.019988	0.019978	0.019969	0.019962	0.019956	0.019952	0.019948	0.019945	0.019942	0.019941	0.019939	0.019938	0.019938	0.019938	0.019938	0.019939	0.019939	0.01994	0.019942	0.019943	0.019944	0.019946	0.019948	0.01995	0.019952	0.019954	0.019956	0.019959	0.019961	0.019963	0.019966	0.019968	0.019971	0.019974	0.019976	0.019979	0.019982	0.019985	0.019988	0.019991	0.019993	0.019996	0.019999	0.020002	0.019974	0.019561	0.019177	0.018703	0.018232	0.017763	0.017297	0.016834	0.016374	0.015916	0.015462	0.01501	0.01456	0.014114	0.01367	0.013229	0.012791	0.012356	0.011923	0.011493	0.011066	0.010642	0.01022	0.009801
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.01035	0.010119	0.009994	0.009916	0.009863	0.009825	0.009797	0.009775	0.009758	0.009744	0.009734	0.009725	0.009717	0.009711	0.009706	0.009702	0.009699	0.009696	0.009694	0.009692	0.00969	0.009689	0.009688	0.009688	0.009687	0.009687	0.009687	0.009687	0.009687	0.009688	0.009688	0.009689	0.009689	0.00969	0.009691	0.009692	0.009693	0.009694	0.009695	0.009696	0.009697	0.009698	0.009699	0.0097	0.009702	0.009703	0.009704	0.009706	0.009707	0.009708	0.00971	0.009711	0.009712	0.009714	0.009715	0.009717	0.009718	0.009704	0.009504	0.009317	0.009087	0.008858	0.00863	0.008404	0.008179	0.007955	0.007733	0.007512	0.007292	0.007074	0.006857	0.006642	0.006427	0.006215	0.006003	0.005793	0.005584	0.005376	0.00517	0.004965	0.004762
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.011	0.010754	0.010621	0.010538	0.010482	0.010441	0.010411	0.010388	0.01037	0.010356	0.010344	0.010335	0.010327	0.010321	0.010315	0.010311	0.010307	0.010304	0.010302	0.0103	0.010298	0.010297	0.010296	0.010295	0.010295	0.010295	0.010295	0.010295	0.010295	0.010295	0.010296	0.010297	0.010297	0.010298	0.010299	0.0103	0.010301	0.010302	0.010303	0.010304	0.010305	0.010307	0.010308	0.010309	0.01031	0.010312	0.010313	0.010315	0.010316	0.010317	0.010319	0.01032	0.010322	0.010323	0.010325	0.010326	0.010328	0.010313	0.0101	0.009902	0.009657	0.009414	0.009172	0.008931	0.008692	0.008455	0.008218	0.007983	0.00775	0.007518	0.007288	0.007058	0.006831	0.006604	0.00638	0.006156	0.005934	0.005714	0.005495	0.005277	0.005061
