enzymes	ranges	minU	maxU	pU
P00127	1.22869761664083e-05	3.1601519681054e-05	4.38884958474623e-05	3.20902470991428e-05
P00128	1.22869761664083e-05	3.1601519681054e-05	4.38884958474623e-05	3.20902470991428e-05
P00163	1.22869761664083e-05	3.1601519681054e-05	4.38884958474623e-05	3.20902470991428e-05
P00330	0.000175337320547953	0	0.000175337320547953	3.56316540809473e-07
P00358	0.00023819842440373	0	0.00023819842440373	0
P00359	0.000238865449026777	0	0.000238865449026777	5.84872633861513e-05
P00360	0.000238843399661699	0	0.000238843399661699	0
P00401	3.89781507802426e-06	1.0024995428741e-05	1.39228105067652e-05	1.01800351287836e-05
P00410	3.89781507802426e-06	1.0024995428741e-05	1.39228105067652e-05	1.01800351287836e-05
P00420	3.89781507802426e-06	1.0024995428741e-05	1.39228105067652e-05	1.01800351287836e-05
P00425	3.89781507802426e-06	1.0024995428741e-05	1.39228105067652e-05	1.01800351287836e-05
P00427	3.89781507802426e-06	1.0024995428741e-05	1.39228105067652e-05	1.01800351287836e-05
P00549	7.2437477812364e-06	0	7.2437477812364e-06	5.84333739219926e-06
P00560	0.0001448759827971	1.9135904742995e-06	0.0001467895732714	2.66518418062275e-06
P00830	7.57423297962688e-06	2.55444795099935e-05	3.31187124896204e-05	2.55446642224603e-05
P00854	7.5741845045358e-06	2.55443160253247e-05	3.31185005298605e-05	2.55445007366093e-05
P00856	7.5741845045358e-06	2.55443160253247e-05	3.31185005298605e-05	2.55445007366093e-05
P00890	5.07100317436781e-06	0	5.07100317436781e-06	3.18158736404834e-06
P00924	0.000144013099836777	0	0.000144013099836777	0
P00925	0.000143711957844268	0	0.000143711957844268	0
P00942	6.40203318906328e-05	5.65327880489982e-08	6.40768646786818e-05	8.35431634923237e-08
P00950	0.000212020693988719	1.78302779089677e-06	0.000213803721779615	2.48334088496567e-06
P04037	3.89781507802426e-06	1.0024995428741e-05	1.39228105067652e-05	1.01800351287836e-05
P04039	7.79563015604853e-06	2.0049990857482e-05	2.78456210135305e-05	2.03600702575672e-05
P04385	0	0	0	0
P04397	8.24590654939481e-05	0	8.24590654939481e-05	0
P04806	6.64847013211606e-06	0	6.64847013211606e-06	3.50245447203445e-06
P04807	6.71081173173666e-06	0	6.71081173173666e-06	0
P05626	7.5741845045358e-06	2.55443160253247e-05	3.31185005298605e-05	2.55445007366093e-05
P06169	3.96811967532146e-05	0	3.96811967532146e-05	8.18745916719286e-06
P07143	1.22869761664083e-05	3.1601519681054e-05	4.38884958474623e-05	3.20902470991428e-05
P07170	0.000266483122005733	0	0.000266483122005733	0
P07251	7.57423297962688e-06	2.55444795099935e-05	3.31187124896204e-05	2.55446642224603e-05
P07255	3.89781507802426e-06	1.0024995428741e-05	1.39228105067652e-05	1.01800351287836e-05
P07256	1.22869761664083e-05	3.1601519681054e-05	4.38884958474623e-05	3.20902470991428e-05
P07257	1.22869761664083e-05	3.1601519681054e-05	4.38884958474623e-05	3.20902470991428e-05
P08067	1.22869761664083e-05	3.1601519681054e-05	4.38884958474623e-05	3.20902470991428e-05
P08417	0.000121310914128879	4.24883608440851e-07	0.00012173579773732	4.24883608440851e-07
P08431	0.000152126136531505	0	0.000152126136531505	0
P08525	1.22869761664083e-05	3.1601519681054e-05	4.38884958474623e-05	3.20902470991428e-05
P09201	1.39572753727316e-05	0	1.39572753727316e-05	0
P09457	7.5741845045358e-06	2.55443160253247e-05	3.31185005298605e-05	2.55445007366093e-05
P09624	1.24548612857634e-05	7.72451357432921e-06	2.01793748600926e-05	1.38792538548027e-05
P0CX10	0.000142456640629124	0	0.000142456640629124	0
P0CX11	0.000142456640629124	0	0.000142456640629124	0
P10174	3.89781507802426e-06	1.0024995428741e-05	1.39228105067652e-05	1.01800351287836e-05
P10963	1.41606612319133e-05	0	1.41606612319133e-05	0
P11154	1.69174785577701e-05	0	1.69174785577701e-05	2.284795284793e-06
P11412	4.20727555013381e-07	5.18028857682786e-09	4.25907843590209e-07	1.81458444355059e-07
P12695	9.03730516441602e-07	5.60494290672529e-07	1.46422480711413e-06	1.00708510245412e-06
P12709	9.56187733506542e-05	6.52312651484914e-07	9.62710860021391e-05	1.06045984872205e-06
