enzymes	ranges	minU	maxU	pU
P00127	8.57855111750467e-09	1.43901441827282e-05	1.43987227338457e-05	1.43968859833942e-05
P00128	8.57855111750467e-09	1.43901441827282e-05	1.43987227338457e-05	1.43968859833942e-05
P00163	8.57855111750467e-09	1.43901441827282e-05	1.43987227338457e-05	1.43968859833942e-05
P00330	0.000153794718158768	3.08641975308642e-05	0.000184658915689632	3.08641975308642e-05
P00358	0.000158094967165936	0	0.000158094967165936	0
P00359	0.000158537678893116	3.51961989376864e-05	0.000193733877830803	3.51961989376864e-05
P00360	0.000158523044482092	3.51929500214329e-05	0.000193715994503525	3.51929500214329e-05
P00401	2.72138607909283e-09	4.56500608536439e-06	4.56772747144349e-06	4.56714479646248e-06
P00410	2.72138607909283e-09	4.56500608536439e-06	4.56772747144349e-06	4.56714479646248e-06
P00420	2.72138607909283e-09	4.56500608536439e-06	4.56772747144349e-06	4.56714479646248e-06
P00425	7.32366127747438e-07	3.67715182910328e-06	4.40951795685072e-06	4.40893528186971e-06
P00427	7.32366127747438e-07	3.67715182910328e-06	4.40951795685072e-06	4.40893528186971e-06
P00549	1.61039429285493e-06	0	1.61039429285493e-06	1.60952272061545e-06
P00560	0.000126674149457552	2.82163861440837e-05	0.000154890535601636	2.82163861440837e-05
P00830	4.60719705326618e-09	1.14160827131556e-05	1.14206899102089e-05	1.14160827131556e-05
P00854	4.60716756720564e-09	1.14160096502263e-05	1.14206168177935e-05	1.14160096502263e-05
P00856	4.60716756720564e-09	1.14160096502263e-05	1.14206168177935e-05	1.14160096502263e-05
P00890	1.39924630598877e-06	7.69656285368604e-08	1.47621193452563e-06	1.45993773716737e-06
P00924	0.000121052286652676	2.63025235942215e-05	0.000147354810246897	2.63025235942215e-05
P00925	0.000120799157410671	2.6247523081267e-05	0.000147046680491938	2.6247523081267e-05
P00942	6.40852120868354e-05	2.40926899477031e-08	6.41093047767831e-05	2.42913997616331e-08
P00950	0.000205270198299554	7.35984270735945e-07	0.00020600618257029	7.36918218011261e-07
P04037	7.32366127747438e-07	3.67715182910328e-06	4.40951795685072e-06	4.40893528186971e-06
P04039	1.46473225549488e-06	7.35430365820656e-06	8.81903591370144e-06	8.81787056373943e-06
P04385	0	0	0	0
P04397	7.24751379388369e-05	1.5691770703836e-05	8.81669086426729e-05	1.5691770703836e-05
P04806	1.39325002423509e-06	5.84141629830947e-08	1.45166418721819e-06	1.1104670810989e-06
P04807	2.40019046953426e-06	0	2.40019046953426e-06	0
P05626	4.60716756720564e-09	1.14160096502263e-05	1.14206168177935e-05	1.14160096502263e-05
P06169	2.96870788293002e-06	1.188873884695e-08	2.98059662177697e-06	2.17877913250615e-07
P07143	8.57855111750467e-09	1.43901441827282e-05	1.43987227338457e-05	1.43968859833942e-05
P07170	0.000233922453250134	0	0.000233922453250134	0
P07251	4.60719705326618e-09	1.14160827131556e-05	1.14206899102089e-05	1.14160827131556e-05
P07255	2.72138607909283e-09	4.56500608536439e-06	4.56772747144349e-06	4.56714479646248e-06
P07256	8.57855111750467e-09	1.43901441827282e-05	1.43987227338457e-05	1.43968859833942e-05
P07257	8.57855111750467e-09	1.43901441827282e-05	1.43987227338457e-05	1.43968859833942e-05
P08067	8.57855111750467e-09	1.43901441827282e-05	1.43987227338457e-05	1.43968859833942e-05
P08417	0.000106622906557462	2.3291028544111e-05	0.000129913935101573	2.3291028544111e-05
P08431	0.000133707102586948	2.8949254253773e-05	0.000162656356840721	2.8949254253773e-05
P08525	8.57855111750467e-09	1.43901441827282e-05	1.43987227338457e-05	1.43968859833942e-05
P09201	8.15147056326844e-07	0	8.15147056326844e-07	0
P09457	4.60716756720564e-09	1.14160096502263e-05	1.14206168177935e-05	1.14160096502263e-05
P09624	6.52171873415029e-08	6.57358837944914e-06	6.63880556679065e-06	6.57399262207827e-06
P0CX10	0.000119743982433257	2.60182521975282e-05	0.000145762234630785	2.60182521975282e-05
P0CX11	0.000119743982433257	2.60182521975282e-05	0.000145762234630785	2.60182521975282e-05
P10174	7.32366127747438e-07	3.67715182910328e-06	4.40951795685072e-06	4.40893528186971e-06
P10963	2.74914918512805e-06	0	2.74914918512805e-06	0
P11154	3.75126064738041e-06	0	3.75126064738041e-06	9.14975521018112e-07
P11412	1.93777972333144e-08	1.26672073804408e-07	1.46049871037723e-07	1.2715779465168e-07
P12695	4.7321893873178e-09	4.76982624272556e-07	4.81714813659873e-07	4.77011956305374e-07
P12709	9.24529291487099e-05	2.76301060123906e-07	9.27292302088338e-05	2.77477619835778e-07
P14540	0.000143051203088893	6.48526132461622e-06	0.000149536464413509	6.49675156647375e-06
P15019	0.000153020578158032	7.45259775856163e-07	0.000153765837933889	7.4846290969647e-07
P16387	6.52171873415029e-08	6.57358837944914e-06	6.63880556679065e-06	6.57399262207827e-06
P16451	4.7321893873178e-09	4.76982624272556e-07	4.81714813659873e-07	4.77011956305374e-07
P16467	2.96870788293002e-06	1.188873884695e-08	2.98059662177697e-06	1.188873884695e-08
P16861	2.99029787282552e-07	1.39530078592041e-08	3.12982795141756e-07	1.5263296516147e-08
P16862	2.38721940623315e-07	3.40534758842369e-07	5.79256699465683e-07	5.79256699465683e-07
P17505	0.000158967714392785	3.55509012061448e-05	0.000194518615598929	3.55509012061448e-05
P17709	1.39325002423508e-06	5.84141629830947e-08	1.45166418721818e-06	5.84141629830947e-08
P19414	6.63852410992604e-05	1.51545321405449e-06	6.79006943133149e-05	1.51545321405449e-06
P19516	4.22291300911529e-05	9.14313301441461e-06	5.13722631055675e-05	9.14313301441461e-06
P20967	6.9605135335673e-08	7.51869436964585e-06	7.58829950498152e-06	7.56743840543007e-06
P21306	4.60716756720564e-09	1.14160096502263e-05	1.14206168177935e-05	1.14160096502263e-05
P21801	9.85898594664729e-09	9.71487835528992e-07	9.81346821475639e-07	9.71487835528992e-07
P21826	2.1854397310215e-07	0	2.1854397310215e-07	0
P21954	7.40175439626515e-08	7.61203095423767e-06	7.68604849820032e-06	7.66042681833771e-06
P22289	8.57855111750467e-09	1.43901441827282e-05	1.43987227338457e-05	1.43968859833942e-05
P23254	7.67853547801976e-05	0	7.67853547801976e-05	0
P26263	2.96870788292998e-06	1.188873884695e-08	2.98059662177693e-06	1.188873884695e-08
P28240	1.51757537259804e-07	1.81721548997786e-07	3.33479086257591e-07	2.02461716708483e-07
P30902	4.60716756720564e-09	1.14160096502263e-05	1.14206168177935e-05	1.14160096502263e-05
P30952	2.18543973102151e-07	1.07228986999433e-08	2.29266871802094e-07	1.39192430237081e-07
P32327	3.75126064738041e-06	0	3.75126064738041e-06	0
P32340	7.98206388331884e-07	1.89906872913176e-06	2.69727511746364e-06	2.69687103236431e-06
P32473	6.52171873415029e-08	6.57358837944914e-06	6.63880556679065e-06	6.57399262207827e-06
P32799	7.32366127747438e-07	3.67715182910328e-06	4.40951795685072e-06	4.40893528186971e-06
P33315	7.55330024952753e-05	1.63855535812807e-05	9.1918556076556e-05	1.63855535812807e-05
P33401	8.97961758076948e-05	0	8.97961758076948e-05	0
P33421	9.85898594664729e-09	9.71487835528992e-07	9.81346821475639e-07	9.71487835528992e-07
P37012	8.98294823082314e-05	1.94492025667427e-05	0.000109278684874974	1.94492025667427e-05
P37298	9.85898594665152e-09	9.71487835528992e-07	9.81346821475643e-07	9.71487835528992e-07
P37299	8.57855111750467e-09	1.43901441827282e-05	1.43987227338457e-05	1.43968859833942e-05
P38077	4.60716756720564e-09	1.14160096502263e-05	1.14206168177935e-05	1.14160096502263e-05
P38113	0.000150531121001525	0	0.000150531121001525	0
P38720	2.08276259193926e-06	0	2.08276259193926e-06	2.0631500133314e-06
P38824	4.22291300911529e-05	9.14313301441461e-06	5.13722631055675e-05	9.14313301441461e-06
P38858	8.93826528902797e-06	3.03770550239116e-07	9.24203583926708e-06	8.04654524555829e-06
P40047	1.13772506514717e-06	2.03409592780834e-09	1.13975916107498e-06	1.51523248738943e-08
P40106	7.75730426897587e-06	0	7.75730426897587e-06	0
P40215	7.98206388331885e-07	0	7.98206388331885e-07	0
P41277	7.75730426897587e-06	0	7.75730426897587e-06	0
P41911	7.66119607449292e-07	0	7.66119607449292e-07	0
