enzymes	ranges	minU	maxU	pU
P00127	1.30740550111753e-08	2.19358850722517e-05	2.19489591272629e-05	2.19461795313377e-05
P00128	1.30740550111753e-08	2.19358850722517e-05	2.19489591272629e-05	2.19461795313377e-05
P00163	1.30740550111753e-08	2.19358850722517e-05	2.19489591272629e-05	2.19461795313377e-05
P00330	0.000122576971480847	2.37222006514018e-05	0.000146299172132249	2.37222006514018e-05
P00358	0.000126004342109844	0	0.000126004342109844	0
P00359	0.000126357190786356	2.5781038296697e-05	0.000152138229083053	2.5781038296697e-05
P00360	0.000126345526915163	2.57786584819192e-05	0.000152124185397082	2.57786584819192e-05
P00401	4.14750122921297e-09	6.9587522940092e-06	6.96289979523841e-06	6.96201802003503e-06
P00410	4.14750122921297e-09	6.9587522940092e-06	6.96289979523841e-06	6.96201802003503e-06
P00420	4.14750122921297e-09	6.9587522940092e-06	6.96289979523841e-06	6.96201802003503e-06
P00425	5.84918381692049e-07	6.26527120593231e-06	6.85018958762436e-06	6.84930781242099e-06
P00427	5.84957094937608e-07	6.26527120593231e-06	6.85022830086992e-06	6.84930781242099e-06
P00549	2.45453879921001e-06	0	2.45453879921001e-06	2.45321048825764e-06
P00560	0.00010096142306649	2.0742826540697e-05	0.000121704249607187	2.0742826540697e-05
P00830	7.02155257884234e-09	1.74023250091412e-05	1.74093465617201e-05	1.74023250091412e-05
P00854	7.02150764090524e-09	1.74022136342612e-05	1.74092351419021e-05	1.74022136342612e-05
P00856	7.02150764090524e-09	1.74022136342612e-05	1.74092351419021e-05	1.74022136342612e-05
P00890	2.13312794553668e-06	1.1733317459374e-07	2.25046112013042e-06	2.22565859245246e-06
P00924	9.64807040603198e-05	1.88138591217566e-05	0.000115294563182076	1.88138591217566e-05
P00925	9.62789558062209e-05	1.87745179574518e-05	0.000115053473763673	1.87745179574518e-05
P00942	6.40599551149572e-05	3.67211758868167e-08	6.4096676290844e-05	3.70239647556803e-08
P00950	0.000163604472057865	1.12175589761739e-06	0.000164726227955482	1.12317927061917e-06
P04037	5.84957094937608e-07	6.26527120593231e-06	6.85022830086992e-06	6.84930781242099e-06
P04039	1.16991418987522e-06	1.25305424118646e-05	1.37004566017398e-05	1.3698615624842e-05
P04385	0	0	0	0
P04397	5.77639012740883e-05	1.11789909627991e-05	6.89428922368875e-05	1.11789909627991e-05
P04806	2.12254206318217e-06	8.90255207389038e-08	2.21156758392108e-06	1.69239690478139e-06
P04807	3.657986274402e-06	0	3.657986274402e-06	0
P05626	7.02150764090524e-09	1.74022136342612e-05	1.74092351419021e-05	1.74022136342612e-05
P06169	4.52470788912528e-06	1.81162305687556e-08	4.54282411969403e-06	3.32006361191083e-07
P07143	1.30740550111753e-08	2.19358850722517e-05	2.19489591272629e-05	2.19461795313377e-05
P07170	0.000186636695609258	0	0.000186636695609258	0
P07251	7.02155257884234e-09	1.74023250091412e-05	1.74093465617201e-05	1.74023250091412e-05
P07255	4.14750122921297e-09	6.9587522940092e-06	6.96289979523841e-06	6.96201802003503e-06
P07256	1.30740550111753e-08	2.19358850722517e-05	2.19489591272629e-05	2.19461795313377e-05
P07257	1.30740550111753e-08	2.19358850722517e-05	2.19489591272629e-05	2.19461795313377e-05
P08067	1.30740550111753e-08	2.19358850722517e-05	2.19489591272629e-05	2.19461795313377e-05
P08417	8.49802459588176e-05	1.67599472893796e-05	0.000101740193248197	1.67599472893796e-05
P08431	0.00010656680474337	2.06237688397772e-05	0.000127190573583147	2.06237688397772e-05
P08525	1.30740550111753e-08	2.19358850722517e-05	2.19489591272629e-05	2.19461795313377e-05
P09201	1.24241277021139e-06	0	1.24241277021139e-06	0
P09457	7.02150764090524e-09	1.74022136342612e-05	1.74092351419021e-05	1.74022136342612e-05
P09624	9.93936019380706e-08	1.00204295781779e-05	1.01198231801159e-05	1.00208482028852e-05
P0CX10	9.54379636404154e-05	1.86105234231657e-05	0.000114048487063581	1.86105234231657e-05
P0CX11	9.54379636404154e-05	1.86105234231657e-05	0.000114048487063581	1.86105234231657e-05
P10174	5.84918381692049e-07	6.26527120593231e-06	6.85018958762436e-06	6.84930781242099e-06
P10963	4.1901372621163e-06	0	4.1901372621163e-06	0
P11154	5.71720068219354e-06	0	5.71720068219354e-06	1.39439103047236e-06
P11412	2.9237227174208e-08	1.93024076107445e-07	2.22261303281653e-07	1.93766045052838e-07
P12695	7.21204589513635e-09	7.27087021675997e-07	7.34299067571133e-07	7.27117397279084e-07
P12709	7.36873895777361e-05	4.21137603869331e-07	7.41085271816054e-05	4.22929410789961e-07
P14540	0.000114024886421085	9.88457103929069e-06	0.000123909457460376	9.90207707520248e-06
P15019	0.00012196230079462	1.13564560845633e-06	0.000123097946403076	1.1405254954067e-06
P16387	9.93936019380706e-08	1.00204295781779e-05	1.01198231801159e-05	1.00208482028852e-05
P16451	7.21204589513635e-09	7.27087021675997e-07	7.34299067571133e-07	7.27117397279084e-07
P16467	4.52470788912528e-06	1.81162305687556e-08	4.54282411969403e-06	1.81162305687556e-08
P16861	4.55768592317057e-07	2.12668996252932e-08	4.7703549194235e-07	2.32631987953184e-08
P16862	3.63849915494437e-07	5.19029306955043e-07	8.8287922244948e-07	8.8287922244948e-07
P17505	0.000126699936296797	2.62464633080541e-05	0.000152946399604851	2.62464633080541e-05
P17709	2.12254206318218e-06	8.90255207389038e-08	2.21156758392108e-06	8.90255207389038e-08
P19414	5.29101512873334e-05	2.31029125389832e-06	5.52204425412317e-05	2.31029125389832e-06
P19516	3.36573254063286e-05	6.51366906061308e-06	4.01709944669417e-05	6.51366906061308e-06
P20967	1.06081010184279e-07	1.14623640918224e-05	1.15684451020066e-05	1.15369477826292e-05
P21306	7.02150764090524e-09	1.74022136342612e-05	1.74092351419021e-05	1.74022136342612e-05
P21801	1.50254889034443e-08	1.48103494812416e-06	1.49606043702761e-06	1.48103494812416e-06
P21826	3.32426995679791e-07	0	3.32426995679791e-07	0
P21954	1.12805697410437e-07	1.16045533683093e-05	1.17173590657198e-05	1.16786043184675e-05
P22289	1.30740550111753e-08	2.19358850722517e-05	2.19489591272629e-05	2.19461795313377e-05
P23254	6.11992164342246e-05	0	6.11992164342246e-05	0
P26263	4.52470788912528e-06	1.81162305687556e-08	4.54282411969403e-06	1.81162305687556e-08
P28240	2.30417886574854e-07	2.76879023072011e-07	5.07296909646865e-07	3.07864830798367e-07
P30902	7.02150764090524e-09	1.74022136342612e-05	1.74092351419021e-05	1.74022136342612e-05
P30952	3.3242699567979e-07	1.63396297024318e-08	3.48766625382222e-07	2.11657071173877e-07
P32327	5.71720068219354e-06	0	5.71720068219354e-06	0
P32340	1.21658071015336e-06	2.89501366375502e-06	4.11159437390838e-06	4.11098286280484e-06
P32473	9.93936019380706e-08	1.00204295781779e-05	1.01198231801159e-05	1.00208482028852e-05
P32799	5.84957094937608e-07	6.26527120593231e-06	6.85022830086992e-06	6.84930781242099e-06
P33315	6.02010706451446e-05	1.16989847522805e-05	7.19000553974252e-05	1.16989847522805e-05
P33401	7.15690591513426e-05	0	7.15690591513426e-05	0
P33421	1.50254889034443e-08	1.48103494812416e-06	1.49606043702761e-06	1.48103494812416e-06
P37012	7.15956049912472e-05	1.38558269701274e-05	8.54514319613746e-05	1.38558269701274e-05
P37298	1.50254889034441e-08	1.48103494812416e-06	1.49606043702761e-06	1.48103494812416e-06
P37299	1.30740550111753e-08	2.19358850722517e-05	2.19489591272629e-05	2.19461795313377e-05
P38077	7.02150764090524e-09	1.74022136342612e-05	1.74092351419021e-05	1.74022136342612e-05
P38113	0.000119975829774177	0	0.000119975829774177	0
P38720	3.17373901594565e-06	0	3.17373901594565e-06	3.14387840589193e-06
P38824	3.36573254063286e-05	6.51366906061308e-06	4.01709944669417e-05	6.51366906061308e-06
P38858	1.36018292895816e-05	4.62865982081292e-07	1.40646952716629e-05	1.22615153309436e-05
P40047	1.73400956758023e-06	3.10004354976316e-09	1.73710961112999e-06	2.3140550222964e-08
P40106	1.18233169834223e-05	0	1.18233169834223e-05	0
P40215	1.21658071015336e-06	0	1.21658071015336e-06	0
P41277	1.18233169834223e-05	0	1.18233169834223e-05	0
P41911	1.16768334101765e-06	0	1.16768334101765e-06	0
P42222	9.54680198554772e-05	1.86163844230559e-05	0.000114084404278533	1.86163844230559e-05
P43635	2.13312794553668e-06	1.17333174593741e-07	2.25046112013042e-06	1.17333174593741e-07
P46367	1.73400956758023e-06	3.10004354976316e-09	1.73710961112999e-06	3.10004354976316e-09
