enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.000913	0.001256	0.001597	0.001934	0.002268	0.0026	0.002928	0.003254	0.003576	0.003896	0.004212	0.004526	0.004837	0.005146	0.005451	0.005756	0.006062	0.006385	0.00671	0.007034	0.007358	0.007682	0.008006	0.008329	0.008653	0.008984	0.009316	0.009647	0.009979	0.010311	0.010643	0.010975	0.011308	0.01164	0.011972	0.012305	0.012637	0.01297	0.013302	0.013634	0.013967	0.014299	0.014603	0.014892	0.015179	0.015465	0.015749	0.016031	0.016312	0.016591	0.016868	0.017143	0.017417	0.017689	0.017949	0.018199	0.018392	0.018479	0.018097	0.017742	0.017304	0.016867	0.016434	0.016003	0.015574	0.015149	0.014725	0.014304	0.013886	0.01347	0.013057	0.012647	0.012239	0.011833	0.011431	0.01103	0.010633	0.010237	0.009845	0.009455	0.009067
P00128	Oxidative Phosphorylation	0.00077	0.00106	0.001347	0.001632	0.001914	0.002194	0.002471	0.002746	0.003018	0.003288	0.003555	0.00382	0.004083	0.004343	0.0046	0.004858	0.005116	0.005389	0.005663	0.005937	0.00621	0.006484	0.006757	0.00703	0.007303	0.007583	0.007862	0.008142	0.008422	0.008702	0.008983	0.009263	0.009544	0.009824	0.010105	0.010385	0.010666	0.010946	0.011227	0.011507	0.011788	0.012068	0.012325	0.012569	0.012811	0.013052	0.013292	0.01353	0.013767	0.014002	0.014236	0.014469	0.0147	0.014929	0.015149	0.01536	0.015523	0.015596	0.015274	0.014974	0.014604	0.014236	0.01387	0.013506	0.013145	0.012785	0.012428	0.012073	0.01172	0.011369	0.01102	0.010674	0.01033	0.009987	0.009647	0.009309	0.008974	0.00864	0.008309	0.00798	0.007653
P00163	Oxidative Phosphorylation	0.002309	0.003178	0.004039	0.004892	0.005738	0.006576	0.007407	0.008231	0.009047	0.009855	0.010657	0.011451	0.012237	0.013017	0.013789	0.014562	0.015335	0.016153	0.016974	0.017795	0.018615	0.019434	0.020253	0.021071	0.02189	0.022728	0.023566	0.024405	0.025245	0.026084	0.026924	0.027765	0.028605	0.029446	0.030287	0.031128	0.031969	0.03281	0.033651	0.034491	0.035332	0.036172	0.036942	0.037673	0.0384	0.039123	0.039841	0.040555	0.041265	0.04197	0.042671	0.043368	0.04406	0.044748	0.045407	0.046038	0.046527	0.046747	0.045782	0.044884	0.043774	0.042671	0.041574	0.040483	0.039399	0.038322	0.037251	0.036187	0.035129	0.034077	0.033032	0.031993	0.030961	0.029936	0.028917	0.027904	0.026898	0.025898	0.024905	0.023918	0.022938
P00330	Anaerobic excretion // Anaerobic excretion	0.040826	0.04049	0.040158	0.039828	0.039501	0.039178	0.038857	0.038538	0.038223	0.037911	0.037601	0.037295	0.036991	0.03669	0.036391	0.036114	0.035855	0.03571	0.035575	0.035439	0.035304	0.035169	0.035035	0.0349	0.034641	0.033574	0.032507	0.03144	0.030372	0.029304	0.028236	0.027168	0.026101	0.025033	0.023965	0.022898	0.02183	0.020764	0.019697	0.018631	0.017566	0.016501	0.015407	0.014305	0.01321	0.012121	0.01104	0.009966	0.008898	0.007838	0.006784	0.005737	0.004697	0.003664	0.002636	0.001616	0.000602	2e-06	0.000162	0.000338	0.000557	0.000776	0.000993	0.001208	0.001422	0.001635	0.001847	0.002057	0.002266	0.002473	0.00268	0.002884	0.003088	0.00329	0.003491	0.00369	0.003888	0.004085	0.00428	0.004474	0.004667
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.065959	0.064502	0.063058	0.061627	0.060208	0.058803	0.057411	0.056032	0.054666	0.053312	0.051971	0.050642	0.049326	0.048023	0.046731	0.045476	0.04425	0.043169	0.042102	0.041035	0.03997	0.038906	0.037843	0.036782	0.035726	0.034701	0.033676	0.03265	0.031624	0.030597	0.029571	0.028544	0.027517	0.02649	0.025464	0.024437	0.02341	0.022384	0.021358	0.020332	0.019307	0.018282	0.01913	0.020889	0.022635	0.024368	0.026089	0.027797	0.029493	0.031176	0.032847	0.034506	0.036152	0.037786	0.039387	0.040953	0.042379	0.045561	0.053513	0.062295	0.069684	0.07703	0.084332	0.091591	0.098806	0.105977	0.113105	0.120189	0.127229	0.134226	0.14118	0.148089	0.154955	0.161778	0.168556	0.175291	0.181983	0.188631	0.195235	0.201796	0.208312
P00360	Glycolysis // Glycolysis	0.065959	0.064502	0.063058	0.061627	0.060208	0.058803	0.057411	0.056032	0.054666	0.053312	0.051971	0.050642	0.049326	0.048023	0.046731	0.045476	0.04425	0.043169	0.042102	0.041035	0.03997	0.038906	0.037843	0.036782	0.035726	0.034701	0.033676	0.03265	0.031624	0.030597	0.029571	0.028544	0.027517	0.02649	0.025464	0.024437	0.02341	0.022384	0.021358	0.020332	0.019307	0.018282	0.017225	0.016158	0.015097	0.014042	0.012995	0.011954	0.010919	0.009892	0.00887	0.007856	0.006848	0.005846	0.004849	0.003857	0.002865	0.0024	0.002817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000987	0.001358	0.001726	0.00209	0.002452	0.00281	0.003165	0.003517	0.003865	0.004211	0.004553	0.004893	0.005229	0.005562	0.005892	0.006222	0.006552	0.006901	0.007252	0.007603	0.007954	0.008304	0.008653	0.009003	0.009353	0.009711	0.010069	0.010428	0.010786	0.011145	0.011504	0.011863	0.012222	0.012581	0.012941	0.0133	0.013659	0.014018	0.014378	0.014737	0.015096	0.015455	0.015784	0.016096	0.016407	0.016716	0.017023	0.017328	0.017631	0.017932	0.018232	0.018529	0.018825	0.019119	0.019401	0.019671	0.019879	0.019973	0.019561	0.019177	0.018703	0.018232	0.017763	0.017297	0.016834	0.016374	0.015916	0.015461	0.015009	0.01456	0.014113	0.01367	0.013229	0.01279	0.012355	0.011922	0.011492	0.011065	0.010641	0.010219	0.0098
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000479	0.00066	0.000838	0.001016	0.001191	0.001365	0.001538	0.001709	0.001878	0.002046	0.002212	0.002377	0.00254	0.002702	0.002862	0.003023	0.003183	0.003353	0.003524	0.003694	0.003864	0.004034	0.004204	0.004374	0.004544	0.004718	0.004892	0.005066	0.00524	0.005415	0.005589	0.005764	0.005938	0.006113	0.006287	0.006462	0.006636	0.006811	0.006985	0.00716	0.007334	0.007509	0.007669	0.007821	0.007971	0.008121	0.00827	0.008419	0.008566	0.008712	0.008858	0.009003	0.009146	0.009289	0.009426	0.009557	0.009658	0.009704	0.009504	0.009317	0.009087	0.008858	0.00863	0.008404	0.008179	0.007955	0.007733	0.007512	0.007292	0.007074	0.006857	0.006641	0.006427	0.006214	0.006003	0.005792	0.005584	0.005376	0.00517	0.004965	0.004762
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000509	0.000701	0.000891	0.001079	0.001266	0.001451	0.001634	0.001816	0.001996	0.002174	0.002351	0.002526	0.0027	0.002872	0.003042	0.003213	0.003383	0.003563	0.003745	0.003926	0.004107	0.004287	0.004468	0.004648	0.004829	0.005014	0.005199	0.005384	0.005569	0.005755	0.00594	0.006125	0.006311	0.006496	0.006682	0.006867	0.007053	0.007238	0.007424	0.007609	0.007795	0.00798	0.00815	0.008311	0.008472	0.008631	0.008789	0.008947	0.009103	0.009259	0.009414	0.009567	0.00972	0.009872	0.010017	0.010157	0.010264	0.010313	0.0101	0.009902	0.009657	0.009414	0.009172	0.008931	0.008692	0.008454	0.008218	0.007983	0.00775	0.007518	0.007287	0.007058	0.00683	0.006604	0.006379	0.006156	0.005934	0.005713	0.005494	0.005277	0.00506
