enzymes	ranges	minU	maxU	pU
P00127	4.63907585350422e-06	3.36116485300319e-06	8.00024070650741e-06	7.94997776346602e-06
P00128	4.63907585350422e-06	3.36116485300319e-06	8.00024070650741e-06	7.94997776346602e-06
P00163	4.63907585350422e-06	3.36116485300319e-06	8.00024070650741e-06	7.94997776346602e-06
P00330	0.00015049218457071	3.08641975308642e-05	0.000181356382101574	3.08641975308642e-05
P00358	0.000154700091545893	4.30822747190909e-05	0.000197782366264984	4.30822747190909e-05
P00359	0.000155133296637434	4.3202917574418e-05	0.000198336214211852	4.3202917574418e-05
P00360	0.000155118976480596	4.31989295681747e-05	0.000198317906048771	4.31989295681747e-05
P00401	1.47165207307471e-06	1.06627576460608e-06	2.53792783768079e-06	2.52198285214495e-06
P00410	1.47165207307471e-06	1.06627576460608e-06	2.53792783768079e-06	2.52198285214495e-06
P00420	1.47165207307471e-06	1.06627576460608e-06	2.53792783768079e-06	2.52198285214495e-06
P00425	1.63513026011423e-06	7.75899423322722e-07	2.41102968343695e-06	2.39508469790111e-06
P00427	1.63513026011423e-06	7.75899423322722e-07	2.41102968343695e-06	2.39508469790111e-06
P00549	1.63451589914513e-05	0	1.63451589914513e-05	4.20809402358344e-06
P00560	0.000123953993405831	3.45711500923795e-05	0.00015852514349821	3.45711500923795e-05
P00830	6.34596913671091e-06	0	6.34596913671091e-06	1.90222658627867e-10
P00854	6.34592852250843e-06	0	6.34592852250843e-06	1.90221441202852e-10
P00856	6.34592852250843e-06	0	6.34592852250843e-06	1.90221441202852e-10
P00890	8.22455761843739e-07	0	8.22455761843739e-07	8.22455761843739e-07
P00924	0.000118452852501959	3.26772091896826e-05	0.000151130061691642	3.26772091896826e-05
P00925	0.000118205158868107	3.26088787399097e-05	0.000150814037608017	3.26088787399097e-05
P00942	6.0901682007336e-05	3.21853549039964e-06	6.41202174977356e-05	3.21853549039964e-06
P00950	0.000200861384496354	4.85853650592288e-05	0.000249446749555583	4.85853650592288e-05
P04037	1.63513026011423e-06	7.75899423322722e-07	2.41102968343695e-06	2.39508469790111e-06
P04039	3.27026052022846e-06	1.55179884664544e-06	4.82205936687391e-06	4.79016939580223e-06
P04385	0	0	0	0
P04397	7.0918832363407e-05	0	7.0918832363407e-05	0
P04806	8.22527405970502e-06	0	8.22527405970502e-06	1.92395010219755e-06
P04807	1.71968516726155e-05	6.78276655417363e-08	1.72646793381573e-05	6.78276655417363e-08
P05626	6.34592852250843e-06	0	6.34592852250843e-06	1.90221441202852e-10
P06169	5.71894018465292e-05	6.23068366982915e-09	5.7195632530199e-05	1.24169143643839e-05
P07143	4.63907585350422e-06	3.36116485300319e-06	8.00024070650741e-06	7.94997776346602e-06
P07170	0.000228776298365054	0	0.000228776298365054	0
P07251	6.34596913671091e-06	0	6.34596913671091e-06	1.90222658627867e-10
P07255	1.47165207307471e-06	1.06627576460608e-06	2.53792783768079e-06	2.52198285214495e-06
P07256	4.63907585350422e-06	3.36116485300319e-06	8.00024070650741e-06	7.94997776346602e-06
P07257	4.63907585350422e-06	3.36116485300319e-06	8.00024070650741e-06	7.94997776346602e-06
P08067	4.63907585350422e-06	3.36116485300319e-06	8.00024070650741e-06	7.94997776346602e-06
