enzymes	ranges	minU	maxU	pU
P00127	1.04756600159542e-09	2.9659102098059e-05	2.96601496640606e-05	2.96594222157852e-05
P00128	1.04756600159542e-09	2.9659102098059e-05	2.96601496640606e-05	2.96594222157852e-05
P00163	1.04756600159542e-09	2.9659102098059e-05	2.96601496640606e-05	2.96594222157852e-05
P00330	9.40197451073506e-09	2.54744419669246e-06	2.55684617120319e-06	2.55033991875571e-06
P00358	2.39583589323285e-06	0	2.39583589323285e-06	0
P00359	7.26803977966614e-05	6.28925890940887e-05	0.00013557298689075	0.000135566315544477
P00360	7.26736887591616e-05	7.13623463373812e-06	7.98099233928997e-05	7.13623463373812e-06
P00401	3.32320865682232e-10	9.40879951200142e-06	9.4091318328671e-06	9.40890106340697e-06
P00410	3.32320865682232e-10	9.40879951200142e-06	9.4091318328671e-06	9.40890106340697e-06
P00420	3.32320865682232e-10	9.40879951200142e-06	9.4091318328671e-06	9.40890106340697e-06
P00425	3.32320865682232e-10	9.40879951200142e-06	9.4091318328671e-06	9.40890106340697e-06
P00427	4.38703577492164e-10	9.40869312928961e-06	9.4091318328671e-06	9.40890106340697e-06
P00549	3.68839137724798e-07	1.41949276305343e-05	1.45637667682591e-05	1.45634368257859e-05
P00560	5.36062651381621e-09	6.5315293978255e-06	6.53689002433932e-06	6.5315293978255e-06
P00830	5.37267746581632e-10	2.35944938657753e-05	2.35950311335219e-05	2.35944938657753e-05
P00854	5.37264308068323e-10	2.35943428610146e-05	2.35948801253226e-05	2.35943428610146e-05
P00856	5.37264308068323e-10	2.35943428610146e-05	2.35948801253226e-05	2.35943428610146e-05
P00890	5.31553248209263e-07	1.90985161384552e-06	2.44140486205479e-06	2.44125023932089e-06
P00924	7.44540753836445e-09	2.02514533375821e-09	9.47055287212266e-09	2.02514533375821e-09
P00925	7.4228009953997e-09	2.01899637081401e-09	9.44179736621371e-09	2.01899637081401e-09
P00942	8.9502622839254e-09	2.05655932232533e-07	2.14606194516458e-07	2.05655932232533e-07
P00950	8.82010388387337e-09	6.08513594741765e-06	6.09395605130152e-06	6.0852710343501e-06
P04037	3.32320865682232e-10	9.40879951200142e-06	9.4091318328671e-06	9.40890106340697e-06
P04039	6.64641731364465e-10	1.88175990240028e-05	1.88182636657342e-05	1.88178021268139e-05
P04385	0	0	0	0
P04397	3.0670199696993e-09	0	3.0670199696993e-09	0
P04806	1.46584287698919e-07	7.45353429187219e-06	7.60011857957111e-06	7.59984992687517e-06
P04807	8.24330908050927e-09	2.24217396186802e-09	1.04854830423773e-08	2.24217396186802e-09
P05626	5.37264308068323e-10	2.35943428610146e-05	2.35948801253226e-05	2.35943428610146e-05
P06169	2.82727163074897e-06	3.68925048748982e-05	3.97197765056472e-05	3.97173072587506e-05
P07143	1.04756600159542e-09	2.9659102098059e-05	2.96601496640606e-05	2.96594222157852e-05
P07170	1.56573201612917e-07	0	1.56573201612917e-07	0
P07251	5.37267746581632e-10	2.35944938657753e-05	2.35950311335219e-05	2.35944938657753e-05
P07255	3.32320865682232e-10	9.40879951200142e-06	9.4091318328671e-06	9.40890106340697e-06
P07256	1.04756600159542e-09	2.9659102098059e-05	2.96601496640606e-05	2.96594222157852e-05
P07257	1.04756600159542e-09	2.9659102098059e-05	2.96601496640606e-05	2.96594222157852e-05
