enzymes	ranges	minU	maxU	pU
P00127	9.18913609965113e-10	1.9962308278872e-05	1.9963227192482e-05	1.99625053085303e-05
P00128	9.18913609965113e-10	1.9962308278872e-05	1.9963227192482e-05	1.99625053085303e-05
P00163	9.18913609965113e-10	1.9962308278872e-05	1.9963227192482e-05	1.99625053085303e-05
P00330	9.70582415214326e-09	4.81050613655367e-06	4.82021196070582e-06	4.81349413124443e-06
P00358	2.47326365859812e-06	9.71572840391658e-07	3.44483649898978e-06	9.71572840391658e-07
P00359	7.50292568343171e-05	0.000134394722789369	0.000209423979623686	0.00020941705376864
P00360	7.50223309770937e-05	1.10749068389688e-05	8.60972378160624e-05	1.10749068389688e-05
P00401	2.91508282897069e-10	6.33267169625356e-06	6.33296320453646e-06	6.33273420025475e-06
P00410	2.91508282897069e-10	6.33267169625356e-06	6.33296320453646e-06	6.33273420025475e-06
P00420	2.91508282897069e-10	6.33267169625356e-06	6.33296320453646e-06	6.33273420025475e-06
P00425	2.91513246108646e-10	6.33267169129036e-06	6.33296320453646e-06	6.33273420025475e-06
P00427	2.91513246108646e-10	6.33267169129036e-06	6.33296320453646e-06	6.33273420025475e-06
P00549	3.80517404963783e-07	2.25842142474589e-05	2.29647316524227e-05	2.29646286485587e-05
P00560	5.5338693191181e-09	1.01508689663403e-05	1.01564028356594e-05	1.01508689663403e-05
P00830	6.22602330781696e-10	1.58839507738104e-05	1.58845733761412e-05	1.58840385663223e-05
P00854	6.2259834612526e-10	1.58838491165255e-05	1.58844717148716e-05	1.58839369084755e-05
P00856	6.2259834612526e-10	1.58838491165255e-05	1.58844717148716e-05	1.58839369084755e-05
P00890	5.48578976806073e-07	5.34666955287934e-07	1.08324593209401e-06	1.08324593209401e-06
P00924	7.68602554947876e-09	3.01930352168566e-09	1.07053290711644e-08	3.01930352168566e-09
P00925	7.66268841628583e-09	3.01013598928063e-09	1.06728244055665e-08	3.01013598928063e-09
P00942	9.23951365126386e-09	3.18842792767234e-07	3.28082306418497e-07	3.18842792767234e-07
P00950	8.96736460576157e-09	9.45978073815188e-06	9.46874810275765e-06	9.45978073815188e-06
P04037	2.91513246108646e-10	6.33267169129036e-06	6.33296320453646e-06	6.33273420025475e-06
P04039	5.83026492217292e-10	1.26653433825807e-05	1.26659264090729e-05	1.26654684005095e-05
P04385	0	0	0	0
P04397	3.16613882149839e-09	0	3.16613882149839e-09	0
P04806	1.51042457583762e-07	1.11789467123397e-05	1.13299891699235e-05	1.13299891699235e-05
