enzymes	ranges	minU	maxU	pU
P00127	3.10402244877627e-09	1.43956187113969e-05	1.43987227338457e-05	1.43986858367055e-05
P00128	3.10402244877627e-09	1.43956187113969e-05	1.43987227338457e-05	1.43986858367055e-05
P00163	3.10402244877627e-09	1.43956187113969e-05	1.43987227338457e-05	1.43986858367055e-05
P00330	0.000153741730579394	3.08641975308642e-05	0.000184605928110258	3.08641975308642e-05
P00358	0.000158040498002613	0	0.000158040498002613	0
P00359	0.00015848305720035	3.51961989376864e-05	0.000193679256138036	3.51961989376864e-05
P00360	0.000158468427831385	3.51929500214329e-05	0.000193661377852818	3.51929500214329e-05
P00401	9.8469349492551e-10	4.56674277794856e-06	4.56772747144349e-06	4.56771576651074e-06
P00410	9.8469349492551e-10	4.56674277794856e-06	4.56772747144349e-06	4.56771576651074e-06
P00420	9.8469349492551e-10	4.56674277794856e-06	4.56772747144349e-06	4.56771576651074e-06
P00425	7.31092196461378e-07	3.67842576038934e-06	4.40951795685072e-06	4.40950625191797e-06
P00427	7.31092196461378e-07	3.67842576038934e-06	4.40951795685072e-06	4.40950625191797e-06
P00549	1.60963713436762e-06	0	1.60963713436762e-06	1.60814846769901e-06
P00560	0.00012663050584853	2.82163861440837e-05	0.000154846891992613	2.82163861440837e-05
P00830	3.60864945493609e-09	1.14168821943746e-05	1.14204908438296e-05	1.14168878314377e-05
P00854	3.6086263595782e-09	1.14168091263286e-05	1.14204177526882e-05	1.14168147633556e-05
P00856	3.6086263595782e-09	1.14168091263286e-05	1.14204177526882e-05	1.14168147633556e-05
P00890	1.38482877607971e-06	7.69656285368604e-08	1.46179440461657e-06	1.46151036620321e-06
P00924	0.000121010579969091	2.63025235942215e-05	0.000147313103563312	2.63025235942215e-05
P00925	0.000120757537938832	2.6247523081267e-05	0.000147005061020099	2.6247523081267e-05
P00942	6.4084900665472e-05	2.42484006294009e-08	6.41091490661014e-05	2.42735089742727e-08
P00950	0.000205198922153344	7.35984270735942e-07	0.00020593490642408	7.36364699475471e-07
P04037	7.31092196461378e-07	3.67842576038934e-06	4.40951795685072e-06	4.40950625191797e-06
P04039	1.46218439292276e-06	7.35685152077868e-06	8.81903591370144e-06	8.81901250383595e-06
P04385	0	0	0	0
P04397	7.24501677566977e-05	1.5691770703836e-05	8.81419384605337e-05	1.5691770703836e-05
P04806	1.0514549336957e-06	5.84141629830947e-08	1.1098690966788e-06	1.1098690966788e-06
P04807	2.27386465534825e-06	0	2.27386465534825e-06	0
P05626	3.6086263595782e-09	1.14168091263286e-05	1.14204177526882e-05	1.14168147633556e-05
P06169	2.00961852176642e-07	1.188873884695e-08	2.12850591023592e-07	2.09151475196108e-07
P07143	3.10402244877627e-09	1.43956187113969e-05	1.43987227338457e-05	1.43986858367055e-05
P07170	0.000233841952090927	0	0.000233841952090927	0
P07251	3.60864945493609e-09	1.14168821943746e-05	1.14204908438296e-05	1.14168878314377e-05
P07255	9.8469349492551e-10	4.56674277794856e-06	4.56772747144349e-06	4.56771576651074e-06
P07256	3.10402244877627e-09	1.43956187113969e-05	1.43987227338457e-05	1.43986858367055e-05
P07257	3.10402244877627e-09	1.43956187113969e-05	1.43987227338457e-05	1.43986858367055e-05
P08067	3.10402244877627e-09	1.43956187113969e-05	1.43987227338457e-05	1.43986858367055e-05
P08417	0.000106586171292481	2.3291028544111e-05	0.000129877199836592	2.3291028544111e-05
P08431	0.000133661035883253	2.8949254253773e-05	0.000162610290137026	2.8949254253773e-05
P08525	3.10402244877627e-09	1.43956187113969e-05	1.43987227338457e-05	1.43986858367055e-05
P09201	4.95752911044833e-09	0	4.95752911044833e-09	0
P09457	3.6086263595782e-09	1.14168091263286e-05	1.14204177526882e-05	1.14168147633556e-05
P09624	3.32208772981592e-08	6.58084898481979e-06	6.61406986211795e-06	6.58122315046602e-06
P0CX10	0.000119702726505548	2.60182521975282e-05	0.000145720978703076	2.60182521975282e-05
P0CX11	0.000119702726505553	2.60182521975282e-05	0.000145720978703081	2.60182521975282e-05
P10174	7.31092196461378e-07	3.67842576038934e-06	4.40951795685072e-06	4.40950625191797e-06
P10963	5.5732222418739e-09	0	5.5732222418739e-09	0
P11154	9.1393369658566e-07	0	9.1393369658566e-07	9.13659870608346e-07
P11412	1.21235098448932e-09	1.26934534620951e-07	1.2814688560544e-07	1.27115749207949e-07
P12695	2.4105222778857e-09	4.77509457168623e-07	4.79919979446509e-07	4.77536606801601e-07
P12709	9.2420854289044e-05	2.76324708176445e-07	9.26971789972205e-05	2.77277267464517e-07
P14540	0.000142993923636765	6.48529064392137e-06	0.000149479214280687	6.49198298353499e-06
P15019	0.000152965712983234	7.47140073109883e-07	0.000153712853056344	7.48213786505523e-07
P16387	3.32208772981592e-08	6.58084898481979e-06	6.61406986211795e-06	6.58122315046602e-06
