enzymes	ranges	minU	maxU	pU
P00127	7.96235839349742e-09	3.31010308278816e-05	3.31089931862751e-05	3.31089565649726e-05
P00128	7.96235839349742e-09	3.31010308278816e-05	3.31089931862751e-05	3.31089565649726e-05
P00163	7.96235839349742e-09	3.31010308278816e-05	3.31089931862751e-05	3.31089565649726e-05
P00330	5.20432978178091e-05	9.63712445616564e-06	6.16804222739747e-05	9.63712445616564e-06
P00358	5.7405919157607e-05	1.18828021551063e-05	6.92887213127133e-05	1.18828021551063e-05
P00359	5.75666723686435e-05	1.19160774450168e-05	6.94827498136603e-05	1.58344666238783e-05
P00360	5.75613584625043e-05	1.19149774870993e-05	6.94763359496035e-05	1.19149774870993e-05
P00401	2.52591037717334e-09	1.05006875012746e-05	1.05032134116518e-05	1.05032017942235e-05
P00410	2.52591037717334e-09	1.05006875012746e-05	1.05032134116518e-05	1.05032017942235e-05
P00420	2.52591037717334e-09	1.05006875012746e-05	1.05032134116518e-05	1.05032017942235e-05
P00425	2.48785121632345e-07	1.02086398611035e-05	1.04574249827358e-05	1.04574133653075e-05
P00427	2.48785121632345e-07	1.02086398611035e-05	1.04574249827358e-05	1.04574133653075e-05
P00549	3.86279685220798e-06	0	3.86279685220798e-06	3.8589770164807e-06
P00560	4.28658445814206e-05	9.7356153434345e-06	5.26014599248551e-05	9.7356153434345e-06
P00830	9.77699548381164e-09	2.62521571311093e-05	2.62619341265931e-05	2.62521627260305e-05
P00854	9.7769329110416e-09	2.62519891173037e-05	2.62617660502147e-05	2.62519947121891e-05
P00856	9.7769329110416e-09	2.62519891173037e-05	2.62617660502147e-05	2.62519947121891e-05
P00890	3.38175439978902e-06	0	3.38175439978902e-06	3.38175439978902e-06
P00924	4.09634367240651e-05	7.79754599347168e-06	4.87609827175367e-05	7.79754599347168e-06
P00925	4.08777791625717e-05	7.78124075082487e-06	4.86590199133966e-05	7.78124075082487e-06
P00942	6.08218499045213e-05	3.25634667662748e-06	6.40781965811488e-05	3.25634667662748e-06
P00950	6.94620048427155e-05	1.45378917260615e-05	8.3999896568777e-05	1.45378917260615e-05
P04037	2.48785121632345e-07	1.02086398611035e-05	1.04574249827358e-05	1.04574133653075e-05
P04039	4.97570243264689e-07	2.0417279722207e-05	2.09148499654716e-05	2.0914826730615e-05
P04385	0	0	0	0
P04397	2.45251932790293e-05	0	2.45251932790293e-05	0
P04806	2.24763758381842e-06	0	2.24763758381842e-06	2.24763758381842e-06
