enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.000807	0.001113	0.001419	0.001723	0.002026	0.002328	0.002628	0.002928	0.003226	0.003523	0.003819	0.004114	0.004407	0.004699	0.00499	0.005279	0.005568	0.005871	0.006179	0.006491	0.006803	0.007117	0.007432	0.007748	0.008065	0.00839	0.008717	0.009045	0.009374	0.009705	0.010038	0.010372	0.010707	0.011043	0.011381	0.011721	0.012062	0.012404	0.012747	0.013092	0.013438	0.013785	0.014134	0.014484	0.014835	0.015188	0.015539	0.015835	0.016129	0.016422	0.016714	0.017005	0.017295	0.017583	0.017861	0.018118	0.018354	0.018479	0.018097	0.017742	0.017303	0.016867	0.016433	0.016002	0.015574	0.015148	0.014724	0.014303	0.013885	0.013469	0.013056	0.012646	0.012238	0.011832	0.011429	0.011029	0.010631	0.010236	0.009843	0.009453	0.009066
P00128	Oxidative Phosphorylation	0.000681	0.00094	0.001197	0.001454	0.00171	0.001965	0.002218	0.002471	0.002723	0.002974	0.003223	0.003472	0.00372	0.003966	0.004212	0.004456	0.004699	0.004955	0.005215	0.005478	0.005742	0.006007	0.006273	0.006539	0.006807	0.007081	0.007357	0.007634	0.007912	0.008191	0.008472	0.008754	0.009036	0.009321	0.009606	0.009892	0.01018	0.010469	0.010758	0.011049	0.011342	0.011635	0.011929	0.012224	0.012521	0.012818	0.013115	0.013364	0.013613	0.01386	0.014107	0.014352	0.014596	0.01484	0.015075	0.015292	0.015491	0.015596	0.015274	0.014974	0.014604	0.014235	0.013869	0.013506	0.013144	0.012784	0.012427	0.012072	0.011719	0.011368	0.011019	0.010673	0.010328	0.009986	0.009646	0.009308	0.008973	0.008639	0.008308	0.007978	0.007651
P00163	Oxidative Phosphorylation	0.002041	0.002816	0.003589	0.004358	0.005125	0.005889	0.006649	0.007407	0.008162	0.008913	0.009662	0.010407	0.011149	0.011888	0.012624	0.013356	0.014085	0.014853	0.015631	0.01642	0.017211	0.018005	0.018801	0.0196	0.020403	0.021225	0.022051	0.022881	0.023715	0.024552	0.025393	0.026237	0.027085	0.027937	0.028792	0.029651	0.030513	0.031378	0.032247	0.033119	0.033995	0.034874	0.035756	0.036641	0.03753	0.038421	0.039311	0.040058	0.040803	0.041544	0.042283	0.043018	0.043751	0.04448	0.045185	0.045834	0.046431	0.046747	0.045781	0.044882	0.043772	0.042669	0.041572	0.040481	0.039397	0.03832	0.037249	0.036184	0.035126	0.034074	0.033029	0.03199	0.030958	0.029932	0.028913	0.0279	0.026894	0.025894	0.024901	0.023914	0.022934
P00330	Anaerobic excretion // Anaerobic excretion	0.036081	0.035878	0.035676	0.035474	0.035274	0.035074	0.034874	0.034676	0.034478	0.034281	0.034085	0.03389	0.033696	0.033502	0.033309	0.033117	0.032926	0.032831	0.032754	0.032695	0.032636	0.032577	0.032517	0.032458	0.032282	0.031349	0.030412	0.029471	0.028526	0.027578	0.026625	0.025669	0.024709	0.023746	0.022778	0.021807	0.020832	0.019854	0.018872	0.017887	0.016898	0.015905	0.01491	0.01391	0.012908	0.011902	0.010891	0.009842	0.008797	0.007757	0.006721	0.00569	0.004664	0.003642	0.002623	0.001608	0.000601	2e-06	0.000162	0.000338	0.000558	0.000776	0.000993	0.001209	0.001423	0.001636	0.001847	0.002057	0.002266	0.002474	0.00268	0.002885	0.003088	0.00329	0.003491	0.003691	0.003889	0.004086	0.004281	0.004475	0.004668
P00358	Glycolysis // Glycolysis	0.058292	0.057154	0.05602	0.05489	0.053765	0.052644	0.051528	0.050416	0.04931	0.048208	0.047111	0.046019	0.044932	0.04385	0.042774	0.041702	0.040636	0.039689	0.038763	0.037857	0.036949	0.036038	0.035124	0.034208	0.033293	0.032401	0.031505	0.030606	0.029702	0.028795	0.027884	0.026969	0.02605	0.025128	0.024202	0.023273	0.02234	0.021404	0.020464	0.01952	0.018573	0.017623	0.016669	0.015712	0.014752	0.013788	0.012819	0.011805	0.010795	0.00979	0.008788	0.007791	0.006799	0.00581	0.004824	0.003839	0.002859	0.00059	0.000298	0.000323	0.000353	0.000382	0.000412	0.000442	0.000471	0.0005	0.000529	0.000558	0.000586	0.000615	0.000643	0.000671	0.000699	0.000727	0.000754	0.000782	0.000809	0.000836	0.000863	0.00089	0.000917
P00359	Glycolysis // Glycolysis	0.058292	0.057154	0.05602	0.05489	0.053764	0.052644	0.051528	0.050416	0.04931	0.048208	0.047111	0.046019	0.044932	0.04385	0.042774	0.041702	0.040635	0.039689	0.038763	0.037857	0.036949	0.036038	0.035124	0.034208	0.033293	0.032401	0.031505	0.030606	0.029702	0.028795	0.027884	0.026969	0.02605	0.025128	0.024202	0.023273	0.02234	0.021403	0.020463	0.01952	0.018573	0.017623	0.016669	0.015712	0.014752	0.013788	0.012961	0.015687	0.0184	0.0211	0.023787	0.02646	0.029121	0.031768	0.034384	0.036945	0.039443	0.044974	0.053218	0.058863	0.065854	0.072804	0.079712	0.086578	0.093404	0.100188	0.106931	0.113633	0.120293	0.126912	0.13349	0.140026	0.146522	0.152976	0.159388	0.16576	0.17209	0.178379	0.184626	0.190833	0.196998
P00360	Glycolysis // Glycolysis	0.058292	0.057154	0.05602	0.05489	0.053764	0.052644	0.051528	0.050416	0.04931	0.048208	0.047111	0.046019	0.044932	0.04385	0.042774	0.041702	0.040635	0.039689	0.038763	0.037857	0.036949	0.036038	0.035124	0.034208	0.033293	0.032401	0.031505	0.030606	0.029702	0.028795	0.027884	0.026969	0.02605	0.025128	0.024202	0.023273	0.02234	0.021403	0.020463	0.01952	0.018573	0.017623	0.016669	0.015712	0.014752	0.013788	0.012819	0.011805	0.010795	0.009789	0.008788	0.007791	0.006799	0.00581	0.004824	0.003839	0.002859	0.0024	0.002817	0.003116	0.003486	0.003853	0.004218	0.004581	0.004942	0.005301	0.005657	0.006012	0.006364	0.006714	0.007061	0.007407	0.00775	0.008092	0.008431	0.008768	0.009102	0.009435	0.009765	0.010093	0.010419
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000872	0.001203	0.001533	0.001862	0.00219	0.002516	0.002841	0.003165	0.003487	0.003808	0.004128	0.004447	0.004764	0.005079	0.005394	0.005706	0.006018	0.006346	0.006679	0.007016	0.007354	0.007693	0.008033	0.008374	0.008717	0.009069	0.009422	0.009776	0.010133	0.01049	0.010849	0.01121	0.011573	0.011936	0.012302	0.012669	0.013037	0.013407	0.013778	0.014151	0.014525	0.0149	0.015277	0.015655	0.016035	0.016416	0.016796	0.017115	0.017433	0.01775	0.018066	0.01838	0.018693	0.019005	0.019306	0.019583	0.019838	0.019973	0.019561	0.019177	0.018702	0.018231	0.017762	0.017296	0.016833	0.016373	0.015915	0.01546	0.015008	0.014559	0.014112	0.013668	0.013227	0.012789	0.012354	0.011921	0.011491	0.011064	0.010639	0.010218	0.009799
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000424	0.000585	0.000745	0.000905	0.001064	0.001222	0.00138	0.001538	0.001694	0.00185	0.002006	0.00216	0.002314	0.002468	0.002621	0.002772	0.002924	0.003083	0.003245	0.003409	0.003573	0.003738	0.003903	0.004069	0.004235	0.004406	0.004578	0.00475	0.004923	0.005097	0.005271	0.005447	0.005623	0.005799	0.005977	0.006155	0.006334	0.006514	0.006694	0.006875	0.007057	0.007239	0.007422	0.007606	0.007791	0.007976	0.00816	0.008316	0.00847	0.008624	0.008777	0.00893	0.009082	0.009234	0.00938	0.009515	0.009639	0.009704	0.009504	0.009317	0.009087	0.008857	0.00863	0.008403	0.008178	0.007955	0.007732	0.007511	0.007292	0.007073	0.006856	0.006641	0.006427	0.006214	0.006002	0.005792	0.005583	0.005375	0.005169	0.004964	0.004761
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.00045	0.000621	0.000792	0.000961	0.001131	0.001299	0.001467	0.001634	0.001801	0.001966	0.002132	0.002296	0.00246	0.002623	0.002785	0.002946	0.003107	0.003277	0.003448	0.003622	0.003797	0.003972	0.004148	0.004324	0.004501	0.004683	0.004865	0.005048	0.005232	0.005417	0.005602	0.005788	0.005975	0.006163	0.006352	0.006541	0.006731	0.006922	0.007114	0.007307	0.0075	0.007694	0.007888	0.008083	0.00828	0.008476	0.008672	0.008837	0.009002	0.009165	0.009328	0.00949	0.009652	0.009813	0.009968	0.010112	0.010243	0.010313	0.0101	0.009902	0.009657	0.009413	0.009171	0.008931	0.008692	0.008454	0.008218	0.007983	0.007749	0.007517	0.007287	0.007057	0.00683	0.006603	0.006379	0.006155	0.005933	0.005713	0.005493	0.005276	0.005059
