enzymes	ranges	minU	maxU	pU
P00127	4.50578019465148e-10	2.60544120655769e-05	2.60548626435964e-05	2.60544873433883e-05
P00128	4.50578019465148e-10	2.60544120655769e-05	2.60548626435964e-05	2.60544873433883e-05
P00163	4.50578019465148e-10	2.60544120655769e-05	2.60548626435964e-05	2.60544873433883e-05
P00330	4.57311977523116e-09	3.39087242565483e-06	3.39544554543007e-06	3.39228083878758e-06
P00358	1.16533441827614e-06	0	1.16533441827614e-06	0
P00359	3.53517406457551e-05	0.000128041969838619	0.000163393710484374	0.000163390447210264
P00360	3.53484773548169e-05	8.60095086639876e-06	4.39494282212156e-05	8.60095086639876e-06
P00401	1.42937511582079e-10	8.26527852116355e-06	8.26542145867513e-06	8.26530240165165e-06
P00410	1.42937511582079e-10	8.26527852116355e-06	8.26542145867513e-06	8.26530240165165e-06
P00420	1.42937511582079e-10	8.26527852116355e-06	8.26542145867513e-06	8.26530240165165e-06
P00425	1.42937511582079e-10	8.26527852116355e-06	8.26542145867513e-06	8.26530240165165e-06
P00427	1.42937511582079e-10	8.26527852116355e-06	8.26542145867513e-06	8.26530240165165e-06
P00549	1.79289573323066e-07	1.74534914806738e-05	1.76327810539968e-05	1.7632732377002e-05
P00560	2.60740837800239e-09	7.87754027842204e-06	7.88014768680004e-06	7.87754027842204e-06
P00830	3.00072667265523e-10	2.07281420240153e-05	2.07284420966825e-05	2.07281878173752e-05
P00854	3.00070746801274e-10	2.07280093639063e-05	2.07283094346531e-05	2.07280551569732e-05
P00856	3.00070746801274e-10	2.07280093639063e-05	2.07283094346531e-05	2.07280551569732e-05
P00890	2.58548181194642e-07	1.67877972588e-06	1.93732790707464e-06	1.93724919700169e-06
P00924	3.62144572913718e-09	2.39441498191079e-09	6.01586071104796e-09	2.39441498191079e-09
P00925	3.6104499081033e-09	2.3871448029506e-09	5.9975947110539e-09	2.3871448029506e-09
P00942	4.35340697685782e-09	2.47749805634806e-07	2.52103212611663e-07	2.47749805634806e-07
