enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.000913	0.001256	0.001597	0.001934	0.002269	0.0026	0.002929	0.003254	0.003577	0.003897	0.004214	0.004527	0.004839	0.005147	0.005452	0.005758	0.006063	0.006387	0.006712	0.007036	0.00736	0.007684	0.008008	0.008332	0.008656	0.008987	0.009318	0.00965	0.009982	0.010314	0.010646	0.010979	0.011311	0.011644	0.011976	0.012309	0.012641	0.012974	0.013307	0.013639	0.013972	0.014304	0.014608	0.014897	0.015185	0.015471	0.015755	0.016037	0.016318	0.016597	0.016874	0.01715	0.017423	0.017696	0.017956	0.018206	0.018399	0.018479	0.018097	0.017742	0.017303	0.016867	0.016433	0.016002	0.015573	0.015148	0.014724	0.014303	0.013885	0.013469	0.013056	0.012646	0.012238	0.011832	0.011429	0.011029	0.010631	0.010236	0.009843	0.009453	0.009065
P00128	Oxidative Phosphorylation	0.00077	0.00106	0.001348	0.001632	0.001915	0.002195	0.002472	0.002747	0.003019	0.003289	0.003556	0.003821	0.004084	0.004344	0.004602	0.004859	0.005117	0.00539	0.005664	0.005938	0.006212	0.006486	0.006759	0.007032	0.007305	0.007585	0.007865	0.008145	0.008425	0.008705	0.008986	0.009266	0.009547	0.009827	0.010108	0.010389	0.010669	0.01095	0.011231	0.011511	0.011792	0.012072	0.012329	0.012573	0.012816	0.013057	0.013297	0.013535	0.013772	0.014008	0.014242	0.014474	0.014705	0.014935	0.015155	0.015366	0.015528	0.015596	0.015274	0.014974	0.014604	0.014235	0.013869	0.013506	0.013144	0.012784	0.012427	0.012072	0.011719	0.011368	0.011019	0.010673	0.010328	0.009986	0.009646	0.009308	0.008973	0.008639	0.008308	0.007978	0.007651
P00163	Oxidative Phosphorylation	0.002309	0.003178	0.004039	0.004893	0.005739	0.006578	0.007409	0.008232	0.009049	0.009858	0.010659	0.011453	0.01224	0.01302	0.013793	0.014566	0.015339	0.016157	0.016979	0.0178	0.01862	0.01944	0.020259	0.021077	0.021897	0.022735	0.023573	0.024413	0.025252	0.026092	0.026933	0.027774	0.028614	0.029456	0.030297	0.031138	0.03198	0.032821	0.033662	0.034503	0.035345	0.036185	0.036955	0.037687	0.038414	0.039137	0.039856	0.04057	0.04128	0.041986	0.042687	0.043384	0.044077	0.044765	0.045425	0.046057	0.046544	0.046747	0.045781	0.044882	0.043772	0.042669	0.041572	0.040481	0.039397	0.038319	0.037248	0.036184	0.035126	0.034074	0.033029	0.03199	0.030958	0.029932	0.028913	0.0279	0.026894	0.025894	0.024901	0.023914	0.022933
P00330	Anaerobic excretion // Anaerobic excretion	0.040826	0.040491	0.040158	0.039829	0.039502	0.039179	0.038858	0.03854	0.038225	0.037913	0.037604	0.037297	0.036993	0.036692	0.036394	0.036117	0.035858	0.035713	0.035578	0.035443	0.035308	0.035173	0.035038	0.034903	0.034645	0.033578	0.032511	0.031444	0.030376	0.029308	0.02824	0.027172	0.026104	0.025036	0.023969	0.022901	0.021834	0.020767	0.0197	0.018634	0.017569	0.016504	0.01541	0.014307	0.013212	0.012124	0.011042	0.009968	0.0089	0.007839	0.006785	0.005738	0.004698	0.003665	0.002637	0.001616	0.000602	2e-06	0.000162	0.000338	0.000557	0.000776	0.000992	0.001208	0.001422	0.001635	0.001847	0.002057	0.002266	0.002473	0.002679	0.002884	0.003087	0.00329	0.00349	0.00369	0.003888	0.004084	0.00428	0.004474	0.004667
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.065959	0.064502	0.063059	0.061628	0.06021	0.058805	0.057414	0.056034	0.054668	0.053315	0.051974	0.050645	0.049329	0.048026	0.046735	0.045479	0.044253	0.043173	0.042105	0.041039	0.039973	0.038909	0.037847	0.036786	0.03573	0.034705	0.03368	0.032654	0.031628	0.030601	0.029575	0.028548	0.027521	0.026494	0.025467	0.024441	0.023414	0.022388	0.021362	0.020336	0.019311	0.018286	0.019138	0.020897	0.022643	0.024377	0.026098	0.027807	0.029503	0.031187	0.032859	0.034518	0.036165	0.037799	0.0394	0.040967	0.042392	0.045562	0.053515	0.059185	0.066206	0.073185	0.080122	0.087019	0.093873	0.100687	0.107458	0.114189	0.120878	0.127525	0.134131	0.140695	0.147219	0.1537	0.160141	0.166539	0.172897	0.179213	0.185487	0.19172	0.197912
P00360	Glycolysis // Glycolysis	0.065959	0.064502	0.063059	0.061628	0.06021	0.058805	0.057414	0.056034	0.054668	0.053315	0.051974	0.050645	0.049329	0.048026	0.046735	0.045479	0.044253	0.043173	0.042105	0.041039	0.039973	0.038909	0.037847	0.036786	0.03573	0.034705	0.03368	0.032654	0.031628	0.030601	0.029575	0.028548	0.027521	0.026494	0.025467	0.024441	0.023414	0.022388	0.021362	0.020336	0.019311	0.018286	0.017228	0.01616	0.015099	0.014045	0.012997	0.011956	0.010921	0.009894	0.008872	0.007857	0.006849	0.005848	0.00485	0.003858	0.002865	0.0024	0.002817	0.003116	0.003486	0.003853	0.004218	0.004581	0.004942	0.005301	0.005657	0.006012	0.006364	0.006714	0.007061	0.007407	0.00775	0.008092	0.008431	0.008768	0.009102	0.009435	0.009765	0.010093	0.010419
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000987	0.001358	0.001726	0.002091	0.002452	0.00281	0.003166	0.003517	0.003866	0.004212	0.004554	0.004894	0.00523	0.005563	0.005893	0.006223	0.006554	0.006903	0.007254	0.007605	0.007956	0.008306	0.008656	0.009005	0.009356	0.009714	0.010072	0.010431	0.010789	0.011148	0.011507	0.011867	0.012226	0.012585	0.012945	0.013304	0.013664	0.014023	0.014383	0.014742	0.015101	0.015461	0.01579	0.016102	0.016413	0.016722	0.017029	0.017334	0.017637	0.017939	0.018239	0.018536	0.018832	0.019127	0.019408	0.019678	0.019886	0.019973	0.019561	0.019177	0.018702	0.018231	0.017762	0.017296	0.016833	0.016373	0.015915	0.01546	0.015008	0.014559	0.014112	0.013668	0.013227	0.012789	0.012353	0.011921	0.011491	0.011064	0.010639	0.010218	0.009799
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000479	0.00066	0.000839	0.001016	0.001191	0.001365	0.001538	0.001709	0.001878	0.002046	0.002213	0.002378	0.002541	0.002703	0.002863	0.003024	0.003184	0.003354	0.003525	0.003695	0.003865	0.004035	0.004205	0.004375	0.004545	0.004719	0.004894	0.005068	0.005242	0.005416	0.005591	0.005765	0.00594	0.006115	0.006289	0.006464	0.006639	0.006813	0.006988	0.007162	0.007337	0.007512	0.007671	0.007823	0.007974	0.008124	0.008274	0.008422	0.008569	0.008716	0.008861	0.009006	0.00915	0.009293	0.00943	0.009561	0.009662	0.009704	0.009504	0.009317	0.009087	0.008857	0.00863	0.008403	0.008178	0.007955	0.007732	0.007511	0.007292	0.007073	0.006856	0.006641	0.006426	0.006214	0.006002	0.005792	0.005583	0.005375	0.005169	0.004964	0.004761
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000509	0.000701	0.000891	0.001079	0.001266	0.001451	0.001634	0.001816	0.001996	0.002175	0.002352	0.002527	0.0027	0.002872	0.003043	0.003213	0.003384	0.003564	0.003746	0.003927	0.004108	0.004289	0.004469	0.00465	0.004831	0.005016	0.005201	0.005386	0.005571	0.005756	0.005942	0.006127	0.006313	0.006498	0.006684	0.006869	0.007055	0.007241	0.007426	0.007612	0.007797	0.007983	0.008153	0.008314	0.008475	0.008634	0.008793	0.00895	0.009107	0.009263	0.009417	0.009571	0.009724	0.009876	0.010021	0.010161	0.010268	0.010313	0.0101	0.009902	0.009657	0.009413	0.009171	0.008931	0.008691	0.008454	0.008217	0.007983	0.007749	0.007517	0.007287	0.007057	0.00683	0.006603	0.006379	0.006155	0.005933	0.005713	0.005493	0.005276	0.005059
