enzymes	ranges	minU	maxU	pU
P00127	5.32397487803659e-10	3.71408482904906e-05	3.71413806879784e-05	3.71409295637911e-05
P00128	5.32397487803659e-10	3.71408482904906e-05	3.71413806879784e-05	3.71409295637911e-05
P00163	5.32397487803659e-10	3.71408482904906e-05	3.71413806879784e-05	3.71409295637911e-05
P00330	5.38681824472065e-09	7.98567215610148e-07	8.03954033854869e-07	8.00226409736196e-07
P00358	1.37268320453686e-06	0	1.37268320453686e-06	0
P00359	4.16419011140378e-05	3.61607323827603e-05	7.7802633496798e-05	7.77987895859939e-05
P00360	4.16380572057188e-05	4.09547030192036e-06	4.57335275076391e-05	4.09547030192036e-06
P00401	1.68893218912425e-10	1.17822445910713e-05	1.17824134842902e-05	1.1782270373517e-05
P00410	1.68893218912425e-10	1.17822445910713e-05	1.17824134842902e-05	1.1782270373517e-05
P00420	1.68893218912425e-10	1.17822445910713e-05	1.17824134842902e-05	1.1782270373517e-05
P00425	3.11394631937674e-10	1.17821020896583e-05	1.17824134842902e-05	1.17821020896583e-05
P00427	1.68893218912425e-10	1.17822445910713e-05	1.17824134842902e-05	1.1782270373517e-05
P00549	2.1119021056527e-07	7.97754739009591e-06	8.18873760066118e-06	8.18868074716264e-06
P00560	3.07134641471882e-09	3.7370365470214e-06	3.74010789343612e-06	3.7370365470214e-06
P00830	3.52621348058548e-10	2.95428252256464e-05	2.95431778469945e-05	2.95428795549421e-05
P00854	3.52619091281562e-10	2.9542636151565e-05	2.95429887706563e-05	2.9542690480513e-05
P00856	3.52619091281562e-10	2.9542636151565e-05	2.95429887706563e-05	2.9542690480513e-05
P00890	3.04550261142807e-07	3.27150083728495e-06	3.57605109842776e-06	3.5759588130471e-06
P00924	4.26581215716801e-09	1.26000862114458e-09	5.52582077831259e-09	1.26000862114458e-09
P00925	4.25285984153057e-09	1.25618284815356e-09	5.50904268968413e-09	1.25618284815356e-09
P00942	5.13055526487583e-09	1.16759479935096e-07	1.21890035199972e-07	1.16762023407326e-07
P00950	5.05346954146861e-09	3.48156947730704e-06	3.48662294684851e-06	3.4816459801827e-06
P04037	1.68893218912425e-10	1.17822445910713e-05	1.17824134842902e-05	1.1782270373517e-05
P04039	3.37786437845178e-10	2.35644891821426e-05	2.35648269685804e-05	2.3564540747034e-05
P04385	0	0	0	0
P04397	1.7572350480179e-09	0	1.7572350480179e-09	0
P04806	8.38298998001091e-08	4.6452706290087e-06	4.72910052880881e-06	4.72910052880881e-06
P04807	4.72296619098903e-09	0	4.72296619098903e-09	0
P05626	3.52619091281562e-10	2.9542636151565e-05	2.95429887706563e-05	2.9542690480513e-05
P06169	1.61858194140855e-06	1.27867484832914e-05	1.44053304247e-05	1.44052075758401e-05
P07143	5.32397487803659e-10	3.71408482904906e-05	3.71413806879784e-05	3.71409295637911e-05
P07170	8.97078989161814e-08	0	8.97078989161814e-08	0
P07251	3.52621348058548e-10	2.95428252256464e-05	2.95431778469945e-05	2.95428795549421e-05
P07255	1.68893218912425e-10	1.17822445910713e-05	1.17824134842902e-05	1.1782270373517e-05
P07256	5.32397487803659e-10	3.71408482904906e-05	3.71413806879784e-05	3.71409295637911e-05
P07257	5.32397487803659e-10	3.71408482904906e-05	3.71413806879784e-05	3.71409295637911e-05
P08067	5.32397487803659e-10	3.71408482904906e-05	3.71413806879784e-05	3.71409295637911e-05
P08417	2.58518319034347e-09	4.89635968870818e-07	4.92221152061161e-07	4.89635968870818e-07
P08431	3.2418676735823e-09	0	3.2418676735823e-09	0
P08525	5.32397487803659e-10	3.71408482904906e-05	3.71413806879784e-05	3.71409295637911e-05
P09201	2.47719150513223e-10	0	2.47719150513223e-10	0
P09457	3.52619091281562e-10	2.9542636151565e-05	2.95429887706563e-05	2.9542690480513e-05
P09624	1.78646267579163e-09	1.62009008783747e-05	1.62026873410505e-05	1.62018361967311e-05
P0CX10	7.40867966685159e-06	4.3667230225623e-07	7.84535196910782e-06	4.3667230225623e-07
P0CX11	7.40867966685121e-06	4.3667230225623e-07	7.84535196910743e-06	4.3667230225623e-07
P10174	3.11394631937674e-10	1.17821020896583e-05	1.17824134842902e-05	1.17821020896583e-05
P10963	2.12742123550219e-10	0	2.12742123550219e-10	0
P11154	2.02089025672985e-06	7.66200218252898e-07	2.78709047498274e-06	2.78639148716097e-06
P11412	8.02451072640968e-11	2.36711439974905e-07	2.36791685082169e-07	2.3670296775773e-07
P12695	1.29616472402635e-10	1.17554488819306e-06	1.17567450466546e-06	1.17561275532717e-06
P12709	2.30726699641129e-09	1.47189131467594e-06	1.47419858167235e-06	1.47195699277387e-06
P14540	4.14601553777046e-09	3.11852594704574e-05	3.11894054859952e-05	3.11859374169604e-05
P15019	3.76427459721421e-09	1.38813293554419e-06	1.39189721014141e-06	1.38818714534566e-06
P16387	1.78646267579163e-09	1.62009008783747e-05	1.62026873410505e-05	1.62018361967311e-05
P16451	1.78562134934218e-10	1.17549595261916e-06	1.17567451475409e-06	1.17549595261916e-06
P16467	3.29747033281801e-07	9.73985936285255e-08	4.27145626910327e-07	9.73985936285255e-08
P16861	5.69694136620175e-09	1.35442523882421e-09	7.05136660502597e-09	1.43173328511787e-09
P16862	4.48627470831954e-09	2.83343026891052e-06	2.83791654361884e-06	2.83791654361884e-06
P17505	3.85433746178112e-09	2.65858662387247e-06	2.66244096133425e-06	2.65858662387247e-06
P17709	8.38298997969336e-08	2.47611457291297e-08	1.08591045526063e-07	2.47611457291297e-08
P19414	1.68889917860197e-09	3.61465502917916e-06	3.61634392835776e-06	3.61472625564041e-06
P19516	1.02388915080451e-09	0	1.02388915080451e-09	0
P20967	2.88560614092605e-09	1.81994902567052e-05	1.82023758628462e-05	1.8200872654863e-05
P21306	3.52619091281562e-10	2.9542636151565e-05	2.95429887706563e-05	2.9542690480513e-05
P21801	2.84393025826723e-10	2.30725748301183e-06	2.30754187603766e-06	2.30725748301183e-06
P21826	4.35250344159387e-09	0	4.35250344159387e-09	0
P21954	2.86499466851427e-09	1.84966145742466e-05	1.84994795689151e-05	1.84979870981318e-05
P22289	5.32397487803659e-10	3.71408482904906e-05	3.71413806879784e-05	3.71409295637911e-05
P23254	1.14148730010695e-07	9.22556022111279e-07	1.03670475212197e-06	1.034843011387e-06
P26263	1.61844038595514e-06	4.78044687454627e-07	2.09648507340977e-06	4.78044687454627e-07
P28240	4.97649034036321e-09	1.35488090416675e-09	6.33137124452997e-09	3.53285496816498e-09
P30902	3.52619091281562e-10	2.9542636151565e-05	2.95429887706563e-05	2.9542690480513e-05
P30952	4.35281773015818e-09	0	4.35281773015818e-09	2.42883779061985e-09
P32327	2.02067042335605e-06	0	2.02067042335605e-06	0
P32340	3.12330776550405e-08	7.11858791996092e-06	7.14982099761596e-06	7.14973829151496e-06
P32473	1.78646267579163e-09	1.62009008783747e-05	1.62026873410505e-05	1.62018361967311e-05
P32799	1.68893218912425e-10	1.17822445910713e-05	1.17824134842902e-05	1.1782270373517e-05
P33315	1.12286989263378e-07	3.31666208754844e-08	1.45453610138862e-07	3.31666208754844e-08
P33401	2.1772016137704e-09	0	2.1772016137704e-09	0
P33421	2.84393025826723e-10	2.30725748301183e-06	2.30754187603766e-06	2.30725748301183e-06
P37012	2.17800916489384e-09	0	2.17800916489384e-09	0
P37298	1.06003995381952e-10	2.30743587204228e-06	2.30754187603766e-06	2.3074824144586e-06
P37299	5.32397487803659e-10	3.71408482904906e-05	3.71413806879784e-05	3.71409295637911e-05
P38077	3.52619091281562e-10	2.9542636151565e-05	2.95429887706563e-05	2.9542690480513e-05
