enzymes	ranges	minU	maxU	pU
P00127	2.60127750963522e-09	9.24200919438664e-06	9.24461047189628e-06	9.2446002021283e-06
P00128	2.60127750963353e-09	9.24200919438664e-06	9.24461047189628e-06	9.2446002021283e-06
P00163	2.60127750963522e-09	9.24200919438664e-06	9.24461047189628e-06	9.2446002021283e-06
P00330	0.000617283950617284	0	0.000617283950617284	0
P00358	0.000830547635514802	0	0.000830547635514802	0
P00359	0.00083287340960373	0	0.00083287340960373	1.10271982943939e-05
P00360	0.000832796528121093	0	0.000832796528121093	0
P00401	8.25206996568371e-10	2.93185583671963e-06	2.93268104371619e-06	2.93267778582297e-06
P00410	8.25206996568371e-10	2.93185583671963e-06	2.93268104371619e-06	2.93267778582297e-06
P00420	8.25206996568371e-10	2.93185583671963e-06	2.93268104371619e-06	2.93267778582297e-06
P00425	2.9326810437162e-06	0	2.9326810437162e-06	2.93267778582297e-06
P00427	2.93268104371619e-06	0	2.93268104371619e-06	2.93267778582297e-06
P00549	1.07555417106846e-06	0	1.07555417106846e-06	1.0743062092469e-06
P00560	0.000656668672055315	5.00240358674483e-07	0.00065716891241399	5.00600143553717e-07
P00830	3.2174912485858e-09	7.32970333788228e-06	7.33292082913087e-06	7.32970490687461e-06
P00854	3.21747065664226e-09	7.32965642778092e-06	7.33287389843756e-06	7.32965799676321e-06
P00856	3.21747065664226e-09	7.32965642778092e-06	7.33287389843756e-06	7.32965799676321e-06
P00890	9.95856023200538e-07	0	9.95856023200538e-07	9.95626651216565e-07
P00924	0.000628705542284487	0	0.000628705542284487	0
P00925	0.000627390872716789	0	0.000627390872716789	0
P00942	6.41026799997448e-05	1.53587334930215e-08	6.41180387332378e-05	1.5381024580431e-08
P00950	0.000963573954087768	4.66109375869088e-07	0.000964040063463637	4.66444612925833e-07
P04037	2.93268104371619e-06	0	2.93268104371619e-06	2.93267778582297e-06
P04039	5.86536208743238e-06	0	5.86536208743238e-06	5.86535557164593e-06
P04385	0	0	0	0
P04397	0.000375705119963465	0	0.000375705119963465	0
P04806	7.34296147822707e-07	0	7.34296147822707e-07	7.34296147822707e-07
P04807	1.5879806196008e-06	0	1.5879806196008e-06	0
P05626	3.21747065664226e-09	7.32965642778092e-06	7.33287389843756e-06	7.32965799676321e-06
P06169	1.47240864111536e-07	0	1.47240864111536e-07	1.44131718042246e-07
P07143	2.60127750963353e-09	9.24200919438664e-06	9.24461047189628e-06	9.2446002021283e-06
P07170	0.00121139999455573	0	0.00121139999455573	0
P07251	3.2174912485858e-09	7.32970333788228e-06	7.33292082913087e-06	7.32970490687461e-06
P07255	8.25206996567524e-10	2.93185583671963e-06	2.93268104371619e-06	2.93267778582297e-06
P07256	2.60127750963353e-09	9.24200919438664e-06	9.24461047189628e-06	9.2446002021283e-06
P07257	2.60127750963522e-09	9.24200919438664e-06	9.24461047189628e-06	9.2446002021283e-06
P08067	2.60127750963353e-09	9.24200919438664e-06	9.24461047189628e-06	9.2446002021283e-06
P08417	0.000536502100997467	1.33275856607087e-07	0.000536635376854075	1.33462150448696e-07
P08431	0.000693126559618144	0	0.000693126559618144	0
P08525	2.60127750963353e-09	9.24200919438664e-06	9.24461047189628e-06	9.2446002021283e-06
P09201	4.1545798044779e-09	0	4.1545798044779e-09	0
P09457	3.21747065664226e-09	7.32965642778092e-06	7.33287389843756e-06	7.32965799676321e-06
P09624	2.78102484869964e-08	4.21326802145898e-06	4.24107826994598e-06	4.2133721648786e-06
P0CX10	0.000621910642853115	0	0.000621910642853115	0
P0CX11	0.000621910642853115	0	0.000621910642853115	0
P10174	2.9326810437162e-06	0	2.9326810437162e-06	2.93267778582297e-06
P10963	4.67055181245289e-09	0	4.67055181245289e-09	0
P11154	5.7081305449851e-07	0	5.7081305449851e-07	5.7073683912712e-07
P11412	1.06775152054783e-09	7.83611629563722e-08	7.942891447692e-08	7.85134757378957e-08
P12695	2.01792453975279e-09	3.0571668343606e-07	3.07734607975813e-07	3.0572424013095e-07
P12709	0.000479263097303724	1.75395145708105e-07	0.000479438492449432	1.76240824005995e-07
P14540	0.000741495414833723	4.10741082450918e-06	0.000745602825658232	4.11335225665333e-06
P15019	0.000793230210798475	4.61227414033636e-07	0.000793691438212509	4.62129881525659e-07
P16387	2.78102484869964e-08	4.21326802145898e-06	4.24107826994598e-06	4.2133721648786e-06
P16451	2.01792453975322e-09	3.0571668343606e-07	3.07734607975813e-07	3.0571668343606e-07
P16467	1.47240864111536e-07	0	1.47240864111536e-07	0
P16861	2.08681425987283e-07	0	2.08681425987283e-07	0
P16862	1.67346641845626e-07	2.07929675695558e-07	3.75276317541184e-07	3.74465316113389e-07
P17505	0.000824075481672927	7.32794035274452e-07	0.000824808275708201	7.32794035274452e-07
P17709	7.34296147822707e-07	0	7.34296147822707e-07	0
P19414	0.00034413694567078	9.80385427012107e-07	0.000345117331097792	9.81730954758553e-07
P19516	0.000169483440617136	0	0.000169483440617136	0
P20967	4.86095800008998e-08	4.8702083268286e-06	4.9188179068295e-06	4.91864494744992e-06
P21306	3.21747065664226e-09	7.32965642778092e-06	7.33287389843756e-06	7.32965799676321e-06
P21801	1.02701499042919e-09	6.29003700813201e-07	6.3003071580363e-07	6.29882926194258e-07
P21826	1.32760068785037e-07	0	1.32760068785037e-07	0
P21954	4.82623687289226e-08	4.92644684244054e-06	4.97470921116946e-06	4.97453748720028e-06
P22289	2.60127750963522e-09	9.24200919438664e-06	9.24461047189628e-06	9.2446002021283e-06
P23254	0.000398448126119141	0	0.000398448126119141	3.99197224958361e-07
P26263	1.47240864111536e-07	0	1.47240864111536e-07	0
P28240	8.77704596717774e-08	1.05335094924646e-07	1.93105554596423e-07	1.05681528431273e-07
P30902	3.21747065664226e-09	7.32965642778092e-06	7.33287389843756e-06	7.32965799676321e-06
P30952	1.32760068785037e-07	0	1.32760068785037e-07	7.26560507965003e-08
P32327	5.7081305449851e-07	0	5.7081305449851e-07	0
P32340	5.6125212506067e-07	1.19668115557984e-06	1.75793328064051e-06	1.75754539303942e-06
