enzymes	ranges	minU	maxU	pU
P00127	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P00128	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P00163	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P00330	5.31748827428966e-05	0	5.31748827428966e-05	0
P00358	0.000100530132237778	0	0.000100530132237778	0
P00359	0.000100811645743707	0	0.000100811645743707	4.59968802821531e-05
P00360	0.00010080233994921	0	0.00010080233994921	0
P00401	3.43748788332913e-09	1.2260355970261e-05	1.22637934581444e-05	1.22637814486588e-05
P00410	3.43748788332913e-09	1.2260355970261e-05	1.22637934581444e-05	1.22637814486588e-05
P00420	3.43748788332913e-09	1.2260355970261e-05	1.22637934581444e-05	1.22637814486588e-05
P00425	2.54747933570336e-07	1.2009045524574e-05	1.22637934581444e-05	1.22637814486588e-05
P00427	2.54747933570336e-07	1.2009045524574e-05	1.22637934581444e-05	1.22637814486588e-05
P00549	4.48809959793217e-06	0	4.48809959793217e-06	4.48290098242104e-06
P00560	4.37993811751164e-05	2.08673488578824e-06	4.58861160609046e-05	2.0882335660922e-06
P00830	1.34028034514362e-08	3.06513848607028e-05	3.06647876641542e-05	3.06513906444377e-05
P00854	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P00856	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P00890	4.17012739237134e-06	0	4.17012739237134e-06	4.1691727172493e-06
P00924	4.67785264394729e-05	0	4.67785264394729e-05	0
P00925	4.6680709097338e-05	0	4.6680709097338e-05	0
P00942	6.40052560477147e-05	6.40707095080498e-08	6.40693267572228e-05	6.41635628089598e-08
P00950	7.09737233504429e-05	1.94435870347665e-06	7.29180820539195e-05	1.94575513007236e-06
P04037	2.54747933570336e-07	1.2009045524574e-05	1.22637934581444e-05	1.22637814486588e-05
P04039	5.09495867140671e-07	2.40180910491481e-05	2.45275869162887e-05	2.45275628973177e-05
P04385	0	0	0	0
P04397	2.50584480911409e-05	0	2.50584480911409e-05	0
P04806	3.05878903228766e-06	0	3.05878903228766e-06	3.05878903228766e-06
P04807	6.61490287961182e-06	0	6.61490287961182e-06	0
P05626	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P06169	6.11652516243321e-07	0	6.11652516243321e-07	5.98698852778643e-07
P07143	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P07170	8.14812093176088e-05	0	8.14812093176088e-05	0
P07251	1.34028034514362e-08	3.06513848607028e-05	3.06647876641542e-05	3.06513906444377e-05
P07255	3.43748788332913e-09	1.2260355970261e-05	1.22637934581444e-05	1.22637814486588e-05
P07256	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P07257	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P08067	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P08417	3.68658957621797e-05	5.58177597203353e-07	3.7424073359383e-05	5.58953733094035e-07
P08431	4.62295427767161e-05	0	4.62295427767161e-05	0
P08525	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P09201	1.73063459200498e-08	0	1.73063459200498e-08	0
P09457	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P09624	1.15846560444824e-07	1.76145636280919e-05	1.77304101885368e-05	1.7614947529222e-05
P0CX10	4.62729552915726e-05	0	4.62729552915726e-05	0
P0CX11	4.62729552915726e-05	0	4.62729552915726e-05	0
P10174	2.54747933570336e-07	1.2009045524574e-05	1.22637934581444e-05	1.22637814486588e-05
P10963	1.94556824294402e-08	0	1.94556824294402e-08	0
P11154	2.37129664981478e-06	0	2.37129664981478e-06	2.37101569910986e-06
P11412	4.44783300379068e-09	3.25498421434825e-07	3.29946254438615e-07	3.26133003557778e-07
P12695	8.40588020185022e-09	1.27812091353479e-06	1.28652679373664e-06	1.27814876957899e-06
P12709	3.19689320664741e-05	7.32008829244976e-07	3.27009408957191e-05	7.3553149370833e-07
P14540	4.9479953397015e-05	1.71342892586764e-05	6.66142426556914e-05	1.71590382346497e-05
P15019	5.29098721965898e-05	1.91585709067375e-06	5.48257292872635e-05	1.91961704917006e-06
P16387	1.15846560444824e-07	1.76145636280919e-05	1.77304101885368e-05	1.7614947529222e-05
P16451	8.40588020185022e-09	1.27812091353479e-06	1.28652679373664e-06	1.27814876957899e-06
P16467	6.11652516243321e-07	0	6.11652516243321e-07	0
P16861	8.70521528698903e-07	0	8.70521528698903e-07	0
P16862	6.98087642723033e-07	8.67390032565395e-07	1.56547767528843e-06	1.56209929901983e-06
P17505	5.4963458263998e-05	3.0686972860558e-06	5.80321555500538e-05	3.06878126442802e-06
P17709	3.05878903228766e-06	0	3.05878903228766e-06	0
P19414	2.29584638266544e-05	4.10537895534174e-06	2.70638427819961e-05	4.11098468211672e-06
P19516	1.46008202870371e-05	0	1.46008202870371e-05	0
P20967	2.02488397468273e-07	2.0400245392463e-05	2.06027337899313e-05	2.06020962143007e-05
P21306	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P21801	4.27814063657661e-09	2.63435391292964e-06	2.63863205356622e-06	2.63801693457513e-06
P21826	5.51461835398625e-07	0	5.51461835398625e-07	0
P21954	2.01042051770239e-07	2.06326361823383e-05	2.08336782341085e-05	2.08330452125914e-05
P22289	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P23254	2.82069251483818e-05	0	2.82069251483818e-05	1.65820449544794e-06
P26263	6.11652516243321e-07	0	6.11652516243321e-07	0
P28240	3.65612521756119e-07	4.3651378427824e-07	8.02126306034359e-07	4.37790832936995e-07
P30902	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P30952	5.51461835398625e-07	0	5.51461835398625e-07	3.00981197644184e-07
P32327	2.37129664981478e-06	0	2.37129664981478e-06	0
P32340	2.34084252484912e-06	5.00867061216304e-06	7.34951313701216e-06	7.34789820714026e-06
P32473	1.15846560444824e-07	1.76145636280919e-05	1.77304101885368e-05	1.7614947529222e-05
P32799	2.54747933570336e-07	1.2009045524574e-05	1.22637934581444e-05	1.22637814486588e-05
P33315	2.77468763895874e-05	0	2.77468763895874e-05	0
P33401	3.10472373596445e-05	0	3.10472373596445e-05	0
P33421	4.27814063657661e-09	2.63435391292964e-06	2.63863205356622e-06	2.63801693457513e-06
P37012	3.10587531599386e-05	0	3.10587531599386e-05	0
P37298	4.27814063657661e-09	2.63435391292964e-06	2.63863205356622e-06	2.63801693457513e-06
P37299	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P38077	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P38113	5.20464864089125e-05	0	5.20464864089125e-05	0
P38720	5.63873664400428e-06	0	5.63873664400428e-06	5.57244474407588e-06
P38824	1.46008202870371e-05	0	1.46008202870371e-05	0
P38858	2.08789989808749e-05	0	2.08789989808749e-05	2.06376964651362e-05
P40047	1.06513044030434e-07	0	1.06513044030434e-07	0
P40106	1.18173207902565e-08	0	1.18173207902565e-08	0
P40215	2.34084252484913e-06	0	2.34084252484913e-06	0
P41277	1.18173207902565e-08	0	1.18173207902565e-08	0
P41911	1.1670911506184e-09	0	1.1670911506184e-09	0
P42222	4.62875280029208e-05	0	4.62875280029208e-05	4.8727287326121e-06
P43635	4.17012739237134e-06	0	4.17012739237134e-06	0
P46367	1.06513044030434e-07	0	1.06513044030434e-07	0
P46969	7.54609379043892e-05	1.005712785383e-06	7.64666506897722e-05	1.00807145538245e-06
P47052	3.46489879372914e-06	0	3.46489879372914e-06	0
P47081	1.46008202870371e-05	0	1.46008202870371e-05	0
P47771	1.52208493454617e-07	0	1.52208493454617e-07	0
P52489	4.48809959793216e-06	0	4.48809959793216e-06	0
P52910	6.07731666780223e-07	0	6.07731666780223e-07	5.94844355769231e-07
P53239	1.46008202870371e-05	0	1.46008202870371e-05	0
P53312	2.80062836473115e-08	2.82156936436898e-06	2.84957564801629e-06	2.8494874645738e-06
P53315	2.08789989808749e-05	0	2.08789989808749e-05	0
P53319	5.63873664400436e-06	0	5.63873664400436e-06	0
P53598	2.80062836473115e-08	2.82156936436898e-06	2.84957564801629e-06	2.8494874645738e-06
P54115	2.55871702254275e-07	1.4678762980678e-06	1.72374800032208e-06	1.68724222146708e-06
P61829	1.34028034514362e-08	3.06513848607028e-05	3.06647876641542e-05	3.06513906444377e-05
P81449	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P81450	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P81451	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
Q00055	1.16709115061295e-09	0	1.16709115061295e-09	0
Q00711	2.63863205356622e-06	0	2.63863205356622e-06	2.63801693457513e-06
Q01519	2.54747933570336e-07	1.2009045524574e-05	1.22637934581444e-05	1.22637814486588e-05
Q01574	6.07731666780223e-07	0	6.07731666780223e-07	0
Q04458	2.44917469149876e-07	0	2.44917469149876e-07	0
Q04935	1.46008202870371e-05	0	1.46008202870371e-05	0
Q06204	1.34527428301086e-05	0	1.34527428301086e-05	0
Q06405	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
Q07500	2.34084252484913e-06	0	2.34084252484913e-06	0
Q12055	8.69736758738927e-05	0	8.69736758738927e-05	7.42371694926049e-07
Q12165	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
Q12189	6.93550034340969e-05	9.19656499749848e-06	7.85515684315953e-05	9.21050817692229e-06
Q12233	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
Q12349	1.34027176734939e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
