enzymes	ranges	minU	maxU	pU
P00127	5.37299659039537e-09	2.03981723223513e-05	2.04035453189417e-05	2.04035085769275e-05
P00128	5.37299659039537e-09	2.03981723223513e-05	2.04035453189417e-05	2.04035085769275e-05
P00163	5.37299659039537e-09	2.03981723223513e-05	2.04035453189417e-05	2.04035085769275e-05
P00330	4.23575797945516e-06	3.36792462204587e-06	7.60368260150102e-06	4.67156806526193e-06
P00358	0.000218709774939412	0	0.000218709774939412	0
P00359	0.000219322225695754	0	0.000219322225695754	0.000216299685279239
P00360	0.000219301980340707	0	0.000219301980340707	0
P00401	1.70448341728885e-09	6.47094147212298e-06	6.47264595554027e-06	6.47263429981837e-06
P00410	1.70448341728885e-09	6.47094147212298e-06	6.47264595554027e-06	6.47263429981837e-06
P00420	1.70448341728885e-09	6.47094147212298e-06	6.47264595554027e-06	6.47263429981837e-06
P00425	1.49212342567122e-08	6.45772472128355e-06	6.47264595554027e-06	6.47263429981837e-06
P00427	1.49212342567122e-08	6.45772472128355e-06	6.47264595554027e-06	6.47263429981837e-06
P00549	2.24251580804573e-05	0	2.24251580804573e-05	2.24225268946916e-05
P00560	2.41733306700485e-06	9.9103755522139e-06	1.23277086192188e-05	9.91265032433103e-06
P00830	6.7826121958803e-09	1.6262316688495e-05	1.62690993006908e-05	1.62623223018582e-05
P00854	6.78256878715953e-09	1.62622126096682e-05	1.62689951784553e-05	1.62622182229955e-05
P00856	6.78256878715953e-09	1.62622126096682e-05	1.62689951784553e-05	1.62622182229955e-05
P00890	1.22065865374972e-06	0	1.22065865374972e-06	1.21201361624898e-06
P00924	3.35428950104702e-06	0	3.35428950104702e-06	0
P00925	3.34410484836939e-06	0	3.34410484836939e-06	0
P00942	4.03239446475266e-06	3.07769765774033e-07	4.3401642305267e-06	3.07910703170312e-07
P00950	3.91560342771739e-06	9.23419888693264e-06	1.314980231465e-05	9.23631845324386e-06
P04037	1.49212342567122e-08	6.45772472128355e-06	6.47264595554027e-06	6.47263429981837e-06
P04039	2.98424685134244e-08	1.29154494425671e-05	1.29452919110805e-05	1.29452685996367e-05
P04385	0	0	0	0
P04397	1.38174745046152e-06	0	1.38174745046152e-06	0
P04806	1.11404405320402e-05	0	1.11404405320402e-05	1.11404405320402e-05
P04807	3.71375844220917e-06	0	3.71375844220917e-06	0
P05626	6.78256878715953e-09	1.62622126096682e-05	1.62689951784553e-05	1.62622182229955e-05
P06169	7.13836594972671e-05	0	7.13836594972671e-05	7.13771065435871e-05
P07143	5.37299659039537e-09	2.03981723223513e-05	2.04035453189417e-05	2.04035085769275e-05
P07170	5.47208040540538e-06	0	5.47208040540538e-06	0
P07251	6.7826121958803e-09	1.6262316688495e-05	1.62690993006908e-05	1.62623223018582e-05
