enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.01971	0.019276	0.019038	0.01889	0.01879	0.018718	0.018665	0.018624	0.018591	0.018566	0.018545	0.018528	0.018514	0.018503	0.018493	0.018486	0.018479	0.018474	0.018469	0.018466	0.018463	0.018461	0.018459	0.018458	0.018457	0.018457	0.018457	0.018457	0.018457	0.018458	0.018459	0.01846	0.018461	0.018463	0.018464	0.018466	0.018468	0.018469	0.018471	0.018473	0.018476	0.018478	0.01848	0.018482	0.018485	0.018487	0.01849	0.018492	0.018495	0.018497	0.0185	0.018502	0.018505	0.018508	0.01851	0.018513	0.018432	0.018062	0.017632	0.017199	0.016768	0.016341	0.015916	0.015494	0.015076	0.01466	0.014247	0.013837	0.013431	0.013039	0.012651	0.012266	0.011883	0.011504	0.011128	0.010755	0.010385	0.010018	0.009653	0.009292	0.008936
P00128	Oxidative Phosphorylation	0.016635	0.016268	0.016068	0.015943	0.015858	0.015798	0.015753	0.015718	0.015691	0.015669	0.015652	0.015638	0.015626	0.015616	0.015608	0.015602	0.015596	0.015592	0.015588	0.015585	0.015583	0.015581	0.015579	0.015578	0.015578	0.015577	0.015577	0.015577	0.015578	0.015578	0.015579	0.01558	0.015581	0.015582	0.015584	0.015585	0.015586	0.015588	0.01559	0.015591	0.015593	0.015595	0.015597	0.015599	0.015601	0.015603	0.015605	0.015607	0.015609	0.015612	0.015614	0.015616	0.015618	0.01562	0.015623	0.015625	0.015557	0.015244	0.014882	0.014516	0.014153	0.013792	0.013433	0.013077	0.012724	0.012373	0.012024	0.011678	0.011336	0.011005	0.010677	0.010352	0.01003	0.009709	0.009392	0.009077	0.008765	0.008455	0.008147	0.007843	0.007542
P00163	Oxidative Phosphorylation	0.049861	0.048762	0.048161	0.047787	0.047534	0.047352	0.047217	0.047113	0.047032	0.046967	0.046914	0.046872	0.046837	0.046808	0.046784	0.046764	0.046747	0.046734	0.046723	0.046714	0.046707	0.046701	0.046697	0.046694	0.046692	0.046691	0.046691	0.046691	0.046692	0.046694	0.046696	0.046699	0.046702	0.046706	0.04671	0.046714	0.046718	0.046723	0.046728	0.046733	0.046739	0.046744	0.04675	0.046756	0.046762	0.046768	0.046774	0.04678	0.046787	0.046793	0.0468	0.046807	0.046813	0.04682	0.046827	0.046834	0.046629	0.045692	0.044606	0.043509	0.04242	0.041338	0.040264	0.039197	0.038138	0.037086	0.036041	0.035003	0.033977	0.032986	0.032004	0.031029	0.030062	0.029103	0.028151	0.027207	0.026271	0.025342	0.024421	0.023507	0.022606
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000167	0.000383	0.0006	0.000816	0.00103	0.001242	0.001453	0.001662	0.00187	0.002076	0.002281	0.002483	0.002678	0.002872	0.003064	0.003254	0.003443	0.00363	0.003816	0.004	0.004183	0.004364	0.004543	0.00472
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.030307	0.035892	0.038914	0.040795	0.042069	0.042981	0.043661	0.044182	0.044591	0.044917	0.045181	0.045396	0.045572	0.045718	0.045838	0.045938	0.046021	0.046089	0.046144	0.046189	0.046225	0.046254	0.046275	0.04629	0.0463	0.046305	0.046306	0.046304	0.046298	0.046289	0.046278	0.046264	0.046248	0.04623	0.046211	0.04619	0.046167	0.046143	0.046118	0.046092	0.046065	0.046037	0.046008	0.045979	0.045948	0.045918	0.045886	0.045855	0.045822	0.04579	0.045757	0.045723	0.045689	0.045655	0.045621	0.045587	0.049051	0.056587	0.063814	0.07111	0.078355	0.085551	0.092696	0.099792	0.106838	0.113835	0.120783	0.127681	0.134505	0.141087	0.147616	0.154092	0.160517	0.16689	0.173211	0.179481	0.1857	0.191868	0.197985	0.204051	0.210033
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.021304	0.020834	0.020578	0.020418	0.020309	0.020232	0.020174	0.02013	0.020095	0.020067	0.020045	0.020027	0.020012	0.019999	0.019989	0.01998	0.019973	0.019968	0.019963	0.019959	0.019956	0.019954	0.019952	0.019951	0.01995	0.019949	0.019949	0.019949	0.01995	0.019951	0.019952	0.019953	0.019954	0.019956	0.019957	0.019959	0.019961	0.019963	0.019965	0.019967	0.01997	0.019972	0.019975	0.019977	0.01998	0.019982	0.019985	0.019988	0.01999	0.019993	0.019996	0.019999	0.020002	0.020005	0.020007	0.02001	0.019923	0.019522	0.019058	0.01859	0.018125	0.017662	0.017203	0.016748	0.016295	0.015845	0.015399	0.014956	0.014517	0.014094	0.013674	0.013258	0.012844	0.012435	0.012028	0.011625	0.011225	0.010828	0.010434	0.010044	0.009659
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.01035	0.010122	0.009998	0.00992	0.009867	0.00983	0.009802	0.00978	0.009763	0.00975	0.009739	0.00973	0.009723	0.009717	0.009712	0.009708	0.009704	0.009701	0.009699	0.009697	0.009696	0.009695	0.009694	0.009693	0.009693	0.009692	0.009692	0.009692	0.009693	0.009693	0.009694	0.009694	0.009695	0.009696	0.009696	0.009697	0.009698	0.009699	0.0097	0.009701	0.009702	0.009703	0.009705	0.009706	0.009707	0.009708	0.00971	0.009711	0.009712	0.009714	0.009715	0.009716	0.009718	0.009719	0.009721	0.009722	0.00968	0.009485	0.00926	0.009032	0.008806	0.008581	0.008358	0.008137	0.007917	0.007698	0.007482	0.007266	0.007053	0.006848	0.006644	0.006441	0.00624	0.006041	0.005844	0.005648	0.005453	0.005261	0.005069	0.00488	0.004693
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.011	0.010758	0.010625	0.010542	0.010487	0.010446	0.010417	0.010394	0.010376	0.010361	0.01035	0.010341	0.010333	0.010326	0.010321	0.010317	0.010313	0.01031	0.010308	0.010306	0.010304	0.010303	0.010302	0.010301	0.010301	0.010301	0.010301	0.010301	0.010301	0.010301	0.010302	0.010302	0.010303	0.010304	0.010305	0.010306	0.010307	0.010308	0.010309	0.01031	0.010311	0.010312	0.010314	0.010315	0.010316	0.010318	0.010319	0.01032	0.010322	0.010323	0.010325	0.010326	0.010328	0.010329	0.010331	0.010332	0.010287	0.01008	0.009841	0.009599	0.009358	0.00912	0.008883	0.008647	0.008414	0.008182	0.007951	0.007722	0.007496	0.007277	0.00706	0.006845	0.006632	0.00642	0.00621	0.006002	0.005796	0.005591	0.005388	0.005186	0.004987
