enzymes	ranges	minU	maxU	pU
P00127	1.06245493567452e-08	3.7842135031637e-05	3.78527595809938e-05	3.78527225077752e-05
P00128	1.06245493567452e-08	3.7842135031637e-05	3.78527595809938e-05	3.78527225077752e-05
P00163	1.06245493567452e-08	3.7842135031637e-05	3.78527595809938e-05	3.78527225077752e-05
P00330	7.34289652864999e-05	0	7.34289652864999e-05	0
P00358	0.000120434391171946	0	0.000120434391171946	0
P00359	0.000120771642371548	0	0.000120771642371548	4.50781673197867e-05
P00360	0.000120760494095208	0	0.000120760494095208	0
P00401	3.37044103602735e-09	1.20047147901372e-05	1.20080852311732e-05	1.20080734703829e-05
P00410	3.37044103602735e-09	1.20047147901372e-05	1.20080852311732e-05	1.20080734703829e-05
P00420	3.37044103602735e-09	1.20047147901372e-05	1.20080852311732e-05	1.20080734703829e-05
P00425	3.50577308606124e-07	1.16575079225671e-05	1.20080852311732e-05	1.20080734703829e-05
P00427	3.50577308606124e-07	1.16575079225671e-05	1.20080852311732e-05	1.20080734703829e-05
P00549	4.39785696352566e-06	0	4.39785696352566e-06	4.39275974406242e-06
P00560	6.04817758330103e-05	2.04501338546792e-06	6.25267892184783e-05	2.04648283421368e-06
P00830	1.31413870487919e-08	3.00121923624843e-05	3.00253337495331e-05	3.00121980264482e-05
P00854	1.31413029439158e-08	3.00120002844532e-05	3.00251415873971e-05	3.00120059483809e-05
P00856	1.31413029439158e-08	3.00120002844532e-05	3.00251415873971e-05	3.00120059483809e-05
P00890	4.08120409768926e-06	0	4.08120409768926e-06	4.08026805051955e-06
P00924	6.26221204709807e-05	0	6.26221204709807e-05	0
P00925	6.24911730074849e-05	0	6.24911730074849e-05	0
P00942	6.4007819664381e-05	6.27889011749084e-08	6.40706085655559e-05	6.28799433846455e-08
P00950	9.80067481881257e-05	1.90548382635527e-06	9.99122320144809e-05	1.90685301583764e-06
P04037	3.50577308606124e-07	1.16575079225671e-05	1.20080852311732e-05	1.20080734703829e-05
P04039	7.01891879081956e-07	2.33142785832645e-05	2.40161704623464e-05	2.40161469407658e-05
P04385	0	0	0	0
P04397	3.4603102444332e-05	0	3.4603102444332e-05	0
P04806	2.99912855731429e-06	0	2.99912855731429e-06	2.99912855731429e-06
P04807	6.48588180508378e-06	0	6.48588180508378e-06	0
P05626	1.31413029439158e-08	3.00120002844532e-05	3.00251415873971e-05	3.00120059483809e-05
P06169	6.00312827789159e-07	0	6.00312827789159e-07	5.87611800217878e-07
P07143	1.06245493567452e-08	3.7842135031637e-05	3.78527595809938e-05	3.78527225077752e-05
P07170	0.000112239260389958	0	0.000112239260389958	0
P07251	1.31413870487919e-08	3.00121923624843e-05	3.00253337495331e-05	3.00121980264482e-05
P07255	3.37044103602735e-09	1.20047147901372e-05	1.20080852311732e-05	1.20080734703829e-05
P07256	1.06245493567452e-08	3.7842135031637e-05	3.78527595809938e-05	3.78527225077752e-05
P07257	1.06245493567452e-08	3.7842135031637e-05	3.78527595809938e-05	3.78527225077752e-05
P08067	1.06245493567452e-08	3.7842135031637e-05	3.78527595809938e-05	3.78527225077752e-05
P08417	5.09076446961747e-05	5.46244740200556e-07	5.14538894363753e-05	5.47005738875278e-07
P08431	6.38381754065179e-05	0	6.38381754065179e-05	0
P08525	1.06245493567452e-08	3.7842135031637e-05	3.78527595809938e-05	3.78527225077752e-05
P09201	1.69687924589676e-08	0	1.69687924589676e-08	0
P09457	1.31413029439158e-08	3.00120002844532e-05	3.00251415873971e-05	3.00120059483809e-05
P09624	1.13587018909085e-07	1.72487968612951e-05	1.73623838802042e-05	1.72491728125115e-05
P0CX10	6.1945315540594e-05	0	6.1945315540594e-05	0
P0CX11	6.1945315540594e-05	0	6.1945315540594e-05	0
P10174	3.50577308606124e-07	1.16575079225671e-05	1.20080852311732e-05	1.20080734703829e-05
P10963	1.90762070062801e-08	0	1.90762070062801e-08	0
P11154	2.32730445085972e-06	0	2.32730445085972e-06	2.32702931814715e-06
