rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	1.17301718080637e-05	3.77732980383176e-07	4.31452643825589e-07	4.85559742876771e-07	5.40054274588558e-07	5.94936233059423e-07	6.50205627932693e-07	7.05862449615346e-07	7.61906707634485e-07	8.18338397767793e-07	8.75157521347536e-07	9.32364063694485e-07	9.89958048057404e-07	1.04793946305998e-06	1.10630831021141e-06	1.16506458412713e-06	1.22420829377912e-06	1.28373943757837e-06	1.34365800708025e-06	1.40396401155513e-06	1.46465744567392e-06	1.52573831233016e-06	1.58720661850437e-06	1.64906234109696e-06	1.71130550745413e-06	1.77393609778614e-06	1.83695412452056e-06	1.90035957814416e-06	1.9641524718339e-06	2.02833278631354e-06	2.09290053951317e-06	2.15785571858196e-06	2.22319833284579e-06	2.28892837576822e-06	2.35504585464896e-06	2.42155076563e-06	2.48844310446472e-06	2.55572287541361e-06	2.62339008084977e-06	2.69144471662375e-06	2.7598867786971e-06	2.82871627818593e-06	2.89793320645826e-06	2.96753757145218e-06	3.03752936832435e-06	3.10790858816523e-06	3.17867524207704e-06	3.24982933033735e-06	3.32137085731765e-06	3.3932998088626e-06	3.46561618823349e-06	3.53831999971854e-06	3.61141124502473e-06	3.68488992669169e-06	3.75875602953712e-06	3.83300956605104e-06	3.9076505428115e-06	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.291785800297664	0.408942313642698	0.52694541000933	0.645826064223323	0.765584276286041	0.88622004619681	1.0077333739563	1.13012425956316	1.25339270301875	1.37753870432306	1.50256226347473	1.62846338047514	1.75524205532359	1.88289828802076	2.01143207856599	2.14084342695925	2.27113233320057	2.4022987972906	2.53434281922869	2.66726439901483	2.80106353664968	2.93574023213258	3.07129448546354	3.20772629664253	3.34503566567025	3.48322259254602	3.62228707727052	3.76222911984238	3.90304872026296	4.0447458785316	4.18732059464896	4.33077286861436	4.47510270042781	4.62031009008931	4.76639503759954	4.9133575429578	5.06119760616412	5.20991522721916	5.35951040612225	5.50998314287339	5.66133343747325	5.81356128992047	5.96666670021642	6.1206496683611	6.27551019435314	6.43124827819392	6.5878639198834	6.74535711942027	6.90372787680586	7.0629761920395	7.22310206512186	7.38410549605227	7.54598648483071	7.70874503145721	7.87238113593245	8.03689479825571	8.20228601842703	8.25535745291904	8.88481366811802	9.41686370332912	9.94561183413377	10.4710580605321	10.9932023825241	11.5120448001097	12.0275853132889	12.5398239220618	13.0487606264283	13.5543954263885	14.0567283219422	14.5557593130897	15.0514883998307	15.5439155821654	16.0330408600937	16.5188642336155	17.001385702731	17.4806052674403	17.9565229277431	18.4291386836395	18.9111498593556	19.3932569978711	19.8719854119207
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.123642430744439	0.959980283524184	1.66762162037337	2.37090036346206	3.06981651279054	3.76437006835854	4.45456103016631	5.1403893982136	5.82185517250068	6.49895835302727	7.17169893979364	7.84007693279953	8.5040923320452	9.16374513753038	9.81903534925535	10.4699629672198	11.1165279914238	11.7587304218676	12.3965702585512	13.0300475014742	13.6591621506368	14.3056875304264	14.9536769665101	15.5971720780809
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.0486348767735461	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289827	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373276	3.13532646578746	3.41696092971325	3.83222596698548	4.18835780228288	4.54248512225905	4.89460792691409	5.2447262162479	5.59283999026059	5.93894924895205	6.28305399232238	6.62515422037148	6.96524993309945	7.3033411305062	7.63942781259182	7.9735099793562	8.30558763079947	8.6356607669215	8.9637293877223	9.28979349320197	9.61385308336053	9.93590815819785	10.2559587177139	10.5833787574089	10.9113028096686	11.2371656330129
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.291785800297664	0.405862037721096	0.520784858166126	0.636585236458517	0.753263172599633	0.870818666588801	0.989251718426692	1.10856232811195	1.22875049564593	1.34981622102864	1.47175950425871	1.59458034533752	1.71827874426436	1.84285470103994	1.96830821566356	2.09463928813522	2.22184791845493	2.34993410662337	2.47889785263986	2.60873915650439	2.73945801821764	2.87105443777894	3.00352841518829	3.13687995044568	3.2711090435518	3.40621569450597	3.54219990330886	3.67906166995913	3.8168009944581	3.95541787680514	4.09491231700089	4.2352843150447	4.37653387093655	4.51866098467645	4.66166565626507	4.80554788570173	4.95030767298645	5.09594501811989	5.24245992110138	5.38985238193091	5.53812240060917	5.68726997713479	5.83729511150914	5.98819780373221	6.13997805380265	6.29263586172183	6.44617122748971	6.60058415110498	6.75587463256896	6.912042671881	7.06908826904175	7.22701142405057	7.38581213690741	7.54549040761231	7.70604623616594	7.8674796225676	8.02979056681732	7.95613929464329	7.74617738114092	7.56750580358123	7.38989491537558	7.21334471652388	7.0378552070262	6.86342638688247	6.69005825609278	6.51775081465701	6.34650406257529	6.17631799984749	6.00719262647374	5.83912794245392	5.67212394778814	5.5061806424763	5.3412980265185	5.17747609991473	5.01471486266489	4.85301431476898	4.69237445622714	4.53279528703932	4.36520080704433	4.19623823355449	4.02839126011162
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399324912	0.00226990798650001	0.00340486197974965	0.00453981597299968	0.00567476996624977	0.00680972395949964	0.00794467795274967	0.00907963194600014	0.0102145859392492	0.0113495399324991	0.0124844939257512	0.0136194479190004	0.0147544019122497	0.015889355905498	0.017024309898749	0.0181592638920005	0.0192942178852487	0.0204291718784981	0.0215641258717483	0.0226990798650009	0.0238340338582508	0.0249689878515014	0.0261039418447497	0.0272388958380003	0.0283738498312522	0.0295088038244986	0.0306437578177507	0.0317787118109969	0.0329136658042488	0.0340486197975021	0.03518357379075	0.036318527784001	0.0374534817772512	0.0385884357705013	0.0397233897637448	0.0408583437570011	0.0419932977502513	0.0431282517434992	0.0442632057367458	0.0453981597299991	0.046533113723247	0.0476680677164993	0.0488030217097473	0.049937975702997	0.0510729296962542	0.0522078836895044	0.0533428376827465	0.0544777916759998	0.0556127456692481	0.056747699662504	0.0578826536557542	0.0590176076490057	0.0601525616422469	0.0612875156355006	0.0624224696287516	0.0635574236219973	0.0646923776152519	0.0658273316085021	0.0669622856017495	0.0680972395949961	0.0692321935882498	0.0703671475814929	0.0715021015747546	0.0726370555679985	0.0737720095612477	0.0749069635545059	0.0760419175477463	0.0771768715410008	0.0783118255342554	0.0794467795274887	0.0805817335207539	0.0817166875140032	0.082851641507256	0.0839865955004981	0.0851215494937279	0.0862565034869966	0.0873914574802477	0.0885264114735058	0.0896613654667604	0.0907963194599795
