enzymes	ranges	minU	maxU	pU
P00127	5.72224758268807e-09	2.30497650405138e-05	2.30554872880964e-05	2.30514296584027e-05
P00128	5.72224758268807e-09	2.30497650405138e-05	2.30554872880964e-05	2.30514296584027e-05
P00163	5.72224758268807e-09	2.30497650405138e-05	2.30554872880964e-05	2.30514296584027e-05
P00330	6.87914528539972e-08	4.04158467378118e-06	4.11037612663518e-06	4.06275742599014e-06
P00358	1.75296190927917e-05	0	1.75296190927917e-05	0
P00359	0.000195169519795225	0	0.000195169519795225	0.000195120431781328
P00360	0.000195151503945668	0	0.000195151503945668	0
P00401	1.74284373378126e-09	7.31218246755853e-06	7.31392531129231e-06	7.31263810360288e-06
P00410	1.74284373378126e-09	7.31218246755853e-06	7.31392531129231e-06	7.31263810360288e-06
P00420	1.74284373378126e-09	7.31218246755853e-06	7.31392531129231e-06	7.31263810360288e-06
P00425	2.08980826440031e-09	7.31211003448165e-06	7.31419984274605e-06	7.31263810360288e-06
P00427	2.08980826440031e-09	7.31211003448165e-06	7.31419984274605e-06	7.31263810360288e-06
P00549	2.69696626628234e-06	1.74944338658487e-05	2.0191400132131e-05	2.01906767533785e-05
P00560	4.02564453579719e-08	8.9384954675454e-06	8.97875191290338e-06	8.93952980209392e-06
P00830	2.25795653542934e-09	1.83401256915925e-05	1.83423836481279e-05	1.83406204000873e-05
P00854	2.25794208450855e-09	1.83400083147881e-05	1.83422662568726e-05	1.83405030201168e-05
P00856	2.25794208450855e-09	1.83400083147881e-05	1.83422662568726e-05	1.83405030201168e-05
P00890	1.60364930538915e-06	0	1.60364930538915e-06	1.60261440573597e-06
P00924	5.44758338869404e-08	0	5.44758338869404e-08	0
P00925	5.43104285314129e-08	0	5.43104285314129e-08	0
P00942	6.55184507375709e-08	2.77762237540378e-07	3.43280688277949e-07	2.77794279523189e-07
P00950	6.45212752228003e-08	8.328629370541e-06	8.39315064576381e-06	8.32959313330522e-06
P04037	2.08980826440031e-09	7.31211003448165e-06	7.31419984274605e-06	7.31263810360288e-06
P04039	4.17961652880062e-09	1.46242200689633e-05	1.46283996854921e-05	1.46252762072058e-05
P04385	0	0	0	0
P04397	2.24404734779991e-08	0	2.24404734779991e-08	0
P04806	1.07053558122677e-06	9.06053859584506e-06	1.01310741770718e-05	1.01310741770718e-05
P04807	6.03138422987004e-08	0	6.03138422987004e-08	0
P05626	2.25794208450855e-09	1.83400083147881e-05	1.83422662568726e-05	1.83405030201168e-05
P06169	2.0669819486583e-05	4.18382420538029e-05	6.25080615403859e-05	6.25062726331902e-05
P07143	5.72224758268807e-09	2.30497650405138e-05	2.30554872880964e-05	2.30514296584027e-05
P07170	1.05118378066303e-06	0	1.05118378066303e-06	0
P07251	2.25795653542934e-09	1.83401256915925e-05	1.83423836481279e-05	1.83406204000873e-05
P07255	1.74284373378126e-09	7.31218246755853e-06	7.31392531129231e-06	7.31263810360288e-06
P07256	5.72224758268807e-09	2.30497650405138e-05	2.30554872880964e-05	2.30514296584027e-05
P07257	5.72224758268807e-09	2.30497650405138e-05	2.30554872880964e-05	2.30514296584027e-05
P08067	5.72224758268807e-09	2.30497650405138e-05	2.30554872880964e-05	2.30514296584027e-05
P08417	3.31338395475601e-08	2.04275826362888e-07	2.37409665910448e-07	2.04395367826562e-07
P08431	4.1399723748551e-08	0	4.1399723748551e-08	0
P08525	5.72224758268807e-09	2.30497650405138e-05	2.30554872880964e-05	2.30514296584027e-05
P09201	1.45093073047656e-09	0	1.45093073047656e-09	0
P09457	2.25794208450855e-09	1.83400083147881e-05	1.83422662568726e-05	1.83405030201168e-05
P09624	2.12671156223578e-08	1.01230687261519e-05	1.01443358417743e-05	1.01269057803984e-05
P0CX10	2.08901985302176e-05	0	2.08901985302176e-05	0
P0CX11	2.08901985302176e-05	0	2.08901985302176e-05	0
