enzymes	ranges	minU	maxU	pU
P00127	8.6522553989065e-09	3.1952179061546e-05	3.19608313169449e-05	3.19608001305969e-05
P00128	8.6522553989065e-09	3.1952179061546e-05	3.19608313169449e-05	3.19608001305969e-05
P00163	8.6522553989065e-09	3.1952179061546e-05	3.19608313169449e-05	3.19608001305969e-05
P00330	0.000225520778593346	0	0.000225520778593346	0
P00358	0.000268903034594919	0	0.000268903034594919	0
P00359	0.000269656041025317	0	0.000269656041025317	3.71803076685525e-05
P00360	0.000269631149419946	0	0.000269631149419946	0
P00401	2.74476739402984e-09	1.01362356071235e-05	1.01389803745175e-05	1.01389704812276e-05
P00410	2.74476739402984e-09	1.01362356071235e-05	1.01389803745175e-05	1.01389704812276e-05
P00420	2.74476739402984e-09	1.01362356071235e-05	1.01389803745175e-05	1.01389704812276e-05
P00425	1.07318151825182e-06	9.06579885626567e-06	1.01389803745175e-05	1.01389704812276e-05
P00427	1.07318151825182e-06	9.06579885626567e-06	1.01389803745175e-05	1.01389704812276e-05
P00549	3.64043114204451e-06	0	3.64043114204451e-06	3.63628016733081e-06
P00560	0.000185753042475823	1.6876438683982e-06	0.000187440686344221	1.6888405437316e-06
P00830	1.07018785667362e-08	2.5342661589989e-05	2.53533634685557e-05	2.53426663545699e-05
P00854	1.07018100747102e-08	2.53424993969548e-05	2.53532012070295e-05	2.53425041615052e-05
P00856	1.07018100747102e-08	2.53424993969548e-05	2.53532012070295e-05	2.53425041615052e-05
P00890	3.48904592176315e-06	0	3.48904592176315e-06	3.48828347680353e-06
P00924	0.000181490663207384	0	0.000181490663207384	0
P00925	0.000181111152871158	0	0.000181111152871158	0
P00942	6.4029729711801e-05	5.18338774649243e-08	6.40815635892659e-05	5.19080195314676e-08
P00950	0.000301002897364422	1.57249733362729e-06	0.000302575394698049	1.57361236079991e-06
P04037	1.07318151825182e-06	9.06579885626567e-06	1.01389803745175e-05	1.01389704812276e-05
P04039	2.14636303650364e-06	1.81315977125313e-05	2.0277960749035e-05	2.02779409624552e-05
P04385	0	0	0	0
P04397	0.000106275753369848	0	0.000106275753369848	0
P04806	1.5847130266221e-06	0	1.5847130266221e-06	1.5847130266221e-06
P04807	3.42708263057977e-06	0	3.42708263057977e-06	0
P05626	1.07018100747102e-08	2.53424993969548e-05	2.53532012070295e-05	2.53425041615052e-05
P06169	4.75998259903279e-07	0	4.75998259903279e-07	4.6565543588014e-07
P07143	8.6522553989065e-09	3.1952179061546e-05	3.19608313169449e-05	3.19608001305969e-05
P07170	0.000343162440168875	0	0.000343162440168875	0
P07251	1.07018785667362e-08	2.5342661589989e-05	2.53533634685557e-05	2.53426663545699e-05
P07255	2.74476739402984e-09	1.01362356071235e-05	1.01389803745175e-05	1.01389704812276e-05
P07256	8.6522553989065e-09	3.1952179061546e-05	3.19608313169449e-05	3.19608001305969e-05
P07257	8.6522553989065e-09	3.1952179061546e-05	3.19608313169449e-05	3.19608001305969e-05
P08067	8.6522553989065e-09	3.1952179061546e-05	3.19608313169449e-05	3.19608001305969e-05
P08417	0.000156349818801666	4.67650947594663e-07	0.000156817469749261	4.68270655833178e-07
P08431	0.000196064794941397	0	0.000196064794941397	0
P08525	8.6522553989065e-09	3.1952179061546e-05	3.19608313169449e-05	3.19608001305969e-05
P09201	1.38187815065347e-08	0	1.38187815065347e-08	0
P09457	1.07018100747102e-08	2.53424993969548e-05	2.53532012070295e-05	2.53425041615052e-05
P09624	9.2501231309064e-08	1.45310090062535e-05	1.46235102375625e-05	1.45313252600321e-05
P0CX10	0.000179529155440575	0	0.000179529155440575	0
P0CX11	0.000179529155440575	0	0.000179529155440575	0
P10174	1.07318151825182e-06	9.06579885626567e-06	1.01389803745175e-05	1.01389704812276e-05
P10963	1.55349850162271e-08	0	1.55349850162271e-08	0
P11154	1.84600669403846e-06	0	1.84600669403846e-06	1.84577524975467e-06
P11412	3.55150837392187e-09	2.5315228422171e-07	2.56703792595632e-07	2.53658964918166e-07
P12695	6.71193228285729e-09	1.05437675878813e-06	1.06108869107099e-06	1.05439970630912e-06
P12709	0.000135571784136662	5.94597516032699e-07	0.000136166381652695	5.97410314506123e-07
P14540	0.000209764976019701	1.38600404458587e-05	0.000223625016465559	1.38798021582104e-05
P15019	0.000224383877520536	1.49003312786047e-06	0.000225873910648397	1.49303525842899e-06
P16387	9.2501231309064e-08	1.45310090062535e-05	1.46235102375625e-05	1.45313252600321e-05
P16451	6.71193228285729e-09	1.05437675878813e-06	1.06108869107099e-06	1.05439970630912e-06
P16467	4.75998259903279e-07	0	4.75998259903279e-07	0
P16861	7.04138000428998e-07	0	7.04138000428998e-07	0
P16862	5.64629019673844e-07	7.01637561511537e-07	1.26626658118538e-06	1.26356902556999e-06
P17505	0.000233106332585853	2.56850049199295e-06	0.000235674833077845	2.56856967250703e-06
P17709	1.5847130266221e-06	8.57670681800014e-07	2.44238370842212e-06	8.57670681800014e-07
P19414	9.73501598594166e-05	3.43512252090354e-06	0.00010078528238032	3.43959843176789e-06
P19516	6.19237540241465e-05	0	6.19237540241465e-05	0
P20967	1.61683057482914e-07	1.71145469163841e-05	1.7276229973867e-05	1.72757047456597e-05
