enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.015273	0.015606	0.01588	0.016159	0.016418	0.016623	0.01679	0.016929	0.017047	0.017148	0.017239	0.01732	0.017391	0.017455	0.017512	0.017564	0.017612	0.017655	0.017695	0.017732	0.017767	0.017799	0.017829	0.017857	0.017884	0.017909	0.017932	0.017955	0.017976	0.017996	0.018016	0.018034	0.018052	0.018069	0.018085	0.018101	0.018116	0.01813	0.018144	0.018158	0.018171	0.018184	0.018196	0.018208	0.01822	0.018231	0.018242	0.018253	0.018263	0.018273	0.018283	0.018293	0.018302	0.018311	0.01832	0.018329	0.018304	0.017961	0.017459	0.017031	0.016605	0.016182	0.015761	0.015343	0.014932	0.014527	0.014125	0.013725	0.01333	0.012945	0.012562	0.012188	0.011819	0.011453	0.011088	0.010726	0.010367	0.01001	0.009655	0.009302	0.008952
P00128	Oxidative Phosphorylation	0.01289	0.013171	0.013402	0.013638	0.013857	0.01403	0.014171	0.014288	0.014387	0.014473	0.01455	0.014618	0.014678	0.014732	0.01478	0.014824	0.014864	0.014901	0.014935	0.014966	0.014995	0.015022	0.015048	0.015071	0.015094	0.015115	0.015135	0.015154	0.015172	0.015189	0.015205	0.015221	0.015236	0.01525	0.015264	0.015277	0.01529	0.015302	0.015314	0.015325	0.015336	0.015347	0.015357	0.015368	0.015377	0.015387	0.015396	0.015405	0.015414	0.015422	0.015431	0.015439	0.015447	0.015455	0.015462	0.01547	0.015448	0.015159	0.014735	0.014374	0.014015	0.013658	0.013302	0.012949	0.012603	0.012261	0.011921	0.011584	0.01125	0.010925	0.010602	0.010287	0.009975	0.009666	0.009358	0.009053	0.00875	0.008448	0.008149	0.007851	0.007556
P00163	Oxidative Phosphorylation	0.038637	0.039479	0.040172	0.040879	0.041534	0.042052	0.042475	0.042826	0.043124	0.04338	0.043611	0.043814	0.043995	0.044156	0.044301	0.044433	0.044553	0.044663	0.044765	0.044858	0.044946	0.045027	0.045103	0.045174	0.045241	0.045304	0.045364	0.045421	0.045475	0.045526	0.045575	0.045622	0.045667	0.04571	0.045751	0.04579	0.045829	0.045865	0.045901	0.045935	0.045968	0.046001	0.046032	0.046062	0.046091	0.04612	0.046148	0.046175	0.046201	0.046227	0.046252	0.046276	0.0463	0.046323	0.046346	0.046368	0.046304	0.045437	0.044167	0.043084	0.042007	0.040936	0.039872	0.038814	0.037774	0.03675	0.035732	0.03472	0.033721	0.032747	0.031779	0.030833	0.0299	0.028972	0.028051	0.027135	0.026225	0.025322	0.024424	0.023532	0.022647
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014	0.000395	0.000611	0.000826	0.001039	0.001251	0.001462	0.001669	0.001874	0.002078	0.00228	0.00248	0.002675	0.00287	0.003061	0.003249	0.003436	0.003622	0.003807	0.00399	0.004173	0.004354	0.004533	0.004712
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.032056	0.035135	0.037629	0.03946	0.04059	0.041468	0.042167	0.042735	0.043201	0.04359	0.043919	0.044199	0.044437	0.044641	0.044817	0.044969	0.0451	0.045214	0.045312	0.045397	0.04547	0.045533	0.045588	0.045634	0.045673	0.045706	0.045733	0.045755	0.045772	0.045785	0.045794	0.0458	0.045803	0.045803	0.0458	0.045795	0.045788	0.045779	0.045767	0.045755	0.04574	0.045724	0.045707	0.045689	0.045669	0.045649	0.045627	0.045605	0.045582	0.045558	0.045533	0.045508	0.045482	0.045455	0.045428	0.045401	0.047474	0.055448	0.063982	0.071251	0.078477	0.085661	0.092802	0.099901	0.106896	0.113803	0.120668	0.127491	0.134239	0.140851	0.147421	0.153869	0.160245	0.166579	0.172873	0.179126	0.185337	0.191507	0.197637	0.203725	0.209772
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.016508	0.016868	0.017164	0.017466	0.017746	0.017967	0.018148	0.018298	0.018425	0.018535	0.018633	0.01872	0.018797	0.018866	0.018928	0.018985	0.019036	0.019083	0.019126	0.019166	0.019204	0.019238	0.019271	0.019301	0.01933	0.019357	0.019383	0.019407	0.01943	0.019452	0.019473	0.019493	0.019512	0.01953	0.019548	0.019565	0.019581	0.019597	0.019612	0.019626	0.019641	0.019654	0.019668	0.019681	0.019693	0.019705	0.019717	0.019729	0.01974	0.019751	0.019762	0.019772	0.019782	0.019792	0.019802	0.019812	0.019784	0.019414	0.018871	0.018408	0.017948	0.017491	0.017036	0.016584	0.01614	0.015702	0.015267	0.014835	0.014408	0.013992	0.013578	0.013174	0.012775	0.012379	0.011985	0.011594	0.011205	0.010819	0.010436	0.010055	0.009676
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.00802	0.008195	0.008339	0.008486	0.008622	0.008729	0.008817	0.00889	0.008952	0.009005	0.009053	0.009095	0.009133	0.009166	0.009196	0.009224	0.009249	0.009271	0.009293	0.009312	0.00933	0.009347	0.009363	0.009378	0.009391	0.009405	0.009417	0.009429	0.00944	0.009451	0.009461	0.009471	0.00948	0.009489	0.009497	0.009506	0.009513	0.009521	0.009528	0.009536	0.009542	0.009549	0.009556	0.009562	0.009568	0.009574	0.00958	0.009585	0.009591	0.009596	0.009601	0.009606	0.009611	0.009616	0.009621	0.009625	0.009612	0.009432	0.009169	0.008944	0.00872	0.008498	0.008277	0.008057	0.007841	0.007629	0.007417	0.007207	0.007	0.006798	0.006597	0.006401	0.006207	0.006014	0.005823	0.005633	0.005444	0.005256	0.00507	0.004885	0.004701
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.008524	0.008709	0.008862	0.009018	0.009163	0.009277	0.00937	0.009448	0.009514	0.00957	0.009621	0.009666	0.009706	0.009741	0.009773	0.009802	0.009829	0.009853	0.009876	0.009896	0.009916	0.009933	0.00995	0.009966	0.009981	0.009995	0.010008	0.01002	0.010032	0.010044	0.010054	0.010065	0.010075	0.010084	0.010093	0.010102	0.01011	0.010118	0.010126	0.010134	0.010141	0.010148	0.010155	0.010162	0.010168	0.010175	0.010181	0.010187	0.010193	0.010198	0.010204	0.010209	0.010214	0.01022	0.010225	0.010229	0.010215	0.010024	0.009744	0.009505	0.009267	0.009031	0.008796	0.008563	0.008333	0.008108	0.007883	0.00766	0.007439	0.007224	0.007011	0.006802	0.006596	0.006392	0.006188	0.005986	0.005786	0.005586	0.005388	0.005192	0.004996
