enzymes	ranges	minU	maxU	pU
P00127	8.33436813235455e-09	2.92702619836856e-05	2.9278596351818e-05	2.92785676331471e-05
P00128	8.33436813235455e-09	2.92702619836856e-05	2.9278596351818e-05	2.92785676331471e-05
P00163	8.33436813235455e-09	2.92702619836856e-05	2.9278596351818e-05	2.92785676331471e-05
P00330	0.000289275105930804	0	0.000289275105930804	0
P00358	0.000332454691326647	0	0.000332454691326647	0
P00359	0.000333385660814448	0	0.000333385660814448	3.51894445509744e-05
P00360	0.000333354886409121	0	0.000333354886409121	0
P00401	2.64392356037155e-09	9.28544720462991e-06	9.28809112819028e-06	9.28808201772511e-06
P00410	2.64392356037155e-09	9.28544720462991e-06	9.28809112819028e-06	9.28808201772511e-06
P00420	2.64392356037155e-09	9.28544720462991e-06	9.28809112819028e-06	9.28808201772511e-06
P00425	1.37601968837797e-06	7.91207143981231e-06	9.28809112819028e-06	9.28808201772511e-06
P00427	1.37601968837797e-06	7.91207143981231e-06	9.28809112819028e-06	9.28808201772511e-06
P00549	3.42832038814575e-06	0	3.42832038814575e-06	3.42432189576107e-06
P00560	0.000238264718599123	1.59606437106204e-06	0.000239860782970185	1.59721706878436e-06
P00830	1.03086873388314e-08	2.32132991743625e-05	2.32236078617014e-05	2.32133035619373e-05
P00854	1.03086213632352e-08	2.32131506092478e-05	2.3223459230611e-05	2.32131549967945e-05
P00856	1.03086213632352e-08	2.32131506092478e-05	2.3223459230611e-05	2.32131549967945e-05
P00890	3.14100459404724e-06	0	3.14100459404724e-06	3.14027037600339e-06
P00924	0.000231455822618382	0	0.000231455822618382	0
P00925	0.00023097183145591	0	0.00023097183145591	0
P00942	6.4035400952753e-05	4.89982569889276e-08	6.40843992097419e-05	4.90696743473772e-08
P00950	0.00038609553077521	1.48716622907812e-06	0.000387582697004288	1.48824027919543e-06
P04037	1.37601968837797e-06	7.91207143981231e-06	9.28809112819028e-06	9.28808201772511e-06
P04039	2.75203937675593e-06	1.58241428796246e-05	1.85761822563806e-05	1.85761640354502e-05
P04385	0	0	0	0
P04397	0.000136319721870834	0	0.000136319721870834	0
