enzymes	ranges	minU	maxU	pU
P00127	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.4101510198883e-05
P00128	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.4101510198883e-05
P00163	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.4101510198883e-05
P00330	0.000419972168777059	0	0.000419972168777059	0
P00358	0.000460737592277824	0	0.000460737592277824	0
P00359	0.000462027791067265	0	0.000462027791067265	2.91038717056234e-05
P00360	0.000461985141870896	0	0.000461985141870896	0
P00401	2.19209219713195e-09	7.64357207353268e-06	7.64576416572981e-06	7.64575666006381e-06
P00410	2.19209219713195e-09	7.64357207353268e-06	7.64576416572981e-06	7.64575666006381e-06
P00420	2.19209219713195e-09	7.64357207353268e-06	7.64576416572981e-06	7.64575666006381e-06
P00425	1.99650093683538e-06	5.64926322889444e-06	7.64576416572982e-06	7.64575666006381e-06
P00427	1.99650093683538e-06	5.64926322889444e-06	7.64576416572982e-06	7.64575666006381e-06
P00549	2.83342349766764e-06	0	2.83342349766764e-06	2.83010832170322e-06
P00560	0.00034591411762511	1.31990305605351e-06	0.000347234020681163	1.32085876306158e-06
P00830	8.54699183318639e-09	1.91083994245568e-05	1.911694641639e-05	1.91084030392647e-05
P00854	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
P00856	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
P00890	2.57892725059478e-06	0	2.57892725059478e-06	2.57831853067605e-06
P00924	0.000333676174423672	0	0.000333676174423672	0
P00925	0.000332978432981173	0	0.000332978432981173	0
P00942	6.40523623001667e-05	4.05175832820208e-08	6.40928798834488e-05	4.05767957439231e-08
P00950	0.000560536253069053	1.22984717045819e-06	0.000561766100239511	1.23073767037352e-06
P04037	1.99650093683538e-06	5.64926322889444e-06	7.64576416572982e-06	7.64575666006381e-06
P04039	3.99347686707461e-06	1.1298051464385e-05	1.52915283314596e-05	1.52915133201276e-05
P04385	0	0	0	0
P04397	0.000197910183307908	0	0.000197910183307908	0
P04806	1.9505952599828e-06	0	1.9505952599828e-06	1.9505952599828e-06
P04807	4.21833544779233e-06	0	4.21833544779233e-06	0
P05626	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
P06169	3.96305951774051e-07	0	3.96305951774051e-07	3.88045163668083e-07
P07143	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.4101510198883e-05
P07170	0.000638491748434855	0	0.000638491748434855	0
P07251	8.54699183318639e-09	1.91083994245568e-05	1.911694641639e-05	1.91084030392647e-05
P07255	2.19209219713195e-09	7.64357207353268e-06	7.64576416572981e-06	7.64575666006381e-06
P07256	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.4101510198883e-05
P07257	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.4101510198883e-05
P08067	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.4101510198883e-05
P08417	0.000291159085605861	3.448716834234e-07	0.000291503957289284	3.45366637340122e-07
P08431	0.00036511827276388	0	0.00036511827276388	0
P08525	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.4101510198883e-05
P09201	1.1036287876412e-08	0	1.1036287876412e-08	0
P09457	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
P09624	7.38755596625587e-08	1.09976404896342e-05	1.10715160492968e-05	1.09978804194507e-05
P0CX10	0.000330069881977743	0	0.000330069881977743	0
P0CX11	0.000330069881977743	0	0.000330069881977743	0
P10174	1.99650093683538e-06	5.64926322889444e-06	7.64576416572982e-06	7.64575666006381e-06
P10963	1.24069236288061e-08	0	1.24069236288061e-08	0
P11154	1.53611146986409e-06	0	1.53611146986409e-06	1.53593588181338e-06
P11412	2.83639109508416e-09	2.10977836739498e-07	2.13814227834583e-07	2.11382521365423e-07
P12695	5.36044490215008e-09	7.97993899032573e-07	8.03354343934723e-07	7.98011308451436e-07
P12709	0.000252463218833005	4.6170568341013e-07	0.000252924924516415	4.63952083196532e-07
P14540	0.000390610184330251	1.08364263889002e-05	0.000401446610719151	1.08522087873995e-05
P15019	0.000417851797118479	1.24179855420182e-06	0.000419093595672681	1.24419634850224e-06
P16387	7.38755596625587e-08	1.09976404896342e-05	1.10715160492968e-05	1.09978804194507e-05
P16451	5.36044490215008e-09	7.97993899032573e-07	8.03354343934723e-07	7.98011308451436e-07
P16467	3.96305951774051e-07	0	3.96305951774051e-07	0
P16861	5.50569947685722e-07	0	5.50569947685722e-07	0
P16862	4.41528846661662e-07	5.48572986977033e-07	9.90101833638695e-07	9.87947430840358e-07
P17505	0.000434098235481331	1.89726908366998e-06	0.000435995504565001	1.89732156831735e-06
P17709	1.9505952599828e-06	0	1.9505952599828e-06	0
P19414	0.000181283885359571	2.53875876539232e-06	0.000183822644124964	2.54233362445587e-06
P19516	0.000115316439746919	0	0.000115316439746919	0
P20967	1.29127214745738e-07	1.25928148779036e-05	1.27219420926493e-05	1.2721543621814e-05
P21306	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
P21801	2.72817796772882e-09	1.62764337593807e-06	1.6303715539058e-06	1.6299793417557e-06
P21826	3.57429308681819e-07	0	3.57429308681819e-07	0
P21954	1.28204877497555e-07	1.27479354408292e-05	1.28761403183268e-05	1.28757446937118e-05
P22289	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.4101510198883e-05
P23254	0.000210754996089708	0	0.000210754996089708	1.07476228950521e-06
P26263	3.96305951774051e-07	0	3.96305951774051e-07	0
P28240	2.33153109783075e-07	2.8674406648139e-07	5.19897176264464e-07	2.87542193984625e-07
P30902	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
P30952	3.57429308681819e-07	0	3.57429308681819e-07	1.9768525836443e-07
P32327	1.53611146986409e-06	0	1.53611146986409e-06	0
P32340	1.25933249200994e-06	3.10634501571195e-06	4.36567750772189e-06	4.36464774793491e-06
P32473	7.38755596625587e-08	1.09976404896342e-05	1.10715160492968e-05	1.09978804194507e-05
P32799	1.99650093683538e-06	5.64926322889444e-06	7.64576416572982e-06	7.64575666006381e-06
P33315	0.000207317628356404	0	0.000207317628356404	0
P33401	0.00024520929686878	0	0.00024520929686878	0
P33421	2.72817796772882e-09	1.62764337593807e-06	1.6303715539058e-06	1.6299793417557e-06
P37012	0.00024530024799787	0	0.00024530024799787	0
P37298	2.72817796772882e-09	1.62764337593807e-06	1.6303715539058e-06	1.6299793417557e-06
P37299	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.4101510198883e-05
P38077	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
P38113	0.000411060159362488	0	0.000411060159362488	0
P38720	3.65404435456659e-06	0	3.65404435456659e-06	3.61177007287196e-06
P38824	0.000115316439746919	0	0.000115316439746919	0
P38858	1.35301643373725e-05	0	1.35301643373725e-05	1.33762859520039e-05
P40047	6.79235594817801e-08	0	6.79235594817801e-08	0
P40106	7.53592669255107e-09	0	7.53592669255107e-09	0
P40215	1.25933249200994e-06	0	1.25933249200994e-06	0
P41277	7.53592669255107e-09	0	7.53592669255107e-09	0
P41911	7.44256122912536e-10	0	7.44256122912536e-10	0
P42222	0.000330173830668387	0	0.000330173830668387	3.08212000372014e-06
P43635	2.57892725059478e-06	0	2.57892725059478e-06	0
P46367	6.79235594817801e-08	0	6.79235594817801e-08	0
P46969	0.000595969005302456	6.51875550851716e-07	0.000596620880853308	6.53379717848983e-07
P47052	2.14090949999018e-06	0	2.14090949999018e-06	0
P47081	0.000115316439746919	0	0.000115316439746919	0
P47771	9.70636296514871e-08	0	9.70636296514871e-08	0
P52489	2.83342349766766e-06	0	2.83342349766766e-06	0
P52910	3.93765529006263e-07	0	3.93765529006263e-07	3.85547267628205e-07
P53239	0.000115316439746919	0	0.000115316439746919	0
P53312	1.78596573827303e-08	1.74171927773917e-06	1.7595789351219e-06	1.75952382239752e-06
P53315	1.35301643373725e-05	0	1.35301643373725e-05	0
P53319	3.65404435456659e-06	0	3.65404435456659e-06	0
P53598	1.78596573827303e-08	1.74171927773917e-06	1.7595789351219e-06	1.75952382239752e-06
P54115	1.63169844088232e-07	9.53692383638623e-07	1.11686222772686e-06	1.09358182488278e-06
P61829	8.54699183318639e-09	1.91083994245568e-05	1.911694641639e-05	1.91084030392647e-05
P81449	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
P81450	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
P81451	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
Q00055	7.44256122912536e-10	0	7.44256122912536e-10	0
Q00711	1.6303715539058e-06	0	1.6303715539058e-06	1.6299793417557e-06
Q01519	1.99650093683538e-06	5.64926322889444e-06	7.64576416572982e-06	7.64575666006381e-06
Q01574	3.93765529006253e-07	0	3.93765529006253e-07	0
Q04458	1.56184309963171e-07	0	1.56184309963171e-07	0
Q04935	0.000115316439746919	0	0.000115316439746919	0
Q06204	8.57883826612001e-06	0	8.57883826612001e-06	0
Q06405	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
Q07500	1.25933249200995e-06	2.22775556525293e-07	1.48210804853524e-06	2.22775556525293e-07
Q12055	0.000681531052884449	0	0.000681531052884449	4.81166839303913e-07
Q12165	8.54693713243901e-09	1.91082771308005e-05	1.9116824067933e-05	1.91082807454853e-05
Q12189	0.000547660470316178	5.96088241662342e-06	0.000553621352732801	5.96977423715415e-06
