rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	0.208405053619865	0.0629352742669815	1.18605494844881e-06	1.32334028028758e-06	1.46181923192656e-06	4.29003366168162e-07	4.77697537092786e-07	5.36347155785655e-07	5.95400207352437e-07	6.5485669456522e-07	7.14716614787225e-07	7.74979968216211e-07	8.35646756923436e-07	8.96716981023393e-07	9.58190637029288e-07	1.02006772255414e-06	1.08234824812425e-06	1.14503220970813e-06	1.20811960441225e-06	1.27161043112639e-06	1.33550469062771e-06	1.39980238586523e-06	1.46450351715816e-06	1.52960808361136e-06	1.59511608081864e-06	1.66102751208291e-06	1.7273423771752e-06	1.79406067679633e-06	1.86118241257693e-06	1.92870758211616e-06	1.99663618491441e-06	2.06496822499624e-06	2.13370369592236e-06	2.20284260270265e-06	2.27238493753779e-06	2.34233071610968e-06	2.41267992262539e-06	2.48343256500916e-06	2.55458864363567e-06	2.62614815269013e-06	2.69811110345519e-06	2.77047747906933e-06	2.84324729599161e-06	2.91642053817931e-06	2.98999721655424e-06	3.06397730399921e-06	3.13836029580683e-06	3.21314670784223e-06	3.28833655557914e-06	3.36392983019129e-06	3.439926550039e-06	3.51632668699198e-06	3.59313025741215e-06	3.67033726339505e-06	3.74794769641973e-06	3.82596156631165e-06	3.90437886632622e-06	0.269589212811988	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.261143072489265	0.5032077228773	0.651505531273968	0.728326985677682	0.805843552591073	0.886803586622463	1.00773371897248	1.13012459859375	1.25339303603175	1.37753903128646	1.50256258435654	1.62846369524333	1.75524236394617	1.88289859046573	2.01143237480133	2.14084371695298	2.27113261692066	2.40229907470506	2.5343430903055	2.66726466372199	2.80106379495519	2.93574048400444	3.07129473086973	3.20772653555105	3.3450358980491	3.48322281836319	3.622287296494	3.76222933244018	3.90304892620307	4.044746077782	4.18732078717766	4.33077305438935	4.47510287941709	4.62031026226087	4.76639520292136	4.9133577013979	5.06119775769048	5.20991537179978	5.35951054372513	5.50998327346651	5.66133356102461	5.81356140639808	5.96666680958827	6.12064977059517	6.27551028941744	6.43124836605649	6.58786400051332	6.74535719278553	6.90372794287445	7.06297625077945	7.22310211650114	7.38410554003889	7.54598652139269	7.70874506056252	7.87238115754911	8.03689481235173	8.20228602497039	8.2865502016968	8.66726705669707	9.10371099874225	9.65027008132003	10.193449216127	10.7332484031632	11.2696676424285	11.8027069339231	12.332366277647	12.8586456736	13.3815451217823	13.9010646221936	14.4172041748343	14.9299637797041	15.4393434368034	15.9453431461316	16.4479625707087	16.9472005837588	17.4430530112122	17.9355255264197	18.4246181293808	18.910330820096	19.3926635985651	19.8716164647883
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.543296332771786	1.13062852652919	1.86444942351554	2.59377389827029	3.31860195079343	4.03893358108495	4.75476878914487	5.46610757497344	6.17294993857014	6.87529587993549	7.57314539906897	8.2664984959711	8.95535517064163	9.63971542308081	10.3195792532881	10.994946083411	11.6658139812588	12.3321757891521	12.9940412357316	13.6514103209968	14.3042830449483	14.9526594075858	15.5965394089096
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.112992196621499	0.136422762381034	0.171737418188957	0.216117423497177	0.260613281288216	0.305682659833982	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289827	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373276	3.13532646578746	3.27080864853206	3.65707354816453	3.95716798690368	4.32444451680792	4.68965891467315	5.05281118049938	5.41390131428661	5.77292931603483	6.12989518574416	6.48479892341438	6.8376405290457	7.18842000263791	7.53713734419122	7.88379255370553	8.22838563118095	8.57091657661726	8.91138514123356	9.24979049317034	9.58612955085615	9.92040650272971	10.2526213487908	10.5827740890397	10.9108647234762	11.2368932521004
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.261143072489265	0.500127446955698	0.645344979430764	0.719086157912876	0.793522448904665	0.871402207014453	0.989252063442872	1.10856266714254	1.22875082865893	1.34981654799204	1.47175982514052	1.59458066010571	1.71827905288695	1.8428550034849	1.9683085118989	2.09463957812895	2.22184820217503	2.34993438403783	2.47889812371667	2.60873942121155	2.73945827652315	2.8710546896508	3.00352866059448	3.13688018935421	3.27110927593065	3.40621592032314	3.54220012253235	3.67906188255693	3.81680120039821	3.95541807605554	4.0949125095296	4.23528450081969	4.37653404992582	4.518661156848	4.6616658215869	4.80554804414183	4.95030782451281	5.09594516270051	5.24246005870425	5.38985251252403	5.53812252416053	5.68727009361239	5.83729522088098	5.98819790596628	6.13997814886695	6.2926359495844	6.44617130811963	6.60058422447023	6.75587469863756	6.91204273062095	7.06908832042104	7.22701146803719	7.38581217346939	7.54549043671762	7.70604625778261	7.86747963666362	8.02979057336068	8.11097447416548	7.94531472047237	7.79134619283855	7.60100410250837	7.411778486639	7.22366934523043	7.03667667828267	6.85080048579571	6.66604076776944	6.48239752420408	6.29987075509942	6.11846046045567	5.93816664027264	5.75898929455037	5.58092842328882	5.40398402648817	5.22815634502069	5.05344618430143	4.87985652793997	4.70738332064631	4.53602656242064	4.36578625326275	4.19666239317275	4.02865498215051
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399325025	0.0022699079864999	0.00340486197974985	0.00453981597300074	0.00567476996624999	0.00680972395949986	0.00794467795274945	0.00907963194600114	0.01021458593925	0.0113495399325003	0.0124844939257507	0.0136194479189995	0.0147544019122494	0.0158893559054989	0.0170243098987493	0.018159263892001	0.01929421788525	0.0204291718784979	0.0215641258717487	0.0226990798650004	0.0238340338582508	0.0249689878515005	0.0261039418447493	0.0272388958380019	0.0283738498312518	0.0295088038244993	0.0306437578177494	0.0317787118109991	0.0329136658042528	0.034048619797503	0.0351835737907504	0.0363185277840015	0.0374534817772516	0.0385884357705009	0.0397233897637457	0.0408583437570007	0.0419932977502508	0.0431282517434988	0.0442632057367462	0.0453981597299995	0.0465331137232479	0.0476680677164989	0.0488030217097473	0.0499379757029996	0.0510729296962547	0.0522078836895044	0.0533428376827461	0.0544777916759993	0.055612745669249	0.0567476996625036	0.0578826536557573	0.0590176076490097	0.0601525616422487	0.0612875156355015	0.0624224696287525	0.0635574236219956	0.0646923776152528	0.0658273316084914	0.0669622856017495	0.068097239594989	0.0692321935882481	0.0703671475814991	0.071502101574751	0.0726370555679914	0.0737720095612477	0.0749069635545023	0.0760419175477498	0.0771768715410026	0.0783118255342607	0.079446779527494	0.080581733520761	0.0817166875140014	0.0828516415072471	0.0839865955005141	0.0851215494937421	0.0862565034870038	0.0873914574802477	0.0885264114735129	0.0896613654667604	0.0907963194599937
