enzymes	ranges	minU	maxU	pU
P00127	2.87090313745237e-08	2.48633391816149e-05	2.48920482129895e-05	2.48633391816149e-05
P00128	2.87090313745237e-08	2.48633391816149e-05	2.48920482129895e-05	2.48633391816149e-05
P00163	2.87090313745237e-08	2.48633391816149e-05	2.48920482129895e-05	2.48633391816149e-05
P00330	5.12051205638201e-07	3.58808970982008e-06	4.10014091545828e-06	3.74568412782388e-06
P00358	0.000130482236068714	0	0.000130482236068714	0
P00359	0.000184636571639628	0	0.000184636571639628	0.000184271183562247
P00360	0.000184619528073087	0	0.000184619528073087	0
P00401	9.10740721325994e-09	7.88743276129097e-06	7.89654016850423e-06	7.88743276129097e-06
P00410	9.10740721325994e-09	7.88743276129097e-06	7.89654016850423e-06	7.88743276129097e-06
P00420	9.10740721325994e-09	7.88743276129097e-06	7.89654016850423e-06	7.88743276129097e-06
P00425	1.01282499534072e-08	7.88641191855082e-06	7.89654016850423e-06	7.88743276129097e-06
P00427	1.01282499534072e-08	7.88641191855082e-06	7.89654016850423e-06	7.88743276129097e-06
P00549	1.90519257381095e-05	0	1.90519257381095e-05	1.9050945954806e-05
P00560	2.9423136647615e-07	8.43900594761974e-06	8.73323731409589e-06	8.44128637696105e-06
P00830	4.2065542826792e-09	1.90206530949423e-05	1.9024859649225e-05	1.9024859649225e-05
P00854	4.20652736072969e-09	1.90205313627625e-05	1.90247378901232e-05	1.90247378901232e-05
P00856	4.20652736072969e-09	1.90205313627625e-05	1.90247378901232e-05	1.90247378901232e-05
P00890	1.87772666455658e-06	0	1.87772666455658e-06	1.86906490640028e-06
P00924	4.05492474169243e-07	0	4.05492474169243e-07	0
P00925	4.04261274533219e-07	0	4.04261274533219e-07	0
P00942	4.87494008251008e-07	2.62335021652557e-07	7.49829029903565e-07	2.62379017385432e-07
P00950	4.75217053675971e-07	7.8632196043186e-06	8.33843665799457e-06	7.86534444186632e-06
P04037	1.01282499534072e-08	7.88641191855082e-06	7.89654016850423e-06	7.88743276129097e-06
P04039	2.02564999068143e-08	1.57728238371016e-05	1.57930803370085e-05	1.57748655225819e-05
P04385	0	0	0	0
P04397	1.67036325334849e-07	0	1.67036325334849e-07	0
P04806	7.96856313258252e-06	1.63700028093552e-06	9.60556341351804e-06	9.60556341351804e-06
P04807	4.48947861757306e-07	0	4.48947861757306e-07	0
P05626	4.20652736072969e-09	1.90205313627625e-05	1.90247378901232e-05	1.90247378901232e-05
P06169	5.78814223146477e-05	0	5.78814223146477e-05	5.78814223146477e-05
P07143	2.87090313745237e-08	2.48633391816149e-05	2.48920482129895e-05	2.48633391816149e-05
