enzymes	ranges	minU	maxU	pU
P00127	1.62909529808459e-08	3.57702147045876e-05	3.57865056575685e-05	3.57702147045876e-05
P00128	1.62909529808459e-08	3.57702147045876e-05	3.57865056575685e-05	3.57702147045876e-05
P00163	1.62909529808459e-08	3.57702147045876e-05	3.57865056575685e-05	3.57702147045876e-05
P00330	2.90563690777399e-07	1.14310029596327e-06	1.43366398674067e-06	1.23252732052017e-06
P00358	7.40422045210477e-05	0	7.40422045210477e-05	0
P00359	9.7156476007238e-05	0	9.7156476007238e-05	9.69491363756521e-05
P00360	9.71475076167993e-05	0	9.71475076167993e-05	0
P00401	5.16800238757617e-09	1.1347436532097e-05	1.13526045344846e-05	1.1347436532097e-05
P00410	5.16800238757617e-09	1.1347436532097e-05	1.13526045344846e-05	1.1347436532097e-05
P00420	5.16800238757617e-09	1.1347436532097e-05	1.13526045344846e-05	1.1347436532097e-05
P00425	5.87098921178696e-09	1.13467335452728e-05	1.13526045344846e-05	1.1347436532097e-05
P00427	5.87098921178696e-09	1.13467335452728e-05	1.13526045344846e-05	1.1347436532097e-05
P00549	9.84688196101467e-06	0	9.84688196101467e-06	9.84619918302202e-06
P00560	1.66961723446185e-07	4.42762145556026e-06	4.59458317900645e-06	4.42891548623273e-06
P00830	2.3870111511782e-09	2.73439634862873e-05	2.73463504974385e-05	2.73463504974385e-05
P00854	2.38699587430541e-09	2.7343788484921e-05	2.73461754807953e-05	2.73461754807953e-05
P00856	2.38699587430541e-09	2.7343788484921e-05	2.73461754807953e-05	2.73461754807953e-05
P00890	3.4772784786551e-06	0	3.4772784786551e-06	3.47236336002867e-06
P00924	2.30096889880279e-07	0	2.30096889880279e-07	0
P00925	2.29398245083846e-07	0	2.29398245083846e-07	0
P00942	2.76664390474584e-07	1.38138706957199e-07	4.14803097431783e-07	1.38199364937473e-07
P00950	2.6966213440231e-07	4.12552853333193e-06	4.39519066773424e-06	4.12673427336998e-06
P04037	5.87098921178696e-09	1.13467335452728e-05	1.13526045344846e-05	1.1347436532097e-05
P04039	1.17419784235739e-08	2.26934670905456e-05	2.27052090689692e-05	2.2694873064194e-05
P04385	0	0	0	0
P04397	9.47848391896849e-08	0	9.47848391896849e-08	0
P04806	4.52176479321213e-06	9.28916558251371e-07	5.4506813514635e-06	5.4506813514635e-06
P04807	2.54755669435768e-07	0	2.54755669435768e-07	0
P05626	2.38699587430541e-09	2.7343788484921e-05	2.73461754807953e-05	2.73461754807953e-05
P06169	2.12670733634648e-05	0	2.12670733634648e-05	2.12670733634648e-05
P07143	1.62909529808459e-08	3.57702147045876e-05	3.57865056575685e-05	3.57702147045876e-05
P07170	1.10410188330032e-06	0	1.10410188330032e-06	0
P07251	2.3870111511782e-09	2.73439634862873e-05	2.73463504974385e-05	2.73463504974385e-05
P07255	5.16800238757617e-09	1.1347436532097e-05	1.13526045344846e-05	1.1347436532097e-05
P07256	1.62909529808459e-08	3.57702147045876e-05	3.57865056575685e-05	3.57702147045876e-05
P07257	1.62909529808459e-08	3.57702147045876e-05	3.57865056575685e-05	3.57702147045876e-05
P08067	1.62909529808459e-08	3.57702147045876e-05	3.57865056575685e-05	3.57702147045876e-05
P08417	1.39444164431837e-07	4.62308703803915e-07	6.01752868235752e-07	4.62308703803914e-07
P08431	1.74865568767696e-07	0	1.74865568767696e-07	0
P08525	1.62909529808459e-08	3.57702147045876e-05	3.57865056575685e-05	3.57702147045876e-05
P09201	3.36157246025246e-09	0	3.36157246025246e-09	0
P09457	2.38699587430541e-09	2.7343788484921e-05	2.73461754807953e-05	2.73461754807953e-05
P09624	5.37095587206084e-08	1.56058705215379e-05	1.56595800802585e-05	1.56061458410861e-05
