enzymes	ranges	minU	maxU	pU
P00127	7.92480013331846e-09	2.77693502681027e-05	2.7777275068236e-05	2.77772478155969e-05
P00128	7.92480013331846e-09	2.77693502681027e-05	2.7777275068236e-05	2.77772478155969e-05
P00163	7.92480013331846e-09	2.77693502681027e-05	2.7777275068236e-05	2.77772478155969e-05
P00330	0.000327151162178909	0	0.000327151162178909	0
P00358	0.000369639516724885	0	0.000369639516724885	0
P00359	0.000370674614500716	0	0.000370674614500716	3.34342609812492e-05
P00360	0.000370640397999612	0	0.000370640397999612	0
P00401	2.51399571640906e-09	8.80931082766054e-06	8.81182482337695e-06	8.81181617798317e-06
P00410	2.51399571640906e-09	8.80931082766054e-06	8.81182482337695e-06	8.81181617798317e-06
P00420	2.51399571640906e-09	8.80931082766054e-06	8.81182482337695e-06	8.81181617798317e-06
P00425	1.55564645069195e-06	7.256178372685e-06	8.81182482337695e-06	8.81181617798317e-06
P00427	1.55564645069195e-06	7.256178372685e-06	8.81182482337695e-06	8.81181617798317e-06
P00549	3.25659739323178e-06	0	3.25659739323178e-06	3.25279539390886e-06
P00560	0.00026946155394876	1.51640451023855e-06	0.000270977958458998	1.51750056155554e-06
P00830	9.80209723158281e-09	2.20228779250017e-05	2.20326800222333e-05	2.20228820885993e-05
P00854	9.80203449815772e-09	2.20227369785829e-05	2.20325390130811e-05	2.20227411421539e-05
P00856	9.80203449815772e-09	2.20227369785829e-05	2.20325390130811e-05	2.20227411421539e-05
P00890	2.97753555690334e-06	0	2.97753555690334e-06	2.97683742872244e-06
P00924	0.000261080195454467	0	0.000261080195454467	0
P00925	0.000260534257547756	0	0.000260534257547756	0
P00942	6.40402939076927e-05	4.65517795190651e-08	6.40868456872118e-05	4.66196872526091e-08
P00950	0.000436648515819018	1.4129414941754e-06	0.000438061457313194	1.4139627628244e-06
P04037	1.55564645069195e-06	7.256178372685e-06	8.81182482337695e-06	8.81181617798317e-06
P04039	3.11183883673955e-06	1.45118108100144e-05	1.76236496467539e-05	1.76236323559663e-05
P04385	0	0	0	0
P04397	0.000154168659948973	0	0.000154168659948973	0
P04806	2.23703552856252e-06	0	2.23703552856252e-06	2.23703552856252e-06
P04807	4.83778796232147e-06	0	4.83778796232147e-06	0
P05626	9.80203449815772e-09	2.20227369785829e-05	2.20325390130811e-05	2.20227411421539e-05
P06169	4.52954094095093e-07	0	4.52954094095093e-07	4.43480281412506e-07
P07143	7.92480013331846e-09	2.77693502681027e-05	2.7777275068236e-05	2.77772478155969e-05
P07170	0.000497538218118604	0	0.000497538218118604	0
P07251	9.80209723158281e-09	2.20228779250017e-05	2.20326800222333e-05	2.20228820885993e-05
P07255	2.51399571640906e-09	8.80931082766054e-06	8.81182482337695e-06	8.81181617798317e-06
P07256	7.92480013331846e-09	2.77693502681027e-05	2.7777275068236e-05	2.77772478155969e-05
P07257	7.92480013331846e-09	2.77693502681027e-05	2.7777275068236e-05	2.77772478155969e-05
P08067	7.92480013331846e-09	2.77693502681027e-05	2.7777275068236e-05	2.77772478155969e-05
P08417	0.000226808147930585	3.98258368777035e-07	0.000227206406299362	3.98826002877759e-07
P08431	0.000284420912022074	0	0.000284420912022074	0
P08525	7.92480013331846e-09	2.77693502681027e-05	2.7777275068236e-05	2.77772478155969e-05
P09201	1.26569404712378e-08	0	1.26569404712378e-08	0
P09457	9.80203449815772e-09	2.20227369785829e-05	2.20325390130811e-05	2.20227411421539e-05
P09624	8.47240096854305e-08	1.2670850730246e-05	1.27555747399315e-05	1.26711270931628e-05
P0CX10	0.000258258503020852	0	0.000258258503020852	0
P0CX11	0.000258258503020852	0	0.000258258503020852	0
P10174	1.55564645069195e-06	7.256178372685e-06	8.81182482337695e-06	8.81181617798317e-06
P10963	1.42288508201082e-08	0	1.42288508201082e-08	0
P11154	1.75576060494978e-06	0	1.75576060494978e-06	1.75555835403084e-06
P11412	3.25290837331907e-09	2.41115910766517e-07	2.44368819139836e-07	2.41580019794899e-07
P12695	6.14761347165988e-09	9.19402810795561e-07	9.25550424267221e-07	9.19422863817089e-07
P12709	0.00019666537110934	5.30768197021088e-07	0.000197196139306361	5.33344477642216e-07
P14540	0.000304284481250302	1.24500477813508e-05	0.000316734529031652	1.24681478041762e-05
P15019	0.000325500311977259	1.41918876716341e-06	0.000326919500744422	1.42193865661247e-06
P16387	8.47240096854305e-08	1.2670850730246e-05	1.27555747399315e-05	1.26711270931628e-05
P16451	6.14761347165988e-09	9.19402810795561e-07	9.25550424267221e-07	9.19422863817089e-07
P16467	4.52954094095093e-07	0	4.52954094095093e-07	0
P16861	6.32549637817198e-07	0	6.32549637817198e-07	0
P16862	5.07268253635593e-07	6.30259428183647e-07	1.13752768181924e-06	1.13505691161932e-06
P17505	0.000338155127400642	2.19064599902703e-06	0.000340345773399669	2.19070645341508e-06
P17709	2.23703552856252e-06	0	2.23703552856252e-06	0
P19414	0.000141218373654055	2.93119070051801e-06	0.000144149564354573	2.93529050019875e-06
P19516	8.98295413036418e-05	0	8.98295413036418e-05	0
P20967	1.48089238751177e-07	1.45451509346846e-05	1.46932401734358e-05	1.46927811952062e-05
