enzymes	ranges	minU	maxU	pU
P00127	6.23761446183234e-10	3.30588316249953e-06	3.30650692394571e-06	3.30588316249953e-06
P00128	6.23761446183234e-10	3.30588316249953e-06	3.30650692394571e-06	3.30588316249953e-06
P00163	6.23761446183234e-10	3.30588316249953e-06	3.30650692394571e-06	3.30588316249953e-06
P00330	0.000617283950617284	0	0.000617283950617284	0
P00358	0.000980492218529094	0	0.000980492218529094	0
P00359	0.000983237880907431	0	0.000983237880907431	3.41550796863095e-06
P00360	0.000983147119472143	0	0.000983147119472143	0
P00401	1.97876738515255e-10	1.04873005875976e-06	1.04892793549828e-06	1.04873005875976e-06
P00410	1.97876738515255e-10	1.04873005875976e-06	1.04892793549828e-06	1.04873005875976e-06
P00420	1.97876738515255e-10	1.04873005875976e-06	1.04892793549828e-06	1.04873005875976e-06
P00425	1.04892793549828e-06	0	1.04892793549828e-06	1.04873005875976e-06
P00427	1.04892793549828e-06	0	1.04892793549828e-06	1.04873005875976e-06
P00549	4.01201434564432e-07	0	4.01201434564432e-07	3.40623785394114e-07
P00560	0.000782894391218803	1.54934970926501e-07	0.000783049326189729	1.55597670414448e-07
P00830	1.3467127532078e-07	2.50635864104659e-06	2.64102991636736e-06	2.50646934838727e-06
P00854	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
P00856	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
P00890	3.93023636746116e-07	0	3.93023636746116e-07	3.81873953705993e-07
P00924	0.000748515441290037	0	0.000748515441290037	0
P00925	0.000746950240404357	0	0.000746950240404357	0
P00942	6.4123897322645e-05	4.75007204290624e-09	6.41286473946879e-05	4.79104887193193e-09
P00950	0.000964217445065561	1.44363886972662e-07	0.000964361808952534	1.44981371026796e-07
P04037	1.04892793549828e-06	0	1.04892793549828e-06	1.04873005875976e-06
P04039	2.09785587099656e-06	0	2.09785587099656e-06	2.09746011751953e-06
P04385	0	0	0	0
P04397	0.00044792351791358	0	0.00044792351791358	0
P04806	2.08700183596289e-07	0	2.08700183596289e-07	2.08696809044522e-07
P04807	4.51332678021967e-07	0	4.51332678021967e-07	0
P05626	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
P06169	1.84384436518084e-07	0	1.84384436518084e-07	3.34920428744766e-08
P07143	6.23761446183234e-10	3.30588316249953e-06	3.30650692394571e-06	3.30588316249953e-06
P07170	0.00144409548300499	0	0.00144409548300499	0
P07251	1.3467127532078e-07	2.50635864104659e-06	2.64102991636736e-06	2.50646934838727e-06
P07255	1.97876738515255e-10	1.04873005875976e-06	1.04892793549828e-06	1.04873005875976e-06
P07256	6.23761446183234e-10	3.30588316249953e-06	3.30650692394571e-06	3.30588316249953e-06
P07257	6.23761446183234e-10	3.30588316249953e-06	3.30650692394571e-06	3.30588316249953e-06
P08067	6.23761446183234e-10	3.30588316249953e-06	3.30650692394571e-06	3.30588316249953e-06
P08417	0.000536666191620032	5.12305453245762e-08	0.000536717422165357	5.15658197885573e-08
P08431	0.00082636001067456	0	0.00082636001067456	0
P08525	6.23761446183234e-10	3.30588316249953e-06	3.30650692394571e-06	3.30588316249953e-06
P09201	2.01643643417221e-07	0	2.01643643417221e-07	0
P09457	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
P09624	2.0610849836984e-07	1.28898794774556e-06	1.4950964461154e-06	1.480642703089e-06
P0CX10	0.000740425665068383	0	0.000740425665068383	0
P0CX11	0.000740425665068383	0	0.000740425665068383	0
P10174	1.04892793549828e-06	0	1.04892793549828e-06	1.04873005875976e-06
P10963	2.26686483002934e-07	0	2.26686483002934e-07	0
P11154	3.68865877938778e-07	0	3.68865877938778e-07	1.37073871242e-07
P11412	9.03694107120088e-09	1.0715173612025e-08	1.97521146832258e-08	1.81071840465253e-08
P12695	1.49553283172805e-08	9.35295638366233e-08	1.08484892153904e-07	1.07436121850481e-07
P12709	0.000571388026910152	5.48562529412431e-08	0.000571442883163094	5.63789485838435e-08
P14540	0.000884030130696307	1.26936816722312e-06	0.00088529949886353	1.28016440196493e-06
P15019	0.000945748389398794	6.27799884053314e-08	0.0009458111693872	1.06578342365555e-07
P16387	2.0610849836984e-07	1.28898794774556e-06	1.4950964461154e-06	1.480642703089e-06
P16451	1.49553283172805e-08	9.35295638366233e-08	1.08484892153904e-07	1.07436121850481e-07
P16467	1.84384436518084e-07	0	1.84384436518084e-07	0
P16861	8.66953785735048e-08	0	8.66953785735048e-08	0
P16862	9.16468806480323e-08	6.42592919544416e-08	1.55906172602474e-07	1.16541724984413e-07
P17505	0.00098248188002732	2.78485369805338e-07	0.000982760365397125	2.80307896434647e-07
P17709	2.08700183596289e-07	0	2.08700183596289e-07	0
P19414	0.000410288091133416	3.74122683799277e-07	0.000410662213817215	3.76544240465155e-07
P19516	6.06189056421924e-05	0	6.06189056421924e-05	0
P20967	8.97225723710418e-08	1.8861672026416e-06	1.97588977501264e-06	1.91980660004161e-06
P21306	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
P21801	8.76634420332938e-09	2.41785747427891e-07	2.5055209163122e-07	2.43368096129306e-07
P21826	3.0640172760374e-08	0	3.0640172760374e-08	0
P21954	8.90816968541055e-08	1.8937005146763e-06	1.9827822115304e-06	1.92709963066631e-06
P22289	6.23761446183234e-10	3.30588316249953e-06	3.30650692394571e-06	3.30588316249953e-06
P23254	0.000474654313452236	0	0.000474654313452236	9.20532849119925e-08
P26263	1.84384436518084e-07	0	1.84384436518084e-07	0
P28240	4.45675240150894e-08	0	4.45675240150894e-08	0
P30902	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
P30952	3.0640172760374e-08	0	3.0640172760374e-08	0
P32327	3.68865877938779e-07	0	3.68865877938779e-07	0
P32340	1.91052208181603e-07	4.30297779385108e-07	6.21349987566711e-07	6.20553048787583e-07
P32473	2.0610849836984e-07	1.28898794774556e-06	1.4950964461154e-06	1.480642703089e-06
P32799	1.04892793549828e-06	0	1.04892793549828e-06	1.04873005875976e-06
P33315	0.000466912805768879	0	0.000466912805768879	0
P33401	0.0005549740242911	0	0.0005549740242911	0
P33421	8.76634420332938e-09	2.41785747427891e-07	2.5055209163122e-07	2.43368096129306e-07
P37012	0.000555179870948506	0	0.000555179870948506	0
P37298	8.76634420332938e-09	2.41785747427891e-07	2.5055209163122e-07	2.43368096129306e-07
P37299	6.23761446183234e-10	3.30588316249953e-06	3.30650692394571e-06	3.30588316249953e-06
P38077	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
P38113	0.000930338750529597	0	0.000930338750529597	0
P38720	3.37978873546896e-07	0	3.37978873546896e-07	3.09383536624759e-07
P38824	6.06189056421924e-05	0	6.06189056421924e-05	0
P38858	1.24991381715453e-06	0	1.24991381715453e-06	1.14582260646412e-06
P40047	2.1630861034926e-07	0	2.1630861034926e-07	0
P40106	8.7831232821724e-10	0	8.7831232821724e-10	0
P40215	1.90999238359526e-07	0	1.90999238359526e-07	0
P41277	8.7831232821724e-10	0	8.7831232821724e-10	0
P41911	8.67430582557229e-11	0	8.67430582557229e-11	0
P42222	0.000740658846835655	0	0.000740658846835655	3.63074922109797e-07
P43635	3.93023636746119e-07	0	3.93023636746119e-07	0
P46367	2.16308610349255e-07	0	2.16308610349255e-07	0
P46969	0.00134886083361545	2.84866419115383e-08	0.00134888932025736	5.59619088892289e-08
P47052	3.2901049575518e-07	0	3.2901049575518e-07	0
P47081	6.06189056421924e-05	0	6.06189056421924e-05	0
P47771	3.0910775297308e-07	0	3.0910775297308e-07	0
P52489	4.01201434564424e-07	0	4.01201434564424e-07	0
P52910	1.83202485001926e-07	0	1.83202485001926e-07	3.30469086538461e-08
P53239	6.06189056421924e-05	0	6.06189056421924e-05	0
P53312	1.24095792292793e-08	2.60876842050993e-07	2.73286421280272e-07	2.65529525943451e-07
P53315	1.24991381715453e-06	0	1.24991381715453e-06	0
P53319	3.37978873546895e-07	0	3.37978873546895e-07	0
P53598	1.24095792292793e-08	2.60876842050993e-07	2.73286421280272e-07	2.65529525943451e-07
P54115	5.19628866550953e-07	0	5.19628866550953e-07	9.43866662826158e-08
P61829	1.3467127532078e-07	2.50635864104659e-06	2.64102991636736e-06	2.50646934838727e-06
P81449	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
P81450	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
P81451	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
Q00055	8.67430582557229e-11	0	8.67430582557229e-11	0
Q00711	2.5055209163122e-07	0	2.5055209163122e-07	2.43368096129306e-07
Q01519	1.04892793549828e-06	0	1.04892793549828e-06	1.04873005875976e-06
Q01574	1.83202485001942e-07	0	1.83202485001942e-07	0
Q04458	4.97382812446461e-07	0	4.97382812446461e-07	0
Q04935	6.06189056421924e-05	0	6.06189056421924e-05	0
Q06204	9.17876280083804e-07	0	9.17876280083804e-07	0
Q06405	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
Q07500	1.90999238359609e-07	0	1.90999238359609e-07	0
Q12055	0.0015414387381053	0	0.0015414387381053	4.1242871940336e-08
Q12165	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
Q12189	0.00123964663025197	3.49027361794771e-07	0.00123999565761376	5.11446257730598e-07
Q12233	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
Q12349	1.34670413424617e-07	2.50634260035128e-06	2.6410130137759e-06	2.50645330698344e-06
Q3E731	6.06189056421924e-05	0	6.06189056421924e-05	0
