enzymes	ranges	minU	maxU	pU
P00127	3.03840096831809e-09	8.56267467052485e-06	8.56571307149317e-06	8.56570410665182e-06
P00128	3.03840096831809e-09	8.56267467052485e-06	8.56571307149317e-06	8.56570410665182e-06
P00163	3.03840096831809e-09	8.56267467052485e-06	8.56571307149317e-06	8.56570410665182e-06
P00330	0.000617283950617284	0	0.000617283950617284	0
P00358	0.000832512169316327	0	0.000832512169316327	0
P00359	0.00083484344466926	0	0.00083484344466926	1.05527677828416e-05
P00360	0.000834766381335197	0	0.000834766381335197	0
P00401	9.63876298529465e-10	2.71634957103889e-06	2.71731344733741e-06	2.71731060340793e-06
P00410	9.63876298529465e-10	2.71634957103889e-06	2.71731344733741e-06	2.71731060340793e-06
P00420	9.63876298529465e-10	2.71634957103889e-06	2.71731344733741e-06	2.71731060340793e-06
P00425	2.71731344733741e-06	0	2.71731344733741e-06	2.71731060340793e-06
P00427	2.71731344733741e-06	0	2.71731344733741e-06	2.71731060340793e-06
P00549	1.04059347568696e-06	0	1.04059347568696e-06	1.03913574419154e-06
P00560	0.000658621899527947	4.7940621799836e-07	0.000659101305745945	4.79826435909144e-07
P00830	3.75816439770075e-09	6.72250299590738e-06	6.72626116030508e-06	6.72250436553592e-06
P00854	3.75814034544889e-09	6.7224599718882e-06	6.72621811223365e-06	6.72246134150798e-06
P00856	3.75814034544889e-09	6.7224599718882e-06	6.72621811223365e-06	6.72246134150798e-06
P00890	1.05634362038811e-06	0	1.05634362038811e-06	1.05607619584275e-06
P00924	0.000630523038796884	0	0.000630523038796884	0
P00925	0.000629204568710194	0	0.000629204568710194	0
P00942	6.4115403493609e-05	8.99698656091144e-09	6.41244004801699e-05	9.02302188012856e-09
P00950	0.000963612779377007	4.46696731249513e-07	0.000964059476108257	4.47088278042427e-07
P04037	2.71731344733741e-06	0	2.71731344733741e-06	2.71731060340793e-06
P04039	5.43462689467483e-06	0	5.43462689467483e-06	5.43462120681586e-06
P04385	0	0	0	0
P04397	0.000376822601710223	0	0.000376822601710223	0
P04806	8.5768862331642e-07	0	8.5768862331642e-07	8.5768862331642e-07
P04807	1.85482780417284e-06	0	1.85482780417284e-06	0
P05626	3.75814034544889e-09	6.7224599718882e-06	6.72621811223365e-06	6.72246134150798e-06
P06169	1.25590686513923e-07	0	1.25590686513923e-07	1.21957729566731e-07
P07143	3.03840096831809e-09	8.56267467052485e-06	8.56571307149317e-06	8.56570410665182e-06
P07170	0.0012149768756188	0	0.0012149768756188	0
P07251	3.75816439770075e-09	6.72250299590738e-06	6.72626116030508e-06	6.72250436553592e-06
P07255	9.63876298529465e-10	2.71634957103889e-06	2.71731344733741e-06	2.71731060340793e-06
P07256	3.03840096831809e-09	8.56267467052485e-06	8.56571307149317e-06	8.56570410665182e-06
P07257	3.03840096831809e-09	8.56267467052485e-06	8.56571307149317e-06	8.56570410665182e-06
P08067	3.03840096831809e-09	8.56267467052485e-06	8.56571307149317e-06	8.56570410665182e-06
P08417	0.000536484900686072	1.4187601230483e-07	0.000536626776698377	1.42093678410706e-07
P08431	0.000695188166547115	0	0.000695188166547115	0
P08525	3.03840096831809e-09	8.56267467052485e-06	8.56571307149317e-06	8.56570410665182e-06
