rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	9.93130732614023e-05	9.9208521677295e-05	9.90967912992413e-05	9.89856830936053e-05	9.88751918762146e-05	8.54878797602633e-05	5.98477316367078e-05	3.4262942528937e-05	8.73348892459908e-06	6.5474435742563e-07	7.14604610381475e-07	7.74868303871773e-07	8.3553543597098e-07	8.96606004795186e-07	9.58080013518936e-07	1.01995746008832e-06	1.08223834670296e-06	1.14492267332816e-06	1.20801043707042e-06	1.27150163948403e-06	1.33539628201229e-06	1.39969436427356e-06	1.46439588658703e-06	1.52950084139625e-06	1.59500923961609e-06	1.66092107588972e-06	1.7272363486559e-06	1.79395506127999e-06	1.86107721139583e-06	1.92860280459617e-06	1.99653183105553e-06	2.0648643054566e-06	2.13360021070197e-06	2.20273956245964e-06	2.27228233960763e-06	2.34222856315691e-06	2.41257822530816e-06	2.48333132599199e-06	2.55448787091217e-06	2.62604785158937e-06	2.69801127131264e-06	2.77037812387859e-06	2.84314842041722e-06	2.9163221528794e-06	2.98989932952243e-06	3.06387994188084e-06	3.13826399683803e-06	3.2130514800166e-06	3.2882424148839e-06	3.36383677662644e-06	3.43983458626906e-06	3.51623583166871e-06	3.59304050787101e-06	3.67024863029419e-06	3.74786019308182e-06	3.82587519806576e-06	3.90429363850142e-06	0.270525154870287	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0.0226035002998855	0.0225423790424668	0.0224794597959053	0.0224168908063091	0.0223546691570962	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.819177875228646	0.819729955836907	0.820229042092767	0.82072535005024	0.821218902844156	0.886050260309755	1.00761497890429	1.13005714540301	1.25337675985431	1.37753903151114	1.50256258458054	1.62846369546666	1.7552423641695	1.88289859068768	2.01143237502257	2.1408437171735	2.27113261714046	2.40229907492413	2.53434309052383	2.66726466393957	2.80106379517201	2.93574048422049	3.071294731085	3.20772653576554	3.34503589826279	3.48322281857607	3.62228729670606	3.76222933265141	3.90304892641347	4.04474607799156	4.18732078738636	4.33077305459719	4.47510287962406	4.62031026246695	4.76639520312656	4.9133577016022	5.06119775789388	5.20991537200226	5.35951054392667	5.50998327366711	5.66133356122427	5.81356140659678	5.96666680978601	6.12064977079193	6.27551028961322	6.43124836625122	6.58786400070592	6.74535719297598	6.90372794306275	7.06297625096557	7.22310211668506	7.38410554022061	7.54598652157219	7.70874506073979	7.87238115772413	8.03689481252379	8.20228602514084	8.28597089789027	8.66777544091267	9.10422833706456	9.65079528536798	10.1939822455526	10.733789217682	11.2702162018201	11.8032631980315	12.3329302063813	12.8592172269351	13.3821242597591	13.90165130492	14.4177983624852	14.9305654325228	15.4399525151012	15.9459596102894	16.448586718157	16.9478338387745	17.4437009722128	17.9361881185434	18.4252952778382	18.9110224501704	19.393369635613	19.8723368342402
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.544658553491448	1.13200831798137	1.86584373693991	2.59518266882644	3.32002511377761	4.04037107193067	4.75622054342426	5.46757352839835	6.1744300269938	6.87679003935281	7.57465356561872	8.26802060593623	8.95689116045143	9.6412652293115	10.3211428126645	10.9965239106601	11.6674085234496	12.3337966511853	12.9956882940207	13.6530834521104	14.3059821256113	14.9543843146807	15.5982900194778
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.279324386587814	0.279030328911699	0.27871608051594	0.278403581468733	0.278092817203291	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289941	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373265	3.13532646578746	3.27102407858374	3.65761235244035	3.95771414044146	4.32499682195737	4.69021734309613	5.05337570391391	5.41447190446711	5.77350594481269	6.13047782500818	6.48538754511145	6.83823510518095	7.18902050527556	7.53774374545476	7.88440482577857	8.22900374630749	8.57154050710234	8.91201510822463	9.25042754973656	9.58677783170066	9.92106595418003	10.2532919172382	10.5834557209397	10.9115573653491	11.2375968505318
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.805251479045495	0.805841217487045	0.806379069347503	0.806913927110375	0.807445815707446	0.870648880701745	0.989133323374673	1.10849521395179	1.2287345524815	1.34981654821672	1.47175982536452	1.59458066032904	1.71827905311027	1.84285500370685	1.96830851212015	2.09463957834947	2.22184820239483	2.3499343842569	2.478898123935	2.60873942142913	2.73945827673997	2.87105468986685	3.00352866080975	3.13688018956869	3.27110927614434	3.40621592053602	3.54220012274441	3.67906188276816	3.81680120060861	3.9554180762651	4.0949125097383	4.23528450102753	4.37653405013279	4.51866115705408	4.6616658217921	4.80554804434613	4.9503078247162	5.09594516290299	5.24246005890579	5.38985251272464	5.53812252436019	5.6872700938111	5.83729522107872	5.98819790616305	6.13997814906273	6.29263594977913	6.44617130831223	6.60058422466069	6.75587469882585	6.91204273080707	7.06908832060496	7.22701146821891	7.38581217364889	7.54549043689489	7.70604625795762	7.86747963683568	8.02979057353113	8.11039517035896	7.9444608839683	7.79048373970867	7.60013499313195	7.4109027455084	7.22278699676505	7.0357877468285	6.84990499562469	6.6651387430788	6.48148898911556	6.29895573365895	6.11753897663235	5.93723871795847	5.75805495755921	5.57998769535597	5.40303693126955	5.22720266521994	5.05248489712633	4.87888362690738	4.706398854481	4.53503057976449	4.36477880267408	4.19564352312573	4.02762474103429
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	0.0051312997153278	0.00511742436475682	0.00510314084637769	0.00508893684105808	0.00507481168669376	0.00567476996624966	0.00680972395949986	0.007944677952749	0.00907963194600081	0.0102145859392503	0.0113495399325002	0.012484493925751	0.0136194479189999	0.0147544019122497	0.0158893559054982	0.0170243098987493	0.018159263892001	0.0192942178852498	0.0204291718784986	0.0215641258717489	0.0226990798650004	0.0238340338582508	0.0249689878515003	0.0261039418447493	0.0272388958380012	0.0283738498312511	0.0295088038244999	0.0306437578177499	0.0317787118109987	0.0329136658042524	0.034048619797503	0.0351835737907504	0.0363185277840024	0.0374534817772516	0.0385884357705022	0.0397233897637448	0.0408583437570011	0.0419932977502517	0.0431282517434983	0.0442632057367467	0.0453981597299999	0.0465331137232479	0.0476680677164989	0.0488030217097455	0.0499379757029992	0.0510729296962547	0.0522078836895004	0.0533428376827465	0.0544777916759998	0.0556127456692495	0.0567476996625027	0.0578826536557564	0.0590176076490101	0.0601525616422487	0.0612875156355015	0.0624224696287516	0.0635574236219947	0.0646923776152502	0.0658273316085003	0.0669622856017504	0.0680972395950015	0.0692321935882436	0.0703671475814982	0.071502101574751	0.0726370555679949	0.073772009561246	0.0749069635545041	0.0760419175477498	0.0771768715410008	0.078311825534259	0.0794467795274905	0.0805817335207539	0.0817166875140032	0.0828516415072507	0.0839865955005017	0.0851215494937456	0.0862565034870002	0.0873914574802583	0.0885264114735058	0.0896613654667497	0.0907963194600043
