enzymes	ranges	minU	maxU	pU
P00127	8.45970793370438e-09	3.13049590834604e-05	3.13134187913941e-05	3.13133882446065e-05
P00128	8.45970793370438e-09	3.13049590834604e-05	3.13134187913941e-05	3.13133882446065e-05
P00163	8.45970793370438e-09	3.13049590834604e-05	3.13134187913941e-05	3.13133882446065e-05
P00330	0.000242044310661531	0	0.000242044310661531	0
P00358	0.000285089860497548	0	0.000285089860497548	0
P00359	0.000285888194731743	0	0.000285888194731743	3.63793508051235e-05
P00360	0.000285861804756956	0	0.000285861804756956	0
P00401	2.68368528538657e-09	9.93091708487569e-06	9.93360077016107e-06	9.93359107975982e-06
P00410	2.68368528538657e-09	9.93091708487569e-06	9.93360077016107e-06	9.93359107975982e-06
P00420	2.68368528538657e-09	9.93091708487569e-06	9.93360077016107e-06	9.93359107975982e-06
P00425	1.15165174110996e-06	8.78194902905112e-06	9.93360077016108e-06	9.93359107975982e-06
P00427	1.15165174110996e-06	8.78194902905112e-06	9.93360077016108e-06	9.93359107975982e-06
P00549	3.56273449071712e-06	0	3.56273449071712e-06	3.55867589295388e-06
P00560	0.00019936274442827	1.65133913645315e-06	0.000201014083564723	1.65250918141476e-06
P00830	1.04637187464478e-08	2.48294171841766e-05	2.48398809029231e-05	2.4829421851047e-05
P00854	1.04636517786508e-08	2.48292582759067e-05	2.48397219276853e-05	2.48292629427471e-05
P00856	1.04636517786508e-08	2.48292582759067e-05	2.48397219276853e-05	2.48292629427471e-05
P00890	3.42070866775892e-06	0	3.42070866775892e-06	3.41996318143186e-06
P00924	0.000194410709514344	0	0.000194410709514344	0
P00925	0.00019400418241025	0	0.00019400418241025	0
P00942	6.40319578844046e-05	5.07197911630707e-08	6.40826776755677e-05	5.07922832993936e-08
P00950	0.000323056772148654	1.53866964328889e-06	0.000324595441791943	1.53975985705781e-06
P04037	1.15165174110996e-06	8.78194902905112e-06	9.93360077016108e-06	9.93359107975982e-06
P04039	2.30330348221991e-06	1.75638980581022e-05	1.98672015403222e-05	1.98671821595196e-05
P04385	0	0	0	0
P04397	0.000114062400923259	0	0.000114062400923259	0
P04806	1.52926158028642e-06	8.58769271742515e-07	2.38803085202894e-06	2.38803085202894e-06
P04807	3.30716395421057e-06	0	3.30716395421057e-06	0
P05626	1.04636517786508e-08	2.48292582759067e-05	2.48397219276853e-05	2.48292629427471e-05
P06169	4.64681077819132e-07	0	4.64681077819132e-07	4.54568447365456e-07
P07143	8.45970793370438e-09	3.13049590834604e-05	3.13134187913941e-05	3.13133882446065e-05
P07170	0.000368252867973745	0	0.000368252867973745	0
P07251	1.04637187464478e-08	2.48294171841766e-05	2.48398809029231e-05	2.4829421851047e-05
P07255	2.68368528538657e-09	9.93091708487569e-06	9.93360077016107e-06	9.93359107975982e-06
P07256	8.45970793370438e-09	3.13049590834604e-05	3.13134187913941e-05	3.13133882446065e-05
P07257	8.45970793370438e-09	3.13049590834604e-05	3.13134187913941e-05	3.13133882446065e-05
P08067	8.45970793370438e-09	3.13049590834604e-05	3.13134187913941e-05	3.13133882446065e-05
P08417	0.000167805250519029	4.58526959758052e-07	0.000168263777478787	4.59132875791132e-07
P08431	0.00021043013611689	0	0.00021043013611689	0
P08525	8.45970793370438e-09	3.13049590834604e-05	3.13134187913941e-05	3.13133882446065e-05
P09201	1.35112580657327e-08	0	1.35112580657327e-08	0
P09457	1.04636517786508e-08	2.48292582759067e-05	2.48397219276853e-05	2.48292629427471e-05
P09624	9.04427070521298e-08	1.42348749552377e-05	1.43253176622898e-05	1.42351847233777e-05
P0CX10	0.000192309564971015	0	0.000192309564971015	0
P0CX11	0.000192309564971015	0	0.000192309564971015	0
P10174	1.15165174110996e-06	8.78194902905112e-06	9.93360077016108e-06	9.93359107975982e-06
P10963	1.51892691480878e-08	0	1.51892691480878e-08	0
P11154	1.80215403457777e-06	0	1.80215403457777e-06	1.80192733668466e-06
P11412	3.47247303533418e-09	2.47124059685298e-07	2.50596532720633e-07	2.47619463515994e-07
P12695	6.56256480720716e-09	1.032889134581e-06	1.03945169938821e-06	1.03291161150104e-06
P12709	0.000145504634475774	5.81955712638607e-07	0.000146086590188412	5.84705916131581e-07
P14540	0.00022513221939365	1.356203839478e-05	0.00023869425778843	1.35813603372691e-05
P15019	0.000240823823585374	1.45455147255484e-06	0.000242278375057929	1.45748678663784e-06
P16387	9.04427070521298e-08	1.42348749552377e-05	1.43253176622898e-05	1.42351847233777e-05
P16451	6.56256480720716e-09	1.032889134581e-06	1.03945169938821e-06	1.03291161150104e-06
P16467	4.64681077819132e-07	0	4.64681077819132e-07	0
P16861	6.88996581997383e-07	0	6.88996581997383e-07	0
P16862	5.52485653346296e-07	6.86551787897741e-07	1.23903744124404e-06	1.23639991778461e-06
P17505	0.000250185645568914	2.5182487332886e-06	0.000252703894302203	2.51831649506923e-06
P17709	1.52926158028642e-06	0	1.52926158028642e-06	0
P19414	0.000104482416007016	3.36785536944929e-06	0.000107850271376466	3.37223166459401e-06
P19516	6.64608044094034e-05	0	6.64608044094034e-05	0
P20967	1.58084959478913e-07	1.67819112322692e-05	1.69399961917481e-05	1.69394817347648e-05
P21306	1.04636517786508e-08	2.48292582759067e-05	2.48397219276853e-05	2.48292629427471e-05
P21801	3.33999230392797e-09	2.16404652690189e-06	2.16738651920581e-06	2.16690618533434e-06
P21826	4.18702701381311e-07	0	4.18702701381311e-07	0
P21954	1.56955781196917e-07	1.69491215481994e-05	1.71060773293963e-05	1.71055665471057e-05
P22289	8.45970793370438e-09	3.13049590834604e-05	3.13134187913941e-05	3.13133882446065e-05
P23254	0.00012210489231021	0	0.00012210489231021	1.25900687733498e-06
P26263	4.64681077819132e-07	0	4.64681077819132e-07	0
P28240	2.85436327480472e-07	3.2358578361962e-07	6.09022111100091e-07	3.24616228587935e-07
P30902	1.04636517786508e-08	2.48292582759067e-05	2.48397219276853e-05	2.48292629427471e-05
P30952	4.18702701381311e-07	0	4.18702701381311e-07	2.23173657154205e-07
P32327	1.80215403457777e-06	0	1.80215403457777e-06	0
P32340	1.84939505616475e-06	4.09040627124279e-06	5.93980132740754e-06	5.93854036092579e-06
P32473	9.04427070521298e-08	1.42348749552377e-05	1.43253176622898e-05	1.42351847233777e-05
P32799	1.15165174110996e-06	8.78194902905112e-06	9.93360077016108e-06	9.93359107975982e-06
P33315	0.000120113388314133	0	0.000120113388314133	0
P33401	0.000141322496205478	0	0.000141322496205478	0
P33421	3.33999230392797e-09	2.16404652690189e-06	2.16738651920581e-06	2.16690618533434e-06
P37012	0.000141374914448831	0	0.000141374914448831	0
P37298	3.33999230392797e-09	2.16404652690189e-06	2.16738651920581e-06	2.16690618533434e-06
P37299	8.45970793370438e-09	3.13049590834604e-05	3.13134187913941e-05	3.13133882446065e-05
P38077	1.04636517786508e-08	2.48292582759067e-05	2.48397219276853e-05	2.48292629427471e-05
P38113	0.000236908015126424	0	0.000236908015126424	0
P38720	4.28268479052517e-06	0	4.28268479052517e-06	4.23092958742914e-06
P38824	6.64608044094034e-05	0	6.64608044094034e-05	0
P38858	1.58577485905616e-05	0	1.58577485905616e-05	1.56693596512921e-05
P40047	8.31559262656721e-08	0	8.31559262656721e-08	0
P40106	9.2259146778388e-09	0	9.2259146778388e-09	0
P40215	1.84939505616475e-06	0	1.84939505616475e-06	0
P41277	9.2259146778388e-09	0	9.2259146778388e-09	0
P41911	9.11161130996318e-10	0	9.11161130996318e-10	0
P42222	0.000192370128895713	0	0.000192370128895713	3.85600016201898e-06
P43635	3.4207086677586e-06	0	3.4207086677586e-06	0
P46367	8.31559262656721e-08	0	8.31559262656721e-08	0
P46969	0.00034347827691204	7.63546080822948e-07	0.000344241822992863	7.65387440846819e-07
P47052	2.84608645066343e-06	0	2.84608645066343e-06	0
P47081	6.64608044094034e-05	0	6.64608044094034e-05	0
P47771	1.1883087535397e-07	0	1.1883087535397e-07	0
P52489	3.56273449071712e-06	0	3.56273449071712e-06	0
P52910	4.61702352961295e-07	0	4.61702352961295e-07	4.51641084935897e-07
P53239	6.64608044094034e-05	0	6.64608044094034e-05	0
P53312	2.18648192731056e-08	2.32111554040544e-06	2.34298035967855e-06	2.34290920484509e-06
P53315	1.58577485905616e-05	0	1.58577485905616e-05	0
P53319	4.28268479052517e-06	0	4.28268479052517e-06	0
P53598	2.18648192731056e-08	2.32111554040544e-06	2.34298035967855e-06	2.34290920484509e-06
P54115	1.99761903341345e-07	1.1097938614217e-06	1.30955576476304e-06	1.28105653348447e-06
P61829	1.04637187464478e-08	2.48294171841766e-05	2.48398809029231e-05	2.4829421851047e-05
P81449	1.04636517786508e-08	2.48292582759067e-05	2.48397219276853e-05	2.48292629427471e-05
P81450	1.04636517786508e-08	2.48292582759067e-05	2.48397219276853e-05	2.48292629427471e-05
P81451	1.04636517786508e-08	2.48292582759067e-05	2.48397219276853e-05	2.48292629427471e-05
Q00055	9.11161130996318e-10	0	9.11161130996318e-10	0
Q00711	2.16738651920581e-06	0	2.16738651920581e-06	2.16690618533434e-06
Q01519	1.15165174110996e-06	8.78194902905112e-06	9.93360077016108e-06	9.93359107975982e-06
Q01574	4.61702352961295e-07	0	4.61702352961295e-07	0
