enzymes	ranges	minU	maxU	pU
P00127	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P00128	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P00163	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P00330	5.31748827428966e-05	0	5.31748827428966e-05	0
P00358	0.000100530132237776	0	0.000100530132237776	0
P00359	0.000100811645743706	0	0.000100811645743706	4.59968802821531e-05
P00360	0.000100802339949208	0	0.000100802339949208	0
P00401	3.43748788332913e-09	1.2260355970261e-05	1.22637934581444e-05	1.22637814486589e-05
P00410	3.43748788332913e-09	1.2260355970261e-05	1.22637934581444e-05	1.22637814486589e-05
P00420	3.43748788332913e-09	1.2260355970261e-05	1.22637934581444e-05	1.22637814486589e-05
P00425	2.54728053575718e-07	1.20090654045686e-05	1.22637934581444e-05	1.22637814486589e-05
P00427	2.54728053575718e-07	1.20090654045686e-05	1.22637934581444e-05	1.22637814486589e-05
P00549	4.48809959793218e-06	0	4.48809959793218e-06	4.48290098242104e-06
P00560	4.37993811751162e-05	2.08673488578824e-06	4.58861160609045e-05	2.0882335660922e-06
P00830	1.34028034514294e-08	3.06513848607028e-05	3.06647876641542e-05	3.06513906444377e-05
P00854	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P00856	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P00890	4.17012739237134e-06	0	4.17012739237134e-06	4.16917271724931e-06
P00924	4.6778526439473e-05	0	4.6778526439473e-05	0
P00925	4.66807090973382e-05	0	4.66807090973382e-05	0
P00942	6.40052560477147e-05	6.407070950805e-08	6.40693267572228e-05	6.41635628089597e-08
P00950	7.09737233504431e-05	1.94435870347665e-06	7.29180820539198e-05	1.94575513007236e-06
P04037	2.54728053575718e-07	1.20090654045686e-05	1.22637934581444e-05	1.22637814486589e-05
P04039	5.09456107151435e-07	2.40181308091373e-05	2.45275869162887e-05	2.45275628973177e-05
P04385	0	0	0	0
P04397	2.50584480911409e-05	0	2.50584480911409e-05	0
P04806	3.05878903228766e-06	0	3.05878903228766e-06	3.05878903228766e-06
P04807	6.61490287961182e-06	0	6.61490287961182e-06	0
P05626	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P06169	6.11652516243318e-07	0	6.11652516243318e-07	5.98698852778619e-07
P07143	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P07170	8.148120931761e-05	0	8.148120931761e-05	0
P07251	1.34028034514294e-08	3.06513848607028e-05	3.06647876641542e-05	3.06513906444377e-05
P07255	3.43748788332913e-09	1.2260355970261e-05	1.22637934581444e-05	1.22637814486589e-05
P07256	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P07257	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P08067	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P08417	3.68658957621797e-05	5.58177597203353e-07	3.7424073359383e-05	5.58953733094036e-07
P08431	4.62295427767161e-05	0	4.62295427767161e-05	0
P08525	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P09201	1.73063459200427e-08	0	1.73063459200427e-08	0
P09457	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P09624	1.15846560444946e-07	1.76145636280918e-05	1.77304101885368e-05	1.76149475292217e-05
P0CX10	4.62729552915726e-05	0	4.62729552915726e-05	0
P0CX11	4.62729552915726e-05	0	4.62729552915726e-05	0
P10174	2.54728053575718e-07	1.20090654045686e-05	1.22637934581444e-05	1.22637814486589e-05
P10963	1.94556824294713e-08	0	1.94556824294713e-08	0
P11154	2.37129664981487e-06	0	2.37129664981487e-06	2.37101569911004e-06
P11412	4.44783300377733e-09	3.25498421434825e-07	3.29946254438602e-07	3.26133003557779e-07
P12695	8.40588020185848e-09	1.27812091353478e-06	1.28652679373664e-06	1.27814876957897e-06
P12709	3.19689320664724e-05	7.32008829244981e-07	3.27009408957174e-05	7.35531493708329e-07
P14540	4.94799533970153e-05	1.71342892586763e-05	6.66142426556916e-05	1.71590382346497e-05
P15019	5.29098721965899e-05	1.91585709067375e-06	5.48257292872637e-05	1.91961704917006e-06
P16387	1.15846560444946e-07	1.76145636280918e-05	1.77304101885368e-05	1.76149475292217e-05
P16451	8.40588020185848e-09	1.27812091353478e-06	1.28652679373664e-06	1.27814876957897e-06
P16467	6.11652516243318e-07	0	6.11652516243318e-07	0
P16861	8.70521528698902e-07	0	8.70521528698902e-07	0
P16862	6.98087642723035e-07	8.67390032565394e-07	1.56547767528843e-06	1.56209929901983e-06
P17505	5.49634582639972e-05	3.0686972860558e-06	5.8032155550053e-05	3.06878126442797e-06
P17709	3.05878903228766e-06	0	3.05878903228766e-06	0
P19414	2.29584638266544e-05	4.10537895534174e-06	2.70638427819961e-05	4.11098468211673e-06
P19516	1.46008202870372e-05	0	1.46008202870372e-05	0
P20967	2.02488397466803e-07	2.0400245392463e-05	2.06027337899298e-05	2.06020962143011e-05
P21306	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P21801	4.27814063657407e-09	2.63435391292964e-06	2.63863205356622e-06	2.63801693457514e-06
P21826	5.51461835398632e-07	0	5.51461835398632e-07	0
P21954	2.01042051770608e-07	2.06326361823382e-05	2.08336782341089e-05	2.08330452125918e-05
P22289	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P23254	2.82069251483831e-05	0	2.82069251483831e-05	1.65820449544795e-06
P26263	6.11652516243318e-07	0	6.11652516243318e-07	0
P28240	3.65612521756543e-07	4.36513784277831e-07	8.02126306034374e-07	4.37790832936201e-07
P30902	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P30952	5.51461835398632e-07	0	5.51461835398632e-07	3.00981197643638e-07
P32327	2.37129664981487e-06	0	2.37129664981487e-06	0
P32340	2.34084252484913e-06	5.00867061216304e-06	7.34951313701217e-06	7.34789820714026e-06
P32473	1.15846560444946e-07	1.76145636280918e-05	1.77304101885368e-05	1.76149475292217e-05
P32799	2.5434249629802e-07	1.20094509618463e-05	1.22637934581444e-05	1.22637814486589e-05
P33315	2.77468763895873e-05	0	2.77468763895873e-05	0
P33401	3.10472373596445e-05	0	3.10472373596445e-05	0
P33421	4.27814063657407e-09	2.63435391292964e-06	2.63863205356622e-06	2.63801693457514e-06
P37012	3.10587531599386e-05	0	3.10587531599386e-05	0
P37298	4.27814063657407e-09	2.63435391292964e-06	2.63863205356622e-06	2.63801693457514e-06
P37299	1.08358993049487e-08	3.86479857517092e-05	3.86588216510141e-05	3.86587837938405e-05
P38077	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P38113	5.20464864089125e-05	0	5.20464864089125e-05	0
P38720	5.63873664400405e-06	0	5.63873664400405e-06	5.5724447440759e-06
P38824	1.46008202870372e-05	0	1.46008202870372e-05	0
P38858	2.08789989808756e-05	0	2.08789989808756e-05	2.06376964651363e-05
P40047	1.06513044030434e-07	0	1.06513044030434e-07	0
P40106	1.18173207903118e-08	0	1.18173207903118e-08	0
P40215	2.34084252484913e-06	0	2.34084252484913e-06	0
P41277	1.18173207903118e-08	0	1.18173207903118e-08	0
P41911	1.1670911506184e-09	0	1.1670911506184e-09	0
P42222	4.62875280029208e-05	0	4.62875280029208e-05	4.87272873261209e-06
P43635	4.17012739237134e-06	0	4.17012739237134e-06	0
P46367	1.06513044030434e-07	0	1.06513044030434e-07	0
P46969	7.54609379043895e-05	1.00571278538301e-06	7.64666506897725e-05	1.00807145538245e-06
P47052	3.46489879372914e-06	0	3.46489879372914e-06	0
P47081	1.46008202870372e-05	0	1.46008202870372e-05	0
P47771	1.52208493454617e-07	0	1.52208493454617e-07	0
P52489	4.48809959793218e-06	0	4.48809959793218e-06	0
P52910	6.07731666780247e-07	0	6.07731666780247e-07	5.94844355769231e-07
P53239	1.46008202870372e-05	0	1.46008202870372e-05	0
P53312	2.80062836471357e-08	2.82156936436898e-06	2.84957564801611e-06	2.84948746457386e-06
P53315	2.08789989808756e-05	0	2.08789989808756e-05	0
P53319	5.63873664400405e-06	0	5.63873664400405e-06	0
P53598	2.80062836471357e-08	2.82156936436898e-06	2.84957564801611e-06	2.84948746457386e-06
P54115	2.55871702254491e-07	1.46787629806767e-06	1.72374800032216e-06	1.68724222146702e-06
P61829	1.34028034514294e-08	3.06513848607028e-05	3.06647876641542e-05	3.06513906444377e-05
P81449	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P81450	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
P81451	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
Q00055	1.1670911506184e-09	0	1.1670911506184e-09	0
Q00711	2.63863205356621e-06	0	2.63863205356621e-06	2.63801693457514e-06
Q01519	2.54728053575718e-07	1.20090654045686e-05	1.22637934581444e-05	1.22637814486589e-05
Q01574	6.07731666780247e-07	0	6.07731666780247e-07	0
Q04458	2.44917469149876e-07	0	2.44917469149876e-07	0
Q04935	1.46008202870372e-05	0	1.46008202870372e-05	0
Q06204	1.34527428301086e-05	0	1.34527428301086e-05	0
Q06405	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
Q07500	2.34084252484913e-06	0	2.34084252484913e-06	0
Q12055	8.6973675873894e-05	0	8.6973675873894e-05	7.42371694926049e-07
Q12165	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
Q12189	6.93550034340968e-05	9.19656499749851e-06	7.85515684315953e-05	9.21050817692232e-06
Q12233	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
Q12349	1.34027176734871e-08	3.06511886918397e-05	3.06645914095132e-05	3.06511944755375e-05
