rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	1.22130554534583e-05	3.49067975509952e-07	4.05532747686441e-07	4.62400958972306e-07	5.19468372591619e-07	5.76289477919462e-07	6.33391354597918e-07	6.90889340834722e-07	7.48783553709831e-07	8.07073769176769e-07	8.65760095176971e-07	9.24842534905795e-07	9.8432108976837e-07	1.04419575121945e-06	1.1044665270965e-06	1.16513341934243e-06	1.22619642149713e-06	1.28765553752269e-06	1.34919586841642e-06	1.41098074508267e-06	1.47315855426877e-06	1.53572904645904e-06	1.59869269492768e-06	1.66204345028453e-06	1.72578581984772e-06	1.78992112120219e-06	1.85444935811574e-06	1.91936708604512e-06	1.98467677664516e-06	2.0503794147253e-06	2.11647497180834e-06	2.18296347057056e-06	2.24984489924362e-06	2.31711555380432e-06	2.38477454449215e-06	2.45282647798328e-06	2.52110197795918e-06	2.5895890539418e-06	2.65846824455684e-06	2.72773953599592e-06	2.79726727472895e-06	2.86702956006635e-06	2.93718326699333e-06	3.00772839012531e-06	3.07866494304865e-06	3.14999291196882e-06	3.22171230909829e-06	3.29382311739512e-06	3.36632535499759e-06	3.43921901041488e-06	3.51250409401371e-06	3.58618059098648e-06	3.66024852035962e-06	3.73470787090602e-06	3.80955862078203e-06	3.88480083043929e-06	0.0666157200223426	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.29178569965497	0.408942370972703	0.526945461849121	0.64582611054089	0.765584317457844	0.88622008349032	1.00773340758485	1.13012428950938	1.25339272926505	1.37753872685231	1.50256228226958	1.6284633955182	1.75524206659819	1.88289829550819	2.01143208224954	2.14084342682159	2.27113232922432	2.4022987894584	2.53434280815297	2.66726438498136	2.80106351964746	2.93574021215112	3.07129446249137	3.20772627068031	3.34503563670962	3.48322256057598	3.62228704228005	3.76222908182736	3.90304867921433	4.04474583443834	4.18732054750008	4.33077281839886	4.47510264713469	4.62031003371496	4.76639497814215	4.91335748040637	5.06119754084637	5.2099151594868	5.35951033596593	5.50998307028375	5.66133336271226	5.81356121329392	5.96666662171632	6.12064958797946	6.27551011208199	6.43124819402527	6.58786383380929	6.7453570314327	6.90372778689685	7.0629761002011	7.22310197134605	7.38410540033107	7.54598638715617	7.70874493182133	7.87238103432726	8.03689469467321	8.18369894771359	8.30488908079565	8.93603004550149	9.4697648302193	10.000197710531	10.5273286864362	11.051157757935	11.5716849250274	12.0889101877136	12.6028335459933	13.1134549998667	13.6207745493336	14.1247921943943	14.6255079350485	15.1229217712964	15.617033703138	16.1078437305731	16.595351853602	17.0795580722244	17.5604623864403	18.03806479625	18.5123653016534	18.9833639026504	19.4510605992409	19.9154553914251
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.208579082119333	1.04780593709127	1.75833627613239	2.46450402141354	3.16630917293422	3.86375173069442	4.55683169469413	5.24554906493388	5.92990384141316	6.60989602413194	7.28552561309024	7.95679260828859	8.6236970097262	9.28623881740358	9.94441803132075	10.5982346514774	11.2476886778739	11.8927801105099	12.5335089493854	13.1698751945006	13.8018788458557	14.4295199034503	15.0527983672843	15.6717142373582
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.0486350209609795	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289941	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373276	3.15443255812582	3.45352841815098	3.87003724773842	4.22741287535092	4.58278398764241	4.93615058461267	5.28751266626169	5.63687023258947	5.98422328359625	6.32957181928179	6.6729158396461	7.01425534468917	7.35359033441124	7.69092080881196	8.02624676789156	8.35956821165003	8.69088514008727	9.02019755320339	9.34750545099828	9.67280883347193	9.99610770062446	10.3174020524559	10.636691888966	10.953977210155	11.2692580160228
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.29178569965497	0.405862095051101	0.520784910005917	0.636585282776084	0.753263213771435	0.870818703882311	0.989251752055237	1.10856235805817	1.22875052189224	1.3498162435579	1.47175952305356	1.59458036038058	1.71827875553897	1.84285470852736	1.96830821934712	2.09463928799756	2.22184791447868	2.34993409879117	2.47889784156414	2.60873914247092	2.73945800121542	2.87105441779748	3.00352839221613	3.13687992448347	3.27110901459118	3.40621566253593	3.54219986831839	3.67906163194411	3.81680095340948	3.95541783271188	4.09491226985202	4.2352842648292	4.37653381764342	4.51866092830209	4.66166559680769	4.8055478231503	4.9503076076687	5.09594495038753	5.24245985094505	5.38985230934127	5.53812232584818	5.68726990050823	5.83729503300903	5.98819772335058	6.1399779715315	6.29263577755318	6.4461711414156	6.60058406311741	6.75587454265996	6.9120425800426	7.06908817526595	7.22701132832937	7.38581203923287	7.54549030797642	7.70604613456075	7.8674795189851	8.01120349610388	7.920734271145	7.70956810495731	7.52969227471239	7.35087713382131	7.17312268228427	6.99642892010126	6.82079584727229	6.64622346379716	6.47271176967605	6.30026076490902	6.128870449496	5.95854082343681	5.78927188673176	5.62106363938065	5.45391608138346	5.28782921274033	5.12280303345112	4.95883754351596	4.79593274293484	4.63408863170765	4.47330520983439	4.31358247731517	4.15492043415	3.99731908033875
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399325012	0.00226990798650012	0.00340486197974987	0.00453981597300041	0.00567476996624999	0.0068097239594998	0.00794467795274956	0.00907963194600092	0.0102145859392496	0.0113495399325001	0.0124844939257508	0.0136194479189996	0.0147544019122495	0.0158893559054984	0.0170243098987488	0.0181592638920014	0.0192942178852504	0.0204291718784986	0.0215641258717492	0.0226990798650006	0.0238340338582506	0.0249689878515005	0.0261039418447497	0.0272388958380005	0.0283738498312516	0.0295088038244993	0.0306437578177501	0.0317787118109987	0.0329136658042462	0.0340486197975016	0.0351835737907504	0.0363185277840024	0.0374534817772512	0.0385884357705026	0.0397233897637457	0.0408583437569998	0.0419932977502504	0.0431282517434983	0.0442632057367476	0.0453981597299995	0.0465331137232501	0.0476680677164967	0.0488030217097446	0.0499379757029974	0.0510729296962542	0.0522078836895008	0.0533428376827469	0.0544777916759984	0.0556127456692503	0.0567476996625045	0.0578826536557537	0.0590176076490088	0.060152561642246	0.0612875156355042	0.0624224696287516	0.0635574236219947	0.0646923776152448	0.0658273316085003	0.0669622856017451	0.0680972395950032	0.0692321935882481	0.0703671475814982	0.0715021015747475	0.0726370555680003	0.0737720095612406	0.0749069635545094	0.0760419175477551	0.0771768715410079	0.0783118255342465	0.0794467795274922	0.0805817335207433	0.0817166875139979	0.0828516415072471	0.0839865955005052	0.0851215494937527	0.0862565034870038	0.0873914574802477	0.0885264114735058	0.0896613654667568	0.0907963194599972
