enzymes	ranges	minU	maxU	pU
P00127	5.86903018304458e-09	2.08142293973986e-05	2.08200984275816e-05	2.08156923396683e-05
P00128	5.86903018304458e-09	2.08142293973986e-05	2.08200984275816e-05	2.08156923396683e-05
P00163	5.86903018304458e-09	2.08142293973986e-05	2.08200984275816e-05	2.08156923396683e-05
P00330	7.40422376412245e-08	4.59197489765883e-06	4.66601713530005e-06	4.61476368818954e-06
P00358	1.88676378937081e-05	0	1.88676378937081e-05	0
P00359	0.000214588664382624	0	0.000214588664382624	0.000214535829528299
P00360	0.000214568855976587	0	0.000214568855976587	0
P00401	2.09280172320349e-09	6.60300315250698e-06	6.60509595423018e-06	6.60339194625384e-06
P00410	2.09280172320349e-09	6.60300315250698e-06	6.60509595423018e-06	6.60339194625384e-06
P00420	2.09280172320349e-09	6.60300315250698e-06	6.60509595423018e-06	6.60339194625384e-06
P00425	2.09282839152592e-09	6.60300312583866e-06	6.60509595423018e-06	6.60339194625384e-06
P00427	2.09282839152592e-09	6.60300312583866e-06	6.60509595423018e-06	6.60339194625384e-06
P00549	2.90282308209327e-06	1.93326925912855e-05	2.22355156733788e-05	2.22347370798286e-05
P00560	4.31408022960169e-08	9.83054927342079e-06	9.8736900757168e-06	9.83147417928122e-06
P00830	2.30054451427121e-09	1.65619853367992e-05	1.65642858813135e-05	1.65624100912859e-05
P00854	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
P00856	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
P00890	1.26663031848012e-06	0	1.26663031848012e-06	1.26549346279474e-06
P00924	5.86339213807619e-08	0	5.86339213807619e-08	0
P00925	5.84558907950882e-08	0	5.84558907950882e-08	0
P00942	7.05090282387079e-08	3.05371894228772e-07	3.7588092246748e-07	3.05395999733185e-07
P00950	6.92705959615726e-08	9.15981908861968e-06	9.22908968458125e-06	9.16068088892401e-06
P04037	2.09282839152592e-09	6.60300312583866e-06	6.60509595423018e-06	6.60339194625384e-06
P04039	4.33626183628605e-09	1.32058556466241e-05	1.32101919084604e-05	1.32067838925077e-05
P04385	0	0	0	0
P04397	2.41533330239469e-08	0	2.41533330239469e-08	0
P04806	1.15224852245677e-06	9.90868975219613e-06	1.10609382746529e-05	1.10609382746529e-05
P04807	6.49175393056255e-08	0	6.49175393056255e-08	0
P05626	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
P06169	2.22475194885434e-05	4.83069264272076e-05	7.0554445915751e-05	7.05525268764073e-05
P07143	5.86903018304458e-09	2.08142293973986e-05	2.08200984275816e-05	2.08156923396683e-05
P07170	1.09534420123324e-06	0	1.09534420123324e-06	0
P07251	2.30054451427121e-09	1.65619853367992e-05	1.65642858813135e-05	1.65624100912859e-05
P07255	2.09280172320349e-09	6.60300315250698e-06	6.60509595423018e-06	6.60339194625384e-06
P07256	5.86903018304458e-09	2.08142293973986e-05	2.08200984275816e-05	2.08156923396683e-05
P07257	5.86903018304458e-09	2.08142293973986e-05	2.08200984275816e-05	2.08156923396683e-05
P08067	5.86903018304458e-09	2.08142293973986e-05	2.08200984275816e-05	2.08156923396683e-05
P08417	3.56396261490928e-08	1.57697325325474e-07	1.93336951474567e-07	1.57802753898934e-07
P08431	4.4559724456082e-08	0	4.4559724456082e-08	0
P08525	5.86903018304458e-09	2.08142293973986e-05	2.08200984275816e-05	2.08156923396683e-05
P09201	3.42534184122505e-09	0	3.42534184122505e-09	0
P09457	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
P09624	2.23090414106592e-08	9.16479818491717e-06	9.18710722632783e-06	9.16831729608617e-06
P0CX10	2.29736553091131e-05	0	2.29736553091131e-05	0
P0CX11	2.29736553091131e-05	0	2.29736553091131e-05	0
P10174	2.09282839152592e-09	6.60300312583866e-06	6.60509595423018e-06	6.60339194625384e-06
P10963	1.82132959836196e-09	0	1.82132959836196e-09	0
P11154	3.61262250443337e-06	0	3.61262250443337e-06	3.60933287497113e-06
P11412	1.08259487137079e-09	3.45345913802589e-07	3.46428508673959e-07	3.45431864547119e-07
P12695	1.33077680069192e-09	6.65038087594491e-07	6.66368864395183e-07	6.65257358936901e-07
P12709	3.15648819001663e-08	3.83137193909239e-06	3.86293682099255e-06	3.83212600644869e-06
P14540	5.53057563856493e-08	8.1475504023102e-05	8.15308097794877e-05	8.1483140899645e-05
P15019	5.15043966947336e-08	2.02755185350448e-06	2.07905625019921e-06	2.02806111971364e-06
P16387	2.23090414106592e-08	9.16479818491717e-06	9.18710722632783e-06	9.16831729608617e-06
P16451	1.33077680069192e-09	6.65038087594491e-07	6.66368864395183e-07	6.65257358936901e-07
P16467	4.53239873567309e-06	0	4.53239873567309e-06	0
P16861	7.72422990519945e-08	0	7.72422990519945e-08	0
P16862	6.23329544494053e-08	7.35627820461996e-06	7.41861115906936e-06	7.41794240100476e-06
P17505	5.36635813495592e-08	8.57121971477417e-07	9.10785552826976e-07	8.57891777045635e-07
P17709	1.15224852245677e-06	0	1.15224852245677e-06	0
P19414	2.30344851347505e-08	1.24692532712352e-06	1.26995981225827e-06	1.24783130699858e-06
P19516	1.40734363731725e-08	0	1.40734363731725e-08	0
P20967	3.68985718803997e-08	5.84391034875777e-06	5.88080892063817e-06	5.87442828134189e-06
P21306	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
P21801	1.23007880473152e-09	7.44262342507367e-07	7.45492421312098e-07	7.44759919222055e-07
P21826	4.33431372969249e-08	0	4.33431372969249e-08	0
P21954	3.66350106527528e-08	6.35532441796307e-06	6.39195942861583e-06	6.38562436531445e-06
P22289	5.86903018304458e-09	2.08142293973986e-05	2.08200984275816e-05	2.08156923396683e-05
P23254	1.56898321236071e-06	7.73527000227713e-08	1.64633591238348e-06	1.62074614052335e-06
P26263	2.22455895542289e-05	0	2.22455895542289e-05	0
P28240	6.30487594163105e-08	0	6.30487594163105e-08	1.26848970395605e-09
P30902	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
P30952	4.33460220987135e-08	0	4.33460220987135e-08	8.72086671469782e-10
P32327	3.61223096063515e-06	0	3.61223096063515e-06	0
P32340	4.29124734763585e-07	3.82448366217676e-06	4.25360839694034e-06	4.25280061415624e-06
P32473	2.23090414106592e-08	9.16479818491717e-06	9.18710722632783e-06	9.16831729608617e-06
P32799	2.09282839152592e-09	6.60300312583866e-06	6.60509595423018e-06	6.60339194625384e-06
P33315	1.54339344050058e-06	0	1.54339344050058e-06	0
P33401	2.9925806286709e-08	0	2.9925806286709e-08	0
P33421	1.23007880473152e-09	7.44262342507367e-07	7.45492421312098e-07	7.44759919222055e-07
P37012	2.99369061344941e-08	0	2.99369061344941e-08	0
P37298	1.23007880473152e-09	7.44262342507367e-07	7.45492421312098e-07	7.44759919222055e-07
P37299	5.86903018304458e-09	2.08142293973986e-05	2.08200984275816e-05	2.08156923396683e-05
P38077	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
P38113	7.24710260993391e-08	0	7.24710260993391e-08	0
P38720	4.99138619885484e-06	8.88863981347946e-07	5.88025018020279e-06	5.86292390538233e-06
P38824	1.40734363731725e-08	0	1.40734363731725e-08	0
P38858	2.91085194848421e-06	1.90111440804039e-05	2.19219960288882e-05	2.18589283885417e-05
P40047	2.78446154832067e-08	0	2.78446154832067e-08	0
P40106	1.13780572192662e-08	0	1.13780572192662e-08	0
P40215	3.41880519370813e-07	0	3.41880519370813e-07	0
P41277	1.13689410040716e-08	0	1.13689410040716e-08	0
P41911	1.11934492985785e-09	0	1.11934492985785e-09	0
P42222	2.29808903872559e-05	0	2.29808903872559e-05	2.29409714962902e-05
P43635	1.26628777051626e-06	0	1.26628777051626e-06	0
P46367	2.7831977307314e-08	0	2.7831977307314e-08	0
P46969	7.31363821667635e-08	9.84896034252858e-07	1.05803241641962e-06	9.85299415824767e-07
P47052	1.18780196031257e-07	0	1.18780196031257e-07	0
P47081	1.40734363731725e-08	0	1.40734363731725e-08	0
P47771	2.99880654794365e-08	0	2.99880654794365e-08	0
P52489	2.90204448854308e-06	0	2.90204448854308e-06	0
P52910	5.20081885804792e-07	3.52683317460243e-07	8.72765203265036e-07	8.70235261217949e-07
P53239	1.40734363731725e-08	0	1.40734363731725e-08	0
P53312	4.1795723006282e-09	8.09054368956955e-07	8.13233941257583e-07	8.12495465272234e-07
P53315	2.84778430813315e-06	0	2.84778430813315e-06	0
P53319	4.97405992406975e-06	0	4.97405992406975e-06	0
P53598	4.32360610952187e-09	8.09054368956939e-07	8.13377975066461e-07	8.12495465272234e-07
P54115	6.45100541206093e-08	9.98672700726145e-06	1.00512370613821e-05	1.00440612257576e-05
P61829	2.30054451427121e-09	1.65619853367992e-05	1.65642858813135e-05	1.65624100912859e-05
P81449	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
P81450	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
P81451	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
Q00055	1.12370901386735e-09	0	1.12370901386735e-09	0
Q00711	9.11843676734281e-08	6.5430805363867e-07	7.45492421312098e-07	7.44759919222055e-07
Q01519	2.09282839152592e-09	6.60300312583866e-06	6.60509595423018e-06	6.60339194625384e-06
Q01574	5.17551943757705e-07	0	5.17551943757705e-07	0
Q04458	2.91362533723014e-08	0	2.91362533723014e-08	0
Q04935	1.40734363731725e-08	0	1.40734363731725e-08	0
Q06204	5.1391598610601e-08	0	5.1391598610601e-08	0
Q06405	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
Q07500	4.2832370688988e-07	0	4.2832370688988e-07	0
Q12055	1.16917891040445e-06	0	1.16917891040445e-06	1.08606229442885e-06
Q12165	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
Q12189	6.90811586180193e-08	1.0578895530496e-05	1.0647976689114e-05	1.05811402562297e-05
Q12233	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
Q12349	2.30052979078877e-09	1.6561879340093e-05	1.65641798698838e-05	1.65623040918613e-05
Q3E731	1.40734363731725e-08	0	1.40734363731725e-08	0
