enzymes	ranges	minU	maxU	pU
P00127	6.30753914734961e-09	2.19429669650729e-05	2.19492745042203e-05	2.1949251835134e-05
P00128	6.30753914734961e-09	2.19429669650729e-05	2.19492745042203e-05	2.1949251835134e-05
P00163	6.30753914734961e-09	2.19429669650729e-05	2.19492745042203e-05	2.1949251835134e-05
P00330	0.00044615076109549	0	0.00044615076109549	0
P00358	0.000485096551754642	0	0.000485096551754642	0
P00359	0.000486454962690337	0	0.000486454962690337	2.65451146777205e-05
P00360	0.000486410058652897	0	0.000486410058652897	0
P00401	2.00094969346343e-09	6.96099889302962e-06	6.96299984272308e-06	6.96299265137632e-06
P00410	2.00094969346343e-09	6.96099889302962e-06	6.96299984272308e-06	6.96299265137632e-06
P00420	2.00094969346343e-09	6.96099889302962e-06	6.96299984272308e-06	6.96299265137632e-06
P00425	2.1209991326898e-06	4.84200071003328e-06	6.96299984272308e-06	6.96299265137632e-06
P00427	2.1209991326898e-06	4.84200071003328e-06	6.96299984272308e-06	6.96299265137632e-06
P00549	2.58372505180001e-06	0	2.58372505180001e-06	2.58069896836076e-06
P00560	0.000367476224191481	1.20381809065486e-06	0.000368680042282136	1.20469047262847e-06
P00830	7.80172508759545e-09	1.74019349228869e-05	1.74097366479745e-05	1.74019383862195e-05
P00854	7.80167515655497e-09	1.74018235505034e-05	1.74096252256599e-05	1.74018270138138e-05
P00856	7.80167515655497e-09	1.74018235505034e-05	1.74096252256599e-05	1.74018270138138e-05
P00890	2.34666349187511e-06	0	2.34666349187511e-06	2.34610767622919e-06
P00924	0.000351166610069708	2.5110572365424e-05	0.000376277182435132	2.5110572365424e-05
P00925	0.000350432294838808	0	0.000350432294838808	0
P00942	6.40594908820226e-05	3.69532923540859e-08	6.40964441743767e-05	3.70073422709962e-08
P00950	0.000595476649669999	1.12168258551122e-06	0.00059659833225551	1.12249544558975e-06
P04037	2.1209991326898e-06	4.84200071003328e-06	6.96299984272308e-06	6.96299265137632e-06
P04039	4.2419982653796e-06	9.68400142006657e-06	1.39259996854462e-05	1.39259853027526e-05
P04385	0	0	0	0
P04397	0.000210246738893414	0	0.000210246738893414	0
P04806	1.78051041477807e-06	0	1.78051041477807e-06	1.78051041477807e-06
P04807	3.85051186779158e-06	0	3.85051186779158e-06	0
P05626	7.80167515655497e-09	1.74018235505034e-05	1.74096252256599e-05	1.74018270138138e-05
P06169	3.62324611375112e-07	0	3.62324611375112e-07	3.54784609675372e-07
P07143	6.30753914734961e-09	2.19429669650729e-05	2.19492745042203e-05	2.1949251835134e-05
P07170	0.000678224827401705	0	0.000678224827401705	0
P07251	7.80172508759545e-09	1.74019349228869e-05	1.74097366479745e-05	1.74019383862195e-05
P07255	2.00094969346343e-09	6.96099889302962e-06	6.96299984272308e-06	6.96299265137632e-06
P07256	6.30753914734961e-09	2.19429669650729e-05	2.19492745042203e-05	2.1949251835134e-05
P07257	6.30753914734961e-09	2.19429669650729e-05	2.19492745042203e-05	2.1949251835134e-05
P08067	6.30753914734961e-09	2.19429669650729e-05	2.19492745042203e-05	2.1949251835134e-05
P08417	0.000309308154647136	3.13781312160214e-07	0.000309621935959297	3.14233084146072e-07
P08431	0.00038787759616983	0	0.00038787759616983	0
P08525	6.30753914734961e-09	2.19429669650729e-05	2.19492745042203e-05	2.1949251835134e-05
P09201	1.00739635277409e-08	0	1.00739635277409e-08	0
P09457	7.80167515655497e-09	1.74018235505034e-05	1.74096252256599e-05	1.74018270138138e-05
P09624	6.74338783079183e-08	1.0017057884263e-05	1.00844917625709e-05	1.00172877663958e-05
P0CX10	0.000347371285170218	0	0.000347371285170218	0
P0CX11	0.000347371285170218	0	0.000347371285170218	0
P10174	2.1209991326898e-06	4.84200071003328e-06	6.96299984272308e-06	6.96299265137632e-06
P10963	1.13250848046051e-08	0	1.13250848046051e-08	0
P11154	1.40436876777376e-06	0	1.40436876777376e-06	1.40420053292798e-06
P11412	2.58906806002097e-09	1.92894622704442e-07	1.95483690764463e-07	1.93263996997572e-07
P12695	4.89303351282877e-09	7.26842370000393e-07	7.31735403513221e-07	7.26859050354661e-07
P12709	0.0002681999536253	4.20977852907184e-07	0.000268620931478207	4.2302839628778e-07
P14540	0.00041495616396285	9.88324016200833e-06	0.000424839404124858	9.89764654370784e-06
P15019	0.000443897858953046	1.1353622363986e-06	0.000445033221189445	1.13755081367101e-06
P16387	6.74338783079183e-08	1.0017057884263e-05	1.00844917625709e-05	1.00172877663958e-05
P16451	4.89303351282877e-09	7.26842370000393e-07	7.31735403513221e-07	7.26859050354661e-07
P16467	3.62324611375112e-07	0	3.62324611375112e-07	0
P16861	5.02142623097212e-07	0	5.02142623097212e-07	0
P16862	4.026941392807e-07	5.00319790132818e-07	9.03013929413517e-07	9.01047396505655e-07
P17505	0.000461157363627624	1.72634933361099e-06	0.000462883712961235	1.72639962032766e-06
P17709	1.78051041477807e-06	0	1.78051041477807e-06	0
P19414	0.000192583520305931	2.31010070234349e-06	0.000194893621008275	2.31336367516528e-06
