rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	-0	3.81532507239511e-07	4.35759390541787e-07	4.90376970479697e-07	5.45385246238789e-07	6.00784217156397e-07	6.56573885492867e-07	7.12754248052838e-07	7.69325310005786e-07	8.2628706546406e-07	8.83639516453816e-07	9.41382665504281e-07	9.99516510023779e-07	1.0580410481284e-06	1.11695628032815e-06	1.17626221456113e-06	1.23595884170269e-06	1.29604616571494e-06	1.35652418636889e-06	1.41739290255433e-06	1.47865231171773e-06	1.54030242147107e-06	1.6023432254722e-06	1.66477472549054e-06	1.72759692311508e-06	1.79080981432128e-06	1.85441340287695e-06	1.91840768148932e-06	1.98279265978263e-06	2.04756833935282e-06	2.11273471037443e-06	2.17829177820428e-06	2.24423954306441e-06	2.3105780019711e-06	2.37730715511864e-06	2.44442701019532e-06	2.51193755673729e-06	2.57983880266877e-06	2.64813074569992e-06	2.71681338268048e-06	2.78588671157043e-06	2.85535073682452e-06	2.92520546157915e-06	2.99545087778519e-06	3.06608700036126e-06	3.13711381151605e-06	3.20853131946519e-06	3.28033951915718e-06	3.35253842073668e-06	3.42512801004835e-06	3.49810831877517e-06	3.57147929880286e-06	3.64230911573116e-06	3.71769283352696e-06	3.79347216061809e-06	3.86964709617188e-06	3.94621762278557e-06	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.291794611079758	0.408942306043637	0.526945401395836	0.645826054588865	0.765584265624098	0.886220034500841	1.00773336121979	1.13012424577957	1.25339268818154	1.37753868842572	1.50256224651073	1.62846336243794	1.75524203620735	1.88289826781759	2.01143205727004	2.140843404564	2.27113230969947	2.40229877267714	2.53434279349634	2.66726437215704	2.80106350865995	2.93574020300437	3.07129445519031	3.20772626521777	3.34503563308742	3.48322255879859	3.62228704235196	3.76222908374617	3.90304868298257	4.04474584006049	4.18732055498061	4.33077282774224	4.47510265834539	4.62031004679006	4.76639499307693	4.91335749720531	5.06119755917522	5.20991517898731	5.35951035664093	5.50998309213606	5.66133338547339	5.81356123665155	5.96666664567192	6.12064961253448	6.27551013723787	6.43124821978348	6.58786386017127	6.74535705839989	6.90372781447073	7.06297612838309	7.22310200013761	7.38410542973366	7.54598642303498	7.70874496585138	7.87238106650019	8.03689472498	8.20228594129288	8.20499326036328	8.84233516690128	9.38146971297609	9.91727519598446	10.4497516159262	10.9788989728016	11.5047172666101	12.0272064973522	12.5463666650279	13.062197769637	13.5746998111795	14.0838727896555	14.5897167050649	15.0922315574078	15.591417346684	16.0872740728939	16.5798017360371	17.0690003361138	17.554869873124	18.0374103470677	18.5123653016534	18.9833639026504	19.4510605992409	19.9154553914251
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	1.09163547810515e-05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.037278100552365	0.887138307529322	1.60692813727465	2.32230880169026	3.03328030077589	3.73984263453182	4.4419958029575	5.13973980605348	5.83307464381974	6.52200031625603	7.20651682336234	7.88662416513894	8.56232234158557	9.23361135270221	9.90049119848889	10.5629618789461	11.2210233940731	11.8746757438704	12.5239189283377	13.1687529474753	13.8018788458557	14.4295199034503	15.0527983672844	15.6717142373582
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.0486360739648866	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289941	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373265	3.13532646578746	3.3797787875566	3.80086555811774	4.16222764285781	4.5215651619769	4.87887811547489	5.23416650335191	5.58743032560773	5.93866958224256	6.28788427325642	6.63507439864918	6.98023995842086	7.32338095257155	7.66449738110115	8.00358924400967	8.34065654129708	8.67569927296364	9.00871743900899	9.33971103943336	9.66868007423664	9.99562454341894	10.3174020524559	10.636691888966	10.953977210155	11.2692580160228
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.291783694724977	0.405862030122035	0.520784849552632	0.636585226824059	0.753263161937689	0.870818654892832	0.989251705690176	1.10856231432835	1.22875048080873	1.3498162051313	1.47175948729471	1.59458032730032	1.71827872514812	1.84285468083677	1.96830819436761	2.09463926573996	2.22184789495384	2.34993408200991	2.4788978269075	2.6087391296466	2.73945799022791	2.87105440865073	3.00352838491507	3.13687991902092	3.27110901096897	3.40621566075854	3.54219986839031	3.67906163386291	3.81680095717771	3.95541783833403	4.09491227733255	4.23528427417258	4.37653382885413	4.51866094137719	4.66166561174246	4.80554783994924	4.95030762599754	5.09594496988803	5.24245987162005	5.38985233119358	5.53812234860931	5.68726992386587	5.83729505696464	5.9881977479056	6.13997799668738	6.29263580331139	6.44617116777757	6.6005840900846	6.75587457023383	6.91204260822459	7.06908820405751	7.22701135773196	7.38581207511167	7.54549034200647	7.70604616673368	7.86747954929189	8.02979048968317	7.9921394322796	7.77654085591904	7.59280529632692	7.41014983899809	7.22857448393262	7.04807923113041	6.86866408059169	6.69032903231623	6.51307408630405	6.33689924255524	6.16180450106981	5.98778986184763	5.81485532488884	5.64300089019341	5.47222655776136	5.30253232759248	5.13391819968705	4.96638417404492	4.79993025066613	4.63455642955064	4.47330520983439	4.31358247731517	4.15492043415	3.99731908033874
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399325089	0.00226990798649973	0.00340486197975043	0.00453981597300013	0.00567476996625016	0.00680972395949897	0.007944677952749	0.00907963194600203	0.0102145859392494	0.0113495399325007	0.01248449392575	0.0136194479189999	0.0147544019122489	0.0158893559054982	0.0170243098987499	0.0181592638920014	0.0192942178852507	0.0204291718784975	0.0215641258717492	0.0226990798650011	0.0238340338582506	0.0249689878515003	0.0261039418447493	0.0272388958380019	0.0283738498312518	0.0295088038244997	0.0306437578177507	0.0317787118109991	0.032913665804251	0.0340486197975021	0.03518357379075	0.0363185277840019	0.0374534817772512	0.0385884357705031	0.0397233897637452	0.040858343757002	0.04199329775025	0.0431282517435005	0.0442632057367471	0.0453981597299991	0.0465331137232479	0.0476680677164993	0.0488030217097464	0.0499379757029956	0.0510729296962547	0.0522078836894999	0.0533428376827421	0.0544777916760002	0.0556127456692503	0.0567476996625036	0.0578826536557564	0.0590176076490097	0.0601525616422487	0.0612875156355024	0.0624224696287516	0.0635574236219938	0.0646923776152493	0.0658273316084941	0.0669622856017487	0.0680972395950041	0.0692321935882481	0.0703671475815	0.0715021015747492	0.0726370555679967	0.0737720095612513	0.0749069635545041	0.0760419175477534	0.0771768715410008	0.0783118255342607	0.079446779527494	0.0805817335207575	0.0817166875140138	0.0828516415072507	0.0839865955005124	0.085121549493735	0.0862565034870002	0.0873914574802512	0.0885264114735058	0.0896613654667533	0.0907963194599937
