enzymes	ranges	minU	maxU	pU
P00127	2.40165137585258e-09	3.9849579185434e-05	3.98519808368098e-05	3.98501561034065e-05
P00128	2.40165137585258e-09	3.9849579185434e-05	3.98519808368098e-05	3.98501561034065e-05
P00163	2.40165137585258e-09	3.9849579185434e-05	3.98519808368098e-05	3.98501561034065e-05
P00330	2.48149549032731e-08	1.59715750744002e-07	1.84530705647275e-07	1.67353820263151e-07
P00358	6.32341212772767e-06	0	6.32341212772767e-06	0
P00359	5.99014659311927e-05	0	5.99014659311927e-05	5.98837585445822e-05
P00360	5.98959365032389e-05	0	5.98959365032389e-05	0
P00401	6.11435915409385e-10	1.26416896226256e-05	1.2642301058541e-05	1.26417221957454e-05
P00410	6.11435915409385e-10	1.26416896226256e-05	1.2642301058541e-05	1.26417221957454e-05
P00420	6.11435915409385e-10	1.26416896226256e-05	1.2642301058541e-05	1.26417221957454e-05
P00425	5.82294021851735e-10	1.26417187645191e-05	1.2642301058541e-05	1.26417221957454e-05
P00427	5.82294021851735e-10	1.26417187645191e-05	1.2642301058541e-05	1.26417221957454e-05
P00549	9.72830293009477e-07	4.95808619881513e-06	5.93091649182461e-06	5.93069460999431e-06
P00560	1.45269560482898e-08	2.72483576238094e-06	2.73936271842923e-06	2.72521423238062e-06
P00830	8.1027041798137e-10	3.16969194815042e-05	3.16977297519222e-05	3.16969714598689e-05
P00854	8.10265232249155e-10	3.16967166212195e-05	3.16975268864517e-05	3.16967685992516e-05
P00856	8.10265232249155e-10	3.16967166212195e-05	3.16975268864517e-05	3.16967685992516e-05
P00890	1.40293547950417e-06	2.66189384524405e-06	4.06482932474822e-06	4.06444513366608e-06
P00924	1.96509203559815e-08	0	1.96509203559815e-08	0
P00925	1.95912541290327e-08	0	1.95912541290327e-08	0
P00942	2.36236462473518e-08	8.54595908502353e-08	1.09083237097587e-07	8.54605018218542e-08
P00950	2.32795770341047e-08	2.53892248901016e-06	2.56220206604426e-06	2.53927513631715e-06
P04037	5.82294021851735e-10	1.26417187645191e-05	1.2642301058541e-05	1.26417221957454e-05
P04039	1.46546752566705e-09	2.52831366495563e-05	2.52846021170819e-05	2.52834443914908e-05
P04385	0	0	0	0
P04397	8.09489136007269e-09	0	8.09489136007269e-09	0
P04806	3.86171407477759e-07	3.32085708402267e-06	3.70702849150043e-06	3.70702849150043e-06
P04807	2.17568493559446e-08	0	2.17568493559446e-08	0
P05626	8.10265232249155e-10	3.16967166212195e-05	3.16975268864517e-05	3.16967685992516e-05
P06169	5.76106966509999e-06	0	5.76106966509999e-06	5.76053057263714e-06
P07143	2.40165137585258e-09	3.9849579185434e-05	3.98519808368098e-05	3.98501561034065e-05
P07170	4.13249039620097e-07	0	4.13249039620097e-07	0
P07251	8.1027041798137e-10	3.16969194815042e-05	3.16977297519222e-05	3.16969714598689e-05
P07255	6.11435915409385e-10	1.26416896226256e-05	1.2642301058541e-05	1.26417221957454e-05
P07256	2.40165137585258e-09	3.9849579185434e-05	3.98519808368098e-05	3.98501561034065e-05
P07257	2.40165137585258e-09	3.9849579185434e-05	3.98519808368098e-05	3.98501561034065e-05
P08067	2.40165137585258e-09	3.9849579185434e-05	3.98519808368098e-05	3.98501561034065e-05
P08417	1.19381067262801e-08	5.43869908301312e-07	5.55808015027592e-07	5.43898439248326e-07
P08431	1.49340104800199e-08	0	1.49340104800199e-08	0
P08525	2.40165137585258e-09	3.9849579185434e-05	3.98519808368098e-05	3.98501561034065e-05
P09201	6.17740153140984e-10	0	6.17740153140984e-10	0
P09457	8.10265232249155e-10	3.16967166212195e-05	3.16975268864517e-05	3.16967685992516e-05
P09624	7.70883135056439e-09	1.73664577034502e-05	1.73741665348008e-05	1.73681256795779e-05
P0CX10	6.37044541612845e-06	0	6.37044541612845e-06	0
P0CX11	6.37044541612845e-06	0	6.37044541612845e-06	0
P10174	5.82294021851735e-10	1.26417187645191e-05	1.2642301058541e-05	1.26417221957454e-05
P10963	9.76429860547599e-10	0	9.76429860547599e-10	0
P11154	2.65110382153457e-06	0	2.65110382153457e-06	2.64981576705531e-06
P11412	3.37267453968023e-10	2.1859879703967e-07	2.18936064493638e-07	2.18602043266698e-07
P12695	4.63039253142895e-10	1.26014471919064e-06	1.26060775844378e-06	1.26023926159411e-06
P12709	1.06346865697817e-08	1.08002542327415e-06	1.09066010984393e-06	1.08033399062073e-06
P14540	1.91010289408972e-08	2.28365874055968e-05	2.28556884345377e-05	2.28397124032711e-05
P15019	1.7267991654517e-08	1.28136430194216e-06	1.29863229359667e-06	1.281541482951e-06
P16387	7.70883135056439e-09	1.73664577034502e-05	1.73741665348008e-05	1.73681256795779e-05
P16451	4.63039253142895e-10	1.26014471919064e-06	1.26060775844378e-06	1.26023926159411e-06
P16467	1.51901500837429e-06	0	1.51901500837429e-06	0
P16861	2.58874424743893e-08	0	2.58874424743893e-08	0
P16862	2.08906362495046e-08	2.05858165868856e-06	2.07947229493807e-06	2.07924816339177e-06
P17505	1.79939088624045e-08	2.95635583770264e-06	2.97434974656504e-06	2.95667872499695e-06
P17709	3.86171407477759e-07	0	3.86171407477759e-07	0
P19414	7.73157688217817e-09	4.00740658941788e-06	4.01513816630005e-06	4.00771875357304e-06
P19516	4.71665498056e-09	0	4.71665498056e-09	0
P20967	1.23664063428133e-08	2.02390426160285e-05	2.02514090223714e-05	2.02488539570006e-05
P21306	8.10265232249155e-10	3.16967166212195e-05	3.16975268864517e-05	3.16967685992516e-05
P21801	4.1837629116989e-10	2.56672210685683e-06	2.567140483148e-06	2.56696253817609e-06
P21826	1.45262762401864e-08	0	1.45262762401864e-08	0
P21954	1.2278074868937e-08	2.05005927675212e-05	2.05128708423901e-05	2.05103340274863e-05
P22289	2.40165137585258e-09	3.9849579185434e-05	3.98519808368098e-05	3.98501561034065e-05
P23254	5.25838344433552e-07	4.58624844447986e-07	9.84463188881538e-07	9.75886880885668e-07
P26263	5.76056990258745e-06	0	5.76056990258745e-06	0
P28240	2.11305353733655e-08	0	2.11305353733655e-08	1.26853162132816e-09
P30902	8.10265232249155e-10	3.16967166212195e-05	3.16975268864517e-05	3.16967685992516e-05
P30952	1.45272430691888e-08	0	1.45272430691888e-08	8.72115489663113e-10
P32327	2.65081648919953e-06	0	2.65081648919953e-06	0
P32340	1.43878728207574e-07	7.4976203797551e-06	7.64149910796267e-06	7.64116457350539e-06
P32473	7.70883135056439e-09	1.73664577034502e-05	1.73741665348008e-05	1.73681256795779e-05
P32799	5.82294021851735e-10	1.26417187645191e-05	1.2642301058541e-05	1.26417221957454e-05
P33315	5.17262036431036e-07	0	5.17262036431036e-07	0
P33401	1.00295123044202e-08	0	1.00295123044202e-08	0
P33421	4.1837629116989e-10	2.56672210685683e-06	2.567140483148e-06	2.56696253817609e-06
P37012	1.00332323732755e-08	0	1.00332323732755e-08	0
P37298	4.1837629116989e-10	2.56672210685683e-06	2.567140483148e-06	2.56696253817609e-06
P37299	2.40165137585258e-09	3.9849579185434e-05	3.98519808368098e-05	3.98501561034065e-05
P38077	8.10265232249155e-10	3.16967166212195e-05	3.16975268864517e-05	3.16967685992516e-05
P38113	2.42883697429359e-08	0	2.42883697429359e-08	0
P38720	1.67284279050425e-06	2.02882053923681e-06	3.70166332974105e-06	3.6958564991804e-06
P38824	4.71665498056e-09	0	4.71665498056e-09	0
P38858	9.75560195528954e-07	1.28787139656285e-05	1.38542741611574e-05	1.38331372979167e-05
P40047	9.33200966825144e-09	0	9.33200966825144e-09	0
P40106	3.81330961605861e-09	0	3.81330961605861e-09	0
P40215	1.14579866045431e-07	0	1.14579866045431e-07	0
P41277	3.81025435356842e-09	0	3.81025435356842e-09	0
P41911	3.75143902194122e-10	0	3.75143902194122e-10	0
P42222	6.3724516563097e-06	0	6.3724516563097e-06	6.35907300230524e-06
P43635	1.40255606912299e-06	0	1.40255606912299e-06	0
P46367	9.32777403500983e-09	0	9.32777403500983e-09	0
P46969	2.44873173411758e-08	5.93159290689705e-07	6.1764660803088e-07	5.93270438600098e-07
P47052	3.98086997607086e-08	0	3.98086997607086e-08	0
P47081	4.71665498056e-09	0	4.71665498056e-09	0
P47771	1.00503782195033e-08	0	1.00503782195033e-08	0
P52489	9.72608411177494e-07	0	9.72608411177494e-07	0
P52910	1.74303329476157e-07	4.65451470955684e-07	6.39754800431841e-07	6.38906900641026e-07
P53239	4.71665498056e-09	0	4.71665498056e-09	0
P53312	1.710308505439e-09	2.7992734141678e-06	2.80098372267324e-06	2.80063033015097e-06
P53315	9.54423332288187e-07	0	9.54423332288187e-07	0
P53319	1.6670359599436e-06	0	1.6670359599436e-06	0
P53598	1.710308505439e-09	2.7992734141678e-06	2.80098372267324e-06	2.80063033015097e-06
P54115	2.1620282352849e-08	9.3687145455387e-06	9.39033482789154e-06	9.38792987575757e-06
P61829	8.1027041798137e-10	3.16969194815042e-05	3.16977297519222e-05	3.16969714598689e-05
P81449	8.10265232249155e-10	3.16967166212195e-05	3.16975268864517e-05	3.16967685992516e-05
P81450	8.10265232249155e-10	3.16967166212195e-05	3.16975268864517e-05	3.16967685992516e-05
P81451	8.10265232249155e-10	3.16967166212195e-05	3.16975268864517e-05	3.16967685992516e-05
Q00055	3.76606507214284e-10	0	3.76606507214284e-10	0
Q00711	3.05600700863245e-08	2.536650011181e-06	2.56721008126732e-06	2.56696253817609e-06
