rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	0.000211504342601559	0.000174160056482769	0.000135734774166618	2.47367395931394e-05	4.77207235668325e-07	5.34735727478891e-07	5.92662898323687e-07	6.50988747338821e-07	7.09713274697765e-07	7.68826142111267e-07	8.28001247794863e-07	8.87573020098148e-07	9.47541461092383e-07	1.00790656689526e-06	1.06866833934904e-06	1.12982677839824e-06	1.19138188957313e-06	1.2533332684958e-06	1.31568052258446e-06	1.37842443476838e-06	1.44156501381831e-06	1.50510224403155e-06	1.56903613638543e-06	1.63336669065095e-06	1.69809391041553e-06	1.76321778099647e-06	1.82873832081654e-06	1.89465551925228e-06	1.96096937526979e-06	2.02767989646024e-06	2.09478707366428e-06	2.16229092289688e-06	2.23019141240566e-06	2.29848856851678e-06	2.36718239408906e-06	2.43627287682679e-06	2.50576001026293e-06	2.57564381964115e-06	2.64592428268762e-06	2.71660140557795e-06	2.78767518760437e-06	2.85914563055711e-06	2.93101273890484e-06	3.00327649926935e-06	3.07593693056607e-06	3.14899400567781e-06	3.2224477581333e-06	3.29629816156474e-06	3.3705452381072e-06	3.44518895761814e-06	3.5202293531128e-06	3.59566640178999e-06	3.67150010402439e-06	3.74773048322785e-06	3.82435751089538e-06	3.90138120218153e-06	0.231122874272701	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.694421345988111	0.769434978754095	0.845137954407374	0.944907304942468	1.06391539570944	1.18374013909591	1.30443016842487	1.425985483697	1.54840608491229	1.67166531176376	1.79492241079995	1.91903960896996	2.04401690627446	2.16985430271345	2.29655179828627	2.42410939299358	2.55252708683538	2.68180386294328	2.81193868802082	2.94293359500139	3.0747885838843	3.20750365467025	3.34107880735854	3.47551404194987	3.61080935844354	3.74696475684025	3.88398023713998	4.02185579934205	4.16059144344717	4.30018716945531	4.4406429773658	4.58195886717863	4.72413483889519	4.86717089251409	5.01106702803533	5.15582324545961	5.30143954478692	5.44791592601657	5.59525238914926	5.74344893418497	5.89250556112303	6.04242226996345	6.19319906070757	6.34483593335336	6.49733288790288	6.65068992435473	6.8049070427096	6.95998424296683	7.11592152512709	7.2727188891897	7.43037633515534	7.58889386302402	7.74827147279502	7.90850916446906	8.06960693804614	8.23156479352557	8.32427580355482	8.64566370603215	9.28021300777478	9.8169889602887	10.3504684940216	10.8806516089737	11.4075383051446	11.9311285825343	12.4463119072547	12.9548506412729	13.4601282817223	13.9621448286028	14.4579886956111	14.9433559801195	15.4255057967401	15.8978104138401	16.3646859325291	16.8283825603159	17.2889002972005	17.7462391431831	18.2003990982636	18.6513801624417	19.0991823357178	19.5438056180917	19.9852500095637
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.468473529872728	1.32014872015536	2.04165112785618	2.75876380907993	3.47148676382689	4.17981999209654	4.88376349388886	5.57678798102043	6.26114507131009	6.94115756709829	7.61682546838503	8.28442889257822	8.93846911465519	9.58822047899922	10.2252153047804	10.8550956633408	11.4807364506539	12.1021376667198	12.7192993115386	13.3322213851103	13.9409038874343	14.5453468185115	15.1455501783414	15.7415139669244
glyOUT	Production of glycerol	glycerol[c] => 			0.370784853995341	0.369847679457252	0.368895410566525	0.367928047323157	0.366945589727151	0.365948037778505	0.36493539147722	0.363907650823296	0.362864815816732	0.3617740943914	0.359601363318726	0.357407158140268	0.355191478856025	0.352954325465998	0.350695697970185	0.348415596368588	0.346114020661207	0.343789720105224	0.341441423748962	0.339071632092225	0.336680345135015	0.33426756287733	0.331833285319172	0.329377512460539	0.326900244301432	0.324401480841852	0.321881222081797	0.319339468021268	0.316776218660265	0.314191473998789	0.311585234036838	0.308957498774413	0.306308268211514	0.303637542348141	0.300945321184295	0.298231604719974	0.295496392955179	0.292739685889909	0.289961483524167	0.287161785857949	0.284340592891258	0.281497904624093	0.278633721056454	0.275748042188341	0.272840868019753	0.269912198550692	0.266962033781157	0.263990373711147	0.260997218340664	0.257982567669706	0.254946421698275	0.251888780426369	0.248809643853989	0.245709011981136	0.242586884807808	0.239443262334007	0.236278144559731	0.232842263922813	0.228103294675019	0.223971895592083	0.219866717943313	0.215787761728709	0.211735026948272	0.207708513602002	0.20210488923086	0.195477061262648	0.188886537339637	0.182333317461825	0.174903947002122	0.16524815866279	0.15564336109338	0.144010230002497	0.131734232819835	0.119521329199997	0.107371519142984	0.0952848026487985	0.0832611797174372	0.0713006503489032	0.0594032145431936	0.0475688723003115	0.0357976236202525
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.301199819443223	0.34479744001896	0.388502043567527	0.436185971502658	0.487097721800854	0.538146139379597	0.589331224238662	0.64065297637816	0.692111395798093	0.743685643077451	0.794718530918004	0.845884031693523	0.897182145404122	0.9486128720498	1.00017621163044	1.05187216414617	1.10370072959697	1.15566111313324	1.20775250706294	1.25997650045847	1.31233309331969	1.36482228564674	1.4174440774395	1.47019846869808	1.52308545942237	1.57610504961248	1.62925723926841	1.68254202839005	1.73595941697751	1.78950940503079	1.84319199254978	1.89700717953447	1.95095496598511	2.00503535190145	2.05924833728349	2.11359392213136	2.16807210644505	2.22268289022445	2.27742627346967	2.33230225618072	2.38731083835746	2.44245201999992	2.49772580110831	2.5531321816823	2.60867116172222	2.66434274122785	2.7201469201993	2.77608369863646	2.83215307653944	2.88835505390813	2.94468963074264	3.00115680704297	3.05775658280901	3.11448895804087	3.17135393273856	3.22835150690195	3.35083682446268	3.71337680356961	4.13223364980951	4.49170779539979	4.84918240641797	5.20465748286416	5.55813302473813	5.90960903203988	6.25525565349739	6.59639360909202	6.9355585029473	7.27275033506323	7.60578715287831	7.93144359729818	8.25515967321075	8.57196853625486	8.88517962744432	9.19647925984903	9.5058674334691	9.81334414830453	10.1189094043553	10.4225632016212	10.7243055401026	11.0241364197993	11.3220558407114
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.50902891899044	0.581430863103867	0.654529697280907	0.751702453516083	0.868121497159455	0.985364740598652	1.10348081715665	1.22246972683414	1.34233146963111	1.46305578127365	1.58431896992457	1.7064529947622	1.82945785578722	1.95333355299963	2.07808008639874	2.20369745598525	2.33018566175914	2.45754431222343	2.5857730095575	2.71487253644484	2.84484289288475	2.97568407887794	3.10739609442371	3.23997893952275	3.37343261417438	3.50775711837927	3.64295245213743	3.77901861544817	3.91595560831218	4.05376343072946	4.19244208269932	4.33199156422176	4.47241187529816	4.61370301592716	4.75586498610872	4.89889778584355	5.04280141513166	5.18757587397234	5.3332211623663	5.47973728031352	5.62712422781332	5.77538200486572	5.92451061147206	6.0745100476303	6.22538031334251	6.3771214086073	6.52973333342533	6.68321608779596	6.83756967171986	6.99279408519635	7.14888932822609	7.30585540080912	7.46369230294473	7.62240003463358	7.78197859587573	7.94242798667046	8.03364127966524	7.8851933166667	7.66735663682899	7.48161560526196	7.29695477067391	7.11337413306472	6.93087369243459	6.74945344878355	6.57133382263634	6.39574910442737	6.22122923512845	6.04777421473957	5.87664906686293	5.70972374754235	5.54384432268207	5.38189040362474	5.22194328642305	5.06302530278506	4.90513645271071	4.74827673619995	4.59244615325282	4.43764470386953	4.2838723880497	4.13112920579362	3.97941515710102
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399325042	0.00226990798650012	0.00340486197975004	0.00453981597300007	0.00567476996624938	0.00680972395950019	0.00794467795274922	0.00907963194599914	0.0102145859392502	0.0113495399324997	0.01248449392575	0.013619447919001	0.0147544019122514	0.0158893559054984	0.0170243098987499	0.0181592638920018	0.0192942178852495	0.0204291718784972	0.0215641258717487	0.0226990798649997	0.0238340338582503	0.0249689878515018	0.026103941844748	0.0272388958379994	0.0283738498312538	0.0295088038245028	0.0306437578177516	0.0317787118109973	0.0329136658042528	0.0340486197975016	0.03518357379075	0.0363185277840015	0.0374534817772481	0.0385884357705004	0.0397233897637466	0.0408583437569989	0.0419932977502508	0.0431282517435014	0.044263205736748	0.0453981597299999	0.0465331137232474	0.0476680677164985	0.0488030217097437	0.0499379757030045	0.0510729296962533	0.0522078836895044	0.0533428376827492	0.0544777916759998	0.055612745669249	0.0567476996625071	0.057882653655752	0.0590176076490021	0.0601525616422487	0.0612875156354997	0.0624224696287516	0.0635574236219938	0.0646923776152493	0.0658273316084932	0.0669622856017469	0.0680972395950006	0.0692321935882507	0.0703671475814982	0.0715021015747439	0.0726370555679896	0.0737720095612548	0.0749069635545077	0.0760419175477534	0.0771768715409991	0.0783118255342483	0.079446779527494	0.0805817335207504	0.0817166875140138	0.0828516415072365	0.0839865955005124	0.085121549493735	0.0862565034870073	0.0873914574802583	0.0885264114735023	0.0896613654667604	0.0907963194600079
