enzymes	ranges	minU	maxU	pU
P00127	6.73364331128253e-09	2.25377078262062e-05	2.25444414695174e-05	2.25393918257412e-05
P00128	6.73364331128253e-09	2.25377078262062e-05	2.25444414695174e-05	2.25393918257412e-05
P00163	6.73364331128253e-09	2.25377078262062e-05	2.25444414695174e-05	2.25393918257412e-05
P00330	6.95750668835368e-08	4.1917171191189e-06	4.26129218600243e-06	4.21313104485773e-06
P00358	1.77293016821242e-05	0	1.77293016821242e-05	0
P00359	0.00020058964571235	0	0.00020058964571235	0.00020053999852933
P00360	0.00020057112953788	0	0.00020057112953788	0
P00401	2.06273677211021e-09	7.14974277626875e-06	7.15180551304086e-06	7.15020360730073e-06
P00410	2.06273677211021e-09	7.14974277626875e-06	7.15180551304086e-06	7.15020360730073e-06
P00420	2.06273677211021e-09	7.14974277626875e-06	7.15180551304086e-06	7.15020360730073e-06
P00425	2.06276823743857e-09	7.14974274480342e-06	7.15180551304086e-06	7.15020360730073e-06
P00427	2.03785527139945e-09	7.14976765776946e-06	7.15180551304086e-06	7.15020360730073e-06
P00549	2.72741500548915e-06	1.80330475127324e-05	2.07604625182216e-05	2.07600037180526e-05
P00560	4.07300332646862e-08	9.18735762748516e-06	9.22808766074985e-06	9.18841876483735e-06
P00830	2.35115359130302e-09	1.79324703005013e-05	1.79348214540926e-05	1.79330474960687e-05
P00854	2.35113854391857e-09	1.79323555326913e-05	1.79347066712353e-05	1.79329327245648e-05
P00856	2.35113854391857e-09	1.79323555326913e-05	1.79347066712353e-05	1.79329327245648e-05
P00890	1.52156747894343e-06	0	1.52156747894343e-06	1.52049892443412e-06
P00924	5.50963764971858e-08	0	5.50963764971858e-08	0
P00925	5.49290869837897e-08	0	5.49290869837897e-08	0
P00942	6.6254898600598e-08	2.85472176302257e-07	3.51727074902855e-07	2.8549470038543e-07
P00950	6.52702427027869e-08	8.5605118726932e-06	8.62578211539599e-06	8.56150060952813e-06
P04037	2.03785527139945e-09	7.14976765776946e-06	7.15180551304086e-06	7.15020360730073e-06
P04039	4.07571054279891e-09	1.42995353155389e-05	1.43036110260817e-05	1.43004072146015e-05
P04385	0	0	0	0
P04397	2.26960963655901e-08	0	2.26960963655901e-08	0
P04806	1.08273021685501e-06	9.310871391574e-06	1.0393601608429e-05	1.0393601608429e-05
P04807	6.10008865626007e-08	0	6.10008865626007e-08	0
P05626	2.35113854391857e-09	1.79323555326913e-05	1.79347066712353e-05	1.79329327245648e-05
P06169	2.09052657744279e-05	4.37967390192221e-05	6.470200479365e-05	6.47002021925585e-05
P07143	6.73364331128253e-09	2.25377078262062e-05	2.25444414695174e-05	2.25393918257412e-05
P07170	1.06488733018047e-06	0	1.06488733018047e-06	0
P07251	2.35115359130302e-09	1.79324703005013e-05	1.79348214540926e-05	1.79330474960687e-05
P07255	2.06273677211021e-09	7.14974277626875e-06	7.15180551304086e-06	7.15020360730073e-06
P07256	6.73364331128253e-09	2.25377078262062e-05	2.25444414695174e-05	2.25393918257412e-05
P07257	6.73364331128253e-09	2.25377078262062e-05	2.25444414695174e-05	2.25393918257412e-05
P08067	6.73364331128253e-09	2.25377078262062e-05	2.25444414695174e-05	2.25393918257412e-05
P08417	3.3508332331011e-08	1.92877423279787e-07	2.26385755610798e-07	1.92995394009702e-07
P08431	4.18713143749931e-08	0	4.18713143749931e-08	0
P08525	6.73364331128253e-09	2.25377078262062e-05	2.25444414695174e-05	2.25393918257412e-05
P09201	3.21868159708498e-09	0	3.21868159708498e-09	0
P09457	2.35113854391857e-09	1.79323555326913e-05	1.79347066712353e-05	1.79329327245648e-05
P09624	2.0966589923161e-08	9.90669525551205e-06	9.92766184543521e-06	9.91002884062029e-06
P0CX10	2.14712008436326e-05	0	2.14712008436326e-05	0
P0CX11	2.14712008436326e-05	0	2.14712008436326e-05	0
P10174	2.03785527139945e-09	7.14976765776946e-06	7.15180551304086e-06	7.15020360730073e-06
P10963	2.73767061509449e-09	0	2.73767061509449e-09	0
P11154	3.52054905565248e-06	0	3.52054905565248e-06	3.51795029330644e-06
P11412	1.05372605374375e-09	3.33235621755352e-07	3.34289347809095e-07	3.33352833948983e-07
P12695	1.48618184164302e-09	7.18869570083765e-07	7.20355751925408e-07	7.19076292910796e-07
P12709	2.98170612140068e-08	3.58239970659792e-06	3.61221676781193e-06	3.58326485400037e-06
P14540	5.19775735670889e-08	7.61693840968996e-05	7.62213616704667e-05	7.61765687845549e-05
P15019	4.85193265251495e-08	1.95636313967886e-06	2.00488246620401e-06	1.95696401145053e-06
P16387	2.0966589923161e-08	9.90669525551205e-06	9.92766184543521e-06	9.91002884062029e-06
P16451	1.48618184164302e-09	7.18869570083765e-07	7.20355751925408e-07	7.19076292910796e-07
P16467	4.2589467204166e-06	0	4.2589467204166e-06	0
P16861	7.25820598360549e-08	0	7.25820598360549e-08	0
P16862	5.8572236779728e-08	6.87690666273348e-06	6.93547889951321e-06	6.93485048945219e-06
P17505	5.05682299887562e-08	1.04832553495858e-06	1.09889376494734e-06	1.04919630732319e-06
P17709	1.08273021685501e-06	0	1.08273021685501e-06	0
P19414	2.18338486093042e-08	1.49823759301196e-06	1.52007144162127e-06	1.49927772520964e-06
P19516	1.3224347455219e-08	0	1.3224347455219e-08	0
P20967	3.46723800941342e-08	7.15601897070469e-06	7.19069135079882e-06	7.18465786639383e-06
P21306	2.35113854391857e-09	1.79323555326913e-05	1.79347066712353e-05	1.79329327245648e-05
P21801	1.02984772222871e-09	9.10389043207046e-07	9.11418890929275e-07	9.10853774737992e-07
P21826	4.07281272485847e-08	0	4.07281272485847e-08	0
P21954	3.44247202363196e-08	7.64405687886037e-06	7.67848159909669e-06	7.67249121100887e-06
P22289	6.73364331128253e-09	2.25377078262062e-05	2.25444414695174e-05	2.25393918257412e-05
P23254	1.47432216282303e-06	1.09054681031804e-07	1.58337684385483e-06	1.55933097293881e-06
P26263	2.09034522779447e-05	0	2.09034522779447e-05	0
P28240	5.9244855275993e-08	0	5.9244855275993e-08	1.26849350707034e-09
P30902	2.35113854391857e-09	1.79323555326913e-05	1.79347066712353e-05	1.79329327245648e-05
P30952	4.07308380022452e-08	0	4.07308380022452e-08	8.72089286110861e-10
P32327	3.5201674909727e-06	0	3.5201674909727e-06	0
P32340	4.03400778967944e-07	4.15669072512068e-06	4.56009150408862e-06	4.55916573606297e-06
P32473	2.0966589923161e-08	9.90669525551205e-06	9.92766184543521e-06	9.91002884062029e-06
P32799	2.03785527139945e-09	7.14976765776946e-06	7.15180551304086e-06	7.15020360730073e-06
P33315	1.45027629192186e-06	0	1.45027629192186e-06	0
P33401	2.8120300523839e-08	0	2.8120300523839e-08	0
P33421	1.02984772222871e-09	9.10389043207046e-07	9.11418890929275e-07	9.10853774737992e-07
P37012	2.81307306874408e-08	0	2.81307306874408e-08	0
P37298	1.02984772222871e-09	9.10389043207046e-07	9.11418890929275e-07	9.10853774737992e-07
P37299	6.73364331128253e-09	2.25377078262062e-05	2.25444414695174e-05	2.25393918257412e-05
P38077	2.35113854391857e-09	1.79323555326913e-05	1.79347066712353e-05	1.79329327245648e-05
P38113	6.80986508333334e-08	0	6.80986508333334e-08	0
P38720	4.6902422143553e-06	9.82575252268209e-07	5.67281746662351e-06	5.6565365333631e-06
P38824	1.3224347455219e-08	0	1.3224347455219e-08	0
P38858	2.73523228707182e-06	1.84185976422877e-05	2.11538299293596e-05	2.10945673322917e-05
P40047	2.61646736553614e-08	0	2.61646736553614e-08	0
P40106	1.06915878999377e-08	0	1.06915878999377e-08	0
P40215	3.21253932340065e-07	0	3.21253932340065e-07	0
P41277	1.06830216909097e-08	0	1.06830216909097e-08	0
P41911	8.62479817895706e-10	0	8.62479817895706e-10	0
P42222	2.14779627547797e-05	0	2.14779627547797e-05	2.14404522797132e-05
P43635	1.5211559856812e-06	0	1.5211559856812e-06	0
P46367	2.61527979752635e-08	0	2.61527979752635e-08	0
P46969	6.86433303823363e-08	9.47664812063439e-07	1.01630814244578e-06	9.47963322755751e-07
P47052	1.11613861853671e-07	0	1.11613861853671e-07	0
P47081	1.3224347455219e-08	0	1.3224347455219e-08	0
P47771	2.81788034495903e-08	0	2.81788034495903e-08	0
P52489	2.7269562053202e-06	0	2.7269562053202e-06	0
P52910	4.88703922829606e-07	3.61877369674563e-07	8.50581292504168e-07	8.48203988782051e-07
P53239	1.3224347455219e-08	0	1.3224347455219e-08	0
P53312	4.06670751441616e-09	9.90481840001725e-07	9.94548547516142e-07	9.93714052909336e-07
P53315	2.67596969000395e-06	0	2.67596969000395e-06	0
P53319	4.67396128109489e-06	0	4.67396128109489e-06	0
P53598	4.06670751441616e-09	9.90481840001725e-07	9.94548547516142e-07	9.93714052909336e-07
P54115	6.06179860735518e-08	9.92769743751403e-06	9.98831542358758e-06	9.98157252575757e-06
P61829	2.35115359130302e-09	1.79324703005013e-05	1.79348214540926e-05	1.79330474960687e-05
P81449	2.35113854391857e-09	1.79323555326913e-05	1.79347066712353e-05	1.79329327245648e-05
P81450	2.35113854391857e-09	1.79323555326913e-05	1.79347066712353e-05	1.79329327245648e-05
P81451	2.35113854391857e-09	1.79323555326913e-05	1.79347066712353e-05	1.79329327245648e-05
Q00055	8.65842454999902e-10	0	8.65842454999902e-10	0
