enzymes	ranges	minU	maxU	pU
P00127	3.36578484831135e-09	1.17829473713721e-05	1.17863131562204e-05	1.17863015913449e-05
P00128	3.36578484831135e-09	1.17829473713721e-05	1.17863131562204e-05	1.17863015913449e-05
P00163	3.36578484831135e-09	1.17829473713721e-05	1.17863131562204e-05	1.17863015913449e-05
P00330	0.000617283950617284	0	0.000617283950617284	0
P00358	0.000767092545394962	0	0.000767092545394962	0
P00359	0.000769240626840986	0	0.000769240626840986	1.41954370119234e-05
P00360	0.000769169619219403	0	0.000769169619219403	0
P00401	1.06773275649415e-09	3.73792130021898e-06	3.73898903297547e-06	3.73898536423343e-06
P00410	1.06773275649415e-09	3.73792130021898e-06	3.73898903297547e-06	3.73898536423343e-06
P00420	1.06773275649415e-09	3.73792130021898e-06	3.73898903297547e-06	3.73898536423343e-06
P00425	3.48073346755382e-06	2.58255565421651e-07	3.73898903297547e-06	3.73898536423343e-06
P00427	3.48073346755382e-06	2.58255565421651e-07	3.73898903297547e-06	3.73898536423343e-06
P00549	1.38254910149524e-06	0	1.38254910149524e-06	1.38093433354853e-06
P00560	0.000603293689856043	6.43822218678411e-07	0.000603937512074721	6.44287728494986e-07
P00830	4.16310188189998e-09	9.34461664875826e-06	9.34877975064016e-06	9.34461841561424e-06
P00854	4.16307523741814e-09	9.34455684321171e-06	9.34871991844913e-06	9.34455861005638e-06
P00856	4.16307523741814e-09	9.34455684321171e-06	9.34871991844913e-06	9.34455861005638e-06
P00890	1.26298348025867e-06	0	1.26298348025867e-06	1.26268697603215e-06
P00924	0.00057803810795711	0	0.00057803810795711	0
P00925	0.000576829387724201	0	0.000576829387724201	0
P00942	6.40938686879801e-05	1.97643893753772e-08	6.41136330773554e-05	1.97932308320647e-08
P00950	0.000963306383309073	5.99894765216499e-07	0.00096390627807429	6.00328513686213e-07
P04037	3.48073346755382e-06	2.58255565421651e-07	3.73898903297547e-06	3.73898536423343e-06
P04039	6.96146693510764e-06	5.16511130843302e-07	7.47797806595094e-06	7.47797072846686e-06
P04385	0	0	0	0
