enzymes	ranges	minU	maxU	pU
P00127	6.24631321164792e-09	2.47688302544698e-05	2.47750765676814e-05	2.47704744274626e-05
P00128	6.24631321164792e-09	2.47688302544698e-05	2.47750765676814e-05	2.47704744274626e-05
P00163	6.24631321164792e-09	2.47688302544698e-05	2.47750765676814e-05	2.47704744274626e-05
P00330	6.27060349580073e-08	3.63914022071596e-06	3.70184625567397e-06	3.65844012342574e-06
P00358	1.59789168860076e-05	0	1.59789168860076e-05	0
P00359	0.000181068069871022	0	0.000181068069871022	0.000181023324272728
P00360	0.00018105135570833	0	0.00018105135570833	0
P00401	1.90497552292244e-09	7.85752811011502e-06	7.85943308563794e-06	7.8579731420934e-06
P00410	1.90497552292244e-09	7.85752811011502e-06	7.85943308563794e-06	7.8579731420934e-06
P00420	1.90497552292244e-09	7.85752811011502e-06	7.85943308563794e-06	7.8579731420934e-06
P00425	1.98156551972172e-09	7.85745152011822e-06	7.85943308563794e-06	7.8579731420934e-06
P00427	1.98156551972172e-09	7.85745152011822e-06	7.85943308563794e-06	7.8579731420934e-06
P00549	2.45838960237655e-06	1.62474326315435e-05	1.870582223392e-05	1.87051609356202e-05
P00560	3.65441413715073e-08	8.29102175120896e-06	8.32756589258046e-06	8.29181344152017e-06
P00830	2.06095828600024e-09	1.97071146071896e-05	1.97091755654756e-05	1.97075650237576e-05
P00854	2.06094509586427e-09	1.97069884816561e-05	1.9709049426752e-05	1.97074388953415e-05
P00856	2.06094509586427e-09	1.97069884816561e-05	1.9709049426752e-05	1.97074388953415e-05
P00890	1.85799531905786e-06	0	1.85799531905786e-06	1.85701592909814e-06
P00924	4.96568018595167e-08	0	4.96568018595167e-08	0
P00925	4.95060285646466e-08	0	4.95060285646466e-08	0
P00942	5.97232780415709e-08	2.57718674800574e-07	3.17441952842145e-07	2.57748591731688e-07
P00950	5.86727724546745e-08	7.72533224630876e-06	7.78400501876344e-06	7.72606992024979e-06
P04037	1.98156551972172e-09	7.85745152011822e-06	7.85943308563794e-06	7.8579731420934e-06
P04039	3.96313103944343e-09	1.57149030402364e-05	1.57188661712759e-05	1.57159462841868e-05
P04385	0	0	0	0
P04397	2.04553480987005e-08	0	2.04553480987005e-08	0
P04806	9.7583404326321e-07	8.48333863220534e-06	9.45917267546855e-06	9.45917267546855e-06
P04807	5.49783693575307e-08	0	5.49783693575307e-08	0
P05626	2.06094509586427e-09	1.97069884816561e-05	1.9709049426752e-05	1.97074388953415e-05
P06169	1.8841333789016e-05	3.77752764436452e-05	5.66166102326612e-05	5.66149770895134e-05
P07143	6.24631321164792e-09	2.47688302544698e-05	2.47750765676814e-05	2.47704744274626e-05
P07170	1.01902505362689e-06	0	1.01902505362689e-06	0
P07251	2.06095828600024e-09	1.97071146071896e-05	1.97091755654756e-05	1.97075650237576e-05
P07255	1.90497552292244e-09	7.85752811011502e-06	7.85943308563794e-06	7.8579731420934e-06
P07256	6.24631321164792e-09	2.47688302544698e-05	2.47750765676814e-05	2.47704744274626e-05
P07257	6.24631321164792e-09	2.47688302544698e-05	2.47750765676814e-05	2.47704744274626e-05
P08067	6.24631321164792e-09	2.47688302544698e-05	2.47750765676814e-05	2.47704744274626e-05
P08417	3.01984177679022e-08	2.39401046138662e-07	2.69599463906564e-07	2.39505557233398e-07
P08431	3.77374283713102e-08	0	3.77374283713102e-08	0
P08525	6.24631321164792e-09	2.47688302544698e-05	2.47750765676814e-05	2.47704744274626e-05
P09201	2.91202856029578e-09	0	2.91202856029578e-09	0
P09457	2.06094509586427e-09	1.97069884816561e-05	1.9709049426752e-05	1.97074388953415e-05
P09624	2.02509434070418e-08	1.08635693144902e-05	1.08838202578972e-05	1.08666029984957e-05
P0CX10	1.93759993559061e-05	0	1.93759993559061e-05	0
P0CX11	1.93759993559061e-05	0	1.93759993559061e-05	0
P10174	1.98156551972172e-09	7.85745152011822e-06	7.85943308563794e-06	7.8579731420934e-06
P10963	2.47453557373671e-09	0	2.47453557373671e-09	0
P11154	3.38371251072887e-06	0	3.38371251072887e-06	3.38085242470636e-06
P11412	9.37247774715524e-10	3.15127967926672e-07	3.16065215701388e-07	3.1523428805178e-07
P12695	9.58152187415883e-10	7.88298900448391e-07	7.89257052635806e-07	7.88485757847959e-07
P12709	2.67227983837182e-08	3.23597429247168e-06	3.2626970908554e-06	3.23660355187805e-06
P14540	4.69074839551885e-08	6.87714611378225e-05	6.88183686217777e-05	6.87779980638229e-05
P15019	4.37039583096552e-08	1.84980193527164e-06	1.8935058935813e-06	1.85031834905587e-06
P16387	2.02509434070418e-08	1.08635693144902e-05	1.08838202578972e-05	1.08666029984957e-05
P16451	9.58152187415883e-10	7.88298900448391e-07	7.89257052635806e-07	7.88485757847959e-07
P16467	3.83846791529415e-06	0	3.83846791529415e-06	0
P16861	6.54161524390322e-08	0	6.54161524390322e-08	0
P16862	5.27916676345997e-08	6.20908715607285e-06	6.26187882370745e-06	6.26131028407715e-06
P17505	4.48669713066877e-08	5.24214237014119e-06	5.28700934144787e-06	5.24214237014119e-06
P17709	9.7583404326321e-07	0	9.7583404326321e-07	0
P19414	1.94965005933248e-08	1.83034320864281e-06	1.84983970923614e-06	1.83109805151128e-06
P19516	1.1918729380705e-08	0	1.1918729380705e-08	0
P20967	3.35957344529398e-08	8.8882258316577e-06	8.92182156611064e-06	8.91618948851757e-06
P21306	2.06094509586427e-09	1.97069884816561e-05	1.9709049426752e-05	1.97074388953415e-05
P21801	1.14639315523268e-09	1.12984603519805e-06	1.13099242835329e-06	1.13036138502766e-06
P21826	3.98631714478208e-08	0	3.98631714478208e-08	0
P21954	3.33557649211318e-08	9.342884898753e-06	9.37624066367414e-06	9.37064881520672e-06
P22289	6.24631321164792e-09	2.47688302544698e-05	2.47750765676814e-05	2.47704744274626e-05
P23254	1.32876476045342e-06	1.60115322737001e-07	1.48888008319042e-06	1.467208221562e-06
P26263	1.88396888139491e-05	0	1.88396888139491e-05	0
P28240	5.79869858459897e-08	0	5.79869858459897e-08	1.37757240746013e-09
P30902	2.06094509586427e-09	1.97069884816561e-05	1.9709049426752e-05	1.97074388953415e-05
P30952	3.98660527691179e-08	0	3.98660527691179e-08	9.47081030128837e-10
P32327	3.38334471397955e-06	0	3.38334471397955e-06	0
P32340	3.63581792982884e-07	4.59098980329254e-06	4.95457159627542e-06	4.95372787056864e-06
P32473	2.02509434070418e-08	1.08635693144902e-05	1.08838202578972e-05	1.08666029984957e-05
P32799	1.98156551972172e-09	7.85745152011822e-06	7.85943308563794e-06	7.8579731420934e-06
P33315	1.307092898825e-06	0	1.307092898825e-06	0
P33401	2.53440295019212e-08	0	2.53440295019212e-08	0
P33421	1.14639315523268e-09	1.12984603519805e-06	1.13099242835329e-06	1.13036138502766e-06
P37012	2.53534299126248e-08	0	2.53534299126248e-08	0
P37298	1.14639315523268e-09	1.12984603519805e-06	1.13099242835329e-06	1.13036138502766e-06
P37299	6.24631321164792e-09	2.47688302544698e-05	2.47750765676814e-05	2.47704744274626e-05
P38077	2.06094509586427e-09	1.97069884816561e-05	1.9709049426752e-05	1.97074388953415e-05
P38113	6.13753830354874e-08	0	6.13753830354874e-08	0
P38720	4.22695412845201e-06	1.13444670448311e-06	5.36140083293511e-06	5.34695547533425e-06
P38824	1.1918729380705e-08	0	1.1918729380705e-08	0
P38858	2.46435670523954e-06	1.75362501443443e-05	2.00006068495838e-05	1.99480257479167e-05
P40047	2.3214766710452e-08	0	2.3214766710452e-08	0
P40106	7.94689080442258e-09	0	7.94689080442258e-09	0
P40215	2.89537059949457e-07	0	2.89537059949457e-07	0
P41277	7.94048529888821e-09	0	7.94048529888821e-09	0
P41911	7.81777009906442e-10	0	7.81777009906442e-10	0
P42222	1.93821014266279e-05	0	1.93821014266279e-05	1.9348294299073e-05
P43635	1.85748474758013e-06	0	1.85748474758013e-06	0
P46367	2.32043937230427e-08	0	2.32043937230427e-08	0
P46969	6.19212010113419e-08	8.91635230188026e-07	9.53556431199368e-07	8.91959183152227e-07
P47052	1.00594408838653e-07	0	1.00594408838653e-07	0
P47081	1.1918729380705e-08	0	1.1918729380705e-08	0
P47771	2.50979637344745e-08	0	2.50979637344745e-08	0
P52489	2.45772830406995e-06	0	2.45772830406995e-06	0
P52910	4.40468782071556e-07	3.76844688286408e-07	8.17313470357965e-07	8.15157080128205e-07
P53239	1.1918729380705e-08	0	1.1918729380705e-08	0
P53312	3.93234351339322e-09	1.23004979351545e-06	1.23398213702884e-06	1.23320316122298e-06
