enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.008081	0.009627	0.010797	0.011714	0.012453	0.013061	0.01357	0.014003	0.014375	0.014699	0.014984	0.015236	0.01546	0.015662	0.015844	0.016009	0.01616	0.016298	0.016425	0.016543	0.016651	0.016752	0.016846	0.016934	0.017016	0.017093	0.017166	0.017234	0.017298	0.01736	0.017417	0.017472	0.017525	0.017574	0.017622	0.017667	0.01771	0.017752	0.017791	0.017829	0.017866	0.017901	0.017935	0.017967	0.017998	0.018028	0.018058	0.018086	0.018113	0.018139	0.018165	0.018189	0.018213	0.018236	0.018259	0.018281	0.018302	0.018162	0.01767	0.01725	0.016833	0.016418	0.016006	0.015596	0.015188	0.014783	0.014381	0.013981	0.013583	0.013188	0.012796	0.012405	0.012018	0.011632	0.011249	0.010869	0.010491	0.010116	0.009743	0.009372	0.009004
P00128	Oxidative Phosphorylation	0.006821	0.008125	0.009113	0.009887	0.01051	0.011023	0.011453	0.011818	0.012132	0.012406	0.012646	0.012859	0.013048	0.013219	0.013372	0.013512	0.013639	0.013756	0.013863	0.013962	0.014054	0.014139	0.014218	0.014292	0.014361	0.014426	0.014488	0.014545	0.0146	0.014651	0.0147	0.014747	0.014791	0.014833	0.014873	0.014911	0.014947	0.014982	0.015016	0.015048	0.015079	0.015108	0.015137	0.015164	0.01519	0.015216	0.015241	0.015264	0.015287	0.015309	0.015331	0.015352	0.015372	0.015391	0.01541	0.015429	0.015447	0.015328	0.014913	0.014559	0.014207	0.013857	0.013509	0.013163	0.012819	0.012477	0.012137	0.0118	0.011464	0.011131	0.010799	0.01047	0.010143	0.009818	0.009494	0.009173	0.008854	0.008538	0.008223	0.00791	0.007599
P00163	Oxidative Phosphorylation	0.020444	0.024355	0.027314	0.029635	0.031503	0.033041	0.034329	0.035423	0.036365	0.037185	0.037905	0.038542	0.039111	0.039621	0.040082	0.0405	0.040882	0.041231	0.041552	0.041849	0.042123	0.042379	0.042616	0.042838	0.043046	0.043241	0.043425	0.043598	0.043761	0.043915	0.044062	0.044201	0.044333	0.044459	0.044579	0.044693	0.044802	0.044907	0.045007	0.045104	0.045196	0.045285	0.04537	0.045452	0.045531	0.045608	0.045681	0.045753	0.045821	0.045888	0.045952	0.046015	0.046075	0.046134	0.046191	0.046246	0.0463	0.045945	0.0447	0.043638	0.042582	0.041533	0.04049	0.039453	0.038423	0.037398	0.03638	0.035368	0.034362	0.033363	0.032369	0.031382	0.030401	0.029427	0.028458	0.027496	0.02654	0.02559	0.024646	0.023709	0.022778
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5e-05	0.000278	0.000492	0.000705	0.000917	0.001127	0.001336	0.001543	0.00175	0.001955	0.002159	0.002361	0.002562	0.002762	0.00296	0.003157	0.003353	0.003548	0.003741	0.003933	0.004123	0.004313	0.004501	0.004687
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.012427	0.017927	0.02207	0.025299	0.027882	0.029991	0.031743	0.03322	0.034478	0.035562	0.036504	0.037328	0.038055	0.038698	0.039272	0.039785	0.040246	0.040662	0.041038	0.041379	0.041689	0.041972	0.042231	0.042468	0.042685	0.042884	0.043067	0.043236	0.043391	0.043535	0.043667	0.043789	0.043902	0.044006	0.044102	0.044191	0.044274	0.04435	0.04442	0.044485	0.044544	0.044599	0.04465	0.044697	0.044739	0.044779	0.044814	0.044847	0.044877	0.044904	0.044928	0.04495	0.044969	0.044986	0.045001	0.045015	0.045026	0.051277	0.059763	0.066991	0.074176	0.081319	0.088419	0.095476	0.102491	0.109463	0.116392	0.123279	0.130124	0.136925	0.143684	0.150401	0.157074	0.163706	0.170294	0.17684	0.183343	0.189804	0.196222	0.202597	0.20893
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.008735	0.010406	0.01167	0.012662	0.01346	0.014117	0.014667	0.015135	0.015538	0.015888	0.016195	0.016468	0.016711	0.016929	0.017126	0.017304	0.017467	0.017617	0.017754	0.017881	0.017998	0.018107	0.018208	0.018303	0.018392	0.018475	0.018554	0.018628	0.018697	0.018763	0.018826	0.018885	0.018942	0.018996	0.019047	0.019096	0.019142	0.019187	0.01923	0.019271	0.019311	0.019348	0.019385	0.01942	0.019454	0.019487	0.019518	0.019548	0.019578	0.019606	0.019634	0.01966	0.019686	0.019711	0.019736	0.019759	0.019782	0.01963	0.019099	0.018645	0.018194	0.017746	0.0173	0.016857	0.016417	0.015979	0.015544	0.015112	0.014682	0.014255	0.01383	0.013409	0.012989	0.012573	0.012159	0.011748	0.01134	0.010934	0.01053	0.01013	0.009732
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.004244	0.005056	0.00567	0.006152	0.00654	0.006859	0.007126	0.007353	0.007549	0.007719	0.007869	0.008001	0.008119	0.008225	0.00832	0.008407	0.008486	0.008559	0.008626	0.008687	0.008744	0.008797	0.008847	0.008893	0.008936	0.008976	0.009014	0.00905	0.009084	0.009116	0.009147	0.009176	0.009203	0.009229	0.009254	0.009278	0.0093	0.009322	0.009343	0.009363	0.009382	0.009401	0.009418	0.009435	0.009452	0.009468	0.009483	0.009498	0.009512	0.009526	0.009539	0.009552	0.009565	0.009577	0.009589	0.0096	0.009611	0.009537	0.009279	0.009059	0.00884	0.008622	0.008405	0.00819	0.007976	0.007763	0.007552	0.007342	0.007133	0.006926	0.006719	0.006515	0.006311	0.006109	0.005908	0.005708	0.005509	0.005312	0.005116	0.004922	0.004728
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.00451	0.005373	0.006026	0.006538	0.00695	0.007289	0.007573	0.007815	0.008023	0.008203	0.008362	0.008503	0.008628	0.008741	0.008843	0.008935	0.009019	0.009096	0.009167	0.009232	0.009293	0.009349	0.009402	0.009451	0.009497	0.00954	0.00958	0.009618	0.009654	0.009688	0.009721	0.009751	0.00978	0.009808	0.009835	0.00986	0.009884	0.009907	0.009929	0.00995	0.009971	0.00999	0.010009	0.010027	0.010045	0.010062	0.010078	0.010094	0.010109	0.010123	0.010138	0.010151	0.010165	0.010178	0.01019	0.010202	0.010214	0.010136	0.009861	0.009627	0.009394	0.009163	0.008933	0.008704	0.008477	0.008251	0.008026	0.007803	0.007581	0.00736	0.007141	0.006923	0.006707	0.006492	0.006278	0.006066	0.005855	0.005645	0.005437	0.00523	0.005025
