rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	-0	4.15720207077273e-07	4.75004889892092e-07	5.34714718619309e-07	5.94849708431683e-07	6.55409868825091e-07	7.16395177079859e-07	7.77805657645181e-07	8.39641299037186e-07	9.01902089039952e-07	9.64588051662052e-07	1.02769918077297e-06	1.09123546245676e-06	1.15519691148286e-06	1.21958351237406e-06	1.28439528372659e-06	1.34963221108675e-06	1.41529430108117e-06	1.48138155081634e-06	1.54789395784977e-06	1.61483154494102e-06	1.6821942650791e-06	1.74998216121575e-06	1.81819523245585e-06	1.88683344574947e-06	1.95589682238512e-06	2.02538537145969e-06	2.09529906569639e-06	2.16563793736801e-06	2.23640195609609e-06	2.30759114003276e-06	2.37920549853166e-06	2.45124501715988e-06	2.52370968227555e-06	2.59659950473112e-06	2.66991450820209e-06	2.74365466090831e-06	2.81781996810948e-06	2.89241046215472e-06	2.96742609459666e-06	3.04286688204702e-06	3.1187328529414e-06	3.19502398377081e-06	3.27174025316346e-06	3.34888169602199e-06	3.42644830388095e-06	3.50444008895279e-06	3.58285700222116e-06	3.66169909379876e-06	3.74096634953025e-06	3.82065876645965e-06	3.90077632977937e-06	3.98131906650945e-06	4.06228697075184e-06	4.14368003398558e-06	4.22549825804253e-06	4.30774161752634e-06	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.291794390266632	0.408942237668228	0.526945322904846	0.645825965913367	0.765584166695158	0.886219925249548	1.0077332415772	1.13012411567676	1.25339254754957	1.37753853719567	1.50256208461366	1.62846318980491	1.75524185276945	1.88289807350588	2.01143185201557	2.14084318829786	2.27113208235274	2.40229853418088	2.53434254378161	2.66726411115493	2.80106323630149	2.93573991922066	3.07129415991243	3.20772595837676	3.34503531461437	3.48322222862457	3.62228670040802	3.7622287299634	3.90304831729203	4.04474546239325	4.18732016526774	4.33077242591482	4.47510224433447	4.62030962052671	4.76639455449223	4.91335704623034	5.06119709574102	5.20991470302498	5.35950986808151	5.50998259091064	5.66133287151304	5.81356070988733	5.96666610603489	6.12064905995575	6.27550957164848	6.43124764111448	6.58786326835375	6.74535645336494	6.90372719614939	7.06297549670643	7.22310135503672	7.3841047711396	7.54598574501509	7.70874427666314	7.87238036608446	8.03689401327838	8.20228521824488	8.23194499182067	8.86652991709962	9.40328010696884	9.93671386512919	10.4668311915807	10.9936320863234	11.5171165493573	12.0372845806823	12.5541361802986	13.0676713482062	13.5778900844047	14.0847923888945	14.5883782616757	15.0886477027479	15.5856007121113	16.0792372897659	16.5695574357117	17.0565611499487	17.5402484324769	18.0206192832962	18.4976737024068	18.9714116898085	19.4418332455015	19.9089383694857
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	1.05377052532635e-05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.0834957557272535	0.928628301487315	1.64432944607254	2.35564308553307	3.06256921986892	3.76510784908036	4.4632589731671	5.15702259212917	5.84639870596681	6.53138731468002	7.21198841826828	7.88820201673213	8.56002811007154	9.22746669828626	9.89051778137633	10.5491813593419	11.2034574321829	11.8533459998994	12.4988470624912	13.1399606199584	13.7766866723011	14.4090252195191	15.0369762616127	15.6605397985816
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.0486359109461897	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289941	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373276	3.13532646578746	3.3996766278578	3.81872801447013	4.1783298114559	4.53591636811529	4.89148768444831	5.24504376045507	5.59658459613546	5.94611019148947	6.29362054651722	6.63911566121871	6.98259553559371	7.32406016964245	7.66350956336493	8.00094371676104	8.33636262983077	8.66976630257425	9.00115473499134	9.33052792708218	9.65788587884664	9.98322859028473	10.3065560613966	10.627868292182	10.9471652826412	11.264447032774
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.291783852561378	0.405861961746628	0.520784771061638	0.636585138148562	0.753263063008755	0.870818545641535	0.989251586047589	1.10856218422554	1.22875034017675	1.34981605390125	1.47175932539764	1.59458015466729	1.71827854171022	1.84285448652505	1.96830798911315	2.09463904947383	2.2218476676071	2.34993384351365	2.47889757719277	2.60873886864449	2.73945771786945	2.87105412486702	3.00352808963719	3.13687961217991	3.27110869249592	3.40621533058452	3.54219952644637	3.67906128008015	3.81680059148717	3.95541746066679	4.09491188761968	4.23528387234515	4.3765334148432	4.51866051511385	4.66166517315776	4.80554738897427	4.95030716256335	5.09594449392571	5.24245938306063	5.38985182996816	5.53812183464897	5.68726939710165	5.8372945173276	5.98819719532686	6.13997743109799	6.2926352246424	6.44617057596006	6.60058348504964	6.75587395191249	6.91204197654792	7.06908755895662	7.2270106991379	7.38581139709178	7.54548965281823	7.70604546631795	7.86747883759026	8.02978976663516	7.9728735085621	7.7592456121594	7.57721438152178	7.39625422429999	7.21636514049402	7.03754713010373	6.85980019312926	6.68312432957061	6.50751953942766	6.33298582270042	6.15952317938911	5.98713160949348	5.81581111301358	5.64556168994948	5.47638334030119	5.30827606406862	5.14123986125185	4.9752747318508	4.81038067586554	4.64655769329611	4.48380578414237	4.32212494840447	4.16151518608226	4.00197649717586
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399325009	0.00226990798650026	0.00340486197974998	0.00453981597300041	0.00567476996624988	0.0068097239594998	0.00794467795274911	0.00907963194600092	0.0102145859392494	0.0113495399325005	0.0124844939257507	0.0136194479189995	0.0147544019122495	0.0158893559054982	0.0170243098987497	0.0181592638920014	0.0192942178852495	0.0204291718784979	0.0215641258717492	0.0226990798650002	0.0238340338582508	0.0249689878515003	0.0261039418447493	0.027238895838001	0.0283738498312522	0.0295088038244995	0.0306437578177494	0.0317787118109982	0.0329136658042462	0.0340486197975016	0.0351835737907504	0.0363185277840032	0.0374534817772498	0.0385884357705031	0.0397233897637452	0.0408583437569994	0.0419932977502504	0.0431282517434974	0.0442632057367467	0.0453981597299999	0.0465331137232474	0.0476680677164993	0.0488030217097446	0.0499379757029965	0.0510729296962542	0.0522078836895004	0.0533428376827474	0.054477791675998	0.0556127456692499	0.056747699662504	0.0578826536557551	0.0590176076490097	0.0601525616422451	0.0612875156355042	0.0624224696287508	0.0635574236219938	0.064692377615251	0.0658273316084976	0.0669622856017469	0.0680972395950015	0.0692321935882489	0.0703671475815	0.0715021015747528	0.0726370555679985	0.0737720095612424	0.0749069635545041	0.0760419175477534	0.0771768715409991	0.078311825534259	0.0794467795274958	0.0805817335207504	0.0817166875139996	0.0828516415072489	0.0839865955005195	0.0851215494937385	0.0862565034870038	0.0873914574802477	0.0885264114735094	0.0896613654667568	0.0907963194599937
