enzymes	ranges	minU	maxU	pU
P00127	5.51151526931046e-09	1.9136133449138e-05	1.91416449644073e-05	1.91416248484215e-05
P00128	5.51151526931046e-09	1.9136133449138e-05	1.91416449644073e-05	1.91416248484215e-05
P00163	5.51151526931046e-09	1.9136133449138e-05	1.91416449644073e-05	1.91416248484215e-05
P00330	0.000511651997078936	0	0.000511651997078936	0
P00358	0.00054907304393182	0	0.00054907304393182	0
P00359	0.000550610607587291	0	0.000550610607587291	2.31794941201196e-05
P00360	0.00055055978142406	0	0.00055055978142406	0
P00401	1.74842589653708e-09	6.07058306966165e-06	6.07233149555818e-06	6.07232511413516e-06
P00410	1.74842589653708e-09	6.07058306966165e-06	6.07233149555818e-06	6.07232511413516e-06
P00420	1.74842589653708e-09	6.07058306966165e-06	6.07233149555818e-06	6.07232511413516e-06
P00425	2.43185775827209e-06	3.64047373728609e-06	6.07233149555818e-06	6.07232511413516e-06
P00427	2.43185775827209e-06	3.64047373728609e-06	6.07233149555818e-06	6.07232511413516e-06
P00549	2.25570066402356e-06	0	2.25570066402356e-06	2.25305648436187e-06
P00560	0.00042142668833928	1.0511566950882e-06	0.000422477845034368	1.05191898336492e-06
P00830	6.81713199754485e-09	1.51759086190243e-05	1.51827257510218e-05	1.51759116922999e-05
P00854	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
P00856	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
P00890	2.04502990949116e-06	0	2.04502990949116e-06	2.04454418895815e-06
P00924	0.000405203437345548	0	0.000405203437345548	0
P00925	0.000404356127131184	0	0.000404356127131184	0
P00942	6.40688644619304e-05	3.22665024002104e-08	6.41011309643306e-05	3.23137312738753e-08
P00950	0.000682900104126751	4.62418619410995e-05	0.000729141966067851	4.62418619410995e-05
P04037	2.43185775827209e-06	3.64047373728609e-06	6.07233149555818e-06	6.07232511413516e-06
P04039	4.86409366003991e-06	7.28056933107646e-06	1.21446629911164e-05	1.21446502282703e-05
P04385	0	0	0	0
P04397	0.000241113931017423	0	0.000241113931017423	0
P04806	1.55580648977193e-06	0	1.55580648977193e-06	1.55580648977193e-06
P04807	3.36456967795983e-06	0	3.36456967795983e-06	0
P05626	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
P06169	3.17024959997614e-07	0	3.17024959997614e-07	3.10436657896902e-07
P07143	5.51151526931046e-09	1.9136133449138e-05	1.91416449644073e-05	1.91416248484215e-05
P07170	0.000777685789480793	0	0.000777685789480793	0
P07251	6.81713199754485e-09	1.51759086190243e-05	1.51827257510218e-05	1.51759116922999e-05
P07255	1.74842589653708e-09	6.07058306966165e-06	6.07233149555818e-06	6.07232511413516e-06
P07256	5.51151526931046e-09	1.9136133449138e-05	1.91416449644073e-05	1.91416248484215e-05
P07257	5.51151526931046e-09	1.9136133449138e-05	1.91416449644073e-05	1.91416248484215e-05
P08067	5.51151526931046e-09	1.9136133449138e-05	1.91416449644073e-05	1.91416248484215e-05
P08417	0.00035471883889559	2.73426063750024e-07	0.00035499226495934	2.73820814405591e-07
P08431	0.000444823508123511	0	0.000444823508123511	0
P08525	5.51151526931046e-09	1.9136133449138e-05	1.91416449644073e-05	1.91416248484215e-05
P09201	8.80260946598806e-09	0	8.80260946598806e-09	0
P09457	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
P09624	5.89235898949254e-08	8.73684853930379e-06	8.79577212919872e-06	8.73705253101581e-06
P0CX10	0.000400824095315247	0	0.000400824095315247	0
P0CX11	0.000400824095315247	0	0.000400824095315247	0
P10174	2.43185775827209e-06	3.64047373728609e-06	6.07233149555818e-06	6.07232511413516e-06
P10963	9.89583677063571e-09	0	9.89583677063571e-09	0
P11154	1.22876640707739e-06	0	1.22876640707739e-06	1.22861711964163e-06
P11412	2.26232256556379e-09	1.68783239435957e-07	1.71045562001521e-07	1.69105991277175e-07
P12695	4.27552303510618e-09	6.33949785656975e-07	6.38225308692081e-07	6.33964587390292e-07
P12709	0.000307574936862499	3.67502036178763e-07	0.000307942438898678	3.69293803119436e-07
P14540	0.000475873659996105	8.62980956950223e-06	0.000484503469565607	8.64239788082907e-06
P15019	0.0005090677387541	9.93444590965112e-07	0.000510061183345065	9.95356925844532e-07
P16387	5.89235898949254e-08	8.73684853930379e-06	8.79577212919872e-06	8.73705253101581e-06
P16451	4.27552303510618e-09	6.33949785656975e-07	6.38225308692081e-07	6.33964587390292e-07
P16467	3.17024959997614e-07	0	3.17024959997614e-07	0
P16861	4.38460094717223e-07	0	4.38460094717223e-07	0
P16862	3.51624955708385e-07	4.36867306867325e-07	7.8849226257571e-07	7.86773913950032e-07
P17505	0.000528861780910938	1.50441379922271e-06	0.000530366194710161	1.50445842240971e-06
P17709	1.55580648977193e-06	0	1.55580648977193e-06	0
P19414	0.000220856610520428	2.01315789931105e-06	0.000222869768419739	2.01600902930765e-06
P19516	0.000140489992144849	0	0.000140489992144849	0
P20967	1.02992641689654e-07	9.98224550328323e-06	1.00852381449729e-05	1.00848993594519e-05
P21306	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
P21801	2.17601112552697e-09	1.29045132686399e-06	1.29262733798952e-06	1.29231437715361e-06
P21826	2.85943641253253e-07	0	2.85943641253253e-07	0
P21954	1.02256979963298e-07	1.01069991421883e-05	1.02092561221516e-05	1.02089197565273e-05
P22289	5.51151526931046e-09	1.9136133449138e-05	1.91416449644073e-05	1.91416248484215e-05
P23254	0.00025631318935452	0	0.00025631318935452	8.5980967377001e-07
P26263	3.17024959997614e-07	0	3.17024959997614e-07	0
P28240	1.85964730392778e-07	2.29953293248317e-07	4.15918023641095e-07	2.30631872501672e-07
P30902	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
P30952	2.85943641253253e-07	0	2.85943641253253e-07	1.585594123449e-07
P32327	1.22876640707739e-06	0	1.22876640707739e-06	0
P32340	1.18055615078389e-06	2.46461378942316e-06	3.64516994020705e-06	3.64434838083316e-06
P32473	5.89235898949254e-08	8.73684853930379e-06	8.79577212919872e-06	8.73705253101581e-06
P32799	2.43185775827209e-06	3.64047373728609e-06	6.07233149555818e-06	6.07232511413516e-06
P33315	0.000252132777487404	0	0.000252132777487404	0
P33401	0.00029873843024068	0	0.00029873843024068	0
P33421	2.17601112552697e-09	1.29045132686399e-06	1.29262733798952e-06	1.29231437715361e-06
P37012	0.00029884923598043	0	0.00029884923598043	0
P37298	2.17601112552697e-09	1.29045132686399e-06	1.29262733798952e-06	1.29231437715361e-06
P37299	5.51151526931046e-09	1.9136133449138e-05	1.91416449644073e-05	1.91416248484215e-05
P38077	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
P38113	0.000500794498049347	0	0.000500794498049347	0
P38720	2.9231343005649e-06	0	2.9231343005649e-06	2.88941560951088e-06
P38824	0.000140489992144849	0	0.000140489992144849	0
P38858	1.08237631634558e-05	0	1.08237631634558e-05	1.07010271280196e-05
P40047	5.41762388179735e-08	0	5.41762388179735e-08	0
P40106	6.0107003714795e-09	0	6.0107003714795e-09	0
P40215	1.18055615078388e-06	0	1.18055615078388e-06	0
P41277	6.0107003714795e-09	0	6.0107003714795e-09	0
P41911	5.93623151733595e-10	0	5.93623151733595e-10	0
P42222	0.000400950326583719	0	0.000400950326583719	2.45457018690411e-06
P43635	2.04502990949116e-06	0	2.04502990949116e-06	0
P46367	5.41762388179735e-08	0	5.41762388179735e-08	0
P46969	0.00072606826913017	5.2150404622657e-07	0.000726589773176397	5.22703678327143e-07
P47052	1.69740335644293e-06	0	1.69740335644293e-06	0
P47081	0.000140489992144849	0	0.000140489992144849	0
P47771	7.74185337263328e-08	0	7.74185337263328e-08	0
P52489	2.25570066402356e-06	0	2.25570066402356e-06	0
P52910	3.14992748715577e-07	0	3.14992748715577e-07	3.08437814102564e-07
P53239	0.000140489992144849	0	0.000140489992144849	0
P53312	1.42449699480147e-08	1.38064996561658e-06	1.3948949355646e-06	1.39484807794944e-06
P53315	1.08237631634559e-05	0	1.08237631634559e-05	0
P53319	2.9231343005649e-06	0	2.9231343005649e-06	0
P53598	1.42449699480147e-08	1.38064996561658e-06	1.3948949355646e-06	1.39484807794944e-06
P54115	1.30145247225761e-07	7.63288730949331e-07	8.93433978175092e-07	8.74866944982179e-07
P61829	6.81713199754485e-09	1.51759086190243e-05	1.51827257510218e-05	1.51759116922999e-05
P81449	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
P81450	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
P81451	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
Q00055	5.93623151733595e-10	0	5.93623151733595e-10	0
Q00711	1.29262733798941e-06	0	1.29262733798941e-06	1.29231437715361e-06
Q01519	2.43185775827209e-06	3.64047373728609e-06	6.07233149555818e-06	6.07232511413516e-06
Q01574	3.14992748715578e-07	0	3.14992748715578e-07	0
Q04458	1.24573543270291e-07	0	1.24573543270291e-07	0
Q04935	0.000140489992144849	0	0.000140489992144849	0
Q06204	6.84253290416126e-06	0	6.84253290416126e-06	0
Q06405	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
Q07500	1.18055615078388e-06	0	1.18055615078388e-06	0
Q12055	0.000830107853730855	0	0.000830107853730855	3.84933471443131e-07
Q12165	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
Q12189	0.000667210880127369	4.76872724732895e-06	0.000671979607374698	4.77581882250681e-06
Q12233	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
Q12349	6.81708836789926e-09	1.51758114932091e-05	1.5182628581577e-05	1.51758145664651e-05
Q3E731	0.000140489992144849	0	0.000140489992144849	0
