enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.009701	0.011161	0.012201	0.012981	0.013588	0.014073	0.014471	0.014804	0.015085	0.015327	0.015537	0.015721	0.015885	0.01603	0.01616	0.016278	0.016385	0.016483	0.016573	0.016655	0.016732	0.016803	0.016869	0.016931	0.016988	0.017048	0.01712	0.017188	0.017253	0.017313	0.017371	0.017426	0.017477	0.017527	0.017574	0.017619	0.017662	0.017703	0.017742	0.01778	0.017817	0.017851	0.017885	0.017917	0.017948	0.017978	0.018007	0.018035	0.018062	0.018088	0.018113	0.018138	0.018162	0.018185	0.018207	0.018229	0.018247	0.018039	0.017555	0.017141	0.016728	0.016318	0.015911	0.015506	0.015103	0.014703	0.014306	0.01391	0.013517	0.013127	0.012739	0.012354	0.01197	0.01159	0.011211	0.010836	0.010462	0.010091	0.009723	0.009357	0.008993
P00128	Oxidative Phosphorylation	0.008187	0.009419	0.010297	0.010956	0.011468	0.011878	0.012214	0.012494	0.012732	0.012936	0.013113	0.013269	0.013406	0.013529	0.013639	0.013739	0.013829	0.013912	0.013987	0.014057	0.014122	0.014182	0.014237	0.014289	0.014338	0.014389	0.01445	0.014507	0.014561	0.014612	0.014661	0.014707	0.014751	0.014793	0.014832	0.01487	0.014907	0.014941	0.014975	0.015006	0.015037	0.015066	0.015095	0.015122	0.015148	0.015173	0.015198	0.015221	0.015244	0.015266	0.015288	0.015308	0.015328	0.015348	0.015367	0.015385	0.015401	0.015225	0.014817	0.014467	0.014119	0.013773	0.013429	0.013087	0.012747	0.012409	0.012074	0.01174	0.011409	0.011079	0.010752	0.010426	0.010103	0.009782	0.009462	0.009145	0.00883	0.008517	0.008206	0.007897	0.00759
P00163	Oxidative Phosphorylation	0.02454	0.028234	0.030865	0.032838	0.034373	0.035602	0.036609	0.037449	0.038162	0.038774	0.039305	0.039771	0.040184	0.040552	0.040882	0.04118	0.041451	0.041698	0.041925	0.042134	0.042328	0.042507	0.042674	0.04283	0.042976	0.043128	0.04331	0.043482	0.043645	0.043798	0.043944	0.044082	0.044214	0.044339	0.044458	0.044572	0.04468	0.044784	0.044884	0.04498	0.045071	0.04516	0.045244	0.045326	0.045405	0.04548	0.045554	0.045624	0.045693	0.045759	0.045823	0.045884	0.045944	0.046003	0.046059	0.046114	0.046161	0.045634	0.044411	0.043362	0.042318	0.041282	0.040251	0.039226	0.038208	0.037196	0.03619	0.03519	0.034196	0.033208	0.032227	0.031251	0.030282	0.029319	0.028362	0.027411	0.026467	0.025528	0.024596	0.02367	0.02275
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3e-05	0.000314	0.000526	0.000738	0.000948	0.001156	0.001364	0.00157	0.001775	0.001978	0.002181	0.002382	0.002581	0.002779	0.002976	0.003172	0.003367	0.00356	0.003751	0.003942	0.004131	0.004319	0.004505	0.004691
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.014916	0.020782	0.024939	0.028034	0.030422	0.032316	0.033852	0.03512	0.036181	0.037082	0.037853	0.038519	0.039099	0.039608	0.040056	0.040453	0.040807	0.041122	0.041406	0.041661	0.041892	0.0421	0.042289	0.04246	0.042615	0.042772	0.042954	0.043122	0.043276	0.043419	0.04355	0.043672	0.043784	0.043887	0.043983	0.044071	0.044153	0.044229	0.044298	0.044362	0.044422	0.044476	0.044526	0.044573	0.044615	0.044654	0.044689	0.044721	0.044751	0.044777	0.044801	0.044822	0.044842	0.044858	0.044873	0.044886	0.04558	0.052446	0.060851	0.068032	0.07517	0.082266	0.08932	0.096331	0.1033	0.110226	0.11711	0.123952	0.130751	0.137508	0.144222	0.150894	0.157524	0.164111	0.170656	0.177158	0.183619	0.190036	0.196411	0.202744	0.209035
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.010485	0.012063	0.013188	0.014031	0.014686	0.015212	0.015642	0.016001	0.016305	0.016567	0.016794	0.016993	0.017169	0.017326	0.017467	0.017595	0.01771	0.017816	0.017913	0.018002	0.018085	0.018162	0.018233	0.0183	0.018362	0.018427	0.018505	0.018578	0.018648	0.018714	0.018776	0.018835	0.018891	0.018944	0.018995	0.019044	0.01909	0.019135	0.019177	0.019218	0.019257	0.019295	0.019331	0.019366	0.0194	0.019432	0.019463	0.019494	0.019523	0.019551	0.019578	0.019605	0.01963	0.019655	0.019679	0.019703	0.019723	0.019498	0.018975	0.018527	0.018081	0.017638	0.017198	0.01676	0.016325	0.015892	0.015463	0.015035	0.014611	0.014189	0.013769	0.013353	0.012938	0.012527	0.012118	0.011712	0.011308	0.010907	0.010509	0.010113	0.00972
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.005094	0.005861	0.006407	0.006817	0.007135	0.007391	0.0076	0.007774	0.007922	0.008049	0.008159	0.008256	0.008342	0.008418	0.008487	0.008548	0.008605	0.008656	0.008703	0.008746	0.008787	0.008824	0.008859	0.008891	0.008921	0.008953	0.008991	0.009026	0.00906	0.009092	0.009122	0.009151	0.009178	0.009204	0.009229	0.009253	0.009275	0.009297	0.009317	0.009337	0.009356	0.009375	0.009392	0.009409	0.009425	0.009441	0.009456	0.009471	0.009485	0.009499	0.009512	0.009525	0.009537	0.00955	0.009561	0.009573	0.009583	0.009473	0.009219	0.009001	0.008785	0.00857	0.008356	0.008143	0.007931	0.007721	0.007512	0.007305	0.007099	0.006894	0.00669	0.006487	0.006286	0.006086	0.005888	0.00569	0.005494	0.005299	0.005106	0.004914	0.004723
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.005414	0.006229	0.006809	0.007245	0.007583	0.007854	0.008076	0.008262	0.008419	0.008554	0.008671	0.008774	0.008865	0.008946	0.009019	0.009085	0.009145	0.009199	0.009249	0.009295	0.009338	0.009378	0.009414	0.009449	0.009481	0.009515	0.009555	0.009593	0.009629	0.009663	0.009695	0.009725	0.009754	0.009782	0.009808	0.009833	0.009857	0.00988	0.009902	0.009923	0.009943	0.009963	0.009981	0.009999	0.010017	0.010034	0.01005	0.010065	0.01008	0.010095	0.010109	0.010123	0.010136	0.010149	0.010161	0.010173	0.010184	0.010068	0.009798	0.009566	0.009336	0.009107	0.00888	0.008654	0.008429	0.008206	0.007984	0.007763	0.007544	0.007326	0.00711	0.006894	0.006681	0.006468	0.006257	0.006047	0.005839	0.005632	0.005426	0.005222	0.005019
P00425	Oxidative Phosphorylation	0.003067	0.003528	0.003857	0.004104	0.004295	0.004449	0.004575	0.00468	0.004769	0.004845	0.004912	0.00497	0.005021	0.005067	0.005109	0.005146	0.00518	0.005211	0.005239	0.005265	0.005289	0.005312	0.005333	0.005352	0.00537	0.005389	0.005412	0.005434	0.005454	0.005473	0.005491	0.005509	0.005525	0.005541	0.005556	0.00557	0.005583	0.005596	0.005609	0.005621	0.005632	0.005643	0.005654	0.005664	0.005674	0.005683	0.005692	0.005701	0.00571	0.005718	0.005726	0.005734	0.005741	0.005749	0.005756	0.005762	0.005768	0.005703	0.00555	0.005419	0.005288	0.005159	0.00503	0.004902	0.004775	0.004648	0.004522	0.004397	0.004273	0.00415	0.004027	0.003905	0.003784	0.003664	0.003544	0.003425	0.003307	0.00319	0.003074	0.002958	0.002843
P00427	Oxidative Phosphorylation	0.003092	0.003558	0.003889	0.004138	0.004332	0.004486	0.004613	0.004719	0.004809	0.004886	0.004953	0.005012	0.005064	0.00511	0.005152	0.005189	0.005223	0.005255	0.005283	0.00531	0.005334	0.005357	0.005378	0.005397	0.005416	0.005435	0.005458	0.005479	0.0055	0.005519	0.005538	0.005555	0.005572	0.005587	0.005602	0.005617	0.00563	0.005643	0.005656	0.005668	0.00568	0.005691	0.005701	0.005712	0.005722	0.005731	0.00574	0.005749	0.005758	0.005766	0.005774	0.005782	0.00579	0.005797	0.005804	0.005811	0.005817	0.005751	0.005596	0.005464	0.005333	0.005202	0.005072	0.004943	0.004815	0.004687	0.00456	0.004434	0.004309	0.004185	0.004061	0.003938	0.003816	0.003695	0.003574	0.003454	0.003335	0.003217	0.003099	0.002983	0.002867
P00549	Glycolysis	0.002423	0.003244	0.003826	0.004259	0.004594	0.00486	0.005076	0.005254	0.005403	0.00553	0.005639	0.005733	0.005816	0.005888	0.005952	0.006008	0.006059	0.006104	0.006145	0.006182	0.006215	0.006245	0.006273	0.006298	0.00632	0.006343	0.006371	0.006395	0.006419	0.00644	0.00646	0.006478	0.006495	0.006511	0.006526	0.006539	0.006552	0.006564	0.006575	0.006585	0.006594	0.006603	0.006611	0.006619	0.006626	0.006633	0.006639	0.006644	0.00665	0.006654	0.006659	0.006663	0.006667	0.00667	0.006673	0.006676	0.006788	0.007892	0.009247	0.010402	0.011551	0.012693	0.013828	0.014956	0.016077	0.017191	0.018298	0.019399	0.020492	0.021579	0.022659	0.023731	0.024797	0.025857	0.026909	0.027954	0.028992	0.030024	0.031049	0.032066	0.033077
P00560	Glycolysis // Glycolysis	0.000859	0.001189	0.001424	0.001598	0.001732	0.001839	0.001926	0.001997	0.002057	0.002108	0.002151	0.002189	0.002222	0.00225	0.002276	0.002298	0.002318	0.002336	0.002352	0.002366	0.002379	0.002391	0.002402	0.002412	0.00242	0.002429	0.00244	0.002449	0.002458	0.002466	0.002474	0.00248	0.002487	0.002493	0.002498	0.002503	0.002508	0.002512	0.002516	0.00252	0.002523	0.002526	0.002529	0.002532	0.002534	0.002537	0.002539	0.002541	0.002542	0.002544	0.002545	0.002547	0.002548	0.002549	0.00255	0.00255	0.00259	0.002985	0.003469	0.003882	0.004292	0.0047	0.005106	0.005509	0.00591	0.006308	0.006704	0.007098	0.007489	0.007877	0.008263	0.008647	0.009028	0.009407	0.009783	0.010157	0.010529	0.010898	0.011264	0.011628	0.01199
