rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	1.25398469986351e-05	3.2889336777555e-07	3.85529696137962e-07	4.42569515817989e-07	5.00012827083646e-07	5.57859628606133e-07	6.16109922645797e-07	6.74763708005677e-07	7.33821010505398e-07	7.93281778294075e-07	8.5314603871095e-07	9.1341378895618e-07	9.74085031101024e-07	1.03515976525997e-06	1.09663798661397e-06	1.15851970443337e-06	1.2208049129242e-06	1.28349361205177e-06	1.3465759068354e-06	1.41003532134337e-06	1.4738874418857e-06	1.53814275569153e-06	1.60280128439633e-06	1.66786275132558e-06	1.73332736856657e-06	1.79855082215602e-06	1.86246977311455e-06	1.92678035870752e-06	1.99148258855919e-06	2.05657646026869e-06	2.12206195868148e-06	2.18793910380932e-06	2.25420788121933e-06	2.3208682905923e-06	2.38792034810975e-06	2.45536404014368e-06	2.52319939353374e-06	2.59142636291343e-06	2.66004496997374e-06	2.72905520623534e-06	2.79845707765181e-06	2.86825060200058e-06	2.93843575843722e-06	3.0090125602289e-06	3.07998098499074e-06	3.15134105223491e-06	3.2230927568544e-06	3.29523609912674e-06	3.36777107853847e-06	3.44069769958599e-06	3.51401596730694e-06	3.58772585223877e-06	3.66182739339194e-06	3.73632056221984e-06	3.811205367521e-06	3.88648182178541e-06	0.0731082940155597	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.291785631545019	0.408942411321918	0.526945501855224	0.645826150203776	0.765584356368935	0.886220120350019	1.00773344214771	1.13012432176065	1.25339275919014	1.37753875443629	1.50256230749769	1.62846341837569	1.75524208706962	1.88289831358016	2.01143209790663	2.14084344004902	2.27113234000733	2.40229879778225	2.53434281339289	2.66726438687221	2.80106351818969	2.9357402073237	3.07129445427419	3.20772625904171	3.34503562162653	3.48322254331657	3.62228702623921	3.76222906700081	3.90304866560271	4.04474582204425	4.1873205363261	4.3307728084476	4.47510263840872	4.62031002620948	4.76639497185055	4.91335747533125	5.06119753665154	5.20991515581219	5.35951033281248	5.5099830676524	5.66133336033265	5.81356121085182	5.96666661921133	6.12064958541113	6.27551010944991	6.431248191329	6.5878638310484	6.74535702860672	6.9037277840054	7.06297609724371	7.2231019683223	7.38410539724056	7.54598638399842	7.70874492859593	7.87238103103376	8.03689469131123	8.18166917106416	8.30672027925703	8.93618984373394	9.46992477062009	10.0003577922642	10.5274889086661	11.0513181198262	11.5718454257442	12.08907082642	12.602994321854	13.1136159120459	13.6209355969956	14.1249533767035	14.6256692511691	15.1230832203929	15.6171952843745	16.1080054431142	16.5955136966117	17.0797200448674	17.5606244878808	18.0382270256523	18.5125276581816	18.9835263854691	19.4512232075145	19.9156181243177
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.211719214431776	1.04807995850338	1.75861054133398	2.46477852897112	3.16658392141484	3.86402671866538	4.55710692072248	5.24582452758613	5.93017953925661	6.61017195573365	7.28580177701724	7.95706900310766	8.62397363400437	9.28651566970818	9.94469511021828	10.5985119555352	11.2479662056587	11.893057860589	12.5337869203256	13.170153384869	13.802157254219	14.4297985283758	15.0530772073392	15.6719932911091
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.048635118539836	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289827	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373276	3.15625845334865	3.45488032866536	3.87015522124787	4.22753095381825	4.58290217045047	4.93626887114453	5.28763105590054	5.63698872471839	5.98434187759808	6.32969051453972	6.6730346355432	7.01437424060852	7.35370932973579	7.69103990292478	8.02636596017585	8.35968750148863	8.69100452686337	9.02031703629995	9.34762502979848	9.67292850735874	9.99622746898095	10.317521914665	10.636811844411	10.9540972582188	11.2693781560885
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.291785631545019	0.405862135400316	0.520784950012021	0.63658532243897	0.753263252682527	0.870818740742009	0.9892517866181	1.10856239030944	1.22875055181732	1.34981627114188	1.47175954828167	1.59458038323807	1.7182787760104	1.84285472659933	1.9683082350042	2.09463930122499	2.2218479252617	2.34993410711502	2.47889784680406	2.60873914436177	2.73945799975765	2.87105441297006	3.00352838399895	3.13687991284487	3.27110899950808	3.40621564527652	3.54219985227756	3.67906161711756	3.81680093979786	3.95541782031779	4.09491225867804	4.23528425487794	4.37653380891746	4.51866092079661	4.66166559051608	4.80554781807518	4.95030760347387	5.09594494671292	5.2424598477916	5.38985230670992	5.53812232346857	5.68726989806614	5.83729503050405	5.98819772078224	6.13997796889942	6.29263577485691	6.44617113865471	6.60058406029143	6.7558745397685	6.91204257708521	7.0690881722422	7.22701132523886	7.38581203607512	7.54549030475103	7.70604613126726	7.86747951562312	8.00917371945445	7.91942533729394	7.70945388177764	7.52957794991159	7.35076270799691	7.17300815603358	6.99631429402149	6.82068112196075	6.64610863985138	6.47259684769324	6.30014574548647	6.12875533323106	5.95842561092688	5.78915657857418	5.6209482361726	5.45380058372249	5.28771362122362	5.12268734867612	4.95872176607985	4.79581687343504	4.6339726707415	4.47318915799928	4.31346633520833	4.15480420236875	3.9972027594805
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399325014	0.00226990798650006	0.00340486197974987	0.00453981597300057	0.00567476996625005	0.00680972395949986	0.00794467795274933	0.00907963194600092	0.0102145859392493	0.0113495399325001	0.0124844939257508	0.0136194479189994	0.0147544019122494	0.0158893559054989	0.0170243098987493	0.018159263892001	0.0192942178852502	0.0204291718784979	0.0215641258717494	0.0226990798650004	0.023834033858251	0.0249689878515003	0.0261039418447495	0.027238895838001	0.0283738498312518	0.0295088038244991	0.0306437578177496	0.0317787118109991	0.0329136658042466	0.0340486197975016	0.03518357379075	0.0363185277840019	0.0374534817772503	0.0385884357705026	0.0397233897637452	0.0408583437569998	0.0419932977502513	0.0431282517434988	0.0442632057367471	0.0453981597300017	0.0465331137232474	0.0476680677164985	0.0488030217097437	0.0499379757029956	0.0510729296962507	0.0522078836894995	0.0533428376827536	0.0544777916760002	0.0556127456692503	0.0567476996625036	0.057882653655756	0.0590176076490021	0.0601525616422496	0.0612875156355059	0.0624224696287516	0.0635574236219956	0.0646923776152457	0.0658273316084923	0.066962285601746	0.0680972395950024	0.0692321935882525	0.0703671475814982	0.071502101574751	0.0726370555679985	0.0737720095612389	0.074906963554497	0.0760419175477569	0.0771768715410008	0.078311825534259	0.079446779527494	0.080581733520761	0.0817166875139996	0.0828516415072507	0.0839865955004981	0.0851215494937421	0.0862565034869966	0.0873914574802477	0.0885264114735058	0.0896613654667604	0.0907963194599972
